Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
KANSL1,Lymphocyte,PTSD,Wald ratio,1,0.954,1.60E-01,NA,NA,NA,0.020863145
CTA-217C2.1,Lymphocyte,PTSD,Wald ratio,1,1.03,1.61E-01,NA,NA,NA,0.002846716
DPCD,Lymphocyte,PTSD,Wald ratio,1,1.025,1.63E-01,NA,NA,NA,0.009565972
RP11-44F21.4,Lymphocyte,PTSD,Wald ratio,1,0.976,1.64E-01,NA,NA,NA,7.14E-06
FAM92B,Lymphocyte,PTSD,Wald ratio,1,0.978,1.68E-01,NA,NA,NA,0.000793295
MNT,Lymphocyte,PTSD,Wald ratio,1,1.043,1.70E-01,NA,NA,NA,0.017690716
APBB2,Lymphocyte,PTSD,Wald ratio,1,0.984,1.71E-01,NA,NA,NA,0.016136273
RFTN1,Lymphocyte,PTSD,Wald ratio,1,0.966,1.71E-01,NA,NA,NA,0.018861428
CREB5,Lymphocyte,PTSD,Wald ratio,1,1.025,1.72E-01,NA,NA,NA,0.020030568
CTD-3094K11.1,Lymphocyte,PTSD,Wald ratio,1,1.017,1.73E-01,NA,NA,NA,0.003678429
NUP205,Lymphocyte,PTSD,Wald ratio,1,1.019,1.76E-01,NA,NA,NA,6.66E-06
BCL2L10,Lymphocyte,PTSD,Wald ratio,1,0.97,1.77E-01,NA,NA,NA,3.80E-06
ISPD,Lymphocyte,PTSD,Wald ratio,1,0.984,1.79E-01,NA,NA,NA,4.58E-05
DNAJC15,Lymphocyte,PTSD,Wald ratio,1,1.033,1.79E-01,NA,NA,NA,0.022235214
GALNT2,Lymphocyte,PTSD,Wald ratio,1,1.062,1.80E-01,NA,NA,NA,1.40E-05
PACSIN2,Lymphocyte,PTSD,Wald ratio,1,0.981,1.80E-01,NA,NA,NA,0.018964239
RSU1,Lymphocyte,PTSD,Wald ratio,1,1.032,1.83E-01,NA,NA,NA,0.019026155
ACA59,Lymphocyte,PTSD,Wald ratio,1,1.008,1.83E-01,NA,NA,NA,2.34E-05
SERINC4,Lymphocyte,PTSD,Wald ratio,1,0.975,1.84E-01,NA,NA,NA,0.002071779
TCP11L1,Lymphocyte,PTSD,Wald ratio,1,0.965,1.87E-01,NA,NA,NA,0.002247068
FTOP1,Lymphocyte,PTSD,Wald ratio,1,1.026,1.87E-01,NA,NA,NA,0.019592915
C17orf97,Lymphocyte,PTSD,Wald ratio,1,1.02,1.89E-01,NA,NA,NA,0.019850322
CENPM,Lymphocyte,PTSD,Wald ratio,1,1.056,1.92E-01,NA,NA,NA,0.002451877
C1orf100,Lymphocyte,PTSD,Wald ratio,1,0.988,1.92E-01,NA,NA,NA,0.017726191
PREX1,Lymphocyte,PTSD,Wald ratio,1,0.964,1.92E-01,NA,NA,NA,0.013999628
TTLL11,Lymphocyte,PTSD,Wald ratio,1,1.033,1.93E-01,NA,NA,NA,0.01340912
BHLHE23,Lymphocyte,PTSD,Wald ratio,1,1.024,1.94E-01,NA,NA,NA,6.34E-05
RHOH,Lymphocyte,PTSD,Wald ratio,1,0.974,1.94E-01,NA,NA,NA,0.001507012
C1orf228,Lymphocyte,PTSD,Wald ratio,1,0.976,1.96E-01,NA,NA,NA,0.008597406
IRAK2,Lymphocyte,PTSD,Wald ratio,1,0.986,2.01E-01,NA,NA,NA,0.018460285
VAC14,Lymphocyte,PTSD,Wald ratio,1,1.02,2.01E-01,NA,NA,NA,0.020674227
ANKRD33B,Lymphocyte,PTSD,Wald ratio,1,0.949,2.01E-01,NA,NA,NA,0.016264541
CLC,Lymphocyte,PTSD,Wald ratio,1,1.025,2.01E-01,NA,NA,NA,0.000320641
HLA-DQA1,Lymphocyte,PTSD,Wald ratio,1,1.016,2.03E-01,NA,NA,NA,0.018048234
PAX5,Lymphocyte,PTSD,Wald ratio,1,0.966,2.04E-01,NA,NA,NA,0.016292432
RAB15,Lymphocyte,PTSD,Wald ratio,1,1.049,2.05E-01,NA,NA,NA,0.001852387
TRBJ2-1,Lymphocyte,PTSD,Wald ratio,1,0.975,2.06E-01,NA,NA,NA,3.20E-05
MTFR1,Lymphocyte,PTSD,Wald ratio,1,0.959,2.07E-01,NA,NA,NA,0.017319385
NCK2,Lymphocyte,PTSD,Wald ratio,1,0.963,2.07E-01,NA,NA,NA,0.012427603
DHTKD1,Lymphocyte,PTSD,Wald ratio,1,1.027,2.08E-01,NA,NA,NA,0.000738469
LAMA5,Lymphocyte,PTSD,Wald ratio,1,1.024,2.08E-01,NA,NA,NA,0.000904516
