Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
OSBP2,Stem-cell-iPSC,PTSD,Wald ratio,1,0.765,1.21E-04,NA,NA,NA,0.0288562
LYRM4,Stem-cell-iPSC,PTSD,Wald ratio,1,0.86,4.76E-04,NA,NA,NA,0.765940505
GMDS,Stem-cell-iPSC,PTSD,Wald ratio,1,0.863,7.40E-04,NA,NA,NA,0.001359873
BUD13,Stem-cell-iPSC,PTSD,Wald ratio,1,0.94,8.04E-04,NA,NA,NA,0.248008013
PSMG1,Stem-cell-iPSC,PTSD,Wald ratio,1,0.901,1.78E-03,NA,NA,NA,0.0025639
SH3RF3,Stem-cell-iPSC,PTSD,Wald ratio,1,1.145,2.12E-03,NA,NA,NA,0.343706417
RBM48P1,Stem-cell-iPSC,PTSD,Wald ratio,1,1.084,2.32E-03,NA,NA,NA,0.000204116
MEF2D,Stem-cell-iPSC,PTSD,Wald ratio,1,0.92,2.60E-03,NA,NA,NA,0.335243914
SLC38A6,Stem-cell-iPSC,PTSD,Wald ratio,1,1.07,3.17E-03,NA,NA,NA,0.000997638
RTN4,Stem-cell-iPSC,PTSD,Wald ratio,1,0.892,3.68E-03,NA,NA,NA,0.002601387
CHFR,Stem-cell-iPSC,PTSD,Wald ratio,1,1.095,4.20E-03,NA,NA,NA,0.001527153
NCF2,Stem-cell-iPSC,PTSD,Wald ratio,1,1.159,5.04E-03,NA,NA,NA,0.09662426
FGD4,Stem-cell-iPSC,PTSD,Inverse variance weighted,2,0.955,5.15E-03,NA,0.630459639,NA,0.000113801
INADL,Stem-cell-iPSC,PTSD,Wald ratio,1,1.057,5.58E-03,NA,NA,NA,0.038092662
RIIAD1,Stem-cell-iPSC,PTSD,Wald ratio,1,1.082,5.92E-03,NA,NA,NA,0.032297633
YBX1P6,Stem-cell-iPSC,PTSD,Wald ratio,1,1.216,6.14E-03,NA,NA,NA,0.124578888
SERPINB9P1,Stem-cell-iPSC,PTSD,Wald ratio,1,0.906,8.46E-03,NA,NA,NA,0.002237055
CACNG6,Stem-cell-iPSC,PTSD,Wald ratio,1,0.868,9.18E-03,NA,NA,NA,0.000542162
NAMA,Stem-cell-iPSC,PTSD,Wald ratio,1,0.883,9.79E-03,NA,NA,NA,0.00096024
LINC01040,Stem-cell-iPSC,PTSD,Wald ratio,1,1.059,9.88E-03,NA,NA,NA,0.000816402
EGFEM1P,Stem-cell-iPSC,PTSD,Inverse variance weighted,2,0.944,1.02E-02,NA,0.818913493,NA,4.43E-05
LINC00376,Stem-cell-iPSC,PTSD,Wald ratio,1,1.058,1.06E-02,NA,NA,NA,0.003670493
FAM227A,Stem-cell-iPSC,PTSD,Wald ratio,1,0.953,1.12E-02,NA,NA,NA,0.00048619
RNU4-77P,Stem-cell-iPSC,PTSD,Wald ratio,1,1.168,1.22E-02,NA,NA,NA,0.068106436
CSMD2,Stem-cell-iPSC,PTSD,Wald ratio,1,0.933,1.23E-02,NA,NA,NA,5.96E-05
MIR3924,Stem-cell-iPSC,PTSD,Wald ratio,1,0.94,1.23E-02,NA,NA,NA,8.96E-05
POLD2P1,Stem-cell-iPSC,PTSD,Wald ratio,1,1.081,1.33E-02,NA,NA,NA,0.006292668
C2orf88,Stem-cell-iPSC,PTSD,Wald ratio,1,1.061,1.40E-02,NA,NA,NA,0.062301117
CAST,Stem-cell-iPSC,PTSD,Wald ratio,1,1.215,1.41E-02,NA,NA,NA,0.002501356
CCDC6,Stem-cell-iPSC,PTSD,Wald ratio,1,1.105,1.43E-02,NA,NA,NA,0.010760616
DOCK4,Stem-cell-iPSC,PTSD,Wald ratio,1,0.932,1.44E-02,NA,NA,NA,4.20E-05
RN7SL361P,Stem-cell-iPSC,PTSD,Wald ratio,1,1.127,1.44E-02,NA,NA,NA,0.104225468
KIAA1328,Stem-cell-iPSC,PTSD,Wald ratio,1,0.884,1.63E-02,NA,NA,NA,0.000750092
FARP1,Stem-cell-iPSC,PTSD,Wald ratio,1,0.9,1.73E-02,NA,NA,NA,0.000758534
SPOCK3,Stem-cell-iPSC,PTSD,Inverse variance weighted,2,0.906,1.91E-02,NA,0.3793383,NA,1.04E-05
ELMO1,Stem-cell-iPSC,PTSD,Wald ratio,1,1.097,1.93E-02,NA,NA,NA,0.001319135
HTRA1,Stem-cell-iPSC,PTSD,Wald ratio,1,0.88,2.00E-02,NA,NA,NA,0.000287461
RPL5P28,Stem-cell-iPSC,PTSD,Wald ratio,1,0.867,2.07E-02,NA,NA,NA,0.110575036
KCNC4,Stem-cell-iPSC,PTSD,Wald ratio,1,1.06,2.09E-02,NA,NA,NA,0.000254514
SLC15A5,Stem-cell-iPSC,PTSD,Wald ratio,1,1.092,2.22E-02,NA,NA,NA,0.004035882
EXOC2,Stem-cell-iPSC,PTSD,Wald ratio,1,0.898,2.28E-02,NA,NA,NA,0.002287666
SVIL,Stem-cell-iPSC,PTSD,Wald ratio,1,1.044,2.41E-02,NA,NA,NA,0.014710218
HAUS6P1,Stem-cell-iPSC,PTSD,Wald ratio,1,0.883,2.44E-02,NA,NA,NA,0.001971466
ANXA5,Stem-cell-iPSC,PTSD,Wald ratio,1,1.06,2.46E-02,NA,NA,NA,6.54E-05
GRIA4,Stem-cell-iPSC,PTSD,Wald ratio,1,0.913,2.52E-02,NA,NA,NA,0.000271101
LINC01122,Stem-cell-iPSC,PTSD,Wald ratio,1,0.906,2.59E-02,NA,NA,NA,0.000221344
FAM174B,Stem-cell-iPSC,PTSD,Wald ratio,1,1.046,2.76E-02,NA,NA,NA,0.001039209
HECW2,Stem-cell-iPSC,PTSD,Wald ratio,1,0.861,2.82E-02,NA,NA,NA,0.000261187
RSL24D1P4,Stem-cell-iPSC,PTSD,Wald ratio,1,1.146,2.82E-02,NA,NA,NA,0.080014686
AHCYP4,Stem-cell-iPSC,PTSD,Inverse variance weighted,2,1.067,2.84E-02,NA,0.865206256,NA,0.000442669
LIMS1,Stem-cell-iPSC,PTSD,Wald ratio,1,0.949,2.87E-02,NA,NA,NA,2.95E-05
AIM1,Stem-cell-iPSC,PTSD,Wald ratio,1,1.173,2.90E-02,NA,NA,NA,0.000366324
PAX3,Stem-cell-iPSC,PTSD,Wald ratio,1,1.178,2.92E-02,NA,NA,NA,0.00108735
ADGRF1,Stem-cell-iPSC,PTSD,Wald ratio,1,1.063,2.92E-02,NA,NA,NA,0.000183636
TCEA3,Stem-cell-iPSC,PTSD,Wald ratio,1,0.942,2.94E-02,NA,NA,NA,0.000437372
LINC00593,Stem-cell-iPSC,PTSD,Wald ratio,1,0.904,3.04E-02,NA,NA,NA,0.000183073
