Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
AL513166.1,Brain Cortex,DEP,Wald ratio,1,0.638,5.01E-17,NA,NA,NA,1
ZSCAN26,Brain Hippocampus,DEP,Wald ratio,1,1.043,2.79E-15,NA,NA,NA,0.999989442
RP1-313I6.12,Brain Cortex,DEP,Wald ratio,1,0.904,3.89E-12,NA,NA,NA,0.999999986
ZSCAN26,Brain Cortex,DEP,Wald ratio,1,0.636,3.89E-12,NA,NA,NA,0.999999981
ZSCAN16-AS1,Brain Cortex,DEP,Wald ratio,1,0.803,3.89E-12,NA,NA,NA,0.999999986
CD40,Brain Cortex,DEP,Wald ratio,1,1.178,2.51E-10,NA,NA,NA,0.999998378
BTN3A1,Brain Hypothalamus,DEP,Wald ratio,1,0.962,5.76E-09,NA,NA,NA,0.999980187
BTN3A1,Brain Spinal cord cervical,DEP,Wald ratio,1,0.961,5.76E-09,NA,NA,NA,0.99996918
CRB1,Brain Cortex,DEP,Wald ratio,1,0.614,7.26E-08,NA,NA,NA,0.005306694
DENND1B,Brain Cortex,DEP,Wald ratio,1,0.664,7.26E-08,NA,NA,NA,0.999803462
ZNF311,Brain Cortex,DEP,Inverse variance weighted,2,0.875,8.76E-08,NA,0.288540573,NA,0.012804605
RFWD2,Brain Cortex,DEP,Wald ratio,1,0.96,2.75E-07,NA,NA,NA,0.99914092
COP1,Brain Cortex,DEP,Wald ratio,1,0.762,2.75E-07,NA,NA,NA,0.99914092
LINC00899,Brain Cortex,DEP,Wald ratio,1,0.782,5.14E-07,NA,NA,NA,0.99859253
ZSCAN23,Brain Cortex,DEP,Weighted median,4,1.131,6.45E-07,0.055018923,0.000257557,0.165296752,0.999993534
LINC00461,Brain Hypothalamus,DEP,Wald ratio,1,1.039,1.62E-06,NA,NA,NA,0.814143822
ARL3,Brain Cortex,DEP,Wald ratio,1,0.888,3.19E-06,NA,NA,NA,0.994849101
TDP2,Brain Putamen basal ganglia,DEP,Wald ratio,1,1.057,3.75E-06,NA,NA,NA,0.054293793
THRA,Brain Cortex,DEP,Wald ratio,1,1.031,4.05E-06,NA,NA,NA,0.989432123
ZNF660,Brain Cortex,DEP,Wald ratio,1,1.482,4.05E-06,NA,NA,NA,0.989145045
MED24,Brain Cortex,DEP,Wald ratio,1,0.884,4.05E-06,NA,NA,NA,0.989421713
PSMD3,Brain Cortex,DEP,Wald ratio,1,0.691,4.05E-06,NA,NA,NA,0.989431552
ZNF445,Brain Cortex,DEP,Wald ratio,1,1.199,4.05E-06,NA,NA,NA,0.989432123
THRA,Brain Hypothalamus,DEP,Wald ratio,1,0.97,4.05E-06,NA,NA,NA,0.989432069
THRA,Brain Nucleus accumbens basal ganglia,DEP,Wald ratio,1,0.978,4.05E-06,NA,NA,NA,0.989432123
BORCS7,Brain Cortex,DEP,Inverse variance weighted,2,0.817,4.46E-06,NA,0.381180983,NA,0.956495407
