Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
RPL31P12,Brain Cerebellar Hemisphere,DEP,Wald ratio,1,1.036,4.76E-18,NA,NA,NA,1
NEGR1,Brain Caudate basal ganglia,DEP,Wald ratio,1,0.754,1.05E-17,NA,NA,NA,0.99624701
LINC02796,Brain Cortex SMR,DEP,Wald ratio,1,1.144,1.05E-17,NA,NA,NA,0.999999986
RPL31P12,Brain Cortex SMR,DEP,Wald ratio,1,0.966,1.05E-17,NA,NA,NA,1
AL513166.1,Brain Cortex SMR,DEP,Wald ratio,1,1.046,1.05E-17,NA,NA,NA,1
AL583808.1,Brain Cortex SMR,DEP,Wald ratio,1,1.1,1.05E-17,NA,NA,NA,1
NEGR1,Brain Cortex SMR,DEP,Wald ratio,1,1.143,1.05E-17,NA,NA,NA,1
RPL31P12,Meta 10 Brain Regions,DEP,Wald ratio,1,0.962,2.31E-17,NA,NA,NA,1
BTN3A2,Brain Prefrontal Cortex PsychENCODE,DEP,Inverse variance weighted,3,0.954,1.17E-12,0.553127285,0.625852738,0.584185211,0.999999995
TMEM106B,Brain Cerebellum,DEP,Wald ratio,1,0.831,1.31E-11,NA,NA,NA,0.998129343
ZNF192P1,Meta 10 Brain Regions,DEP,Wald ratio,1,0.932,2.39E-11,NA,NA,NA,0.999933056
AL022393.7,Meta 10 Brain Regions,DEP,Wald ratio,1,0.953,2.39E-11,NA,NA,NA,0.999812429
BTN3A2,Brain Prefrontal Cortex PsychENCODE,DEP,Weighted median,3,0.953,5.63E-11,0.553127285,0.625852738,0.584185211,0.999999995
SLC12A5,Brain Hippocampus,DEP,Wald ratio,1,0.816,2.51E-10,NA,NA,NA,0.999984259
LRFN5,Brain Cerebellar Hemisphere,DEP,Inverse variance weighted,2,0.965,6.03E-10,NA,0.343010224,NA,0.000164309
ZNF204P,Brain Cerebellar Hemisphere,DEP,Wald ratio,1,1.141,1.14E-09,NA,NA,NA,0.99501023
ZNF391,Brain Cerebellar Hemisphere,DEP,Wald ratio,1,0.955,1.14E-09,NA,NA,NA,0.999996006
NEGR1,Brain Hippocampus,DEP,Wald ratio,1,0.867,1.76E-09,NA,NA,NA,0.993488537
AREL1,Brain Frontal Cortex,DEP,Wald ratio,1,1.16,5.31E-09,NA,NA,NA,0.999981217
TRMT61A,Brain Cortex,DEP,Wald ratio,1,0.892,1.04E-08,NA,NA,NA,0.983561986
ZNF322,Brain Cortex,DEP,Wald ratio,1,1.049,2.39E-08,NA,NA,NA,0.999919427
ZNF322,Brain Spinal cord cervical,DEP,Wald ratio,1,1.037,2.39E-08,NA,NA,NA,0.999919424
SGIP1,Brain Spinal cord cervical,DEP,Wald ratio,1,0.95,5.27E-08,NA,NA,NA,0.999816214
GMPPB,Brain Substantia nigra,DEP,Wald ratio,1,0.958,5.84E-08,NA,NA,NA,0.999859016
B3GALTL,Meta 10 Brain Regions,DEP,Wald ratio,1,0.944,7.99E-08,NA,NA,NA,0.999750597
RERE,Brain Anterior cingulate cortex,DEP,Wald ratio,1,1.092,3.16E-07,NA,NA,NA,0.987659784
B3GLCT,Brain Cortex,DEP,Wald ratio,1,1.064,3.28E-07,NA,NA,NA,0.998441957
RERE-AS1,Brain Cerebellar Hemisphere,DEP,Wald ratio,1,1.056,3.56E-07,NA,NA,NA,0.990675633
ANKRD26P4,Brain Caudate basal ganglia,DEP,Wald ratio,1,0.946,4.08E-07,NA,NA,NA,0.99524907
RPL31P12,Brain Cerebellum,DEP,Inverse variance weighted,2,1.033,4.65E-07,NA,0.093234787,NA,1
AL596257.1,Brain Cortex SMR,DEP,Wald ratio,1,0.956,6.40E-07,NA,NA,NA,0.99822714
CD40,Brain Frontal Cortex,DEP,Wald ratio,1,1.08,7.05E-07,NA,NA,NA,0.996817062
DYNLT5,Brain Putamen basal ganglia,DEP,Wald ratio,1,1.045,7.86E-07,NA,NA,NA,0.994701912
CRB1,Brain Cortex,DEP,Wald ratio,1,1.131,9.25E-07,NA,NA,NA,0.994057636
CD40,Brain Anterior cingulate cortex,DEP,Wald ratio,1,1.078,9.58E-07,NA,NA,NA,0.995065128
CD40,Meta 10 Brain Regions,DEP,Wald ratio,1,0.958,9.58E-07,NA,NA,NA,0.99734195
CDC42BPA,Meta 10 Brain Regions,DEP,Wald ratio,1,0.952,1.17E-06,NA,NA,NA,0.996352954
STK24,Brain Cerebellum,DEP,Wald ratio,1,0.936,1.29E-06,NA,NA,NA,0.996282851
FARP1,Brain Cerebellum,DEP,Wald ratio,1,0.924,1.29E-06,NA,NA,NA,0.99581057
TMEM106B,Brain Cortex,DEP,Wald ratio,1,0.871,1.66E-06,NA,NA,NA,0.973605285
CCDC71,Brain Caudate basal ganglia,DEP,Wald ratio,1,0.915,1.93E-06,NA,NA,NA,0.971139662
GMPPB,Brain Caudate basal ganglia,DEP,Wald ratio,1,0.925,1.93E-06,NA,NA,NA,0.947217548
NCKIPSD,Brain Caudate basal ganglia,DEP,Wald ratio,1,1.054,1.93E-06,NA,NA,NA,0.994789405
WDR6,Brain Caudate basal ganglia,DEP,Wald ratio,1,0.879,1.93E-06,NA,NA,NA,0.810517243
GPX1,Brain Caudate basal ganglia,DEP,Wald ratio,1,0.891,1.93E-06,NA,NA,NA,0.993574169
AMT,Brain Caudate basal ganglia,DEP,Wald ratio,1,1.066,1.93E-06,NA,NA,NA,0.993375014
