Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
ZNF389,Fetal Brain,DEP,Wald ratio,1,0.683,4.47E-12,NA,NA,NA,0.999999984
ZSCAN16,Fetal Brain,DEP,Wald ratio,1,0.131,4.47E-12,NA,NA,NA,0.999999719
ENSG00000289436,Brain Cortex,DEP,Wald ratio,1,0.95,6.86E-12,NA,NA,NA,0.999999972
TMEM106B,Fetal Brain,DEP,Wald ratio,1,0.249,1.81E-11,NA,NA,NA,0.999999926
NRDC,Brain Meta Analysis,DEP,Wald ratio,1,0.948,7.43E-11,NA,NA,NA,0.999999709
B3GLCT,Brain Cortex,DEP,Wald ratio,1,1.04,8.81E-10,NA,NA,NA,0.999997394
B3GALTL,Fetal Brain,DEP,Wald ratio,1,1.54,1.57E-09,NA,NA,NA,0.999995424
B3GLCT,Brain Meta Analysis,DEP,Wald ratio,1,1.066,1.12E-08,NA,NA,NA,0.999967514
DENND1B,Brain Meta Analysis,DEP,Wald ratio,1,1.059,2.34E-08,NA,NA,NA,0.999935605
RAB27B,Brain Meta Analysis,DEP,Wald ratio,1,0.979,3.59E-08,NA,NA,NA,0.999898679
RPS6KL1,Brain Meta Analysis,DEP,Wald ratio,1,0.98,3.12E-07,NA,NA,NA,0.999032271
SEMA6D,Brain Cortex,DEP,Wald ratio,1,0.962,3.13E-07,NA,NA,NA,0.999193629
ALG10B,Fetal Brain,DEP,Inverse variance weighted,2,0.642,5.54E-07,NA,0.734324808,NA,0.259129645
TRAF3,Brain Meta Analysis,DEP,Wald ratio,1,0.954,7.60E-07,NA,NA,NA,0.998208595
PAX5,Brain Cortex,DEP,Wald ratio,1,1.047,1.04E-06,NA,NA,NA,0.010363765
STK24,Brain Meta Analysis,DEP,Wald ratio,1,0.982,1.29E-06,NA,NA,NA,0.996286249
ANKK1,Brain Meta Analysis,DEP,Wald ratio,1,0.983,2.63E-06,NA,NA,NA,0.99250842
PCLO,Brain Meta Analysis,DEP,Wald ratio,1,1.017,2.95E-06,NA,NA,NA,0.991653474
YTHDC2,Brain Meta Analysis,DEP,Inverse variance weighted,2,0.985,3.40E-06,NA,0.44269427,NA,0.08913472
RERE,Brain Meta Analysis,DEP,Wald ratio,1,1.048,3.48E-06,NA,NA,NA,0.991559914
PRMT6,Fetal Brain,DEP,Inverse variance weighted,2,0.684,4.61E-06,NA,0.563634326,NA,0.020737794
FAM120A,Brain Meta Analysis,DEP,Wald ratio,1,0.956,1.82E-05,NA,NA,NA,0.971162937
TRAF3,Brain Cortex,DEP,Wald ratio,1,1.029,2.06E-05,NA,NA,NA,0.011606501
TAOK3,Brain Meta Analysis,DEP,Wald ratio,1,1.04,2.22E-05,NA,NA,NA,0.961266059
RBMS2,Brain Meta Analysis,DEP,Wald ratio,1,1.017,2.37E-05,NA,NA,NA,0.943270305
DENND1A,Fetal Brain,DEP,Wald ratio,1,3.709,2.54E-05,NA,NA,NA,0.948310884
TRMT61A,Brain Cortex,DEP,Wald ratio,1,1.059,2.57E-05,NA,NA,NA,0.943606892
GRM5,Brain Meta Analysis,DEP,Wald ratio,1,1.049,2.79E-05,NA,NA,NA,0.949105517
