Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
LRFN5,BannerBBDP,DEP,Inverse variance weighted,2,0.389,1.11E-10,NA,0.94003704,NA,1.52E-07
RB27B,ROSMAP,DEP,Wald ratio,1,0.82,3.59E-08,NA,NA,NA,0.999887151
B3GLT,ROSMAP,DEP,Inverse variance weighted,5,1.223,1.52E-07,0.778443912,0.889729737,0.86519364,0.99990562
F120A,ROSMAP,DEP,Inverse variance weighted,2,68.113,4.00E-07,NA,0.739111833,NA,0.001351082
T106B,ROSMAP,DEP,Inverse variance weighted,2,0.838,3.00E-06,NA,0.67998746,NA,0.999999979
SNN,ROSMAP,DEP,Wald ratio,1,4.992,4.29E-06,NA,NA,NA,6.12E-07
CHMP3,ROSMAP,DEP,Wald ratio,1,0.315,7.07E-06,NA,NA,NA,0.000179406
5NTC,ROSMAP,DEP,Wald ratio,1,0.319,7.64E-06,NA,NA,NA,0.009770104
CNNM2,ROSMAP,DEP,Wald ratio,1,2.506,7.64E-06,NA,NA,NA,5.98E-08
POGZ,BannerBBDP,DEP,Inverse variance weighted,2,4.999,8.59E-06,NA,0.314709361,NA,0.000322375
UBC12,ROSMAP,DEP,Wald ratio,1,5.218,1.16E-05,NA,NA,NA,5.80E-06
CHM2A,ROSMAP,DEP,Wald ratio,1,0.018,1.16E-05,NA,NA,NA,7.55E-08
TIF1B,ROSMAP,DEP,Wald ratio,1,2463662,1.16E-05,NA,NA,NA,4.01E-08
UBE4A,ROSMAP,DEP,Inverse variance weighted,2,6089.074,1.29E-05,NA,0.3723618,NA,1.46E-08
MPPD2,ROSMAP,DEP,Inverse variance weighted,4,1.603,1.59E-05,0.977255089,0.997170394,0.962394865,1.01E-06
CP7B1,ROSMAP,DEP,Inverse variance weighted,3,1.341,2.24E-05,0.684892751,0.837897848,0.738897352,1.54E-07
B3GLT,BannerBBDP,DEP,Inverse variance weighted,4,1.217,2.44E-05,0.573079039,0.135472348,0.169672519,4.79E-08
DYL1,ROSMAP,DEP,Inverse variance weighted,2,0.328,2.69E-05,NA,0.756156739,NA,1.25E-07
PSB4,BannerBBDP,DEP,Inverse variance weighted,2,0.78,2.88E-05,NA,0.286318319,NA,0.971263416
CX6A1,ROSMAP,DEP,Inverse variance weighted,2,1.752,4.31E-05,NA,0.319439864,NA,6.81E-05
RB12B,ROSMAP,DEP,Wald ratio,1,0.169,5.29E-05,NA,NA,NA,9.38E-08
PHLB1,BannerBBDP,DEP,Wald ratio,1,0.469,5.75E-05,NA,NA,NA,1.26E-06
COPD,BannerBBDP,DEP,Wald ratio,1,0,5.75E-05,NA,NA,NA,8.74E-05
TRIA1,BannerBBDP,DEP,Wald ratio,1,0.016,5.91E-05,NA,NA,NA,0.000120342
