Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
FBXL18,Fetal Brain,PTSD,Wald ratio,1,3.968,1.16E-04,NA,NA,NA,0.923913333
TRDMT1,Fetal Brain,PTSD,Wald ratio,1,6.353,1.90E-04,NA,NA,NA,0.928811919
LYRM4,Fetal Brain,PTSD,Wald ratio,1,0.2,2.96E-04,NA,NA,NA,0.835654422
CCDC66,Fetal Brain,PTSD,Wald ratio,1,0.692,4.70E-04,NA,NA,NA,0.771194125
SIX1,Brain Cortex,PTSD,Wald ratio,1,0.66,6.44E-04,NA,NA,NA,0.838886155
PACRG,Fetal Brain,PTSD,Wald ratio,1,7.445,1.08E-03,NA,NA,NA,0.640203822
ACADM,Fetal Brain,PTSD,Inverse variance weighted,2,1.534,1.23E-03,NA,0.682001755,NA,0.341468942
UHMK1,Fetal Brain,PTSD,Wald ratio,1,0.502,1.46E-03,NA,NA,NA,0.531956543
SLC1A2,Brain Cortex,PTSD,Wald ratio,1,0.887,1.48E-03,NA,NA,NA,0.009553908
TRAPPC1,Fetal Brain,PTSD,Wald ratio,1,3409.423,1.71E-03,NA,NA,NA,0.493837829
SF3B14,Fetal Brain,PTSD,Wald ratio,1,0.288,1.73E-03,NA,NA,NA,0.519451407
CLUAP1,Brain Meta Analysis,PTSD,Wald ratio,1,0.874,2.13E-03,NA,NA,NA,0.470220121
FOXF1,Brain Meta Analysis,PTSD,Wald ratio,1,0.916,2.17E-03,NA,NA,NA,0.490404948
KCNMA1,Brain Meta Analysis,PTSD,Inverse variance weighted,6,1.032,2.29E-03,0.372012749,0.477620022,0.648758854,0.017302007
NKAIN2,Brain Meta Analysis,PTSD,Inverse variance weighted,4,0.946,2.30E-03,0.259950826,0.440022582,0.950273823,0.05276644
FN1,Brain Meta Analysis,PTSD,Wald ratio,1,1.124,2.36E-03,NA,NA,NA,0.452520439
