Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
LRFN5,Brain Hippocampus,PTSD,Wald ratio,1,0.865,5.34E-04,NA,NA,NA,0.001545324
KLF16,Brain Hypothalamus,PTSD,Wald ratio,1,1.187,5.49E-04,NA,NA,NA,0.001430231
HDAC2,Brain Hypothalamus,PTSD,Wald ratio,1,0.875,5.59E-04,NA,NA,NA,0.00486751
ATP10A,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.065,5.63E-04,NA,NA,NA,0.003671292
ENOPH1,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.143,5.99E-04,NA,NA,NA,0.000749731
RFLNA,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.122,6.10E-04,NA,NA,NA,0.078401247
ZNF664,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.122,6.10E-04,NA,NA,NA,0.078401247
PBX3,Brain Substantia nigra,PTSD,Wald ratio,1,1.106,6.46E-04,NA,NA,NA,0.026453824
YPEL5,Brain Hypothalamus,PTSD,Wald ratio,1,0.867,6.58E-04,NA,NA,NA,0.008843111
SLC1A3,Brain Hippocampus,PTSD,Wald ratio,1,1.07,6.75E-04,NA,NA,NA,0.784599754
SLC1A3,Brain Hypothalamus,PTSD,Wald ratio,1,1.071,6.75E-04,NA,NA,NA,0.783295011
SLC1A3,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.053,6.75E-04,NA,NA,NA,0.784599755
SLC1A3,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.069,6.75E-04,NA,NA,NA,0.784599731
SLC1A3,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.06,6.75E-04,NA,NA,NA,0.784599755
SLC1A3,Brain Substantia nigra,PTSD,Wald ratio,1,1.078,6.75E-04,NA,NA,NA,0.765037252
CFAP210,Brain Hypothalamus,PTSD,Wald ratio,1,1.207,7.12E-04,NA,NA,NA,0.002080836
SEPTIN10,Brain Substantia nigra,PTSD,Wald ratio,1,0.923,7.93E-04,NA,NA,NA,0.001469058
LINC00320,Brain Hippocampus,PTSD,Wald ratio,1,0.928,8.40E-04,NA,NA,NA,0.682015569
PSMC5,Brain Hypothalamus,PTSD,Wald ratio,1,0.847,8.55E-04,NA,NA,NA,0.009737007
OVGP1,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,0.895,8.65E-04,NA,NA,NA,0.01456996
PPP4R3A,Brain Substantia nigra,PTSD,Wald ratio,1,0.926,8.84E-04,NA,NA,NA,0.001218501
EIF4E3,Brain Hypothalamus,PTSD,Wald ratio,1,0.902,8.94E-04,NA,NA,NA,0.001323691
L3MBTL4,Brain Hypothalamus,PTSD,Wald ratio,1,1.201,9.57E-04,NA,NA,NA,0.01106313
POLR3F,Brain Putamen basal ganglia,PTSD,Wald ratio,1,0.901,9.61E-04,NA,NA,NA,0.004164138
KAT7,Brain Hippocampus,PTSD,Wald ratio,1,1.052,1.00E-03,NA,NA,NA,0.70221332
VIP,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.094,1.05E-03,NA,NA,NA,0.000515446
CYFIP2,Brain Substantia nigra,PTSD,Wald ratio,1,0.931,1.08E-03,NA,NA,NA,0.000978812
ZBTB47-AS1,Brain Hippocampus,PTSD,Wald ratio,1,1.053,1.09E-03,NA,NA,NA,0.681513698
SETMAR,Brain Hypothalamus,PTSD,Wald ratio,1,0.894,1.12E-03,NA,NA,NA,0.001167034
SLC9B2,Brain Hippocampus,PTSD,Wald ratio,1,0.86,1.16E-03,NA,NA,NA,0.074800998
EBF4,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.226,1.19E-03,NA,NA,NA,0.002959665
DPP9,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.09,1.20E-03,NA,NA,NA,0.001110001
DLGAP4,Brain Spinal cord cervical,PTSD,Wald ratio,1,0.88,1.33E-03,NA,NA,NA,0.000830622
THAP9,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,0.881,1.39E-03,NA,NA,NA,0.001178862
RGS22,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.104,1.39E-03,NA,NA,NA,0.003121479
DMRT2,Brain Substantia nigra,PTSD,Wald ratio,1,1.097,1.40E-03,NA,NA,NA,0.000552345
SYT14,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,0.911,1.41E-03,NA,NA,NA,0.001025031
LZTS3,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.09,1.42E-03,NA,NA,NA,0.001358449
TRIP12,Brain Hippocampus,PTSD,Wald ratio,1,1.073,1.47E-03,NA,NA,NA,0.136374841
PHF20L1,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.116,1.54E-03,NA,NA,NA,0.000979356
PRKD3,Brain Hypothalamus,PTSD,Wald ratio,1,1.136,1.56E-03,NA,NA,NA,0.000547198
KMT2E,Brain Substantia nigra,PTSD,Wald ratio,1,1.112,1.58E-03,NA,NA,NA,0.000522817
TP73-AS1,Brain Hippocampus,PTSD,Wald ratio,1,0.864,1.65E-03,NA,NA,NA,0.000383943
SMG1P3,Brain Hypothalamus,PTSD,Wald ratio,1,1.131,1.65E-03,NA,NA,NA,0.000761917
UPK3BL3P,Brain Hypothalamus,PTSD,Wald ratio,1,0.946,1.71E-03,NA,NA,NA,0.62709047
UPK3BL3P,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.057,1.71E-03,NA,NA,NA,0.619272006
GALNT15,Brain Hippocampus,PTSD,Wald ratio,1,0.941,1.72E-03,NA,NA,NA,0.000638383
MTSS2,Brain Hippocampus,PTSD,Wald ratio,1,0.952,1.73E-03,NA,NA,NA,0.496344008
ERGIC2,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.093,1.74E-03,NA,NA,NA,0.0031751
TPD52,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.315,1.75E-03,NA,NA,NA,0.039303353
GRASLND,Brain Hippocampus,PTSD,Wald ratio,1,1.094,1.77E-03,NA,NA,NA,0.001790019
TCEA1,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.124,1.77E-03,NA,NA,NA,0.004123737
OLR1,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.054,1.84E-03,NA,NA,NA,0.000381199
TGFBR2,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.107,1.90E-03,NA,NA,NA,0.000942633
OGFOD1,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.104,1.99E-03,NA,NA,NA,0.000606296
RGS22,Brain Hippocampus,PTSD,Wald ratio,1,0.909,2.03E-03,NA,NA,NA,0.005618164
ETV5,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.079,2.05E-03,NA,NA,NA,0.00056501
MARCHF2,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.091,2.08E-03,NA,NA,NA,0.477687095
MARCHF2,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.113,2.08E-03,NA,NA,NA,0.224325628
HNRNPM,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.113,2.08E-03,NA,NA,NA,0.224325628
AK8,Brain Hippocampus,PTSD,Wald ratio,1,0.91,2.19E-03,NA,NA,NA,0.005134979
MYO19,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.15,2.19E-03,NA,NA,NA,0.009256921
TGFBI,Brain Substantia nigra,PTSD,Wald ratio,1,1.14,2.20E-03,NA,NA,NA,0.000376019
DIABLO,Brain Hippocampus,PTSD,Wald ratio,1,1.23,2.22E-03,NA,NA,NA,0.000886753
TECPR2,Brain Hippocampus,PTSD,Wald ratio,1,1.063,2.25E-03,NA,NA,NA,0.000423091
BDH2,Brain Hippocampus,PTSD,Wald ratio,1,0.845,2.25E-03,NA,NA,NA,0.007099229
LINC00320,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.099,2.36E-03,NA,NA,NA,0.028317802
USP47,Brain Substantia nigra,PTSD,Wald ratio,1,1.11,2.36E-03,NA,NA,NA,0.001250404
