Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
PDCD6IPP2,Brain,PTSD,Wald ratio,1,0.548,1.96E-03,NA,NA,NA,0.70089654
PLEKHH2,Brain,PTSD,Wald ratio,1,0.91,2.31E-03,NA,NA,NA,0.43029932
TARS1,Brain,PTSD,Wald ratio,1,1.17,3.44E-03,NA,NA,NA,0.377131049
CRACD,Brain,PTSD,Wald ratio,1,0.852,4.30E-03,NA,NA,NA,0.312853607
RCCD1,Brain,PTSD,Wald ratio,1,0.92,4.38E-03,NA,NA,NA,0.301680556
GET1-SH3BGR,Brain,PTSD,Wald ratio,1,1.126,6.83E-03,NA,NA,NA,0.255471891
SLC7A7,Brain,PTSD,Wald ratio,1,1.184,7.17E-03,NA,NA,NA,0.231523278
LINC01356,Brain,PTSD,Wald ratio,1,0.803,7.22E-03,NA,NA,NA,0.289368483
ADGRB3,Brain,PTSD,Inverse variance weighted,2,1.142,7.99E-03,NA,0.414321254,NA,0.026050648
TCF20,Brain,PTSD,Wald ratio,1,1.606,8.72E-03,NA,NA,NA,0.379853499
RNF157,Brain,PTSD,Wald ratio,1,1.201,1.04E-02,NA,NA,NA,0.19822053
MAPT,Brain,PTSD,Wald ratio,1,0.916,1.19E-02,NA,NA,NA,0.168533032
SMG1P2,Brain,PTSD,Wald ratio,1,1.071,1.22E-02,NA,NA,NA,0.149988752
ENOX1,Brain,PTSD,Wald ratio,1,1.158,1.26E-02,NA,NA,NA,0.152134139
LDLRAD4,Brain,PTSD,Wald ratio,1,1.195,1.28E-02,NA,NA,NA,0.176413447
INSR,Brain,PTSD,Wald ratio,1,0.882,1.40E-02,NA,NA,NA,0.129909532
LINC02453,Brain,PTSD,Wald ratio,1,1.135,1.43E-02,NA,NA,NA,0.1583272
HTT,Brain,PTSD,Wald ratio,1,1.065,1.50E-02,NA,NA,NA,0.125943726
PATJ,Brain,PTSD,Wald ratio,1,0.798,1.62E-02,NA,NA,NA,0.200037663
VAX2,Brain,PTSD,Wald ratio,1,0.889,1.72E-02,NA,NA,NA,0.122486804
