Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
HELZ,Brain Cerebellum,ADHD,Wald ratio,1,0.856,1.17E-05,NA,NA,NA,0.986562867
BLOC1S2,Brain Substantia,ADHD,Wald ratio,1,1.138,1.79E-05,NA,NA,NA,0.990588088
BLOC1S2,Brain Amygdala,ADHD,Wald ratio,1,1.139,1.82E-05,NA,NA,NA,0.989513543
CAPZA2,Brain Prefrontal Cortex PsychENCODE,ADHD,Wald ratio,1,0.568,2.16E-05,NA,NA,NA,0.977723447
MEF2C,Brain Cerebellum,ADHD,Wald ratio,1,0.882,2.55E-05,NA,NA,NA,0.931482052
VIM,Brain Frontal Cortex,ADHD,Wald ratio,1,0.816,2.72E-05,NA,NA,NA,0.965018131
SUOX,Brain Amygdala,ADHD,Wald ratio,1,0.903,2.78E-05,NA,NA,NA,0.943047329
RPS26,Brain Amygdala,ADHD,Wald ratio,1,1.035,2.78E-05,NA,NA,NA,0.967761447
RPS26,Brain Anterior cingulate cortex BA24,ADHD,Wald ratio,1,1.034,2.78E-05,NA,NA,NA,0.967761447
RPS26,Brain Caudate,ADHD,Wald ratio,1,1.038,2.78E-05,NA,NA,NA,0.967761447
SUOX,Brain Caudate,ADHD,Wald ratio,1,0.875,2.78E-05,NA,NA,NA,0.967761133
SUOX,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.931,2.78E-05,NA,NA,NA,0.967761447
RPS26,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,1.035,2.78E-05,NA,NA,NA,0.967761447
SUOX,Brain Cerebellum,ADHD,Wald ratio,1,0.938,2.78E-05,NA,NA,NA,0.967761447
RPS26,Brain Cerebellum,ADHD,Wald ratio,1,1.035,2.78E-05,NA,NA,NA,0.967761447
RPS26,Brain Cortex,ADHD,Wald ratio,1,1.036,2.78E-05,NA,NA,NA,0.967761447
SUOX,Brain Cortex,ADHD,Wald ratio,1,0.879,2.78E-05,NA,NA,NA,0.967760102
SUOX,Brain Frontal Cortex,ADHD,Wald ratio,1,0.873,2.78E-05,NA,NA,NA,0.952493787
RPS26,Brain Frontal Cortex,ADHD,Wald ratio,1,1.037,2.78E-05,NA,NA,NA,0.967761447
SUOX,Brain Hippocampus,ADHD,Wald ratio,1,0.905,2.78E-05,NA,NA,NA,0.96769404
RPS26,Brain Hippocampus,ADHD,Wald ratio,1,1.037,2.78E-05,NA,NA,NA,0.967761447
RPS26,Brain Hypothalamus,ADHD,Wald ratio,1,1.039,2.78E-05,NA,NA,NA,0.967761447
SUOX,Brain Hypothalamus,ADHD,Wald ratio,1,0.899,2.78E-05,NA,NA,NA,0.965071955
RPS26,Brain Nucleus,ADHD,Wald ratio,1,1.036,2.78E-05,NA,NA,NA,0.967761447
SUOX,Brain Nucleus,ADHD,Wald ratio,1,0.899,2.78E-05,NA,NA,NA,0.96776109
RPS26,Brain Putamen,ADHD,Wald ratio,1,1.032,2.78E-05,NA,NA,NA,0.967761447
SUOX,Brain Putamen,ADHD,Wald ratio,1,0.868,2.78E-05,NA,NA,NA,0.967754103
SUOX,Brain Spinal,ADHD,Wald ratio,1,0.918,2.78E-05,NA,NA,NA,0.877025766
RPS26,Brain Spinal,ADHD,Wald ratio,1,1.033,2.78E-05,NA,NA,NA,0.967761447
SUOX,Brain Substantia,ADHD,Wald ratio,1,0.901,2.78E-05,NA,NA,NA,0.872042659
RPS26,Brain Substantia,ADHD,Wald ratio,1,1.038,2.78E-05,NA,NA,NA,0.967761447
DCHS1,Brain Caudate,ADHD,Wald ratio,1,1.138,2.84E-05,NA,NA,NA,0.97524778
DCHS1,Brain Hypothalamus,ADHD,Wald ratio,1,1.201,2.84E-05,NA,NA,NA,0.922168603
DCHS1,Brain Putamen,ADHD,Wald ratio,1,1.104,2.84E-05,NA,NA,NA,0.975350344
DCHS1,Meta 10 Brain Regions,ADHD,Wald ratio,1,0.927,2.84E-05,NA,NA,NA,0.975218068
BLOC1S2,Brain Spinal,ADHD,Wald ratio,1,0.9,2.88E-05,NA,NA,NA,0.985176314
DCHS1,Brain Cortex SMR,ADHD,Inverse variance weighted,2,0.947,2.99E-05,NA,0.439005377,NA,0.011388537
COL9A1,Brain Cerebellum,ADHD,Wald ratio,1,0.87,3.09E-05,NA,NA,NA,0.882637189
LINGO1-AS1,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.932,3.21E-05,NA,NA,NA,0.958961204
PEAK1,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.897,3.21E-05,NA,NA,NA,0.96351991
PEAK1,Brain Frontal Cortex,ADHD,Wald ratio,1,0.895,3.21E-05,NA,NA,NA,0.963518675
SNORC,Brain Substantia,ADHD,Wald ratio,1,1.067,3.53E-05,NA,NA,NA,0.960273492
GNAZ,Brain Amygdala,ADHD,Wald ratio,1,0.856,3.78E-05,NA,NA,NA,0.961988198
GNAZ,Brain Hippocampus,ADHD,Wald ratio,1,0.873,3.78E-05,NA,NA,NA,0.964760628
SNORC,Brain Nucleus,ADHD,Wald ratio,1,1.072,4.04E-05,NA,NA,NA,0.955070265
VIM,Brain Cortex,ADHD,Wald ratio,1,1.214,4.23E-05,NA,NA,NA,0.952188043
VIM,Brain Nucleus,ADHD,Wald ratio,1,1.165,4.23E-05,NA,NA,NA,0.953055376
CHRNB1,Brain Cerebellum,ADHD,Wald ratio,1,1.106,4.25E-05,NA,NA,NA,0.953335544
CHRNB1,Brain Prefrontal Cortex PsychENCODE,ADHD,Wald ratio,1,1.246,4.25E-05,NA,NA,NA,0.95341785
CALN1,Brain Spinal,ADHD,Wald ratio,1,1.066,4.40E-05,NA,NA,NA,0.905102551
KC6,Brain Spinal,ADHD,Wald ratio,1,1.081,4.40E-05,NA,NA,NA,0.394215099
VIM,Brain Cortex SMR,ADHD,Wald ratio,1,1.113,4.60E-05,NA,NA,NA,0.948968258
C2orf82,Meta 10 Brain Regions,ADHD,Wald ratio,1,0.947,4.62E-05,NA,NA,NA,0.94924282
TRAF3,Brain Hypothalamus,ADHD,Wald ratio,1,0.9,4.67E-05,NA,NA,NA,0.955089615
IFT80,Brain Cortex,ADHD,Wald ratio,1,1.237,4.82E-05,NA,NA,NA,0.914045886
SNORC,Brain Frontal Cortex,ADHD,Wald ratio,1,1.063,5.07E-05,NA,NA,NA,0.944923928
GIGYF2,Brain Frontal Cortex,ADHD,Wald ratio,1,0.848,5.07E-05,NA,NA,NA,0.939675916
LSM6,Brain Cerebellum,ADHD,Wald ratio,1,0.897,5.16E-05,NA,NA,NA,0.865890056
REELD1,Brain Cerebellum,ADHD,Wald ratio,1,0.957,5.16E-05,NA,NA,NA,0.948460891
CCDC200,Brain Nucleus,ADHD,Wald ratio,1,1.144,5.36E-05,NA,NA,NA,0.545082734
NBR2,Brain Nucleus,ADHD,Wald ratio,1,1.036,5.36E-05,NA,NA,NA,0.944740449
LSG1,Brain Substantia,ADHD,Wald ratio,1,0.92,5.72E-05,NA,NA,NA,0.914173615
KIAA1671,Brain Caudate,ADHD,Wald ratio,1,1.232,5.85E-05,NA,NA,NA,0.832563154
RP11-6L6.2,Meta 10 Brain Regions,ADHD,Wald ratio,1,1.106,5.85E-05,NA,NA,NA,0.941795253
PDS5B,Brain Cortex,ADHD,Wald ratio,1,0.78,5.90E-05,NA,NA,NA,0.923398054
CADM2-AS1,Brain Putamen,ADHD,Wald ratio,1,1.046,6.07E-05,NA,NA,NA,0.937081069
SLC2A13,Brain Cortex SMR,ADHD,Wald ratio,1,0.8,6.14E-05,NA,NA,NA,0.951963966
ERBB3,Brain Cortex SMR,ADHD,Wald ratio,1,1.139,6.34E-05,NA,NA,NA,0.933418527
RAB5B,Brain Cortex SMR,ADHD,Wald ratio,1,1.26,6.34E-05,NA,NA,NA,0.932819749
SUOX,Brain Cortex SMR,ADHD,Wald ratio,1,1.096,6.34E-05,NA,NA,NA,0.933418527
RPS26,Brain Cortex SMR,ADHD,Wald ratio,1,0.967,6.34E-05,NA,NA,NA,0.933418527
FAM110C,Brain Cerebellum,ADHD,Wald ratio,1,1.108,7.14E-05,NA,NA,NA,0.041563077
CADM2-AS1,Brain Cerebellum,ADHD,Wald ratio,1,0.948,7.20E-05,NA,NA,NA,0.926952089
CADM2-AS1,Brain Hippocampus,ADHD,Wald ratio,1,0.949,7.20E-05,NA,NA,NA,0.926951978
SNORC,Brain Cortex,ADHD,Wald ratio,1,1.067,7.21E-05,NA,NA,NA,0.925465586
LRRC27,Brain Caudate,ADHD,Wald ratio,1,1.148,7.54E-05,NA,NA,NA,0.922337932
FURIN,Brain Frontal Cortex,ADHD,Wald ratio,1,1.18,7.57E-05,NA,NA,NA,0.554541055
SNORC,Brain Caudate,ADHD,Wald ratio,1,1.051,7.91E-05,NA,NA,NA,0.918473507
PRKN,Brain Cerebellum,ADHD,Wald ratio,1,0.837,7.99E-05,NA,NA,NA,0.424331884
NAMA,Brain Cortex SMR,ADHD,Wald ratio,1,1.256,8.21E-05,NA,NA,NA,0.917163323
