Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
FOXP1,Brain Prefrontal cortex,ADHD,Wald ratio,1,1.12,7.43E-09,NA,NA,NA,0.999988947
GIGYF2,Brain Prefrontal cortex,ADHD,Wald ratio,1,0.919,3.86E-06,NA,NA,NA,0.995086996
PLCB4,Brain Prefrontal cortex,ADHD,Wald ratio,1,1.059,1.68E-04,NA,NA,NA,0.844563072
MAD1L1,Brain Prefrontal cortex,ADHD,Wald ratio,1,0.927,3.33E-04,NA,NA,NA,0.758012406
ARHGEF7,Brain Prefrontal cortex,ADHD,Wald ratio,1,1.059,3.59E-04,NA,NA,NA,0.731319252
ARHGAP32,Brain Prefrontal cortex,ADHD,Wald ratio,1,0.933,4.12E-04,NA,NA,NA,0.75530604
NADSYN1,Brain Prefrontal cortex,ADHD,Wald ratio,1,0.949,4.74E-04,NA,NA,NA,0.686422977
COL19A1,Brain Prefrontal cortex,ADHD,Wald ratio,1,1.07,7.32E-04,NA,NA,NA,0.587139526
PRDM16,Brain Prefrontal cortex,ADHD,Wald ratio,1,0.928,1.10E-03,NA,NA,NA,0.534357624
CTNNA2,Brain Prefrontal cortex,ADHD,Wald ratio,1,0.941,1.49E-03,NA,NA,NA,0.505309634
LRBA,Brain Prefrontal cortex,ADHD,Wald ratio,1,1.056,1.64E-03,NA,NA,NA,0.397668169
MYRFL,Brain Prefrontal cortex,ADHD,Wald ratio,1,0.948,2.17E-03,NA,NA,NA,0.366681042
PTPN14,Brain Prefrontal cortex,ADHD,Wald ratio,1,1.056,2.21E-03,NA,NA,NA,0.381783925
B3GAT1,Brain Prefrontal cortex,ADHD,Wald ratio,1,1.047,2.76E-03,NA,NA,NA,0.365985198
POLR3K,Brain Prefrontal cortex,ADHD,Wald ratio,1,1.065,3.03E-03,NA,NA,NA,0.357398877
CDK14,Brain Prefrontal cortex,ADHD,Wald ratio,1,1.07,3.13E-03,NA,NA,NA,0.253773855
EXT1,Brain Prefrontal cortex,ADHD,Wald ratio,1,0.973,3.26E-03,NA,NA,NA,0.310424482
HPR,Brain Prefrontal cortex,ADHD,Wald ratio,1,1.057,3.75E-03,NA,NA,NA,0.278296527
