Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
C1orf50,Brain Substantia,ADHD,Wald ratio,1,0.904,3.49E-14,NA,NA,NA,0.909550085
KIZ,Brain Cortex,ADHD,Wald ratio,1,1.606,5.02E-09,NA,NA,NA,0.999991957
LSM6,Brain Cortex,ADHD,Wald ratio,1,1.145,1.43E-08,NA,NA,NA,0.999978194
ANO10,Brain Cortex,ADHD,Wald ratio,1,0.701,4.63E-08,NA,NA,NA,0.999946168
ABHD5,Brain Cortex,ADHD,Wald ratio,1,2.414,4.63E-08,NA,NA,NA,0.999962181
NKX2-2,Brain Hypothalamus,ADHD,Wald ratio,1,1.142,7.41E-08,NA,NA,NA,0.60941643
TIE1,Brain Cortex,ADHD,Wald ratio,1,0.82,1.33E-06,NA,NA,NA,0.998226358
MED8,Brain Cortex,ADHD,Wald ratio,1,0.617,1.33E-06,NA,NA,NA,0.998226358
LSM6,Brain Nucleus,ADHD,Wald ratio,1,1.123,1.33E-06,NA,NA,NA,0.937105203
ZNF131,Brain Nucleus,ADHD,Wald ratio,1,0.921,2.14E-06,NA,NA,NA,0.991479072
EIF4E3,Brain Putamen,ADHD,Wald ratio,1,0.897,2.96E-06,NA,NA,NA,1.91E-05
ZNF131,Brain Hypothalamus,ADHD,Wald ratio,1,0.936,3.57E-06,NA,NA,NA,0.92714785
ZNF131,Brain Substantia,ADHD,Wald ratio,1,0.921,3.57E-06,NA,NA,NA,0.266796932
CAPZA2,Brain Cortex,ADHD,Wald ratio,1,0.624,4.29E-06,NA,NA,NA,0.995129757
TRDMT1,Brain Spinal,ADHD,Wald ratio,1,1.063,9.49E-06,NA,NA,NA,0.208540005
AP1AR,Brain Hippocampus,ADHD,Wald ratio,1,0.908,9.92E-06,NA,NA,NA,0.483442254
MANBA,Brain Cortex,ADHD,Wald ratio,1,0.688,1.62E-05,NA,NA,NA,0.980193609
UBE2D3,Brain Cortex,ADHD,Wald ratio,1,0.834,1.62E-05,NA,NA,NA,0.980193605
CISD2,Brain Cortex,ADHD,Wald ratio,1,0.845,1.62E-05,NA,NA,NA,0.980193609
SLC9B1,Brain Cortex,ADHD,Wald ratio,1,1.272,1.62E-05,NA,NA,NA,0.980137458
MPHOSPH9,Brain Nucleus,ADHD,Wald ratio,1,0.931,1.89E-05,NA,NA,NA,0.796831122
CARF,Brain Cortex,ADHD,Wald ratio,1,0.46,2.02E-05,NA,NA,NA,0.982995924
NBEAL1,Brain Cortex,ADHD,Wald ratio,1,0.451,2.02E-05,NA,NA,NA,0.982981722
NBR2,Brain Substantia,ADHD,Wald ratio,1,0.957,2.42E-05,NA,NA,NA,0.970565907
SNORC,Brain Hypothalamus,ADHD,Wald ratio,1,0.931,3.00E-05,NA,NA,NA,0.588035959
LRRFIP2,Brain Hypothalamus,ADHD,Wald ratio,1,0.934,3.48E-05,NA,NA,NA,0.940426863
OGFOD2,Brain Cortex,ADHD,Wald ratio,1,0.572,3.53E-05,NA,NA,NA,0.963107437
ARL6IP4,Brain Cortex,ADHD,Wald ratio,1,1.05,3.53E-05,NA,NA,NA,0.963107437
PITPNM2,Brain Cortex,ADHD,Wald ratio,1,0.422,3.53E-05,NA,NA,NA,0.961845869
ABCB9,Brain Cortex,ADHD,Wald ratio,1,1.19,3.53E-05,NA,NA,NA,0.963102387
KMT5A,Brain Cortex,ADHD,Wald ratio,1,0.565,3.53E-05,NA,NA,NA,0.963107437
