Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
PIDD1,Brain,ADHD,Wald ratio,1,1.159,1.32E-07,NA,NA,NA,0.999821036
SZT2,Brain,ADHD,Wald ratio,1,1.151,1.39E-07,NA,NA,NA,0.999791558
CDHR4,Brain,ADHD,Wald ratio,1,1.137,1.04E-06,NA,NA,NA,0.998847418
CALN1,Brain,ADHD,Wald ratio,1,0.872,3.42E-06,NA,NA,NA,0.995788141
STK32C,Brain,ADHD,Wald ratio,1,0.869,3.80E-06,NA,NA,NA,0.995734788
IKZF4,Brain,ADHD,Wald ratio,1,0.851,5.76E-06,NA,NA,NA,0.992956253
ENSG00000285847,Brain,ADHD,Wald ratio,1,1.112,7.87E-05,NA,NA,NA,0.919521258
CDC25B,Brain,ADHD,Wald ratio,1,0.893,1.46E-04,NA,NA,NA,0.862310214
MNT,Brain,ADHD,Wald ratio,1,0.913,1.84E-04,NA,NA,NA,0.842517575
RMDN3,Brain,ADHD,Wald ratio,1,0.952,2.67E-04,NA,NA,NA,0.778485479
NGEF,Brain,ADHD,Wald ratio,1,0.941,3.05E-04,NA,NA,NA,0.760306623
ARHGEF7,Brain,ADHD,Wald ratio,1,1.057,3.74E-04,NA,NA,NA,0.724151481
SECISBP2,Brain,ADHD,Wald ratio,1,0.831,4.05E-04,NA,NA,NA,0.81369382
F13B,Brain,ADHD,Wald ratio,1,1.125,6.64E-04,NA,NA,NA,0.603267559
LINC00910,Brain,ADHD,Wald ratio,1,1.127,7.32E-04,NA,NA,NA,0.626179253
RGS9,Brain,ADHD,Wald ratio,1,1.069,9.76E-04,NA,NA,NA,0.555880569
ENSG00000289207,Brain,ADHD,Wald ratio,1,1.113,1.50E-03,NA,NA,NA,0.439294256
DOCK2,Brain,ADHD,Wald ratio,1,0.896,1.79E-03,NA,NA,NA,0.406340819
TXNL4B,Brain,ADHD,Wald ratio,1,1.084,3.46E-03,NA,NA,NA,0.294070432
NOL4L,Brain,ADHD,Wald ratio,1,0.889,3.54E-03,NA,NA,NA,0.272593029
XYLT1,Brain,ADHD,Wald ratio,1,1.141,3.80E-03,NA,NA,NA,0.284795824
LINC02579,Brain,ADHD,Wald ratio,1,1.131,4.30E-03,NA,NA,NA,0.265865563
NTNG2,Brain,ADHD,Wald ratio,1,1.091,4.79E-03,NA,NA,NA,0.200815681
KAT2B,Brain,ADHD,Wald ratio,1,0.936,7.81E-03,NA,NA,NA,0.138109722
ROBO2,Brain,ADHD,Wald ratio,1,1.128,8.30E-03,NA,NA,NA,0.163747505
