Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
APOC1P1,Brain Cortex SMR,ALZ,Wald ratio,1,3.303,2.59E-202,NA,NA,NA,0.999979095
APOC1,Brain Cortex SMR,ALZ,Wald ratio,1,3.325,2.59E-202,NA,NA,NA,1
ZNF112,Brain Anterior cingulate cortex,ALZ,Wald ratio,1,0.483,1.48E-160,NA,NA,NA,0.994431524
ZNF223,Brain Amygdala,ALZ,Wald ratio,1,0.554,8.29E-109,NA,NA,NA,0.997960286
CEACAM16-AS1,Brain Amygdala,ALZ,Wald ratio,1,0.847,3.13E-44,NA,NA,NA,0.99999968
CEACAM19,Brain Cerebellar Hemisphere,ALZ,Wald ratio,1,0.573,3.13E-44,NA,NA,NA,0.98822663
AC243964.3,Brain Cortex SMR,ALZ,Wald ratio,1,1.167,3.13E-44,NA,NA,NA,1
BIN1,Brain Cerebellar Hemisphere,ALZ,Wald ratio,1,1.245,8.30E-19,NA,NA,NA,1
CLPTM1,Brain Cortex SMR,ALZ,Wald ratio,1,0.716,6.05E-18,NA,NA,NA,1
PPP1R37,Brain Nucleus accumbens basal ganglia,ALZ,Wald ratio,1,1.944,2.73E-16,NA,NA,NA,0.991390204
CTB-171A8.1,Meta 10 Brain Regions,ALZ,Wald ratio,1,1.125,1.53E-15,NA,NA,NA,1
PVR,Brain Anterior cingulate cortex,ALZ,Wald ratio,1,1.358,2.87E-15,NA,NA,NA,0.996630848
KLC3,Brain Anterior cingulate cortex,ALZ,Wald ratio,1,1.143,3.60E-12,NA,NA,NA,0.996491523
HLA-DQA2,Brain Hypothalamus,ALZ,Inverse variance weighted,2,1.098,8.00E-12,NA,0.903524112,NA,0.979680472
CD2AP,Brain Spinal cord cervical,ALZ,Wald ratio,1,0.814,9.16E-12,NA,NA,NA,0.99900265
ERCC2,Brain Cortex SMR,ALZ,Wald ratio,1,1.248,9.16E-12,NA,NA,NA,0.999999984
MS4A4A,Brain Cortex SMR,ALZ,Wald ratio,1,1.201,1.36E-11,NA,NA,NA,0.999999976
MS4A7,Brain Cortex SMR,ALZ,Wald ratio,1,1.343,1.36E-11,NA,NA,NA,0.999999976
FAM180B,Brain Caudate basal ganglia,ALZ,Wald ratio,1,1.192,5.27E-11,NA,NA,NA,0.996614303
MTCH2,Brain Caudate basal ganglia,ALZ,Wald ratio,1,1.215,5.27E-11,NA,NA,NA,0.999999909
C1QTNF4,Brain Caudate basal ganglia,ALZ,Wald ratio,1,0.753,5.27E-11,NA,NA,NA,0.999846974
RAPSN,Brain Caudate basal ganglia,ALZ,Wald ratio,1,0.85,5.27E-11,NA,NA,NA,0.950292672
CD2AP-DT,Brain Cerebellar Hemisphere,ALZ,Wald ratio,1,0.928,1.19E-09,NA,NA,NA,0.999998218
ZNF296,Brain Nucleus accumbens basal ganglia,ALZ,Wald ratio,1,1.346,1.40E-09,NA,NA,NA,0.995851759
RP11-385F7.1,Meta 10 Brain Regions,ALZ,Wald ratio,1,0.877,1.58E-09,NA,NA,NA,0.999997653
ARHGAP1,Brain Amygdala,ALZ,Wald ratio,1,0.777,1.97E-09,NA,NA,NA,0.999116492
AL445493.3,Brain Cortex SMR,ALZ,Wald ratio,1,0.717,2.28E-09,NA,NA,NA,0.999991915
AL355353.1,Brain Cortex SMR,ALZ,Wald ratio,1,0.804,3.41E-09,NA,NA,NA,0.999995104
CR1,Brain Caudate basal ganglia,ALZ,Wald ratio,1,0.827,4.13E-09,NA,NA,NA,0.997302756
BLOC1S3,Brain Cortex SMR,ALZ,Wald ratio,1,1.166,7.38E-09,NA,NA,NA,0.999991074
GEMIN7,Brain Amygdala,ALZ,Wald ratio,1,0.875,2.19E-08,NA,NA,NA,0.999958027
CTB-179K24.3,Meta 10 Brain Regions,ALZ,Wald ratio,1,1.149,2.19E-08,NA,NA,NA,0.999966474
SLC39A13,Brain Cerebellum,ALZ,Wald ratio,1,1.255,3.69E-08,NA,NA,NA,0.999941135
RNU6-2,Brain Frontal Cortex,ALZ,Wald ratio,1,0.89,5.87E-08,NA,NA,NA,0.999638053
RIN3,Brain Cerebellar Hemisphere,ALZ,Wald ratio,1,0.874,1.33E-07,NA,NA,NA,0.999630571
LRRC25,Brain Caudate basal ganglia,ALZ,Wald ratio,1,1.275,1.87E-07,NA,NA,NA,0.994688948
LRRC37A4P,Brain Caudate basal ganglia,ALZ,Inverse variance weighted,2,0.94,2.10E-07,NA,0.995453212,NA,0.999547201
NR1H3,Brain Prefrontal Cortex PsychENCODE,ALZ,Wald ratio,1,1.797,2.44E-07,NA,NA,NA,0.989236448
HLA-DQA2,Brain Amygdala,ALZ,Wald ratio,1,1.094,3.60E-07,NA,NA,NA,0.989360726
ARHGAP27,Brain Caudate basal ganglia,ALZ,Wald ratio,1,1.314,4.12E-07,NA,NA,NA,0.999544787
HAVCR1,Brain Cortex SMR,ALZ,Wald ratio,1,1.143,6.71E-07,NA,NA,NA,0.999306126
SYTL2,Brain Cerebellum,ALZ,Wald ratio,1,1.158,8.90E-07,NA,NA,NA,0.935904183
APH1B,Brain Frontal Cortex,ALZ,Wald ratio,1,0.736,1.03E-06,NA,NA,NA,0.999194739
NECTIN2,Brain Spinal cord cervical,ALZ,Wald ratio,1,1.215,1.45E-06,NA,NA,NA,0.996160657
LINC02210,Brain Anterior cingulate cortex,ALZ,Inverse variance weighted,2,1.084,1.56E-06,NA,0.927124242,NA,0.996975635
CRHR1,Brain Nucleus accumbens basal ganglia,ALZ,Wald ratio,1,0.817,2.37E-06,NA,NA,NA,0.980418341
KANSL1-AS1,Brain Amygdala,ALZ,Wald ratio,1,0.944,2.84E-06,NA,NA,NA,0.997185624
MAPK8IP1P1,Brain Amygdala,ALZ,Wald ratio,1,0.944,2.84E-06,NA,NA,NA,0.997185624
PLEKHM1,Brain Amygdala,ALZ,Wald ratio,1,0.853,2.84E-06,NA,NA,NA,0.99166248
DND1P1,Brain Amygdala,ALZ,Wald ratio,1,0.934,2.84E-06,NA,NA,NA,0.997185624
LRRC37A,Brain Amygdala,ALZ,Wald ratio,1,0.913,2.84E-06,NA,NA,NA,0.965132694
LRRC37A2,Brain Amygdala,ALZ,Wald ratio,1,0.947,2.84E-06,NA,NA,NA,0.997185624
ARL17A,Brain Amygdala,ALZ,Wald ratio,1,0.932,2.84E-06,NA,NA,NA,0.997181181
MAPK8IP1P2,Brain Amygdala,ALZ,Wald ratio,1,0.947,2.84E-06,NA,NA,NA,0.997185624
LINC02210,Brain Amygdala,ALZ,Wald ratio,1,0.933,2.84E-06,NA,NA,NA,0.997185624
LRRC37A4P,Brain Amygdala,ALZ,Wald ratio,1,1.055,2.84E-06,NA,NA,NA,0.997185624
MAPT,Meta 10 Brain Regions,ALZ,Wald ratio,1,1.096,3.83E-06,NA,NA,NA,0.996187858
