Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
BCL3,Fetal Brain,ALZ,Wald ratio,1,0,2.94E-60,NA,NA,NA,0.999999669
RELB,Brain Meta Analysis,ALZ,Wald ratio,1,1.156,2.36E-13,NA,NA,NA,0.995915432
CLPTM1,Fetal Brain,ALZ,Wald ratio,1,6.359,1.96E-11,NA,NA,NA,0.999999967
PPP1R37,Brain Meta Analysis,ALZ,Wald ratio,1,1.201,1.40E-09,NA,NA,NA,0.999978229
PSMC3,Fetal Brain,ALZ,Wald ratio,1,5.199,1.86E-09,NA,NA,NA,0.999997021
INAVA,Brain Meta Analysis,ALZ,Wald ratio,1,1.044,3.10E-07,NA,NA,NA,0.999659887
CELF1,Brain Meta Analysis,ALZ,Wald ratio,1,0.903,4.66E-07,NA,NA,NA,0.999370252
CD2AP,Brain Meta Analysis,ALZ,Wald ratio,1,1.112,1.41E-06,NA,NA,NA,0.998677195
WDR81,Fetal Brain,ALZ,Wald ratio,1,7.309,1.91E-06,NA,NA,NA,0.997963208
TMEM106B,Fetal Brain,ALZ,Wald ratio,1,9.158,3.38E-06,NA,NA,NA,0.995759559
ELL,Fetal Brain,ALZ,Wald ratio,1,2.488,4.72E-06,NA,NA,NA,0.994433573
ARMS2,Brain Cortex,ALZ,Wald ratio,1,1.151,7.59E-06,NA,NA,NA,0.993705758
SSBP4,Brain Meta Analysis,ALZ,Wald ratio,1,1.105,9.55E-06,NA,NA,NA,0.989056166
VAC14,Brain Meta Analysis,ALZ,Wald ratio,1,0.958,9.70E-06,NA,NA,NA,0.990206606
ARMS2,Brain Meta Analysis,ALZ,Wald ratio,1,1.154,9.87E-06,NA,NA,NA,0.991973634
TSBP1,Brain Meta Analysis,ALZ,Wald ratio,1,1.038,1.10E-05,NA,NA,NA,0.987810114
TREML2,Brain Meta Analysis,ALZ,Wald ratio,1,1.125,1.43E-05,NA,NA,NA,0.984659164
RASIP1,Fetal Brain,ALZ,Wald ratio,1,0.59,1.89E-05,NA,NA,NA,0.978843598
MEIOSIN,Brain Meta Analysis,ALZ,Wald ratio,1,1.155,3.21E-05,NA,NA,NA,0.974227907
EXOC3L2,Brain Meta Analysis,ALZ,Wald ratio,1,0.901,3.50E-05,NA,NA,NA,0.967104053
AXL,Brain Meta Analysis,ALZ,Wald ratio,1,1.04,5.35E-05,NA,NA,NA,0.944845499
ZNF521,Brain Meta Analysis,ALZ,Wald ratio,1,1.067,6.56E-05,NA,NA,NA,0.939273078
CD302,Fetal Brain,ALZ,Wald ratio,1,0.365,6.86E-05,NA,NA,NA,0.934091501
CELF1,Brain Cortex,ALZ,Wald ratio,1,0.868,6.89E-05,NA,NA,NA,0.931578827
ABCB9,Fetal Brain,ALZ,Wald ratio,1,4.406,1.08E-04,NA,NA,NA,0.906520779
ARL6IP4,Fetal Brain,ALZ,Wald ratio,1,0.223,1.08E-04,NA,NA,NA,0.906451361
UBQLN3,Brain Meta Analysis,ALZ,Wald ratio,1,0.927,1.27E-04,NA,NA,NA,0.889752175
TPCN1,Brain Cortex,ALZ,Wald ratio,1,1.1,1.44E-04,NA,NA,NA,0.927858428
PRKD2,Fetal Brain,ALZ,Wald ratio,1,0.404,1.52E-04,NA,NA,NA,0.863761112
ZNF562,Fetal Brain,ALZ,Wald ratio,1,0.071,1.73E-04,NA,NA,NA,0.928688507
GRIK4,Brain Cortex,ALZ,Wald ratio,1,1.047,1.82E-04,NA,NA,NA,0.028950688
GGA2,Fetal Brain,ALZ,Wald ratio,1,0,1.97E-04,NA,NA,NA,0.032903863
TEAD1,Brain Cortex,ALZ,Wald ratio,1,1.102,2.11E-04,NA,NA,NA,0.005917658
MARCHF10,Brain Meta Analysis,ALZ,Inverse variance weighted,2,1.037,2.30E-04,NA,0.465470175,NA,0.032010181
SEC23B,Fetal Brain,ALZ,Wald ratio,1,19.9,2.33E-04,NA,NA,NA,0.835297511
TMEM184A,Brain Meta Analysis,ALZ,Wald ratio,1,0.969,2.71E-04,NA,NA,NA,0.797424121
GIPR,Brain Meta Analysis,ALZ,Wald ratio,1,0.889,2.82E-04,NA,NA,NA,0.812576101
OGFOD2,Brain Cortex,ALZ,Wald ratio,1,0.912,2.86E-04,NA,NA,NA,0.005079425
FUT2,Brain Meta Analysis,ALZ,Wald ratio,1,0.915,3.42E-04,NA,NA,NA,0.758241388
ANKRD33B,Fetal Brain,ALZ,Wald ratio,1,0.247,4.28E-04,NA,NA,NA,0.732089058
IRF2,Brain Meta Analysis,ALZ,Inverse variance weighted,3,0.953,4.33E-04,0.917666723,0.961182216,0.837039996,0.011901619
PLAAT3,Brain Cortex,ALZ,Wald ratio,1,0.911,4.35E-04,NA,NA,NA,0.727457571
SNCA,Brain Meta Analysis,ALZ,Wald ratio,1,0.968,5.63E-04,NA,NA,NA,0.648799098
DLG4,Brain Meta Analysis,ALZ,Wald ratio,1,1.065,6.56E-04,NA,NA,NA,0.637729175
SNCA,Fetal Brain,ALZ,Inverse variance weighted,2,0.577,6.64E-04,NA,0.857317525,NA,0.028762534
DAPK2,Brain Cortex,ALZ,Wald ratio,1,0.933,6.87E-04,NA,NA,NA,0.639811857
WDR12,Brain Meta Analysis,ALZ,Wald ratio,1,0.916,7.66E-04,NA,NA,NA,0.665011998
AXL,Fetal Brain,ALZ,Wald ratio,1,4.219,7.90E-04,NA,NA,NA,0.581482205
ARHGAP45,Brain Cortex,ALZ,Wald ratio,1,1.151,8.00E-04,NA,NA,NA,0.61659843
DLG4,Fetal Brain,ALZ,Wald ratio,1,0.017,8.23E-04,NA,NA,NA,0.604337036
DNASE1L3,Brain Meta Analysis,ALZ,Wald ratio,1,1.028,8.25E-04,NA,NA,NA,0.615381563
GPANK1,Brain Meta Analysis,ALZ,Wald ratio,1,1.055,9.05E-04,NA,NA,NA,0.577198789
DOCK10,Brain Meta Analysis,ALZ,Wald ratio,1,0.97,9.21E-04,NA,NA,NA,0.54892577
SDHB,Brain Meta Analysis,ALZ,Wald ratio,1,0.95,9.33E-04,NA,NA,NA,0.601054053
FMN1,Brain Cortex,ALZ,Wald ratio,1,0.866,1.01E-03,NA,NA,NA,0.007613197
CPSF6,Brain Meta Analysis,ALZ,Wald ratio,1,1.058,1.18E-03,NA,NA,NA,0.511914745
C9orf68,Fetal Brain,ALZ,Wald ratio,1,0.506,1.34E-03,NA,NA,NA,0.472106152
LEPR,Brain Meta Analysis,ALZ,Wald ratio,1,1.099,1.35E-03,NA,NA,NA,0.007590446
DEF8,Brain Cortex,ALZ,Wald ratio,1,0.902,1.37E-03,NA,NA,NA,0.53209289
TLL2,Brain Meta Analysis,ALZ,Inverse variance weighted,2,1.026,1.39E-03,NA,0.766226421,NA,0.017326179
ABTB3,Brain Cortex,ALZ,Wald ratio,1,0.963,1.40E-03,NA,NA,NA,0.006737664
COL25A1,Brain Meta Analysis,ALZ,Inverse variance weighted,2,0.954,1.42E-03,NA,0.433825578,NA,0.013609397
MIER2,Brain Meta Analysis,ALZ,Wald ratio,1,0.935,1.42E-03,NA,NA,NA,0.025439968
