Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
CD82,Brain,ALZ,Wald ratio,1,0.919,4.33E-02,NA,NA,NA,0.052547871
FAM174B,Brain,ALZ,Wald ratio,1,0.964,4.36E-02,NA,NA,NA,0.041476764
PLEKHH2,Brain,ALZ,Wald ratio,1,1.043,4.44E-02,NA,NA,NA,0.036104919
PCSK6,Brain,ALZ,Wald ratio,1,1.137,4.55E-02,NA,NA,NA,0.067831272
CRACD,Brain,ALZ,Wald ratio,1,0.927,4.65E-02,NA,NA,NA,0.037432862
HBZ,Brain,ALZ,Wald ratio,1,0.933,4.76E-02,NA,NA,NA,0.036442435
JMJD6,Brain,ALZ,Wald ratio,1,1.074,4.77E-02,NA,NA,NA,0.033744466
SNX19,Brain,ALZ,Wald ratio,1,1.081,4.87E-02,NA,NA,NA,0.034447921
LINC02268,Brain,ALZ,Wald ratio,1,1.059,4.90E-02,NA,NA,NA,0.051865649
LINC00115,Brain,ALZ,Wald ratio,1,1.552,4.93E-02,NA,NA,NA,0.174370494
ENSG00000289543,Brain,ALZ,Wald ratio,1,0.918,4.93E-02,NA,NA,NA,0.038514252
SNX4,Brain,ALZ,Wald ratio,1,1.085,4.95E-02,NA,NA,NA,0.053163115
TMEM131L,Brain,ALZ,Wald ratio,1,0.958,5.02E-02,NA,NA,NA,0.039229364
HTT,Brain,ALZ,Wald ratio,1,1.035,5.09E-02,NA,NA,NA,0.03355034
ENSG00000285579,Brain,ALZ,Wald ratio,1,0.96,5.25E-02,NA,NA,NA,0.030924446
SIRPA,Brain,ALZ,Wald ratio,1,1.052,5.31E-02,NA,NA,NA,0.033035329
GREB1,Brain,ALZ,Wald ratio,1,0.931,5.36E-02,NA,NA,NA,0.039522132
NIPAL1,Brain,ALZ,Wald ratio,1,0.938,5.43E-02,NA,NA,NA,0.032460451
ZNF536,Brain,ALZ,Wald ratio,1,1.097,5.45E-02,NA,NA,NA,0.042640529
