Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
CR1,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.142,1.05E-20,NA,NA,NA,0.999999994
BIN1,Brain Prefrontal cortex,ALZ,Wald ratio,1,0.727,1.32E-13,NA,NA,NA,0.999999604
ABCA1,Brain Prefrontal cortex,ALZ,Wald ratio,1,0.894,1.89E-04,NA,NA,NA,0.879717722
TRAPPC8,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.242,6.91E-04,NA,NA,NA,0.739951455
EXT1,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.03,2.02E-03,NA,NA,NA,0.420112638
EXOC2,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.038,2.70E-03,NA,NA,NA,0.352025723
UBE2F,Brain Prefrontal cortex,ALZ,Wald ratio,1,0.932,2.98E-03,NA,NA,NA,0.288193711
ITGB3,Brain Prefrontal cortex,ALZ,Wald ratio,1,0.922,4.09E-03,NA,NA,NA,0.235395985
AP2A2,Brain Prefrontal cortex,ALZ,Wald ratio,1,0.905,4.29E-03,NA,NA,NA,0.268058439
DSC1,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.053,6.89E-03,NA,NA,NA,0.165191509
CLUL1,Brain Prefrontal cortex,ALZ,Wald ratio,1,0.944,8.55E-03,NA,NA,NA,0.093372677
HSD17B11,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.065,1.09E-02,NA,NA,NA,0.111014401
ME2,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.089,1.13E-02,NA,NA,NA,0.110506525
NCOA7,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.057,1.45E-02,NA,NA,NA,0.086866082
HFM1,Brain Prefrontal cortex,ALZ,Wald ratio,1,0.925,1.53E-02,NA,NA,NA,0.14358461
VWA5B2,Brain Prefrontal cortex,ALZ,Wald ratio,1,0.959,1.71E-02,NA,NA,NA,0.102584203
HPR,Brain Prefrontal cortex,ALZ,Wald ratio,1,0.953,1.73E-02,NA,NA,NA,0.095403539
SV2B,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.048,1.80E-02,NA,NA,NA,0.076044754
E2F7,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.036,1.82E-02,NA,NA,NA,0.078040498
BPI,Brain Prefrontal cortex,ALZ,Wald ratio,1,0.95,1.93E-02,NA,NA,NA,0.072971254
GPATCH2,Brain Prefrontal cortex,ALZ,Wald ratio,1,0.943,2.02E-02,NA,NA,NA,0.069913929
PKD1,Brain Prefrontal cortex,ALZ,Wald ratio,1,0.948,2.09E-02,NA,NA,NA,0.096950942
STX6,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.037,2.11E-02,NA,NA,NA,0.066891799
ANXA11,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.045,2.39E-02,NA,NA,NA,0.065053792
LRP1B,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.062,2.46E-02,NA,NA,NA,0.008777307
CCNY,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.034,2.47E-02,NA,NA,NA,0.061349065
NFATC1,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.053,2.88E-02,NA,NA,NA,0.057152941
MYT1L,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.05,2.92E-02,NA,NA,NA,0.046660221
SLC17A5,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.056,2.94E-02,NA,NA,NA,0.051006441
MAD1L1,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.049,3.00E-02,NA,NA,NA,0.052447983
BOD1L1,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.038,3.07E-02,NA,NA,NA,0.051447631
PPFIA4,Brain Prefrontal cortex,ALZ,Wald ratio,1,0.958,3.10E-02,NA,NA,NA,0.059697367
PASK,Brain Prefrontal cortex,ALZ,Wald ratio,1,0.969,3.15E-02,NA,NA,NA,0.09146409
MOCS1,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.05,3.23E-02,NA,NA,NA,0.042749636
MUC12,Brain Prefrontal cortex,ALZ,Wald ratio,1,1.04,3.34E-02,NA,NA,NA,0.053147546
