Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
BTN3A2,Lymphocyte,SCZ,Wald ratio,1,1.123,3.65E-24,NA,NA,NA,0.999999936
ZKSCAN8,Lymphocyte,SCZ,Wald ratio,1,0.914,1.75E-16,NA,NA,NA,0.999993828
NT5DC2,Lymphocyte,SCZ,Wald ratio,1,1.147,5.54E-15,NA,NA,NA,0.999990309
PPP1R13B,Lymphocyte,SCZ,Wald ratio,1,0.903,2.82E-11,NA,NA,NA,0.99997164
HLA-DQA1,Lymphocyte,SCZ,Wald ratio,1,1.169,2.22E-10,NA,NA,NA,0.999999675
SRPK2,Lymphocyte,SCZ,Wald ratio,1,1.087,3.42E-10,NA,NA,NA,0.999977161
ANKRD44,Lymphocyte,SCZ,Wald ratio,1,1.109,1.49E-09,NA,NA,NA,0.999987715
DND1P1,Lymphocyte,SCZ,Wald ratio,1,1.053,1.74E-08,NA,NA,NA,0.999925491
AGO3,Lymphocyte,SCZ,Wald ratio,1,1.05,2.43E-07,NA,NA,NA,0.987961873
DENND4B,Lymphocyte,SCZ,Wald ratio,1,0.98,2.59E-07,NA,NA,NA,0.999586633
TRAF3IP2,Lymphocyte,SCZ,Wald ratio,1,1.046,5.42E-07,NA,NA,NA,0.837384752
CRELD2,Lymphocyte,SCZ,Wald ratio,1,0.948,1.05E-06,NA,NA,NA,0.998581754
RERE,Lymphocyte,SCZ,Wald ratio,1,1.053,1.18E-05,NA,NA,NA,0.808415214
ADAMTSL3,Lymphocyte,SCZ,Wald ratio,1,0.955,3.00E-05,NA,NA,NA,0.464551042
AC064834.2,Lymphocyte,SCZ,Wald ratio,1,0.942,3.21E-05,NA,NA,NA,0.825143114
NAA40,Lymphocyte,SCZ,Wald ratio,1,0.971,5.46E-05,NA,NA,NA,0.006447946
RABEP1,Lymphocyte,SCZ,Wald ratio,1,1.064,6.96E-05,NA,NA,NA,0.924191374
CTC-228N24.1,Lymphocyte,SCZ,Wald ratio,1,1.059,1.57E-04,NA,NA,NA,0.699132535
GCH1,Lymphocyte,SCZ,Wald ratio,1,0.918,1.72E-04,NA,NA,NA,0.833583002
PAX5,Lymphocyte,SCZ,Wald ratio,1,0.946,4.11E-04,NA,NA,NA,0.686463445
ALG8,Lymphocyte,SCZ,Wald ratio,1,0.972,4.25E-04,NA,NA,NA,0.672442294
RP11-716O23.2,Lymphocyte,SCZ,Wald ratio,1,1.062,4.55E-04,NA,NA,NA,0.591548118
CENPM,Lymphocyte,SCZ,Wald ratio,1,0.92,5.05E-04,NA,NA,NA,0.201243641
HLA-DQB1,Lymphocyte,SCZ,Wald ratio,1,1.032,5.52E-04,NA,NA,NA,0.655261124
SAMD3,Lymphocyte,SCZ,Wald ratio,1,1.012,6.89E-04,NA,NA,NA,0.607176835
SERINC4,Lymphocyte,SCZ,Wald ratio,1,0.964,7.60E-04,NA,NA,NA,0.124648542
PGAP3,Lymphocyte,SCZ,Wald ratio,1,0.957,8.82E-04,NA,NA,NA,0.533765859
DCPS,Lymphocyte,SCZ,Wald ratio,1,0.964,1.00E-03,NA,NA,NA,0.481615201
GPATCH2L,Lymphocyte,SCZ,Wald ratio,1,0.966,1.12E-03,NA,NA,NA,0.000664646
DLG2,Lymphocyte,SCZ,Wald ratio,1,0.953,1.26E-03,NA,NA,NA,0.307033657
SPTBN1,Lymphocyte,SCZ,Wald ratio,1,1.061,1.44E-03,NA,NA,NA,0.445718708
TMEM87B,Lymphocyte,SCZ,Wald ratio,1,1.046,1.46E-03,NA,NA,NA,0.329602696
TMEM50B,Lymphocyte,SCZ,Wald ratio,1,1.046,1.50E-03,NA,NA,NA,0.053187684
AC005592.2,Lymphocyte,SCZ,Wald ratio,1,0.975,1.60E-03,NA,NA,NA,0.376468827
RPIAP1,Lymphocyte,SCZ,Wald ratio,1,1.037,1.63E-03,NA,NA,NA,6.53E-05
RP1-152L7.5,Lymphocyte,SCZ,Wald ratio,1,1.043,2.41E-03,NA,NA,NA,0.208938985
CIZ1,Lymphocyte,SCZ,Wald ratio,1,1.04,2.51E-03,NA,NA,NA,0.030612795
RPS16,Lymphocyte,SCZ,Wald ratio,1,1.02,2.70E-03,NA,NA,NA,0.000687944
SYNE3,Lymphocyte,SCZ,Wald ratio,1,0.957,2.91E-03,NA,NA,NA,0.256181469
LRRC16A,Lymphocyte,SCZ,Wald ratio,1,0.978,3.14E-03,NA,NA,NA,0.25491452
MYO5A,Lymphocyte,SCZ,Wald ratio,1,1.031,3.19E-03,NA,NA,NA,0.306133058
KLC1,Lymphocyte,SCZ,Wald ratio,1,1.03,3.43E-03,NA,NA,NA,0.251643691
ISPD,Lymphocyte,SCZ,Wald ratio,1,1.022,3.49E-03,NA,NA,NA,0.000791902
