Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
NCK1,Lymphocyte,SCZ,Wald ratio,1,0.026,9.08E-05,NA,NA,NA,0.906426484
TSPAN2,Lymphocyte,SCZ,Wald ratio,1,1.124,1.06E-04,NA,NA,NA,0.897230924
DHX35,Lymphocyte,SCZ,Wald ratio,1,1.24,1.13E-04,NA,NA,NA,0.887125839
NUDCD3,Lymphocyte,SCZ,Wald ratio,1,1.047,1.20E-04,NA,NA,NA,0.89170231
PTK2B,Lymphocyte,SCZ,Wald ratio,1,0.946,1.22E-04,NA,NA,NA,0.874033301
NAA16,Lymphocyte,SCZ,Wald ratio,1,1.062,1.34E-04,NA,NA,NA,0.892368434
MYO15A,Lymphocyte,SCZ,Wald ratio,1,0.963,1.37E-04,NA,NA,NA,0.865228327
DRG2,Lymphocyte,SCZ,Wald ratio,1,0.957,1.37E-04,NA,NA,NA,0.865228327
NMRAL1,Lymphocyte,SCZ,Wald ratio,1,0.936,1.47E-04,NA,NA,NA,0.8661463
HMOX2,Lymphocyte,SCZ,Wald ratio,1,0.366,1.47E-04,NA,NA,NA,0.8661463
KIAA0040,Lymphocyte,SCZ,Wald ratio,1,9.977,1.48E-04,NA,NA,NA,0.864287384
TRPS1,Lymphocyte,SCZ,Wald ratio,1,1.046,1.49E-04,NA,NA,NA,0.85082135
PCDH8,Lymphocyte,SCZ,Wald ratio,1,0.909,1.50E-04,NA,NA,NA,0.876325192
CD302,Lymphocyte,SCZ,Wald ratio,1,1.084,1.65E-04,NA,NA,NA,0.836622809
GCH1,Lymphocyte,SCZ,Wald ratio,1,0.945,1.72E-04,NA,NA,NA,0.87743037
TTC35,Lymphocyte,SCZ,Wald ratio,1,5.473,1.73E-04,NA,NA,NA,0.830365614
CACNB2,Lymphocyte,SCZ,Inverse variance weighted,2,1.064,2.15E-04,NA,0.524717157,NA,0.773666367
TTC12,Lymphocyte,SCZ,Wald ratio,1,3.62,2.24E-04,NA,NA,NA,0.849861787
NRCAM,Lymphocyte,SCZ,Wald ratio,1,1.038,2.27E-04,NA,NA,NA,0.808673745
GRM3,Lymphocyte,SCZ,Wald ratio,1,0.775,2.32E-04,NA,NA,NA,0.792055064
C22orf26,Lymphocyte,SCZ,Wald ratio,1,1.31,2.32E-04,NA,NA,NA,0.797281644
LOC150381,Lymphocyte,SCZ,Wald ratio,1,1.055,2.32E-04,NA,NA,NA,0.797281644
LOC400931,Lymphocyte,SCZ,Wald ratio,1,1.036,2.32E-04,NA,NA,NA,0.788207486
PROX1,Lymphocyte,SCZ,Wald ratio,1,1.234,2.39E-04,NA,NA,NA,0.783513561
FAM119A,Lymphocyte,SCZ,Wald ratio,1,0.957,2.67E-04,NA,NA,NA,0.805537415
PPP2R2B,Lymphocyte,SCZ,Wald ratio,1,1.114,2.81E-04,NA,NA,NA,0.816667841
ORC5L,Lymphocyte,SCZ,Wald ratio,1,0.964,2.88E-04,NA,NA,NA,0.776953812
ZAK,Lymphocyte,SCZ,Wald ratio,1,0.927,3.07E-04,NA,NA,NA,0.743272957
SIRPB2,Lymphocyte,SCZ,Wald ratio,1,1.114,3.10E-04,NA,NA,NA,0.804807291
IGSF9B,Lymphocyte,SCZ,Wald ratio,1,1.119,3.10E-04,NA,NA,NA,0.745603304
MAPK10,Lymphocyte,SCZ,Wald ratio,1,0.964,3.42E-04,NA,NA,NA,0.746216377
OPN3,Lymphocyte,SCZ,Wald ratio,1,1.179,3.43E-04,NA,NA,NA,0.735761113
USP31,Lymphocyte,SCZ,Wald ratio,1,1.038,3.48E-04,NA,NA,NA,0.730750763
ARID5B,Lymphocyte,SCZ,Wald ratio,1,1.047,3.49E-04,NA,NA,NA,0.730284205
TTBK1,Lymphocyte,SCZ,Wald ratio,1,1.1,3.51E-04,NA,NA,NA,0.821480522
PHF17,Lymphocyte,SCZ,Wald ratio,1,1.049,3.63E-04,NA,NA,NA,0.774263863
PCDH7,Lymphocyte,SCZ,Wald ratio,1,1.181,3.74E-04,NA,NA,NA,0.704169674
DENND2A,Lymphocyte,SCZ,Wald ratio,1,1.043,3.83E-04,NA,NA,NA,0.701824763
GTF2A1,Lymphocyte,SCZ,Wald ratio,1,0.965,3.90E-04,NA,NA,NA,0.695772205
NIPA1,Lymphocyte,SCZ,Wald ratio,1,1.064,4.03E-04,NA,NA,NA,0.752167944
CD8A,Lymphocyte,SCZ,Wald ratio,1,0.943,4.18E-04,NA,NA,NA,0.727749894
CCDC57,Lymphocyte,SCZ,Wald ratio,1,0.963,4.24E-04,NA,NA,NA,0.716010807
SLC16A3,Lymphocyte,SCZ,Wald ratio,1,0.876,4.24E-04,NA,NA,NA,0.716010807
SECTM1,Lymphocyte,SCZ,Wald ratio,1,0.938,4.24E-04,NA,NA,NA,0.715982323
MRGPRX3,Lymphocyte,SCZ,Wald ratio,1,1.041,4.28E-04,NA,NA,NA,0.681375146
FMN2,Lymphocyte,SCZ,Wald ratio,1,0.961,4.28E-04,NA,NA,NA,0.682193874
MRGPRX4,Lymphocyte,SCZ,Wald ratio,1,1.035,4.28E-04,NA,NA,NA,0.682193874
ACSS2,Lymphocyte,SCZ,Wald ratio,1,0.954,4.45E-04,NA,NA,NA,0.674112505
MAN2A1,Lymphocyte,SCZ,Wald ratio,1,0.102,4.55E-04,NA,NA,NA,0.676832774
NTF3,Lymphocyte,SCZ,Inverse variance weighted,2,0.933,4.72E-04,NA,0.798543589,NA,0.007394807
CLYBL,Lymphocyte,SCZ,Wald ratio,1,0.969,4.75E-04,NA,NA,NA,0.6495509
FIGNL2,Lymphocyte,SCZ,Wald ratio,1,1.051,5.02E-04,NA,NA,NA,0.676997182
SCN8A,Lymphocyte,SCZ,Wald ratio,1,1.04,5.02E-04,NA,NA,NA,0.626765619
BANK1,Lymphocyte,SCZ,Wald ratio,1,0.728,5.28E-04,NA,NA,NA,0.638162021
GLB1,Lymphocyte,SCZ,Wald ratio,1,1.037,5.74E-04,NA,NA,NA,0.642190574
MFSD9,Lymphocyte,SCZ,Wald ratio,1,1.038,5.76E-04,NA,NA,NA,0.656736221
C16orf53,Lymphocyte,SCZ,Wald ratio,1,1.24,5.83E-04,NA,NA,NA,0.689689396
DCBLD1,Lymphocyte,SCZ,Wald ratio,1,1.033,5.88E-04,NA,NA,NA,0.612327086
MYO16,Lymphocyte,SCZ,Wald ratio,1,0.956,5.91E-04,NA,NA,NA,0.688879633
FGFR1,Lymphocyte,SCZ,Wald ratio,1,0.963,6.14E-04,NA,NA,NA,0.602656833
