Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
DSTYK,Fetal Brain,OCD,Wald ratio,1,4.932,5.61E-03,NA,NA,NA,0.362899322
SNCA,Brain Meta Analysis,OCD,Wald ratio,1,0.933,5.62E-03,NA,NA,NA,0.358901502
DPF3,Brain Meta Analysis,OCD,Inverse variance weighted,3,1.065,5.91E-03,0.503716034,0.780567178,0.862180666,0.067515265
PLXNA4,Brain Meta Analysis,OCD,Inverse variance weighted,2,1.058,6.09E-03,NA,0.34308489,NA,0.013064138
SH3TC1,Brain Meta Analysis,OCD,Wald ratio,1,0.892,6.16E-03,NA,NA,NA,0.459050075
BRAF,Brain Meta Analysis,OCD,Wald ratio,1,1.131,6.42E-03,NA,NA,NA,0.469170949
RNF13,Brain Meta Analysis,OCD,Wald ratio,1,1.174,6.84E-03,NA,NA,NA,0.334381841
RGS3,Brain Meta Analysis,OCD,Wald ratio,1,0.846,6.85E-03,NA,NA,NA,0.368203481
CTDSPL,Brain Meta Analysis,OCD,Wald ratio,1,1.162,6.89E-03,NA,NA,NA,0.346268657
POLR2E,Fetal Brain,OCD,Wald ratio,1,0.002,6.89E-03,NA,NA,NA,0.350706463
CDH7,Fetal Brain,OCD,Wald ratio,1,0.082,7.05E-03,NA,NA,NA,0.333007727
CDH7,Brain Meta Analysis,OCD,Wald ratio,1,0.741,7.22E-03,NA,NA,NA,0.323250713
CAMK2B,Brain Meta Analysis,OCD,Inverse variance weighted,2,0.939,7.34E-03,NA,0.387759084,NA,0.479036675
CYP26C1,Fetal Brain,OCD,Inverse variance weighted,2,0.132,7.37E-03,NA,0.446144429,NA,0.032051178
ENTPD2,Brain Cortex,OCD,Wald ratio,1,0.756,7.38E-03,NA,NA,NA,0.082896915
ENTPD2,Fetal Brain,OCD,Wald ratio,1,1.635,7.38E-03,NA,NA,NA,0.343946797
USP7,Brain Meta Analysis,OCD,Wald ratio,1,0.911,7.40E-03,NA,NA,NA,0.32416025
SLC22A23,Fetal Brain,OCD,Wald ratio,1,0.351,7.50E-03,NA,NA,NA,0.366284976
DEF8,Brain Meta Analysis,OCD,Wald ratio,1,0.763,7.54E-03,NA,NA,NA,0.412553431
RAP1GAP,Brain Meta Analysis,OCD,Wald ratio,1,1.147,7.66E-03,NA,NA,NA,0.303347959
KCNC1,Brain Meta Analysis,OCD,Wald ratio,1,1.074,7.71E-03,NA,NA,NA,0.321987107
KMO,Brain Meta Analysis,OCD,Wald ratio,1,1.073,8.34E-03,NA,NA,NA,0.393544328
DTX4,Brain Cortex,OCD,Wald ratio,1,0.849,8.54E-03,NA,NA,NA,0.356045306
LINC02410,Brain Cortex,OCD,Wald ratio,1,0.613,8.59E-03,NA,NA,NA,0.421618055
CDHR5,Brain Cortex,OCD,Wald ratio,1,0.72,8.66E-03,NA,NA,NA,0.043735598
NEURL,Fetal Brain,OCD,Wald ratio,1,0.005,8.69E-03,NA,NA,NA,0.308768491
RIMS2,Brain Meta Analysis,OCD,Wald ratio,1,0.867,9.16E-03,NA,NA,NA,0.327871552
PIM1,Fetal Brain,OCD,Wald ratio,1,47.405,9.32E-03,NA,NA,NA,0.287938915
TMTC1,Brain Cortex,OCD,Wald ratio,1,1.155,9.37E-03,NA,NA,NA,0.173074803
PRKCD,Brain Meta Analysis,OCD,Wald ratio,1,1.248,9.52E-03,NA,NA,NA,0.290210558
TP63,Brain Meta Analysis,OCD,Wald ratio,1,1.099,9.64E-03,NA,NA,NA,0.054245696
GNB4,Brain Meta Analysis,OCD,Wald ratio,1,1.207,9.69E-03,NA,NA,NA,0.264086662
PDE6B,Fetal Brain,OCD,Wald ratio,1,4.544,9.78E-03,NA,NA,NA,0.325164981
CYB561,Fetal Brain,OCD,Wald ratio,1,7.006,9.84E-03,NA,NA,NA,0.253226287
TANC2,Brain Meta Analysis,OCD,Wald ratio,1,0.842,9.95E-03,NA,NA,NA,0.251168076
CTNND2,Brain Meta Analysis,OCD,Inverse variance weighted,2,0.854,1.02E-02,NA,0.195820904,NA,0.083677714
NBEA,Brain Meta Analysis,OCD,Inverse variance weighted,2,1.134,1.03E-02,NA,0.819672772,NA,0.098708747
GFRA4,Brain Meta Analysis,OCD,Wald ratio,1,1.131,1.03E-02,NA,NA,NA,0.322210139
CREB3L2,Brain Meta Analysis,OCD,Inverse variance weighted,2,0.943,1.03E-02,NA,0.900557702,NA,0.034196339
TAC3,Brain Meta Analysis,OCD,Wald ratio,1,0.804,1.05E-02,NA,NA,NA,0.335618774
PLA2G4D,Fetal Brain,OCD,Wald ratio,1,0.051,1.09E-02,NA,NA,NA,0.279721426
CAMK1D,Brain Cortex,OCD,Wald ratio,1,0.853,1.13E-02,NA,NA,NA,0.077347165
CCL19,Brain Meta Analysis,OCD,Wald ratio,1,1.057,1.14E-02,NA,NA,NA,0.295121396
FLVCR2,Fetal Brain,OCD,Wald ratio,1,2.293,1.17E-02,NA,NA,NA,0.255798393
UNC80,Brain Meta Analysis,OCD,Inverse variance weighted,2,1.119,1.21E-02,NA,0.381367318,NA,0.164312123
JARID2,Brain Meta Analysis,OCD,Wald ratio,1,1.065,1.23E-02,NA,NA,NA,0.24835092
AUTS2,Brain Meta Analysis,OCD,Inverse variance weighted,2,1.15,1.24E-02,NA,0.853080817,NA,0.013453317
LOC391322,Fetal Brain,OCD,Wald ratio,1,7.083,1.24E-02,NA,NA,NA,0.288683818
GSTT1,Fetal Brain,OCD,Wald ratio,1,0.062,1.24E-02,NA,NA,NA,0.288680149
LOC100132111,Fetal Brain,OCD,Wald ratio,1,2.594,1.25E-02,NA,NA,NA,0.234216808
SPG7,Fetal Brain,OCD,Inverse variance weighted,2,0.246,1.25E-02,NA,0.739965634,NA,0.085727019
SCARF2,Fetal Brain,OCD,Wald ratio,1,3.606,1.25E-02,NA,NA,NA,0.230789426
DAG1,Brain Meta Analysis,OCD,Wald ratio,1,0.899,1.26E-02,NA,NA,NA,0.213137877
KLHL24,Fetal Brain,OCD,Wald ratio,1,8.165,1.32E-02,NA,NA,NA,0.261000259
FOXRED2,Fetal Brain,OCD,Wald ratio,1,800.163,1.33E-02,NA,NA,NA,0.241400294
TBPL1,Fetal Brain,OCD,Wald ratio,1,38.556,1.33E-02,NA,NA,NA,0.29093561
MT1X,Fetal Brain,OCD,Wald ratio,1,0.056,1.34E-02,NA,NA,NA,0.210424126
LARP7,Brain Meta Analysis,OCD,Wald ratio,1,1.112,1.35E-02,NA,NA,NA,0.207894962
TANC2,Brain Cortex,OCD,Wald ratio,1,0.533,1.36E-02,NA,NA,NA,0.340620305
LIMCH1,Brain Cortex,OCD,Wald ratio,1,1.112,1.36E-02,NA,NA,NA,0.021157238
SLFN14,Brain Meta Analysis,OCD,Wald ratio,1,0.836,1.36E-02,NA,NA,NA,0.203260488
ASB1,Fetal Brain,OCD,Wald ratio,1,48.349,1.36E-02,NA,NA,NA,0.208755942
FRMD4A,Brain Cortex,OCD,Wald ratio,1,0.911,1.38E-02,NA,NA,NA,0.208970181
