Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
PFKAM,BannerBBDP,OCD,Wald ratio,1,13.84,4.03E-05,NA,NA,NA,1.49E-07
DHR11,ROSMAP,OCD,Inverse variance weighted,3,0.299,6.74E-05,0.861460834,0.976373831,0.916591461,0.978988539
GPC5B,ROSMAP,OCD,Wald ratio,1,14.598,1.07E-04,NA,NA,NA,0.000223775
MEF2D,BannerBBDP,OCD,Inverse variance weighted,2,2.09E+49,1.23E-04,NA,0.939650183,NA,9.75E-07
RAP2B,BannerBBDP,OCD,Inverse variance weighted,2,332.384,1.29E-04,NA,0.702312306,NA,4.02E-07
SYNE1,BannerBBDP,OCD,Inverse variance weighted,9,35.674,1.38E-04,0.943425624,0.938392265,0.44164779,2.83E-07
DHR11,ROSMAP,OCD,Weighted median,3,0.296,1.66E-04,0.861460834,0.976373831,0.916591461,0.978988539
ECHB,BannerBBDP,OCD,Inverse variance weighted,2,2144.044,1.81E-04,NA,0.882375642,NA,5.10E-07
GRK6,BannerBBDP,OCD,Inverse variance weighted,3,0.005,2.54E-04,0.425042093,0.624330462,0.678411332,1.44E-07
TTYH1,BannerBBDP,OCD,Inverse variance weighted,3,0.068,3.11E-04,0.636667738,0.765363874,0.675845278,9.33E-07
LST2,BannerBBDP,OCD,Inverse variance weighted,2,29.454,3.73E-04,NA,0.249375759,NA,1.67E-06
SPHK2,ROSMAP,OCD,Wald ratio,1,0,4.17E-04,NA,NA,NA,1.75E-07
PP1R8,ROSMAP,OCD,Wald ratio,1,0,5.00E-04,NA,NA,NA,6.04E-07
STX12,ROSMAP,OCD,Wald ratio,1,0,5.00E-04,NA,NA,NA,1.36E-07
RFA2,ROSMAP,OCD,Wald ratio,1,0.058,5.00E-04,NA,NA,NA,5.12E-07
TMED9,BannerBBDP,OCD,Wald ratio,1,0.001,5.28E-04,NA,NA,NA,9.30E-07
TCPG,BannerBBDP,OCD,Inverse variance weighted,2,0,5.74E-04,NA,0.312935087,NA,2.33E-06
FUMH,ROSMAP,OCD,Inverse variance weighted,4,0.001,8.83E-04,0.438833839,0.573230025,0.614657102,5.96E-08
TBCB,ROSMAP,OCD,Inverse variance weighted,3,0,8.94E-04,0.205097391,0.446832227,0.962970454,1.29E-07
TM175,BannerBBDP,OCD,Inverse variance weighted,2,0.113,9.21E-04,NA,0.329167899,NA,7.39E-07
TM209,BannerBBDP,OCD,Inverse variance weighted,2,0.043,9.66E-04,NA,0.65109195,NA,4.01E-05
DLG1,ROSMAP,OCD,Inverse variance weighted,4,0.02,9.74E-04,0.622226697,0.679359805,0.531081741,1.58E-06
UBS3B,ROSMAP,OCD,Inverse variance weighted,4,7.201,1.04E-03,0.939274525,0.903727038,0.574299158,4.73E-07
ASF1A,BannerBBDP,OCD,Wald ratio,1,0.03,1.05E-03,NA,NA,NA,7.11E-07
PFKAM,ROSMAP,OCD,Inverse variance weighted,2,13.962,1.10E-03,NA,0.262307095,NA,0.982658898
GPC5B,BannerBBDP,OCD,Inverse variance weighted,2,11.517,1.21E-03,NA,0.367054124,NA,0.003045954
RBBP9,BannerBBDP,OCD,Wald ratio,1,0.019,1.49E-03,NA,NA,NA,0.28463754
SC23B,BannerBBDP,OCD,Wald ratio,1,9.76E+37,1.49E-03,NA,NA,NA,0.000229718
UBP16,ROSMAP,OCD,Wald ratio,1,0,1.53E-03,NA,NA,NA,1.25E-05
TCPQ,ROSMAP,OCD,Wald ratio,1,18663380,1.53E-03,NA,NA,NA,9.59E-08
HIKES,BannerBBDP,OCD,Inverse variance weighted,2,8.785,1.62E-03,NA,0.635832361,NA,1.24E-06
TNKS1,BannerBBDP,OCD,Inverse variance weighted,3,4.104,1.62E-03,0.27824193,0.554582308,0.96568129,4.46E-06
NGEF,BannerBBDP,OCD,Inverse variance weighted,2,8.661,1.64E-03,NA,0.618205515,NA,8.27E-08
VANG2,ROSMAP,OCD,Wald ratio,1,0.008,1.67E-03,NA,NA,NA,5.19E-07
PCDH7,ROSMAP,OCD,Wald ratio,1,5262.96,1.78E-03,NA,NA,NA,1.16E-06
SRGEF,ROSMAP,OCD,Inverse variance weighted,3,2.812,1.88E-03,0.54078493,0.418911081,0.45054942,2.85E-05
MTA2,BannerBBDP,OCD,Wald ratio,1,1.44E+11,1.97E-03,NA,NA,NA,6.96E-08
UBXN1,BannerBBDP,OCD,Wald ratio,1,97940270000,1.97E-03,NA,NA,NA,1.06E-07
EMAL3,BannerBBDP,OCD,Wald ratio,1,16366670,1.97E-03,NA,NA,NA,6.68E-07
EF1G,BannerBBDP,OCD,Wald ratio,1,31570.05,1.97E-03,NA,NA,NA,7.99E-08
GANAB,BannerBBDP,OCD,Wald ratio,1,0.034,1.97E-03,NA,NA,NA,2.57E-07
CC28A,BannerBBDP,OCD,Inverse variance weighted,3,70.872,2.05E-03,0.263930748,0.364254127,0.575765345,2.25E-07
OSBL7,ROSMAP,OCD,Inverse variance weighted,4,0.062,2.06E-03,0.556488569,0.701317692,0.669171728,8.56E-07
AT8A1,BannerBBDP,OCD,Inverse variance weighted,3,0.081,2.18E-03,0.953781381,0.940246071,0.787812644,4.34E-06
LRRT1,BannerBBDP,OCD,Inverse variance weighted,3,0.018,2.21E-03,0.79474325,0.756192673,0.610822691,2.22E-05
THOC5,ROSMAP,OCD,Wald ratio,1,0.001,2.41E-03,NA,NA,NA,4.49E-07
NIPS1,ROSMAP,OCD,Wald ratio,1,0.056,2.41E-03,NA,NA,NA,0.03275845
OCAD1,BannerBBDP,OCD,Wald ratio,1,0.013,2.54E-03,NA,NA,NA,1.07E-06
FRYL,BannerBBDP,OCD,Wald ratio,1,0,2.54E-03,NA,NA,NA,2.67E-05
PI51B,BannerBBDP,OCD,Inverse variance weighted,3,0.008,2.56E-03,0.199293793,0.43352131,0.923396973,3.28E-06
UAP1L,ROSMAP,OCD,Inverse variance weighted,2,3.887,2.60E-03,NA,0.853574495,NA,2.19E-05
SCG1,ROSMAP,OCD,Inverse variance weighted,6,5.901,2.67E-03,0.500810748,0.397410922,0.250573982,0.000330046
DPP2,ROSMAP,OCD,Inverse variance weighted,2,0.649,2.68E-03,NA,0.767164068,NA,6.13E-07
GABP1,ROSMAP,OCD,Wald ratio,1,0.101,2.77E-03,NA,NA,NA,3.02E-07
AMBP,ROSMAP,OCD,Inverse variance weighted,3,0.323,2.80E-03,0.824035128,0.931160329,0.811365322,8.97E-07
MERL,ROSMAP,OCD,Inverse variance weighted,2,67545.01,2.84E-03,NA,0.340577947,NA,1.97E-07
EFR3A,ROSMAP,OCD,Inverse variance weighted,4,15.066,3.06E-03,0.471328418,0.639746502,0.710492221,2.75E-07
SMAKA,ROSMAP,OCD,Wald ratio,1,86.981,3.08E-03,NA,NA,NA,2.53E-06
FBX42,ROSMAP,OCD,Inverse variance weighted,2,283.441,3.19E-03,NA,0.653922554,NA,4.07E-06
RM50,BannerBBDP,OCD,Inverse variance weighted,5,11.835,3.30E-03,0.701020811,0.438880735,0.223213264,3.18E-07
GSG1L,ROSMAP,OCD,Inverse variance weighted,7,2.938,3.35E-03,0.700807361,0.48788827,0.178129809,4.85E-07
VP37B,BannerBBDP,OCD,Wald ratio,1,0,3.39E-03,NA,NA,NA,9.75E-08
OGFD2,BannerBBDP,OCD,Wald ratio,1,3.209,3.39E-03,NA,NA,NA,5.65E-06
ABCB9,BannerBBDP,OCD,Wald ratio,1,34.75,3.39E-03,NA,NA,NA,5.80E-06
CADH9,ROSMAP,OCD,Inverse variance weighted,3,0.021,3.46E-03,0.215282957,0.419760729,0.779201236,2.65E-06
STING,BannerBBDP,OCD,Wald ratio,1,0.541,3.55E-03,NA,NA,NA,0.010132
UB2D2,BannerBBDP,OCD,Wald ratio,1,157046.5,3.55E-03,NA,NA,NA,8.42E-06
ZHX3,BannerBBDP,OCD,Wald ratio,1,0,3.60E-03,NA,NA,NA,4.68E-07
PLCG1,BannerBBDP,OCD,Wald ratio,1,0.079,3.60E-03,NA,NA,NA,0.040616375
KPCI,BannerBBDP,OCD,Wald ratio,1,0.005,3.66E-03,NA,NA,NA,3.33E-06
CBPM,ROSMAP,OCD,Inverse variance weighted,3,0.39,3.72E-03,0.677813334,0.703199297,0.598922757,3.73E-06
DPM3,BannerBBDP,OCD,Wald ratio,1,9.22E+14,3.81E-03,NA,NA,NA,1.34E-05
DPM3,ROSMAP,OCD,Wald ratio,1,0.001,3.81E-03,NA,NA,NA,4.93E-06
FAD1,ROSMAP,OCD,Wald ratio,1,0,3.81E-03,NA,NA,NA,7.94E-08
FXYD6,BannerBBDP,OCD,Inverse variance weighted,5,0.045,3.84E-03,0.804682419,0.870483353,0.645210715,6.70E-07
ZEB2,ROSMAP,OCD,Inverse variance weighted,5,18.948,3.86E-03,0.641925356,0.770767405,0.740671626,9.19E-07
SEM6D,ROSMAP,OCD,Inverse variance weighted,3,27.614,4.04E-03,0.619986865,0.275602485,0.369111931,7.69E-07
PLS4,ROSMAP,OCD,Inverse variance weighted,3,0.56,4.19E-03,0.645094427,0.730609141,0.635454833,0.218144607
RFA2,BannerBBDP,OCD,Inverse variance weighted,2,0.044,4.29E-03,NA,0.62368708,NA,0.376103562
