"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"CHSY3","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.017","0.020","1.017","3.96e-01",NA,NA,NA,0.000583112
"HNRNPLP1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.028","0.033","0.972","3.96e-01",NA,NA,NA,0.000124953
"LIMD1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.022","0.026","0.978","3.96e-01",NA,NA,NA,0.001229884
"NEK6","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.030","0.035","0.971","3.97e-01",NA,NA,NA,7.2e-05
"BICD2","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.028","0.033","0.973","3.98e-01",NA,NA,NA,1.67e-05
"EMCN","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.018","0.021","0.982","3.99e-01",NA,NA,NA,0.00625233
"ARHGEF10","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.033","0.039","0.967","4.01e-01",NA,NA,NA,0.000716193
"RN7SKP280","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.044","0.052","1.045","4.02e-01",NA,NA,NA,0.00693709
"DLG2","Stem-cell-iPSC","ALZ","Weighted mode",4,"-0.015","0.015","0.985","4.03e-01",0.685767284,0.82764694,0.747350645,0.000468491
"PNRC2P1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.021","0.025","0.979","4.03e-01",NA,NA,NA,3.89e-05
"RPSAP74","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.011","0.013","1.011","4.03e-01",NA,NA,NA,0.007292318
"L3MBTL4","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.060","0.072","0.942","4.05e-01",NA,NA,NA,0.000646029
"FOXN3","Stem-cell-iPSC","ALZ","Inverse variance weighted",2," 0.013","0.015","1.013","4.05e-01",NA,0.756589627,NA,0.004903621
"ADAMTS20","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.067","0.081","0.935","4.06e-01",NA,NA,NA,0.000116672
"CNST","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.012","0.015","1.012","4.08e-01",NA,NA,NA,5.18e-06
"RIN2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.011","0.013","1.011","4.08e-01",NA,NA,NA,6.19e-06
"PTPRD","Stem-cell-iPSC","ALZ","MR Egger",4," 0.023","0.022","1.023","4.10e-01",0.811389897,0.895972439,0.709746499,0.002390453
"TRIM42","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.012","0.015","1.012","4.10e-01",NA,NA,NA,5.53e-05
"PLD1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.023","0.028","1.023","4.10e-01",NA,NA,NA,1.58e-05
"ATP5A1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.021","0.026","1.021","4.11e-01",NA,NA,NA,2.13e-05
"CDH19","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.031","0.038","0.969","4.11e-01",NA,NA,NA,0.000278897
"NDUFB5P1","Stem-cell-iPSC","ALZ","Inverse variance weighted",2," 0.020","0.024","1.020","4.11e-01",NA,0.209597191,NA,0.000112652
"SNHG15","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.056","0.069","1.058","4.12e-01",NA,NA,NA,2.54e-05
"SH2D6","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.021","0.026","1.021","4.13e-01",NA,NA,NA,3.6e-05
"LINC01127","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.014","0.017","0.986","4.13e-01",NA,NA,NA,1.31e-05
"UTS2B","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.010","0.013","1.010","4.13e-01",NA,NA,NA,0.000105874
"SCHIP1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.012","0.015","0.988","4.13e-01",NA,NA,NA,9.06e-05
"MAPK10","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.013","0.016","1.013","4.14e-01",NA,NA,NA,1.64e-05
"TFEB","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.024","0.030","0.976","4.14e-01",NA,NA,NA,8.75e-05
"LINC00520","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.014","0.017","1.014","4.15e-01",NA,NA,NA,3.36e-06
"RGS7BP","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.014","0.017","0.986","4.16e-01",NA,NA,NA,6.93e-06
"RN7SL58P","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.040","0.050","0.961","4.18e-01",NA,NA,NA,0.009385481
"SCN8A","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.020","0.025","0.980","4.18e-01",NA,NA,NA,2.93e-06
"LINC00920","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.027","0.033","0.974","4.19e-01",NA,NA,NA,0.007137276
"KCNQ3","Stem-cell-iPSC","ALZ","Inverse variance weighted",3," 0.009","0.012","1.010","4.21e-01",0.244671503,0.490463612,0.856338611,5.68e-06
"FRMD3","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.057","0.071","1.058","4.21e-01",NA,NA,NA,0.008739693
"ACCSL","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.023","0.029","1.024","4.21e-01",NA,NA,NA,0.001463957
"TEKT3","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.033","0.041","0.968","4.24e-01",NA,NA,NA,0.001816782
"NAMA","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.026","0.032","0.975","4.25e-01",NA,NA,NA,3.2e-05
"RNU6-1103P","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.012","0.016","0.988","4.25e-01",NA,NA,NA,5.54e-05
"RN7SL97P","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.012","0.015","1.012","4.25e-01",NA,NA,NA,0.000305665
"NAALADL2","Stem-cell-iPSC","ALZ","Inverse variance weighted",3," 0.012","0.015","1.012","4.26e-01",0.393873168,0.307721661,0.422986241,1.77e-05
"SLC4A2","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.017","0.022","0.983","4.26e-01",NA,NA,NA,5.97e-06
"RNU6-329P","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.052","0.066","1.053","4.31e-01",NA,NA,NA,0.000398969
"TYW3","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.040","0.051","0.961","4.33e-01",NA,NA,NA,0.006874391
"ANKRD10","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.020","0.025","1.020","4.33e-01",NA,NA,NA,2.06e-05
"SOX2-OT","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.012","0.015","0.988","4.33e-01",NA,NA,NA,2.78e-06
"TCP11L1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.011","0.014","0.989","4.34e-01",NA,NA,NA,0.000207539
"TENM4","Stem-cell-iPSC","ALZ","Weighted mode",3," 0.012","0.012","1.012","4.34e-01",0.672583266,0.185204362,0.324765048,0.000310757
"RGS12","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.030","0.038","1.030","4.35e-01",NA,NA,NA,0.000105775
"KCNIP4","Stem-cell-iPSC","ALZ","Inverse variance weighted",3," 0.009","0.012","1.009","4.36e-01",0.319137939,0.257665559,0.414751051,0.000290167
"ZC3H12D","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.030","0.038","1.030","4.37e-01",NA,NA,NA,0.004992463
"ZMAT4","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.026","0.034","0.974","4.38e-01",NA,NA,NA,9.49e-05
"RN7SL193P","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.022","0.028","1.022","4.38e-01",NA,NA,NA,3.43e-06
"RN7SL401P","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.016","0.021","1.016","4.40e-01",NA,NA,NA,1.39e-05
"SUSD1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.013","0.017","1.013","4.41e-01",NA,NA,NA,0.000129609
"FTH1P5","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.024","0.031","0.976","4.43e-01",NA,NA,NA,0.005589117
"CTNNA3","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,"-0.010","0.014","0.990","4.43e-01",NA,0.41956743,NA,3.33e-05
"SSX2IP","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.024","0.031","0.977","4.43e-01",NA,NA,NA,0.000132969
"MLLT3","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.049","0.064","0.952","4.44e-01",NA,NA,NA,2.45e-05
"PVT1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.013","0.016","1.013","4.44e-01",NA,NA,NA,5.74e-06
"SNTG1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.016","0.021","1.016","4.44e-01",NA,NA,NA,9.15e-06
"ISG20","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.014","0.018","0.986","4.44e-01",NA,NA,NA,0.000440153
"C3orf33","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.015","0.019","1.015","4.46e-01",NA,NA,NA,2.09e-05
"DOCK10","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.028","0.037","1.029","4.47e-01",NA,NA,NA,0.000162227
"RNU6-138P","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.048","0.063","1.049","4.47e-01",NA,NA,NA,0.000466741
"WDR27","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.124","0.164","1.132","4.47e-01",NA,NA,NA,0.009599499
"PCNPP2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.021","0.027","1.021","4.47e-01",NA,NA,NA,0.000229186
"SVIL","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.010","0.013","0.990","4.47e-01",NA,NA,NA,0.001081181
"THSD7A","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.060","0.079","0.942","4.48e-01",NA,NA,NA,0.012730326
"GNAI1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.044","0.058","1.045","4.48e-01",NA,NA,NA,0.007395444
"GALM","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.012","0.016","0.988","4.49e-01",NA,NA,NA,0.007318285
"DNM1P47","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.024","0.032","1.025","4.49e-01",NA,NA,NA,5.18e-05
"RPL4P5","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.012","0.016","1.012","4.50e-01",NA,NA,NA,3e-05
"RNU6-1018P","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.014","0.019","0.986","4.51e-01",NA,NA,NA,5e-06
"MANEA-AS1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.015","0.020","1.015","4.52e-01",NA,NA,NA,1.64e-05
"MACROD2","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,"-0.016","0.021","0.984","4.52e-01",NA,0.996972675,NA,3.4e-05
"GRIN2B","Stem-cell-iPSC","ALZ","MR Egger",3,"-0.067","0.058","0.935","4.52e-01",0.374279969,0.332752815,0.445437904,1.68e-05
"TMEM44","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.025","0.033","1.025","4.53e-01",NA,NA,NA,0.00191995
"SEMA6D","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.035","0.046","0.966","4.53e-01",NA,NA,NA,0.007601684
"MYO1C","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.011","0.015","0.989","4.53e-01",NA,NA,NA,4.98e-06
"LSAMP","Stem-cell-iPSC","ALZ","Inverse variance weighted",2," 0.018","0.024","1.018","4.54e-01",NA,0.902026593,NA,0.003362018
"DPF3","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.012","0.016","1.012","4.55e-01",NA,NA,NA,6.94e-06
"PRKG1","Stem-cell-iPSC","ALZ","Inverse variance weighted",3,"-0.025","0.034","0.975","4.55e-01",0.140331925,0.009887961,0.32256501,0.001862239
"SULF2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.026","0.035","1.026","4.56e-01",NA,NA,NA,5.84e-05
"TBC1D9B","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.025","0.033","0.976","4.56e-01",NA,NA,NA,0.004084572
"RPS15AP5","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.045","0.061","1.046","4.57e-01",NA,NA,NA,0.006859338
"PSMG1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.017","0.023","1.017","4.58e-01",NA,NA,NA,1.82e-05
"MPP4","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.015","0.020","1.015","4.58e-01",NA,NA,NA,4.18e-06
"C1orf216","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.036","0.049","1.037","4.59e-01",NA,NA,NA,1.82e-05
