"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"RNF219","Lymphocyte","SCZ","Wald ratio",1,-0.038,0.093,0.963,0.683,NA,NA,NA,0.005289627
"LOC285768","Lymphocyte","SCZ","Wald ratio",1,-0.006,0.016,0.994,0.683,NA,NA,NA,0.008138453
"HTRA3","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.011,0.995,0.684,NA,NA,NA,0.004645409
"CHIT1","Lymphocyte","SCZ","Wald ratio",1,0.005,0.012,1.005,0.684,NA,NA,NA,0.004645409
"CDH23","Lymphocyte","SCZ","Inverse variance weighted",2,-0.004,0.009,0.996,0.684,NA,0.405542632,NA,0.0049862
"SPRED2","Lymphocyte","SCZ","Wald ratio",1,0.004,0.01,1.004,0.684,NA,NA,NA,0.004641315
"NIPAL2","Lymphocyte","SCZ","Wald ratio",1,0.008,0.021,1.008,0.685,NA,NA,NA,0.009894102
"EFR3A","Lymphocyte","SCZ","Wald ratio",1,0.1,0.247,1.105,0.685,NA,NA,NA,0.005977172
"NIPSNAP1","Lymphocyte","SCZ","Wald ratio",1,0.013,0.033,1.013,0.686,NA,NA,NA,0.008734878
"GUCY1B3","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.009,0.996,0.686,NA,NA,NA,0.004799869
"AP1S3","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.009,0.996,0.686,NA,NA,NA,0.004799872
"STAB2","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.012,0.995,0.686,NA,NA,NA,0.005601655
"LOC283050","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.012,0.995,0.686,NA,NA,NA,0.005581318
"RIN3","Lymphocyte","SCZ","Inverse variance weighted",2,-0.005,0.012,0.995,0.687,NA,0.232074224,NA,0.01184464
"CCDC74B","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.011,0.996,0.687,NA,NA,NA,0.004690207
"ASGR2","Lymphocyte","SCZ","Wald ratio",1,0.004,0.01,1.004,0.687,NA,NA,NA,0.004690207
"TUBA3E","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.009,0.996,0.687,NA,NA,NA,0.004690207
"CAMTA1","Lymphocyte","SCZ","Weighted mode",3,-0.004,0.009,0.996,0.688,0.638046367,0.61718423,0.54692153,0.004404706
"YEATS4","Lymphocyte","SCZ","Wald ratio",1,0.006,0.015,1.006,0.688,NA,NA,NA,0.004688537
"C22orf40","Lymphocyte","SCZ","Wald ratio",1,0.011,0.028,1.011,0.688,NA,NA,NA,0.006554473
"HRNBP3","Lymphocyte","SCZ","Simple mode",3,0.004,0.01,1.005,0.688,0.691962783,0.687622315,0.582481175,0.004975114
"C19orf48","Lymphocyte","SCZ","Wald ratio",1,0.005,0.012,1.005,0.689,NA,NA,NA,0.00511321
"KLK1","Lymphocyte","SCZ","Wald ratio",1,0.005,0.013,1.005,0.689,NA,NA,NA,0.00511321
"KLHL31","Lymphocyte","SCZ","Wald ratio",1,0.004,0.011,1.004,0.689,NA,NA,NA,0.00511321
"NDUFA10","Lymphocyte","SCZ","Wald ratio",1,-0.179,0.448,0.836,0.689,NA,NA,NA,0.006975925
"GPR85","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.013,0.995,0.689,NA,NA,NA,0.0047315
"C11orf17","Lymphocyte","SCZ","Wald ratio",1,0.004,0.009,1.004,0.689,NA,NA,NA,0.004844726
"SETX","Lymphocyte","SCZ","Wald ratio",1,-0.007,0.017,0.993,0.69,NA,NA,NA,0.008186205
"TET2","Lymphocyte","SCZ","Wald ratio",1,0.03,0.075,1.03,0.69,NA,NA,NA,0.006863629
"ZNF804B","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.01,0.996,0.691,NA,NA,NA,0.004735114
"DUSP12","Lymphocyte","SCZ","Wald ratio",1,0.14,0.352,1.15,0.691,NA,NA,NA,0.004734825
"SPOP","Lymphocyte","SCZ","Wald ratio",1,0.056,0.142,1.058,0.691,NA,NA,NA,0.008867306
"COL1A1","Lymphocyte","SCZ","Wald ratio",1,0.03,0.074,1.03,0.691,NA,NA,NA,0.007020483
"C6orf129","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.01,0.996,0.692,NA,NA,NA,0.004891171
"MRPS5","Lymphocyte","SCZ","Wald ratio",1,0.004,0.01,1.004,0.692,NA,NA,NA,0.005423934
"C1QTNF3","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.01,0.996,0.692,NA,NA,NA,0.004623979
"LOC339524","Lymphocyte","SCZ","Wald ratio",1,0.005,0.013,1.005,0.692,NA,NA,NA,0.005156932
"PLB1","Lymphocyte","SCZ","Wald ratio",1,-0.011,0.028,0.989,0.693,NA,NA,NA,0.004622197
"MIR548F3","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.013,0.995,0.694,NA,NA,NA,0.004780125
"TMC3","Lymphocyte","SCZ","Wald ratio",1,0.004,0.01,1.004,0.694,NA,NA,NA,0.005045841
"FHL2","Lymphocyte","SCZ","Wald ratio",1,-0.011,0.029,0.989,0.694,NA,NA,NA,0.009219216
"NAV1","Lymphocyte","SCZ","Simple mode",3,0.013,0.029,1.013,0.694,0.62194921,0.762935252,0.681878518,0.009264543
"OR52R1","Lymphocyte","SCZ","Wald ratio",1,0.004,0.01,1.004,0.695,NA,NA,NA,0.004936205
"CD34","Lymphocyte","SCZ","Wald ratio",1,0.011,0.027,1.011,0.695,NA,NA,NA,0.004936208
"AHRR","Lymphocyte","SCZ","Wald ratio",1,0.004,0.01,1.004,0.695,NA,NA,NA,0.005201935
"PLXNA4","Lymphocyte","SCZ","Inverse variance weighted",2,-0.004,0.01,0.996,0.696,NA,0.707004274,NA,0.008461053
"HRG","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.012,0.995,0.696,NA,NA,NA,0.004667307
"ODZ3","Lymphocyte","SCZ","Inverse variance weighted",3,-0.003,0.008,0.997,0.697,0.921128434,0.633441805,0.51616671,0.005602851
"DLGAP2","Lymphocyte","SCZ","Simple mode",3,-0.004,0.008,0.996,0.697,0.428237109,0.72511042,0.921746506,0.005376055
"FAM105A","Lymphocyte","SCZ","Wald ratio",1,-0.008,0.02,0.992,0.697,NA,NA,NA,0.007419501
"TXLNB","Lymphocyte","SCZ","Wald ratio",1,-0.011,0.028,0.989,0.698,NA,NA,NA,0.004823632
"TLN2","Lymphocyte","SCZ","Wald ratio",1,0.006,0.015,1.006,0.699,NA,NA,NA,0.007991111
"NTM","Lymphocyte","SCZ","Inverse variance weighted",5,0.004,0.01,1.004,0.699,0.00464551,0.01086273,0.894413182,0.005429658
"IL15RA","Lymphocyte","SCZ","Wald ratio",1,-0.064,0.166,0.938,0.7,NA,NA,NA,0.004712518
"T","Lymphocyte","SCZ","Inverse variance weighted",2,0.004,0.01,1.004,0.7,NA,0.347260698,NA,0.006852125
"ASCL1","Lymphocyte","SCZ","Wald ratio",1,-0.015,0.04,0.985,0.701,NA,NA,NA,0.006247448
"SH3RF2","Lymphocyte","SCZ","Wald ratio",1,-0.006,0.017,0.994,0.701,NA,NA,NA,0.007616928
"C1orf94","Lymphocyte","SCZ","Wald ratio",1,-0.019,0.051,0.981,0.701,NA,NA,NA,0.005292207
"GRB10","Lymphocyte","SCZ","Wald ratio",1,0.003,0.009,1.003,0.702,NA,NA,NA,0.0046014
"DLC1","Lymphocyte","SCZ","Simple mode",4,0.007,0.017,1.007,0.702,0.03409927,0.07881673,0.927744679,0.006338136
"PGCP","Lymphocyte","SCZ","Wald ratio",1,-0.007,0.018,0.993,0.702,NA,NA,NA,0.005448256
"ADARB2","Lymphocyte","SCZ","Inverse variance weighted",4,0.003,0.008,1.003,0.703,0.914381713,0.857169105,0.523118502,0.005321385
"SLCO3A1","Lymphocyte","SCZ","Inverse variance weighted",3,-0.003,0.008,0.997,0.703,0.745774734,0.832048096,0.698519113,0.005944757
"PAX5","Lymphocyte","SCZ","Wald ratio",1,0.007,0.019,1.007,0.703,NA,NA,NA,0.006292522
"ZNF18","Lymphocyte","SCZ","Wald ratio",1,0.004,0.011,1.004,0.704,NA,NA,NA,0.005338588
"MAP2K4","Lymphocyte","SCZ","Wald ratio",1,0.048,0.127,1.049,0.704,NA,NA,NA,0.005338588
"CCBL2","Lymphocyte","SCZ","Wald ratio",1,0.004,0.011,1.004,0.704,NA,NA,NA,0.004648622
"RORA","Lymphocyte","SCZ","Inverse variance weighted",4,-0.004,0.011,0.996,0.704,0.069013893,0.045675333,0.422938487,0.011188699
"THRB","Lymphocyte","SCZ","Inverse variance weighted",2,0.007,0.019,1.007,0.704,NA,0.009548814,NA,0.118616932
"CACNA1C","Lymphocyte","SCZ","Simple mode",4,0.015,0.036,1.015,0.704,4.21e-08,1.24e-15,0.270912523,0.016352441
"PTGER1","Lymphocyte","SCZ","Wald ratio",1,0.023,0.062,1.024,0.705,NA,NA,NA,0.004646788
"PKN1","Lymphocyte","SCZ","Wald ratio",1,0.003,0.009,1.003,0.705,NA,NA,NA,0.004646788
"ARSG","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.012,0.995,0.705,NA,NA,NA,0.005915945
"SPAG4","Lymphocyte","SCZ","Wald ratio",1,-0.042,0.111,0.959,0.705,NA,NA,NA,0.005915945
"CDH13","Lymphocyte","SCZ","MR Egger",3,0.116,0.233,1.123,0.706,0.001372666,0.001343036,0.684927917,0.737456535
"SGK2","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.014,0.995,0.707,NA,NA,NA,0.006648179
"EXOC2","Lymphocyte","SCZ","Wald ratio",1,0.004,0.011,1.004,0.708,NA,NA,NA,0.005115879
"LYST","Lymphocyte","SCZ","Wald ratio",1,-0.037,0.1,0.963,0.708,NA,NA,NA,0.004692269
"SLC35B3","Lymphocyte","SCZ","Wald ratio",1,0.117,0.314,1.124,0.709,NA,NA,NA,0.005851371
"UCHL3","Lymphocyte","SCZ","Wald ratio",1,-0.003,0.009,0.997,0.709,NA,NA,NA,0.004280803
"DSCAM","Lymphocyte","SCZ","Simple mode",3,0.006,0.015,1.006,0.709,0.138023359,0.053350193,0.419760133,0.004594836
"MGAT1","Lymphocyte","SCZ","Wald ratio",1,0.54,1.45,1.715,0.71,NA,NA,NA,0.007686995
"AKT2","Lymphocyte","SCZ","Wald ratio",1,-0.008,0.022,0.992,0.71,NA,NA,NA,0.004581319
"TTC9B","Lymphocyte","SCZ","Wald ratio",1,-0.018,0.049,0.982,0.71,NA,NA,NA,0.004581319
"MIR641","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.012,0.996,0.71,NA,NA,NA,0.004581319
"IYD","Lymphocyte","SCZ","Wald ratio",1,-0.01,0.026,0.99,0.71,NA,NA,NA,0.008831912
"chrND","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.011,0.996,0.711,NA,NA,NA,0.005161374
"chrNG","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.013,0.995,0.711,NA,NA,NA,0.005156003
"SIM1","Lymphocyte","SCZ","Wald ratio",1,0.01,0.026,1.01,0.712,NA,NA,NA,0.006318019
"ADARB2","Lymphocyte","SCZ","Weighted mode",4,0.004,0.01,1.004,0.712,0.914381713,0.857169105,0.523118502,0.005321385
"C3orf21","Lymphocyte","SCZ","Wald ratio",1,-0.068,0.185,0.934,0.712,NA,NA,NA,0.005896155
"ARHGEF10","Lymphocyte","SCZ","Simple mode",3,-0.005,0.011,0.995,0.712,0.291594082,0.230619844,0.42225751,0.00422806
"MTMR10","Lymphocyte","SCZ","Wald ratio",1,-0.126,0.341,0.882,0.712,NA,NA,NA,0.004894285
"CELSR1","Lymphocyte","SCZ","Inverse variance weighted",2,-0.003,0.008,0.997,0.712,NA,0.263843587,NA,0.009456259
"KCTD10","Lymphocyte","SCZ","Inverse variance weighted",2,0.005,0.013,1.005,0.712,NA,0.613991228,NA,0.008667137
"BSND","Lymphocyte","SCZ","Wald ratio",1,0.004,0.01,1.004,0.713,NA,NA,NA,0.00462887
"CAMTA1","Lymphocyte","SCZ","Inverse variance weighted",3,-0.003,0.007,0.997,0.713,0.638046367,0.61718423,0.54692153,0.004404706
"ATP1B1","Lymphocyte","SCZ","Inverse variance weighted",2,-0.012,0.033,0.988,0.713,NA,0.057559175,NA,0.035465432
"AKAP13","Lymphocyte","SCZ","Wald ratio",1,0.003,0.009,1.003,0.713,NA,NA,NA,0.004626973
"C18orf1","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.01,0.996,0.713,NA,NA,NA,0.004626896
"SKI","Lymphocyte","SCZ","Wald ratio",1,-0.007,0.018,0.993,0.714,NA,NA,NA,0.006518814
"C5orf62","Lymphocyte","SCZ","Wald ratio",1,0.01,0.029,1.011,0.716,NA,NA,NA,0.010257146
"PALM2","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.01,0.996,0.716,NA,NA,NA,0.003487342
"FAT1","Lymphocyte","SCZ","Inverse variance weighted",2,0.003,0.007,1.003,0.716,NA,0.695374416,NA,0.006040343
"AMBP","Lymphocyte","SCZ","Wald ratio",1,0.015,0.042,1.015,0.716,NA,NA,NA,0.00583206
"IGF1R","Lymphocyte","SCZ","Weighted median",3,0.005,0.013,1.005,0.716,0.315631507,0.238731404,0.404007912,0.007029039
"TRHR","Lymphocyte","SCZ","Wald ratio",1,0.003,0.009,1.003,0.717,NA,NA,NA,0.004672713
"ZNF598","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.013,0.995,0.717,NA,NA,NA,0.005985496
"SYNGR3","Lymphocyte","SCZ","Wald ratio",1,-0.007,0.021,0.993,0.717,NA,NA,NA,0.005987172
"STARD9","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.013,0.995,0.718,NA,NA,NA,0.006454269
"SRGAP1","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.01,0.996,0.719,NA,NA,NA,0.004720383
"LPCAT2","Lymphocyte","SCZ","Wald ratio",1,0.004,0.01,1.004,0.719,NA,NA,NA,0.004433584
"MYLK","Lymphocyte","SCZ","Inverse variance weighted",2,0.003,0.01,1.003,0.719,NA,0.987685549,NA,0.005228367
"DIRC3","Lymphocyte","SCZ","Wald ratio",1,0.007,0.019,1.007,0.719,NA,NA,NA,0.004876768
"RTL1","Lymphocyte","SCZ","Wald ratio",1,0.003,0.009,1.003,0.72,NA,NA,NA,0.004718535
"AACS","Lymphocyte","SCZ","Inverse variance weighted",2,-0.007,0.02,0.993,0.721,NA,0.554091273,NA,0.007625722
"NMUR1","Lymphocyte","SCZ","Wald ratio",1,0.01,0.027,1.01,0.721,NA,NA,NA,0.0081143
"S100P","Lymphocyte","SCZ","Wald ratio",1,0.006,0.017,1.006,0.721,NA,NA,NA,0.005031481
"LOC93622","Lymphocyte","SCZ","Wald ratio",1,0.007,0.02,1.007,0.721,NA,NA,NA,0.005031481
