"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"BAZ2A","Oligodendrocytes","ASD","Wald ratio",1,0.184,0.06,1.201,0.00206,NA,NA,NA,0.000271689
"LRP1","Astrocytes","ASD","Wald ratio",1,0.245,0.079,1.278,0.00206,NA,NA,NA,8.16e-05
"AC093655.1","Inhibitory neurons","ASD","Wald ratio",1,-0.152,0.05,0.859,0.00208,NA,NA,NA,0.000518004
"LSMEM1","Endothelial cells","ASD","Wald ratio",1,-0.148,0.048,0.862,0.00217,NA,NA,NA,0.000172778
"BET1L","Inhibitory neurons","ASD","Wald ratio",1,0.192,0.063,1.211,0.00225,NA,NA,NA,0.00021639
"SH2D4B","Astrocytes","ASD","Wald ratio",1,0.184,0.06,1.201,0.00237,NA,NA,NA,7.53e-05
"HP","Astrocytes","ASD","Wald ratio",1,0.054,0.018,1.055,0.00252,NA,NA,NA,0.400654917
"USHBP1","Microglia","ASD","Wald ratio",1,0.286,0.095,1.331,0.00262,NA,NA,NA,0.000127675
"SDK1","Astrocytes","ASD","Wald ratio",1,-0.096,0.032,0.909,0.00286,NA,NA,NA,0.124077793
"PAICS","Oligodendrocytes","ASD","Wald ratio",1,0.201,0.067,1.223,0.00287,NA,NA,NA,7.08e-05
"MTLN","Excitatory neurons","ASD","Wald ratio",1,0.293,0.098,1.34,0.0029,NA,NA,NA,6.27e-05
"KNSTRN","Excitatory neurons","ASD","Wald ratio",1,-0.063,0.021,0.939,0.00297,NA,NA,NA,0.446610818
"KNSTRN","Inhibitory neurons","ASD","Wald ratio",1,-0.067,0.023,0.935,0.00297,NA,NA,NA,0.127100689
"POLL","Pericytes","ASD","Wald ratio",1,-0.117,0.039,0.89,0.00302,NA,NA,NA,0.00013714
"TOB2","Endothelial cells","ASD","Wald ratio",1,-0.163,0.055,0.85,0.00307,NA,NA,NA,9.28e-05
"NARS2","Astrocytes","ASD","Wald ratio",1,0.144,0.049,1.154,0.00313,NA,NA,NA,6.72e-05
"NCALD","OPCs / COPs","ASD","Wald ratio",1,-0.101,0.035,0.904,0.00335,NA,NA,NA,0.028836041
"MTOR","Astrocytes","ASD","Wald ratio",1,-0.16,0.055,0.852,0.00342,NA,NA,NA,0.000104637
