"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"C1orf52","Stem-cell-iPSC","ASD","Wald ratio",1,-0.012,0.023,0.988,0.612,NA,NA,NA,6.03e-06
"TACSTD2","Stem-cell-iPSC","ASD","Wald ratio",1,0.021,0.042,1.021,0.613,NA,NA,NA,0.000149299
"FRY","Stem-cell-iPSC","ASD","Wald ratio",1,-0.015,0.029,0.985,0.613,NA,NA,NA,9.15e-06
"RUNX3","Stem-cell-iPSC","ASD","Wald ratio",1,0.01,0.02,1.01,0.614,NA,NA,NA,0.000213249
"EVA1C","Stem-cell-iPSC","ASD","Wald ratio",1,-0.009,0.018,0.991,0.615,NA,NA,NA,0.000332542
"BBS9","Stem-cell-iPSC","ASD","Wald ratio",1,0.023,0.046,1.023,0.615,NA,NA,NA,7.5e-05
"IPO9-AS1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.021,0.041,0.98,0.615,NA,NA,NA,8.51e-05
"CLDN16","Stem-cell-iPSC","ASD","Wald ratio",1,0.011,0.023,1.011,0.615,NA,NA,NA,1.48e-05
"SPHKAP","Stem-cell-iPSC","ASD","Wald ratio",1,0.024,0.048,1.025,0.617,NA,NA,NA,0.000166787
"ARHGEF26","Stem-cell-iPSC","ASD","Wald ratio",1,-0.017,0.034,0.983,0.617,NA,NA,NA,1.71e-05
"FAM78B","Stem-cell-iPSC","ASD","Wald ratio",1,-0.016,0.031,0.984,0.617,NA,NA,NA,9.73e-06
"TTK","Stem-cell-iPSC","ASD","Wald ratio",1,-0.01,0.02,0.99,0.617,NA,NA,NA,2.14e-05
"ADAMTS16","Stem-cell-iPSC","ASD","Wald ratio",1,-0.023,0.047,0.977,0.619,NA,NA,NA,0.000132754
"LINC01478","Stem-cell-iPSC","ASD","Wald ratio",1,0.011,0.022,1.011,0.619,NA,NA,NA,2.68e-05
"ORC5","Stem-cell-iPSC","ASD","Wald ratio",1,0.022,0.044,1.022,0.622,NA,NA,NA,2.23e-05
"ENPP6","Stem-cell-iPSC","ASD","Wald ratio",1,-0.026,0.052,0.975,0.622,NA,NA,NA,0.002873069
"MAFTRR","Stem-cell-iPSC","ASD","Wald ratio",1,-0.024,0.049,0.976,0.623,NA,NA,NA,0.000764718
"COLGALT2","Stem-cell-iPSC","ASD","Wald ratio",1,-0.03,0.061,0.971,0.624,NA,NA,NA,0.008605633
"CES5A","Stem-cell-iPSC","ASD","Wald ratio",1,-0.01,0.02,0.99,0.624,NA,NA,NA,0.001033095
"AUTS2","Stem-cell-iPSC","ASD","Inverse variance weighted",2,-0.009,0.018,0.991,0.624,NA,0.247465247,NA,0.000569465
"SUPT3H","Stem-cell-iPSC","ASD","Wald ratio",1,-0.011,0.022,0.989,0.625,NA,NA,NA,1.04e-05
"LINC00540","Stem-cell-iPSC","ASD","Inverse variance weighted",3,0.011,0.022,1.011,0.626,0.244766452,0.322211112,0.562337522,2.52e-06
"CDK14","Stem-cell-iPSC","ASD","MR Egger",3,0.042,0.063,1.043,0.628,0.588422666,0.73918905,0.675885369,0.000403487
"SLC6A19","Stem-cell-iPSC","ASD","Wald ratio",1,-0.02,0.042,0.98,0.628,NA,NA,NA,0.000377826
