"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"STX17","Astrocytes","ADHD","Wald ratio",1,-0.199,0.044,0.82,5.94e-06,NA,NA,NA,0.017819746
"TSC22D2","OPCs / COPs","ADHD","Wald ratio",1,-0.148,0.033,0.863,6.12e-06,NA,NA,NA,0.012637506
"TMEM125","Oligodendrocytes","ADHD","Wald ratio",1,0.313,0.069,1.368,6.48e-06,NA,NA,NA,0.350718577
"KCNV2","Oligodendrocytes","ADHD","Wald ratio",1,0.3,0.066,1.349,6.49e-06,NA,NA,NA,0.011556942
"HYI","Oligodendrocytes","ADHD","Wald ratio",1,0.158,0.035,1.171,6.97e-06,NA,NA,NA,0.052874002
"SPINK8","Oligodendrocytes","ADHD","Wald ratio",1,0.198,0.044,1.218,6.98e-06,NA,NA,NA,0.021164189
"CCDC71","Pericytes","ADHD","Wald ratio",1,-0.095,0.021,0.909,6.98e-06,NA,NA,NA,0.01348249
"ZMYND12","Microglia","ADHD","Wald ratio",1,0.132,0.029,1.141,7.26e-06,NA,NA,NA,0.013436071
"SLC25A20","Endothelial cells","ADHD","Wald ratio",1,0.112,0.025,1.118,7.49e-06,NA,NA,NA,0.015364504
"C12orf65","Excitatory neurons","ADHD","Wald ratio",1,-0.153,0.034,0.858,8.07e-06,NA,NA,NA,0.317711592
"SYT4","Excitatory neurons","ADHD","Wald ratio",1,0.352,0.079,1.421,8.49e-06,NA,NA,NA,0.009536788
"KMT5A","Excitatory neurons","ADHD","Wald ratio",1,0.2,0.045,1.221,8.8e-06,NA,NA,NA,0.083465372
"SLC25A20","Oligodendrocytes","ADHD","Wald ratio",1,-0.199,0.045,0.82,8.92e-06,NA,NA,NA,0.00777886
"DRAM1","OPCs / COPs","ADHD","Wald ratio",1,0.143,0.032,1.154,9.97e-06,NA,NA,NA,0.011121514
"HYI","Excitatory neurons","ADHD","Wald ratio",1,0.161,0.036,1.175,1.01e-05,NA,NA,NA,0.336344153
"SZT2","Excitatory neurons","ADHD","Wald ratio",1,0.257,0.058,1.293,1.01e-05,NA,NA,NA,0.053718247
"HYI","Astrocytes","ADHD","Wald ratio",1,0.175,0.04,1.192,1.01e-05,NA,NA,NA,0.053005976
"ICA1L","Excitatory neurons","ADHD","Wald ratio",1,0.123,0.028,1.131,1.01e-05,NA,NA,NA,0.99104499
"CNPY2","Endothelial cells","ADHD","Wald ratio",1,-0.187,0.042,0.83,1.01e-05,NA,NA,NA,0.00724265
"IKZF4","Astrocytes","ADHD","Wald ratio",1,-0.131,0.03,0.877,1.03e-05,NA,NA,NA,0.007433845
"ERBB3","OPCs / COPs","ADHD","Wald ratio",1,-0.14,0.032,0.869,1.03e-05,NA,NA,NA,0.011818549
"SLK","Microglia","ADHD","Wald ratio",1,0.289,0.066,1.335,1.1e-05,NA,NA,NA,0.007429441
"MCMBP","Endothelial cells","ADHD","Wald ratio",1,-0.153,0.035,0.858,1.11e-05,NA,NA,NA,0.006727205
"KPNA4","OPCs / COPs","ADHD","Wald ratio",1,-0.203,0.046,0.816,1.12e-05,NA,NA,NA,0.010146465
"SLC9B1","Inhibitory neurons","ADHD","Wald ratio",1,0.126,0.029,1.135,1.15e-05,NA,NA,NA,0.010438472
"CCDC71","Microglia","ADHD","Wald ratio",1,0.211,0.048,1.235,1.19e-05,NA,NA,NA,0.008150473
"VILL","Excitatory neurons","ADHD","Wald ratio",1,-0.217,0.05,0.805,1.27e-05,NA,NA,NA,0.005465537
"TIE1","Endothelial cells","ADHD","Wald ratio",1,0.084,0.019,1.087,1.32e-05,NA,NA,NA,0.019686967
"RAB7A","Inhibitory neurons","ADHD","Wald ratio",1,0.199,0.046,1.22,1.49e-05,NA,NA,NA,0.005860822
"FAM102B","OPCs / COPs","ADHD","Wald ratio",1,-0.154,0.036,0.857,1.58e-05,NA,NA,NA,0.006049413
"AL133352.1","Endothelial cells","ADHD","Wald ratio",1,-0.112,0.026,0.894,1.66e-05,NA,NA,NA,0.011897645
"MSS51","Endothelial cells","ADHD","Wald ratio",1,-0.105,0.024,0.901,1.75e-05,NA,NA,NA,0.009931849
"KPNB1","Inhibitory neurons","ADHD","Wald ratio",1,-0.403,0.094,0.668,1.82e-05,NA,NA,NA,0.005424486
"LYG1","Inhibitory neurons","ADHD","Wald ratio",1,0.156,0.037,1.169,1.99e-05,NA,NA,NA,0.005913604
"KIF11","Oligodendrocytes","ADHD","Wald ratio",1,0.132,0.031,1.141,1.99e-05,NA,NA,NA,0.007578552
"AL139220.2","Astrocytes","ADHD","Wald ratio",1,-0.151,0.035,0.86,2.01e-05,NA,NA,NA,0.0083409
"AP006621.3","Excitatory neurons","ADHD","Wald ratio",1,0.064,0.015,1.066,2.02e-05,NA,NA,NA,0.976238998
"AP006621.3","Inhibitory neurons","ADHD","Wald ratio",1,0.099,0.023,1.104,2.02e-05,NA,NA,NA,0.03531478
"MPHOSPH9","Oligodendrocytes","ADHD","Wald ratio",1,-0.205,0.048,0.814,2.14e-05,NA,NA,NA,0.007840864
"LINC00461","OPCs / COPs","ADHD","Wald ratio",1,-0.211,0.05,0.81,2.18e-05,NA,NA,NA,0.003595027
"NUDT13","Endothelial cells","ADHD","Wald ratio",1,0.168,0.04,1.183,2.28e-05,NA,NA,NA,0.004285718
"KIAA0586","Endothelial cells","ADHD","Wald ratio",1,-0.108,0.026,0.897,2.28e-05,NA,NA,NA,0.003688399
"ACAD8","Oligodendrocytes","ADHD","Wald ratio",1,0.202,0.048,1.224,2.5e-05,NA,NA,NA,0.003906469
"SMC5","Excitatory neurons","ADHD","Wald ratio",1,0.481,0.114,1.618,2.56e-05,NA,NA,NA,0.004590508
"REV1","Microglia","ADHD","Wald ratio",1,-0.141,0.034,0.868,2.64e-05,NA,NA,NA,0.011604031
"ABCA4","OPCs / COPs","ADHD","Wald ratio",1,0.153,0.037,1.165,2.81e-05,NA,NA,NA,0.003490786
"GCLM","Excitatory neurons","ADHD","Wald ratio",1,-0.186,0.044,0.83,2.81e-05,NA,NA,NA,0.003606803
"ATG16L1","Microglia","ADHD","Wald ratio",1,0.131,0.032,1.14,3.17e-05,NA,NA,NA,0.002571032
"CDK5RAP2","Endothelial cells","ADHD","Wald ratio",1,-0.145,0.035,0.865,3.19e-05,NA,NA,NA,0.004009667
"C7orf50","Astrocytes","ADHD","Wald ratio",1,-0.232,0.056,0.793,3.23e-05,NA,NA,NA,0.002527493
"CDH26","Microglia","ADHD","Wald ratio",1,0.174,0.042,1.19,3.36e-05,NA,NA,NA,0.003172022
"PHACTR3","OPCs / COPs","ADHD","Wald ratio",1,-0.329,0.079,0.72,3.36e-05,NA,NA,NA,0.00307668
"PFKM","Astrocytes","ADHD","Wald ratio",1,0.272,0.066,1.312,3.45e-05,NA,NA,NA,0.002247071
"RILPL1","Excitatory neurons","ADHD","Wald ratio",1,0.212,0.051,1.236,3.56e-05,NA,NA,NA,0.026561796
"MEF2C","Inhibitory neurons","ADHD","Wald ratio",1,0.399,0.097,1.491,3.65e-05,NA,NA,NA,0.002914265
"SUOX","Excitatory neurons","ADHD","Wald ratio",1,0.203,0.049,1.226,3.85e-05,NA,NA,NA,0.002085449
"RPS26","Endothelial cells","ADHD","Wald ratio",1,-0.083,0.02,0.92,3.85e-05,NA,NA,NA,0.286388087
"FAM186A","Astrocytes","ADHD","Wald ratio",1,-0.254,0.062,0.776,3.9e-05,NA,NA,NA,0.003172833
"TNKS2","OPCs / COPs","ADHD","Wald ratio",1,0.137,0.033,1.147,4.01e-05,NA,NA,NA,0.00221662
"RBM6","OPCs / COPs","ADHD","Wald ratio",1,-0.131,0.032,0.877,4.62e-05,NA,NA,NA,0.021040299
"DOCK3","Inhibitory neurons","ADHD","Wald ratio",1,-0.302,0.074,0.739,4.62e-05,NA,NA,NA,0.005350285
"HEMK1","Excitatory neurons","ADHD","Wald ratio",1,-0.321,0.079,0.725,4.9e-05,NA,NA,NA,0.001787483
"AC093297.2","Inhibitory neurons","ADHD","Wald ratio",1,-0.207,0.051,0.813,4.92e-05,NA,NA,NA,0.004543461
"LINC00971","Excitatory neurons","ADHD","Wald ratio",1,0.282,0.07,1.325,5.1e-05,NA,NA,NA,0.003443648
"STX6","Excitatory neurons","ADHD","Wald ratio",1,0.166,0.041,1.181,5.35e-05,NA,NA,NA,0.00351021
"KNTC1","Oligodendrocytes","ADHD","Wald ratio",1,0.227,0.056,1.255,5.39e-05,NA,NA,NA,0.002876359
"LSG1","Excitatory neurons","ADHD","Wald ratio",1,0.082,0.02,1.085,5.72e-05,NA,NA,NA,0.901553838
"LSG1","Oligodendrocytes","ADHD","Wald ratio",1,0.128,0.032,1.137,5.72e-05,NA,NA,NA,0.004338385
"LSG1","Astrocytes","ADHD","Wald ratio",1,0.097,0.024,1.102,5.72e-05,NA,NA,NA,0.007008881
"MYEF2","Endothelial cells","ADHD","Wald ratio",1,0.11,0.027,1.116,5.77e-05,NA,NA,NA,0.001988159
"IGF1R","Endothelial cells","ADHD","Wald ratio",1,-0.075,0.019,0.928,5.79e-05,NA,NA,NA,0.879333554
"ENKUR","Excitatory neurons","ADHD","Wald ratio",1,0.141,0.035,1.152,5.79e-05,NA,NA,NA,0.001642886
"ESYT3","Excitatory neurons","ADHD","Wald ratio",1,-0.2,0.05,0.819,5.79e-05,NA,NA,NA,0.167966419
"AP006621.3","Oligodendrocytes","ADHD","Wald ratio",1,0.088,0.022,1.092,6.06e-05,NA,NA,NA,0.935906965
"RIPOR3","Pericytes","ADHD","Wald ratio",1,-0.159,0.04,0.853,6.06e-05,NA,NA,NA,0.001355404
"LARP4","Pericytes","ADHD","Wald ratio",1,0.176,0.044,1.192,6.08e-05,NA,NA,NA,0.001401986
"KIFC1","Microglia","ADHD","Wald ratio",1,0.168,0.042,1.183,6.32e-05,NA,NA,NA,0.001351658
"PROSER1","Astrocytes","ADHD","Wald ratio",1,0.167,0.042,1.182,6.34e-05,NA,NA,NA,0.001769397
"U73166.1","Inhibitory neurons","ADHD","Wald ratio",1,-0.14,0.035,0.87,7.19e-05,NA,NA,NA,0.001991765
"ANKRD52","Astrocytes","ADHD","Wald ratio",1,-0.17,0.043,0.844,7.23e-05,NA,NA,NA,0.001602361
"HMCES","Excitatory neurons","ADHD","Wald ratio",1,-0.267,0.067,0.766,7.46e-05,NA,NA,NA,0.003272169
"AL138820.1","Excitatory neurons","ADHD","Wald ratio",1,0.266,0.067,1.305,7.53e-05,NA,NA,NA,0.001458032
"CCDC171","Excitatory neurons","ADHD","Wald ratio",1,-0.129,0.033,0.879,7.59e-05,NA,NA,NA,0.91979173
"TRMO","Endothelial cells","ADHD","Wald ratio",1,0.107,0.027,1.113,7.62e-05,NA,NA,NA,0.002065119
"PTBP2","Endothelial cells","ADHD","Wald ratio",1,-0.172,0.044,0.842,7.7e-05,NA,NA,NA,0.001711791
"DOCK4","Oligodendrocytes","ADHD","Wald ratio",1,0.27,0.068,1.31,7.85e-05,NA,NA,NA,0.001269698
"CPNE3","Excitatory neurons","ADHD","Wald ratio",1,-0.195,0.049,0.823,7.99e-05,NA,NA,NA,0.020167082
"RMDN1","Microglia","ADHD","Wald ratio",1,0.118,0.03,1.125,7.99e-05,NA,NA,NA,0.002254853
"NCBP1","Inhibitory neurons","ADHD","Wald ratio",1,0.147,0.037,1.158,8.08e-05,NA,NA,NA,0.002048783
"DERA","Astrocytes","ADHD","Wald ratio",1,0.24,0.061,1.271,8.18e-05,NA,NA,NA,0.001624419
"RHEBL1","Excitatory neurons","ADHD","Wald ratio",1,-0.284,0.072,0.753,8.25e-05,NA,NA,NA,0.002676613
"RAPH1","Astrocytes","ADHD","Wald ratio",1,0.246,0.062,1.279,8.38e-05,NA,NA,NA,0.009451924
"TTYH3","Excitatory neurons","ADHD","Wald ratio",1,0.243,0.062,1.276,8.51e-05,NA,NA,NA,0.00135784
"FAM110B","Pericytes","ADHD","Wald ratio",1,-0.164,0.042,0.849,8.86e-05,NA,NA,NA,0.001408179
"PRKAR2A","Microglia","ADHD","Wald ratio",1,0.168,0.043,1.183,8.96e-05,NA,NA,NA,0.001131372
"ABHD5","Oligodendrocytes","ADHD","Wald ratio",1,-0.12,0.031,0.887,9.34e-05,NA,NA,NA,0.014699952
"AC122694.1","Pericytes","ADHD","Wald ratio",1,-0.118,0.03,0.889,9.53e-05,NA,NA,NA,0.001293952
"GHDC","Inhibitory neurons","ADHD","Wald ratio",1,-0.16,0.041,0.852,9.62e-05,NA,NA,NA,0.000930362
"SUGP2","Oligodendrocytes","ADHD","Wald ratio",1,0.173,0.044,1.188,9.68e-05,NA,NA,NA,0.001037638
"RHOA","Excitatory neurons","ADHD","Wald ratio",1,0.386,0.099,1.471,9.78e-05,NA,NA,NA,0.000869544
"ANKRD52","Oligodendrocytes","ADHD","Wald ratio",1,0.181,0.046,1.198,9.87e-05,NA,NA,NA,0.000844369
"ANKRD52","Microglia","ADHD","Wald ratio",1,0.147,0.038,1.158,9.87e-05,NA,NA,NA,0.000856773
"CCDC51","Inhibitory neurons","ADHD","Wald ratio",1,-0.208,0.054,0.812,0.000101,NA,NA,NA,0.0009246
"AP006621.3","OPCs / COPs","ADHD","Wald ratio",1,0.107,0.028,1.113,0.000101,NA,NA,NA,0.000972537
"RUFY2","Inhibitory neurons","ADHD","Wald ratio",1,0.197,0.051,1.217,0.000102,NA,NA,NA,0.000842223
"OLAH","Endothelial cells","ADHD","Wald ratio",1,0.084,0.022,1.087,0.000102,NA,NA,NA,0.001003639
"PQLC1","Microglia","ADHD","Wald ratio",1,-0.153,0.039,0.858,0.000102,NA,NA,NA,0.00107656
"IP6K2","Astrocytes","ADHD","Wald ratio",1,0.249,0.064,1.283,0.000106,NA,NA,NA,0.001264804
"PFKFB4","Microglia","ADHD","Wald ratio",1,-0.129,0.033,0.879,0.000106,NA,NA,NA,0.00158651
"DNAH8","OPCs / COPs","ADHD","Wald ratio",1,0.156,0.04,1.168,0.000107,NA,NA,NA,0.001225099
"CMTR1","Endothelial cells","ADHD","Wald ratio",1,0.083,0.021,1.086,0.000107,NA,NA,NA,0.001235461
"PCDHB7","Oligodendrocytes","ADHD","Wald ratio",1,0.188,0.048,1.206,0.000108,NA,NA,NA,0.00193286
"LRRC40","Endothelial cells","ADHD","Wald ratio",1,0.12,0.031,1.127,0.000109,NA,NA,NA,0.00092521
"WDR82","Excitatory neurons","ADHD","Wald ratio",1,0.53,0.137,1.7,0.00011,NA,NA,NA,0.00091341
"TEX264","Oligodendrocytes","ADHD","Wald ratio",1,-0.239,0.062,0.787,0.00011,NA,NA,NA,0.000954522
"AC139768.1","Oligodendrocytes","ADHD","Wald ratio",1,-0.178,0.046,0.837,0.000112,NA,NA,NA,0.000753087
"ZNF280D","Oligodendrocytes","ADHD","Wald ratio",1,-0.273,0.071,0.761,0.000113,NA,NA,NA,0.008547145
"SLCO2B1","Pericytes","ADHD","Wald ratio",1,0.111,0.029,1.118,0.000114,NA,NA,NA,0.001456411
"RBM45","OPCs / COPs","ADHD","Wald ratio",1,0.161,0.042,1.175,0.000114,NA,NA,NA,0.001477136
"VWC2","Excitatory neurons","ADHD","Wald ratio",1,-0.168,0.044,0.846,0.000118,NA,NA,NA,0.001495298
"PEX2","OPCs / COPs","ADHD","Wald ratio",1,0.141,0.037,1.151,0.000119,NA,NA,NA,0.00156085
"ISY1-RAB43","Inhibitory neurons","ADHD","Wald ratio",1,-0.157,0.041,0.854,0.000128,NA,NA,NA,0.001095894
"LINC00907","OPCs / COPs","ADHD","Wald ratio",1,0.142,0.037,1.153,0.000132,NA,NA,NA,0.001282108
"RAB7A","Astrocytes","ADHD","Wald ratio",1,0.163,0.043,1.177,0.000138,NA,NA,NA,0.000872885
"CARD6","Microglia","ADHD","Wald ratio",1,-0.203,0.053,0.816,0.000142,NA,NA,NA,0.000985028
"GKAP1","Astrocytes","ADHD","Wald ratio",1,0.151,0.04,1.163,0.000144,NA,NA,NA,0.00085692
"CTNND1","Pericytes","ADHD","Wald ratio",1,-0.135,0.036,0.874,0.000144,NA,NA,NA,0.000723376
"MAML3","Inhibitory neurons","ADHD","Wald ratio",1,-0.209,0.055,0.811,0.000146,NA,NA,NA,0.00068213
"CBY1","Excitatory neurons","ADHD","Wald ratio",1,-0.135,0.036,0.874,0.000147,NA,NA,NA,0.046104981
"SUPT6H","Inhibitory neurons","ADHD","Wald ratio",1,-0.118,0.031,0.889,0.000148,NA,NA,NA,0.001180531
"TADA1","Astrocytes","ADHD","Wald ratio",1,-0.198,0.052,0.82,0.000151,NA,NA,NA,0.000560526
"LINC01229","Astrocytes","ADHD","Wald ratio",1,-0.185,0.049,0.831,0.000152,NA,NA,NA,0.000988749
"KIF16B","Pericytes","ADHD","Wald ratio",1,0.08,0.021,1.083,0.000154,NA,NA,NA,0.006641467
"LMO3","Astrocytes","ADHD","Wald ratio",1,0.264,0.07,1.302,0.00016,NA,NA,NA,0.000652475
