"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"TYW1","Lymphocyte","DEP","Wald ratio",1,-0.003,0.006,0.997,0.61,NA,NA,NA,0.000473623
"GPR150","Lymphocyte","DEP","Wald ratio",1,-0.003,0.006,0.997,0.611,NA,NA,NA,2.52e-05
"CENPM","Lymphocyte","DEP","Wald ratio",1,0.006,0.012,1.006,0.613,NA,NA,NA,0.00035065
"HOXB2","Lymphocyte","DEP","Wald ratio",1,0.002,0.004,1.002,0.617,NA,NA,NA,4.18e-05
"VAC14","Lymphocyte","DEP","Wald ratio",1,-0.002,0.005,0.998,0.623,NA,NA,NA,0.003116084
"SP100","Lymphocyte","DEP","Wald ratio",1,-0.003,0.007,0.997,0.632,NA,NA,NA,0.002571209
"CLASP1","Lymphocyte","DEP","Wald ratio",1,0.002,0.005,1.002,0.633,NA,NA,NA,3.48e-05
"GRAMD4","Lymphocyte","DEP","Wald ratio",1,0.004,0.009,1.004,0.641,NA,NA,NA,0.000839404
"AGPAT6","Lymphocyte","DEP","Wald ratio",1,0.003,0.006,1.003,0.642,NA,NA,NA,0.000291491
"ALG8","Lymphocyte","DEP","Wald ratio",1,-0.002,0.004,0.998,0.642,NA,NA,NA,0.002324061
"MNT","Lymphocyte","DEP","Wald ratio",1,0.004,0.009,1.004,0.648,NA,NA,NA,0.002240333
"RAB15","Lymphocyte","DEP","Wald ratio",1,-0.005,0.011,0.995,0.657,NA,NA,NA,0.000269114
"TRAK1","Lymphocyte","DEP","Wald ratio",1,0.001,0.003,1.001,0.659,NA,NA,NA,2.76e-06
"SPERT","Lymphocyte","DEP","Wald ratio",1,0.004,0.009,1.004,0.659,NA,NA,NA,0.001343253
"KCNQ5","Lymphocyte","DEP","Wald ratio",1,-0.003,0.007,0.997,0.659,NA,NA,NA,0.000624831
"UTP18","Lymphocyte","DEP","Wald ratio",1,-0.002,0.005,0.998,0.659,NA,NA,NA,0.001450801
"EXOSC9","Lymphocyte","DEP","Wald ratio",1,0.003,0.008,1.003,0.664,NA,NA,NA,0.000277717
"RAPGEF5","Lymphocyte","DEP","Wald ratio",1,-0.002,0.005,0.998,0.665,NA,NA,NA,3.54e-06
