"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"STRN","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.017","0.009","0.983","5.63e-02",NA,NA,NA,0.013311474
"MMAB","Stem-cell-iPSC","DEP","Wald ratio",1," 0.011","0.006","1.011","5.74e-02",NA,NA,NA,0.014950027
"SLC27A1","Stem-cell-iPSC","DEP","Wald ratio",1," 0.020","0.011","1.020","5.89e-02",NA,NA,NA,0.008795487
"ANK1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.017","0.009","0.983","6.56e-02",NA,NA,NA,0.001261034
"WDR25","Stem-cell-iPSC","DEP","Wald ratio",1," 0.020","0.011","1.020","7.03e-02",NA,NA,NA,3.13e-05
"ACO1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.025","0.014","0.975","7.23e-02",NA,NA,NA,0.000238624
"THEM4","Stem-cell-iPSC","DEP","Wald ratio",1," 0.013","0.007","1.013","7.26e-02",NA,NA,NA,0.000884482
"HMGB1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.024","0.013","0.977","7.41e-02",NA,NA,NA,8.22e-05
"TBCD","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.021","0.012","0.980","7.47e-02",NA,NA,NA,0.014894801
"FAM118A","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.010","0.005","0.990","7.58e-02",NA,NA,NA,0.011696531
"CRABP2","Stem-cell-iPSC","DEP","Wald ratio",1," 0.029","0.016","1.030","7.74e-02",NA,NA,NA,0.003123842
"DDX51","Stem-cell-iPSC","DEP","Wald ratio",1," 0.015","0.009","1.016","7.78e-02",NA,NA,NA,0.009171268
"ATP5S","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.011","0.006","0.989","8.11e-02",NA,NA,NA,0.009736112
"PWP1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.019","0.011","0.982","8.35e-02",NA,NA,NA,0.001174258
"NMD3","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.017","0.010","0.983","8.76e-02",NA,NA,NA,0.007581519
"PPP2R4","Stem-cell-iPSC","DEP","Wald ratio",1," 0.017","0.010","1.018","9.01e-02",NA,NA,NA,0.01690112
"SPATA20","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.010","0.006","0.990","9.56e-02",NA,NA,NA,0.013004676
"COA1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.017","0.010","0.984","9.70e-02",NA,NA,NA,0.008551778
"CAND1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.029","0.018","0.971","9.71e-02",NA,NA,NA,0.005825439
"E2F6","Stem-cell-iPSC","DEP","Wald ratio",1," 0.015","0.009","1.015","9.86e-02",NA,NA,NA,6.34e-05
"FARSB","Stem-cell-iPSC","DEP","Wald ratio",1," 0.013","0.008","1.013","9.98e-02",NA,NA,NA,0.008637604
"NADSYN1","Stem-cell-iPSC","DEP","Wald ratio",1," 0.020","0.012","1.020","1.01e-01",NA,NA,NA,0.000105427
"NUF2","Stem-cell-iPSC","DEP","Wald ratio",1," 0.021","0.013","1.022","1.01e-01",NA,NA,NA,0.005553274
"NSFL1C","Stem-cell-iPSC","DEP","Wald ratio",1," 0.018","0.011","1.018","1.02e-01",NA,NA,NA,0.006827658
"HYOU1","Stem-cell-iPSC","DEP","Wald ratio",1," 0.018","0.011","1.018","1.05e-01",NA,NA,NA,0.007316014
"NARS2","Stem-cell-iPSC","DEP","Wald ratio",1," 0.013","0.008","1.013","1.10e-01",NA,NA,NA,0.005350269
"LRWD1","Stem-cell-iPSC","DEP","Wald ratio",1," 0.014","0.009","1.014","1.10e-01",NA,NA,NA,0.004498734
"FDPS","Stem-cell-iPSC","DEP","Wald ratio",1," 0.013","0.008","1.013","1.11e-01",NA,NA,NA,0.007894233
"CRYZ","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.006","0.004","0.994","1.14e-01",NA,NA,NA,0.007445363
"ALDH16A1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.011","0.007","0.989","1.15e-01",NA,NA,NA,0.008923018
