"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"SRA1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.034,0.035,1.035,0.331,NA,NA,NA,0.001672178
"CKAP4","Stem-cell-iPSC","ALZ","Wald ratio",1,0.03,0.031,1.031,0.331,NA,NA,NA,0.000567441
"GALNT3","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.015,0.016,0.985,0.337,NA,NA,NA,0.007684648
"PFAS","Stem-cell-iPSC","ALZ","Wald ratio",1,0.032,0.033,1.032,0.339,NA,NA,NA,0.008357879
"C14orf159","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.008,0.009,0.992,0.342,NA,NA,NA,0.007852271
"EI24","Stem-cell-iPSC","ALZ","Wald ratio",1,0.019,0.02,1.019,0.343,NA,NA,NA,0.000976528
"NUF2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.027,0.029,1.028,0.346,NA,NA,NA,0.005051091
"NSUN2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.024,0.026,1.025,0.351,NA,NA,NA,0.006014128
"VAMP4","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.017,0.019,0.983,0.353,NA,NA,NA,0.000581369
"ALDH7A1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.02,0.022,0.98,0.356,NA,NA,NA,0.006694822
"CPNE1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.01,0.011,0.99,0.357,NA,NA,NA,0.012455179
"CHMP2B","Stem-cell-iPSC","ALZ","Wald ratio",1,0.027,0.03,1.028,0.359,NA,NA,NA,0.001539035
"AACS","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.029,0.032,0.971,0.359,NA,NA,NA,0.001941048
"FHL3","Stem-cell-iPSC","ALZ","Wald ratio",1,0.021,0.023,1.021,0.359,NA,NA,NA,0.007938048
"FN3K","Stem-cell-iPSC","ALZ","Wald ratio",1,0.047,0.052,1.048,0.361,NA,NA,NA,0.001435249
"PECR","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.024,0.027,0.976,0.366,NA,NA,NA,9.74e-05
"OXSR1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.024,0.026,1.024,0.371,NA,NA,NA,0.003216629
"BBS4","Stem-cell-iPSC","ALZ","Wald ratio",1,0.022,0.025,1.022,0.372,NA,NA,NA,0.003851992
"MAPK3","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.015,0.017,0.985,0.376,NA,NA,NA,0.007692884
"GCDH","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.014,0.016,0.986,0.378,NA,NA,NA,0.007350589
"APOL2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.024,0.028,1.024,0.382,NA,NA,NA,0.000499571
"C4orf27","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.013,0.016,0.987,0.386,NA,NA,NA,0.009652038
"DNAJC15","Stem-cell-iPSC","ALZ","Wald ratio",1,0.01,0.012,1.01,0.389,NA,NA,NA,0.008236638
"GOSR1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.022,0.026,0.978,0.394,NA,NA,NA,0.001084674
"PPP2R4","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.02,0.023,0.98,0.398,NA,NA,NA,0.013164696
"ANK1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.018,0.021,0.982,0.402,NA,NA,NA,0.000740327
"TGFB1I1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.016,0.02,0.984,0.403,NA,NA,NA,0.006039641
"GSTT1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.017,0.021,1.017,0.407,NA,NA,NA,0.010628344
"MLH1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.022,0.027,1.023,0.407,NA,NA,NA,0.000275498
"SUN1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.043,0.053,0.958,0.409,NA,NA,NA,0.000324751
"PPAP2C","Stem-cell-iPSC","ALZ","Wald ratio",1,0.019,0.023,1.019,0.41,NA,NA,NA,0.000422667
"TRIM5","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.018,0.022,0.982,0.41,NA,NA,NA,3.8e-05
"FDPS","Stem-cell-iPSC","ALZ","Wald ratio",1,0.016,0.019,1.016,0.411,NA,NA,NA,0.007188622
"IAH1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.012,0.015,1.012,0.412,NA,NA,NA,0.008318601
"ORMDL3","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.016,0.019,0.984,0.413,NA,NA,NA,5.26e-05
"COPG2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.022,0.027,1.023,0.414,NA,NA,NA,0.000677409
"SRR","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.014,0.018,0.986,0.42,NA,NA,NA,0.006654877
"MAP2K2","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.029,0.036,0.971,0.422,NA,NA,NA,0.002121199
"KCTD14","Stem-cell-iPSC","ALZ","Wald ratio",1,0.028,0.035,1.028,0.422,NA,NA,NA,0.004910119
"SLC1A5","Stem-cell-iPSC","ALZ","Wald ratio",1,0.025,0.031,1.025,0.424,NA,NA,NA,0.001909866
"NUP50","Stem-cell-iPSC","ALZ","Wald ratio",1,0.019,0.024,1.019,0.424,NA,NA,NA,0.002504787
"HYOU1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.023,0.029,1.024,0.427,NA,NA,NA,0.007283577
"DIP2B","Stem-cell-iPSC","ALZ","Wald ratio",1,0.013,0.017,1.013,0.429,NA,NA,NA,0.00744535
"HIBCH","Stem-cell-iPSC","ALZ","Wald ratio",1,0.013,0.016,1.013,0.431,NA,NA,NA,0.006688757
"PDK1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.012,0.016,1.012,0.432,NA,NA,NA,0.00718165
"CRYZ","Stem-cell-iPSC","ALZ","Wald ratio",1,0.008,0.01,1.008,0.433,NA,NA,NA,0.006874505
"HSPA4","Stem-cell-iPSC","ALZ","Wald ratio",1,0.026,0.034,1.027,0.438,NA,NA,NA,0.00014672
"TMEM87B","Stem-cell-iPSC","ALZ","Wald ratio",1,0.021,0.027,1.021,0.441,NA,NA,NA,0.000506324
"LYN","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.014,0.018,0.986,0.444,NA,NA,NA,0.001595718
"FAM118A","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.009,0.012,0.991,0.445,NA,NA,NA,0.007290764
"IWS1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.023,0.03,0.977,0.446,NA,NA,NA,9.62e-05
"SPTLC1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.018,0.023,1.018,0.448,NA,NA,NA,0.003794444
"ISCA1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.018,0.024,1.018,0.452,NA,NA,NA,0.006323826
"UMPS","Stem-cell-iPSC","ALZ","Wald ratio",1,0.029,0.038,1.029,0.454,NA,NA,NA,0.001879838
"DLAT","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.02,0.027,0.98,0.456,NA,NA,NA,0.004697024
"TIMELESS","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.023,0.031,0.977,0.461,NA,NA,NA,0.000307084
"HEATR3","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.007,0.01,0.993,0.462,NA,NA,NA,0.007144663
"GPX4","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.012,0.017,0.988,0.463,NA,NA,NA,0.005503154
"FANCI","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.014,0.019,0.987,0.467,NA,NA,NA,0.000677408
"HSPBAP1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.015,0.021,0.985,0.472,NA,NA,NA,0.004806402
"METTL18","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.011,0.016,0.989,0.477,NA,NA,NA,0.009986027
"CDA","Stem-cell-iPSC","ALZ","Wald ratio",1,0.011,0.016,1.011,0.48,NA,NA,NA,0.000483376
"SPATA20","Stem-cell-iPSC","ALZ","Wald ratio",1,0.011,0.015,1.011,0.48,NA,NA,NA,0.01027039
"CHRAC1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.023,0.033,1.024,0.481,NA,NA,NA,0.000354109
"CCDC51","Stem-cell-iPSC","ALZ","Wald ratio",1,0.024,0.035,1.025,0.484,NA,NA,NA,0.000436873
"COA1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.016,0.023,1.016,0.487,NA,NA,NA,0.006317265
"FAH","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.021,0.031,0.979,0.492,NA,NA,NA,0.001975188
"PNMAL1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.014,0.021,1.014,0.492,NA,NA,NA,0.006581274
"ADA","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.017,0.024,0.983,0.495,NA,NA,NA,0.006199043
"TMEM128","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.012,0.018,0.988,0.495,NA,NA,NA,0.005339797
"SLC25A24","Stem-cell-iPSC","ALZ","Wald ratio",1,0.008,0.011,1.008,0.498,NA,NA,NA,0.007351162
"NIPSNAP1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.018,0.027,1.018,0.5,NA,NA,NA,0.006479342
"SURF1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.01,0.015,0.99,0.5,NA,NA,NA,0.00572157
"CD59","Stem-cell-iPSC","ALZ","Wald ratio",1,0.01,0.014,1.01,0.501,NA,NA,NA,0.007195135
"DEPDC1B","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.013,0.02,0.987,0.51,NA,NA,NA,9.3e-05
"ANKMY2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.014,0.022,1.014,0.511,NA,NA,NA,0.004133484
"CDC7","Stem-cell-iPSC","ALZ","Wald ratio",1,0.015,0.023,1.015,0.511,NA,NA,NA,0.002837898
"E2F6","Stem-cell-iPSC","ALZ","Wald ratio",1,0.02,0.03,1.02,0.515,NA,NA,NA,6.57e-05
"CECR5","Stem-cell-iPSC","ALZ","Wald ratio",1,0.014,0.022,1.014,0.518,NA,NA,NA,0.001269229
"DHRS4","Stem-cell-iPSC","ALZ","Wald ratio",1,0.008,0.013,1.008,0.519,NA,NA,NA,0.010422515
"RAB17","Stem-cell-iPSC","ALZ","Wald ratio",1,0.011,0.017,1.011,0.521,NA,NA,NA,0.007273172
