"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"WRB","DA_D52","SCZ","Wald ratio",1,0.03,0.015,1.03,0.0467,NA,NA,NA,0.032368417
"WRB","DA_D52_ROT","SCZ","Wald ratio",1,0.033,0.017,1.034,0.0467,NA,NA,NA,0.032368417
"WRB","Epen1_D52","SCZ","Wald ratio",1,0.06,0.03,1.062,0.0467,NA,NA,NA,0.032368417
"WRB","FPP_D11","SCZ","Wald ratio",1,0.046,0.023,1.047,0.0467,NA,NA,NA,0.032368417
"WRB","Sert_D52","SCZ","Wald ratio",1,0.033,0.017,1.034,0.0467,NA,NA,NA,0.032368417
"WRB","Sert_D52_ROT","SCZ","Wald ratio",1,0.042,0.021,1.043,0.0467,NA,NA,NA,0.032368417
"AKAP12","FPP_D11","SCZ","Wald ratio",1,-0.074,0.037,0.928,0.0467,NA,NA,NA,0.031338635
"CKS2","DA_D52","SCZ","Wald ratio",1,-0.067,0.034,0.936,0.0479,NA,NA,NA,0.05487911
"FAHD1","DA_D52","SCZ","Wald ratio",1,-0.022,0.011,0.978,0.0484,NA,NA,NA,0.038783731
"FAM189A1","Sert_D52_ROT","SCZ","Wald ratio",1,-0.042,0.021,0.959,0.0486,NA,NA,NA,0.034543847
"SCHIP1","Sert_D52","SCZ","Wald ratio",1,-0.053,0.027,0.948,0.0488,NA,NA,NA,0.044417962
"PARVB","Epen1_D52","SCZ","Wald ratio",1,0.069,0.035,1.071,0.049,NA,NA,NA,0.031871602
"BCAS4","Epen1_D52_ROT","SCZ","Wald ratio",1,0.046,0.024,1.047,0.0492,NA,NA,NA,0.029596306
"BCAS4","FPP_D30","SCZ","Wald ratio",1,0.062,0.032,1.064,0.0492,NA,NA,NA,0.030673895
"BCAS4","Epen1_D52","SCZ","Wald ratio",1,0.043,0.022,1.044,0.0492,NA,NA,NA,0.030685293
"BCAS4","DA_D52","SCZ","Wald ratio",1,0.032,0.016,1.033,0.0492,NA,NA,NA,0.030693397
"BCAS4","DA_D30","SCZ","Wald ratio",1,0.049,0.025,1.05,0.0492,NA,NA,NA,0.030692913
"BCAS4","DA_D52_ROT","SCZ","Wald ratio",1,0.046,0.023,1.047,0.0492,NA,NA,NA,0.022958001
"STPG1","Epen1_D52","SCZ","Wald ratio",1,-0.08,0.041,0.923,0.0493,NA,NA,NA,0.020006077
"OCEL1","P_FPP_D11","SCZ","Wald ratio",1,0.061,0.031,1.063,0.0504,NA,NA,NA,0.034577012
"OCEL1","Epen1_D52_ROT","SCZ","Wald ratio",1,0.029,0.015,1.029,0.0504,NA,NA,NA,0.044218436
"OCEL1","Epen1_D30","SCZ","Wald ratio",1,0.028,0.014,1.028,0.0504,NA,NA,NA,0.044218436
"OCEL1","Sert_D52","SCZ","Wald ratio",1,0.049,0.025,1.05,0.0504,NA,NA,NA,0.028799687
"OCEL1","FPP_D11","SCZ","Wald ratio",1,0.069,0.035,1.071,0.0504,NA,NA,NA,0.004944563
"OCEL1","Epen1_D52","SCZ","Wald ratio",1,0.025,0.013,1.026,0.0504,NA,NA,NA,0.044218436
"EMC10","FPP_D11","SCZ","Wald ratio",1,0.057,0.029,1.059,0.0506,NA,NA,NA,0.025372952
"PDPN","Epen1_D52","SCZ","Wald ratio",1,0.052,0.027,1.053,0.0506,NA,NA,NA,0.026345147
"SMC2","FPP_D11","SCZ","Wald ratio",1,0.047,0.024,1.048,0.0506,NA,NA,NA,0.028410153
"LINC00643","Epen1_D52_ROT","SCZ","Wald ratio",1,0.04,0.02,1.041,0.0507,NA,NA,NA,0.028267399
"GPR171","Sert_D52","SCZ","Wald ratio",1,0.016,0.008,1.016,0.0508,NA,NA,NA,0.040638275
"LINC00672","P_FPP_D11","SCZ","Wald ratio",1,0.026,0.014,1.027,0.0518,NA,NA,NA,0.028815947
"LINC00672","FPP_D11","SCZ","Wald ratio",1,0.031,0.016,1.031,0.0518,NA,NA,NA,0.02881565
"RABGAP1","Epen1_D30","SCZ","Wald ratio",1,-0.052,0.027,0.949,0.0524,NA,NA,NA,0.041300363
"SAMM50","P_FPP_D11","SCZ","Wald ratio",1,0.086,0.044,1.089,0.0528,NA,NA,NA,0.039106132
"NEDD4L","Sert_D52","SCZ","Wald ratio",1,-0.035,0.018,0.966,0.053,NA,NA,NA,0.028570179
