"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"PASK","Lymphocyte","ALZ","Wald ratio",1,0.044,0.016,1.045,0.00472,NA,NA,NA,0.259662845
"LMX1A","Lymphocyte","ALZ","Wald ratio",1,-0.319,0.113,0.727,0.00487,NA,NA,NA,0.211325877
"HRG","Lymphocyte","ALZ","Wald ratio",1,0.037,0.013,1.038,0.00514,NA,NA,NA,0.197053387
"CABYR","Lymphocyte","ALZ","Wald ratio",1,0.065,0.023,1.067,0.0052,NA,NA,NA,0.199984119
"CD27","Lymphocyte","ALZ","Wald ratio",1,-0.127,0.046,0.88,0.00526,NA,NA,NA,0.202906553
"CAPZB","Lymphocyte","ALZ","Wald ratio",1,-0.048,0.017,0.954,0.00541,NA,NA,NA,0.206372666
"DOCK9","Lymphocyte","ALZ","Wald ratio",1,0.055,0.02,1.056,0.00548,NA,NA,NA,0.275848225
"CLDN7","Lymphocyte","ALZ","Wald ratio",1,-0.074,0.027,0.928,0.00549,NA,NA,NA,0.193839612
"DULLARD","Lymphocyte","ALZ","Wald ratio",1,-0.033,0.012,0.968,0.00549,NA,NA,NA,0.192963911
"DLG4","Lymphocyte","ALZ","Wald ratio",1,-0.056,0.02,0.946,0.00549,NA,NA,NA,0.193839612
"ZFP42","Lymphocyte","ALZ","Wald ratio",1,0.189,0.068,1.208,0.00557,NA,NA,NA,0.207583236
"GTF2H3","Lymphocyte","ALZ","Wald ratio",1,-0.028,0.01,0.972,0.00578,NA,NA,NA,0.181890592
"ATP6V0A2","Lymphocyte","ALZ","Wald ratio",1,-0.029,0.011,0.971,0.00578,NA,NA,NA,0.182386143
"SIRPB2","Lymphocyte","ALZ","Wald ratio",1,0.093,0.034,1.097,0.00586,NA,NA,NA,0.237431803
"OR9Q1","Lymphocyte","ALZ","Wald ratio",1,-0.052,0.019,0.95,0.00602,NA,NA,NA,0.23191692
"SNX19","Lymphocyte","ALZ","Wald ratio",1,0.046,0.017,1.047,0.00605,NA,NA,NA,0.173430051
"PIK3C2B","Lymphocyte","ALZ","Wald ratio",1,-0.05,0.018,0.952,0.00612,NA,NA,NA,0.191303544
"ZEB2","Lymphocyte","ALZ","Wald ratio",1,-0.106,0.039,0.899,0.00616,NA,NA,NA,0.194481315
"SLC2A2","Lymphocyte","ALZ","Wald ratio",1,-0.141,0.052,0.868,0.00631,NA,NA,NA,0.228003522
"MIR548N","Lymphocyte","ALZ","Wald ratio",1,-0.039,0.014,0.961,0.00645,NA,NA,NA,0.189455365
"LOC100188949","Lymphocyte","ALZ","Wald ratio",1,-0.227,0.084,0.797,0.00679,NA,NA,NA,0.160510922
"EGF","Lymphocyte","ALZ","Wald ratio",1,-0.033,0.012,0.967,0.00702,NA,NA,NA,0.160458213
"SOX9","Lymphocyte","ALZ","Wald ratio",1,-0.22,0.082,0.802,0.00723,NA,NA,NA,0.198603526
"TIFAB","Lymphocyte","ALZ","Wald ratio",1,-0.102,0.038,0.903,0.00735,NA,NA,NA,0.148542782
"AOAH","Lymphocyte","ALZ","Inverse variance weighted",2,0.023,0.009,1.024,0.00806,NA,0.844527322,NA,0.047344198
"TMEM117","Lymphocyte","ALZ","Wald ratio",1,-0.038,0.014,0.963,0.00817,NA,NA,NA,0.182819287
"PALM2","Lymphocyte","ALZ","Wald ratio",1,0.03,0.011,1.031,0.00824,NA,NA,NA,0.107705919
"MGC2752","Lymphocyte","ALZ","Wald ratio",1,-0.131,0.049,0.878,0.00828,NA,NA,NA,0.170583102
"UBE2M","Lymphocyte","ALZ","Wald ratio",1,-0.036,0.014,0.964,0.00828,NA,NA,NA,0.170615248
"CEBPE","Lymphocyte","ALZ","Wald ratio",1,-0.042,0.016,0.959,0.00829,NA,NA,NA,0.139019687
"C15orf41","Lymphocyte","ALZ","Wald ratio",1,-0.047,0.018,0.954,0.00836,NA,NA,NA,0.187838007
"DNAJC13","Lymphocyte","ALZ","Wald ratio",1,0.043,0.016,1.044,0.00851,NA,NA,NA,0.199123823
"LUZP2","Lymphocyte","ALZ","Inverse variance weighted",2,-0.026,0.01,0.975,0.0086,NA,0.928983767,NA,0.019870864
"SOSTDC1","Lymphocyte","ALZ","Wald ratio",1,-0.028,0.011,0.973,0.00885,NA,NA,NA,0.134392902
"CA6","Lymphocyte","ALZ","Wald ratio",1,-0.089,0.034,0.915,0.00932,NA,NA,NA,0.126972699
"C4orf22","Lymphocyte","ALZ","Wald ratio",1,-0.044,0.017,0.957,0.00953,NA,NA,NA,0.13333179
"CYP4F3","Lymphocyte","ALZ","Wald ratio",1,0.102,0.039,1.107,0.00955,NA,NA,NA,0.122501122
"MAP3K12","Lymphocyte","ALZ","Wald ratio",1,-0.162,0.063,0.85,0.00957,NA,NA,NA,0.156961638
"LMCD1","Lymphocyte","ALZ","Wald ratio",1,-0.044,0.017,0.957,0.01,NA,NA,NA,0.119157148
"PLEC1","Lymphocyte","ALZ","Wald ratio",1,-0.058,0.023,0.944,0.0105,NA,NA,NA,0.117687058
"MIR661","Lymphocyte","ALZ","Wald ratio",1,-0.027,0.011,0.973,0.0105,NA,NA,NA,0.117687068
"SYNPO2L","Lymphocyte","ALZ","Wald ratio",1,0.051,0.02,1.052,0.0106,NA,NA,NA,0.170078128
"CLN6","Lymphocyte","ALZ","Wald ratio",1,-0.214,0.084,0.807,0.0108,NA,NA,NA,0.113404913
"DNTTIP2","Lymphocyte","ALZ","Wald ratio",1,0.051,0.02,1.052,0.011,NA,NA,NA,0.19298081
"FLYWCH1","Lymphocyte","ALZ","Wald ratio",1,-1.86,0.733,0.156,0.0112,NA,NA,NA,0.119450095
"PHOSPHO1","Lymphocyte","ALZ","Wald ratio",1,0.051,0.02,1.052,0.0113,NA,NA,NA,0.112241521
"SMYD2","Lymphocyte","ALZ","Wald ratio",1,-0.04,0.016,0.96,0.0113,NA,NA,NA,0.113968063
"KCNH3","Lymphocyte","ALZ","Wald ratio",1,-0.058,0.023,0.944,0.0114,NA,NA,NA,0.165744722
"FMNL3","Lymphocyte","ALZ","Wald ratio",1,-0.125,0.05,0.882,0.0114,NA,NA,NA,0.165746643
"ZNF266","Lymphocyte","ALZ","Wald ratio",1,-0.061,0.024,0.941,0.0114,NA,NA,NA,0.171509209
"MRPL28","Lymphocyte","ALZ","Wald ratio",1,-0.032,0.013,0.968,0.0116,NA,NA,NA,0.109824362
"TMEM8A","Lymphocyte","ALZ","Wald ratio",1,-0.257,0.102,0.773,0.0116,NA,NA,NA,0.109824362
"LOC100134368","Lymphocyte","ALZ","Wald ratio",1,-0.055,0.022,0.947,0.0116,NA,NA,NA,0.109824362
"C19orf40","Lymphocyte","ALZ","Wald ratio",1,-0.301,0.119,0.74,0.0116,NA,NA,NA,0.128807155
