"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"ARHGEF26","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.007","0.023","0.993","7.48e-01",NA,NA,NA,1.1e-05
"XKR4","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.005","0.017","1.005","7.48e-01",NA,NA,NA,0.000302569
"SPINK2","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.011","0.033","1.011","7.48e-01",NA,NA,NA,2.12e-05
"FHDC1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.006","0.019","0.994","7.48e-01",NA,NA,NA,2.89e-06
"IRF7","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.015","0.048","1.016","7.49e-01",NA,NA,NA,5.76e-05
"ST8SIA2","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.009","0.028","0.991","7.49e-01",NA,NA,NA,7.44e-05
"MAP1B","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.021","0.064","1.021","7.50e-01",NA,NA,NA,0.005058772
"SBF2","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.005","0.017","1.005","7.50e-01",NA,NA,NA,0.001089285
"NEPNP","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.015","0.048","0.985","7.51e-01",NA,NA,NA,0.000183502
"LINC01019","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.008","0.025","0.992","7.52e-01",NA,NA,NA,2.17e-05
"BMP6","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.010","0.032","0.990","7.52e-01",NA,NA,NA,0.004962659
"MFAP3L","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.005","0.016","0.995","7.52e-01",NA,NA,NA,1.23e-05
"HRG","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.011","0.036","0.989","7.53e-01",NA,NA,NA,1.24e-05
"LINC00540","Stem-cell-iPSC","ADHD","Weighted median",3," 0.006","0.020","1.006","7.55e-01",0.95569842,0.4139773,0.411132462,1.67e-06
"OSTN","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.004","0.014","0.996","7.56e-01",NA,NA,NA,4.44e-05
"LINC00882","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.008","0.025","1.008","7.57e-01",NA,NA,NA,4.32e-06
"PRPH2","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.004","0.014","1.004","7.58e-01",NA,NA,NA,0.000132669
"GRIN2B","Stem-cell-iPSC","ADHD","MR Egger",3,"-0.022","0.054","0.979","7.58e-01",0.922028858,0.897871959,0.728828248,8.76e-06
"MLLT3","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.025","0.081","1.025","7.58e-01",NA,NA,NA,2.43e-05
"VCAN","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.004","0.012","0.996","7.59e-01",NA,NA,NA,0.000245982
"PRDM2","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.013","0.041","1.013","7.59e-01",NA,NA,NA,2.66e-05
"MMP26","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.004","0.014","1.004","7.59e-01",NA,NA,NA,3.67e-05
"C6orf89","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.005","0.016","0.995","7.61e-01",NA,NA,NA,6.36e-06
"SLC5A8","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.004","0.014","1.004","7.62e-01",NA,NA,NA,1.76e-05
"RPL30P3","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.003","0.011","1.003","7.63e-01",NA,NA,NA,0.00080408
"LINC01267","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.005","0.015","0.995","7.63e-01",NA,NA,NA,0.00504616
"LINC00871","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.009","0.030","1.009","7.64e-01",NA,NA,NA,9.98e-06
"ELL2P3","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.005","0.016","0.995","7.64e-01",NA,NA,NA,1.41e-06
"RYR3","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.010","0.034","0.990","7.65e-01",NA,NA,NA,0.000869612
"STXBP6","Stem-cell-iPSC","ADHD","Inverse variance weighted",2,"-0.006","0.020","0.994","7.66e-01",NA,0.138342478,NA,0.000120355
"RABL3","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.005","0.017","1.005","7.67e-01",NA,NA,NA,2.1e-06
"RASGRF1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.011","0.038","0.989","7.67e-01",NA,NA,NA,5.57e-06
"HERPUD2","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.005","0.017","0.995","7.68e-01",NA,NA,NA,9.87e-06
"CHMP6","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.005","0.017","1.005","7.68e-01",NA,NA,NA,7.59e-05
"CCNY","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.005","0.016","0.995","7.68e-01",NA,NA,NA,6.15e-06
"RNU6-699P","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.008","0.028","1.008","7.69e-01",NA,NA,NA,8.39e-05
"PRNP","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.004","0.014","0.996","7.69e-01",NA,NA,NA,0.000640804
"SORCS2","Stem-cell-iPSC","ADHD","Inverse variance weighted",2,"-0.004","0.014","0.996","7.70e-01",NA,0.217176984,NA,4.1e-05
"SMARCD2","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.009","0.031","0.991","7.70e-01",NA,NA,NA,0.004281469
"FHOD3","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.004","0.015","1.004","7.71e-01",NA,NA,NA,1.08e-05
"MAGI3","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.004","0.015","0.996","7.71e-01",NA,NA,NA,1.68e-05
"LRRC2-AS1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.004","0.014","0.996","7.71e-01",NA,NA,NA,6.23e-05
"KCNQ3","Stem-cell-iPSC","ADHD","Simple mode",3," 0.005","0.017","1.005","7.74e-01",0.829650104,0.893233907,0.744861093,5.61e-06
"ARHGAP42","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.008","0.029","0.992","7.75e-01",NA,NA,NA,0.001431017
