"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"AC079610.1","Lymphocyte","ASD","Wald ratio",1,0.006,0.008,1.006,0.432,NA,NA,NA,0.009404102
"TRAF3IP2","Lymphocyte","ASD","Wald ratio",1,-0.012,0.015,0.988,0.434,NA,NA,NA,9.56e-05
"HECW2","Lymphocyte","ASD","Wald ratio",1,0.017,0.022,1.017,0.434,NA,NA,NA,0.002911518
"ZDHHC13","Lymphocyte","ASD","Wald ratio",1,-0.015,0.02,0.985,0.441,NA,NA,NA,0.001969854
"AC069368.3","Lymphocyte","ASD","Wald ratio",1,-0.007,0.009,0.993,0.446,NA,NA,NA,0.002696655
"CCDC146","Lymphocyte","ASD","Wald ratio",1,-0.013,0.017,0.987,0.448,NA,NA,NA,0.006388712
"GLCCI1","Lymphocyte","ASD","Wald ratio",1,-0.026,0.035,0.974,0.449,NA,NA,NA,0.003257771
"CMIP","Lymphocyte","ASD","Wald ratio",1,0.015,0.02,1.015,0.452,NA,NA,NA,1.3e-05
"AC079630.2","Lymphocyte","ASD","Wald ratio",1,0.013,0.017,1.013,0.454,NA,NA,NA,0.00983662
"LAMC1","Lymphocyte","ASD","Wald ratio",1,-0.017,0.023,0.983,0.455,NA,NA,NA,0.000825947
"POLR2E","Lymphocyte","ASD","Wald ratio",1,-0.023,0.031,0.977,0.457,NA,NA,NA,0.001909063
"PTPRA","Lymphocyte","ASD","Wald ratio",1,0.01,0.013,1.01,0.461,NA,NA,NA,0.009061142
"FAM107B","Lymphocyte","ASD","Wald ratio",1,0.031,0.042,1.031,0.463,NA,NA,NA,1.29e-06
"AHRR","Lymphocyte","ASD","Wald ratio",1,-0.017,0.024,0.983,0.473,NA,NA,NA,0.000687968
"BMPR1APS2","Lymphocyte","ASD","Wald ratio",1,0.012,0.017,1.013,0.475,NA,NA,NA,0.002189037
"NCALD","Lymphocyte","ASD","Wald ratio",1,-0.013,0.019,0.987,0.478,NA,NA,NA,0.001756272
"C1orf228","Lymphocyte","ASD","Wald ratio",1,0.012,0.017,1.012,0.48,NA,NA,NA,0.004498949
"RP11-861A13.4","Lymphocyte","ASD","Wald ratio",1,-0.02,0.029,0.98,0.482,NA,NA,NA,0.000306114
"TLDC1","Lymphocyte","ASD","Inverse variance weighted",2,-0.023,0.033,0.977,0.484,NA,0.375707272,NA,0.013348011
"SND1","Lymphocyte","ASD","Wald ratio",1,-0.022,0.032,0.978,0.486,NA,NA,NA,0.006604606
"CTA-373H7.7","Lymphocyte","ASD","Wald ratio",1,-0.018,0.026,0.982,0.488,NA,NA,NA,0.002207017
"MTFR1","Lymphocyte","ASD","Wald ratio",1,-0.022,0.032,0.978,0.49,NA,NA,NA,0.009745395
"VAV2","Lymphocyte","ASD","Inverse variance weighted",2,0.015,0.021,1.015,0.491,NA,0.896358932,NA,0.009134421
"ISPD","Lymphocyte","ASD","Wald ratio",1,-0.008,0.012,0.992,0.493,NA,NA,NA,2.28e-05
"ADAMTS7","Lymphocyte","ASD","Wald ratio",1,-0.019,0.029,0.981,0.505,NA,NA,NA,0.0067457
"SUZ12P","Lymphocyte","ASD","Wald ratio",1,-0.012,0.018,0.988,0.505,NA,NA,NA,0.000101437
"GLDC","Lymphocyte","ASD","Wald ratio",1,0.007,0.011,1.007,0.505,NA,NA,NA,0.008438937
"CCDC155","Lymphocyte","ASD","Wald ratio",1,0.018,0.027,1.018,0.505,NA,NA,NA,0.008513466
"TMTC4","Lymphocyte","ASD","Wald ratio",1,-0.014,0.021,0.986,0.508,NA,NA,NA,0.009275945
"RP1-152L7.5","Lymphocyte","ASD","Wald ratio",1,0.014,0.022,1.014,0.511,NA,NA,NA,0.005227963
"SP100","Lymphocyte","ASD","Wald ratio",1,-0.014,0.021,0.986,0.511,NA,NA,NA,0.008944847
"SLC18B1","Lymphocyte","ASD","Wald ratio",1,-0.014,0.022,0.986,0.512,NA,NA,NA,0.000130323
"SERPINB10","Lymphocyte","ASD","Wald ratio",1,0.019,0.029,1.019,0.515,NA,NA,NA,0.003786694
"LINC00607","Lymphocyte","ASD","Wald ratio",1,0.005,0.008,1.005,0.521,NA,NA,NA,2.15e-05
"FAM189A1","Lymphocyte","ASD","Wald ratio",1,0.01,0.016,1.011,0.523,NA,NA,NA,3.71e-05
"RASSF2","Lymphocyte","ASD","Wald ratio",1,-0.011,0.018,0.989,0.526,NA,NA,NA,0.008574832
"GPATCH2L","Lymphocyte","ASD","Wald ratio",1,-0.011,0.017,0.989,0.527,NA,NA,NA,6.54e-06
"STK33","Lymphocyte","ASD","Wald ratio",1,0.01,0.016,1.01,0.529,NA,NA,NA,5.27e-05
"ZC2HC1A","Lymphocyte","ASD","Wald ratio",1,0.006,0.01,1.006,0.529,NA,NA,NA,0.000193166
"CHST11","Lymphocyte","ASD","Wald ratio",1,-0.009,0.014,0.991,0.532,NA,NA,NA,0.008938007
"PYGB","Lymphocyte","ASD","Wald ratio",1,-0.015,0.025,0.985,0.533,NA,NA,NA,0.002753459
"EP400","Lymphocyte","ASD","Wald ratio",1,-0.021,0.034,0.979,0.535,NA,NA,NA,0.010672527
"PIEZO2","Lymphocyte","ASD","Wald ratio",1,-0.006,0.01,0.994,0.538,NA,NA,NA,0.008243984
"INPP1","Lymphocyte","ASD","Wald ratio",1,0.016,0.026,1.016,0.539,NA,NA,NA,0.008827946
"RPS10-NUDT3","Lymphocyte","ASD","Wald ratio",1,0.015,0.024,1.015,0.542,NA,NA,NA,0.00292747
"GSDMD","Lymphocyte","ASD","Wald ratio",1,-0.009,0.015,0.991,0.542,NA,NA,NA,0.002258358
"HOXB2","Lymphocyte","ASD","Wald ratio",1,-0.007,0.012,0.993,0.547,NA,NA,NA,0.000141181
"CAPZB","Lymphocyte","ASD","Wald ratio",1,0.011,0.018,1.011,0.551,NA,NA,NA,0.002271477
"PTK7","Lymphocyte","ASD","Wald ratio",1,-0.009,0.016,0.991,0.552,NA,NA,NA,2.34e-06
"RGPD8","Lymphocyte","ASD","Wald ratio",1,0.004,0.007,1.004,0.554,NA,NA,NA,6.53e-06
"PNOC","Lymphocyte","ASD","Wald ratio",1,-0.015,0.026,0.985,0.557,NA,NA,NA,0.008394557
"LINC00423","Lymphocyte","ASD","Wald ratio",1,-0.022,0.038,0.978,0.559,NA,NA,NA,0.012898287
"RPS16","Lymphocyte","ASD","Wald ratio",1,-0.006,0.011,0.994,0.56,NA,NA,NA,1.5e-05
"C9orf69","Lymphocyte","ASD","Wald ratio",1,0.021,0.035,1.021,0.562,NA,NA,NA,0.005561146
"MSH6","Lymphocyte","ASD","Wald ratio",1,0.012,0.021,1.012,0.565,NA,NA,NA,0.009311354
"NARF","Lymphocyte","ASD","Wald ratio",1,0.012,0.021,1.012,0.565,NA,NA,NA,0.008505048
"ZKSCAN8","Lymphocyte","ASD","Wald ratio",1,-0.01,0.017,0.99,0.567,NA,NA,NA,0.009581548
"SH3RF3","Lymphocyte","ASD","Wald ratio",1,-0.01,0.017,0.99,0.568,NA,NA,NA,0.000136095
"RPF2","Lymphocyte","ASD","Wald ratio",1,-0.014,0.024,0.986,0.57,NA,NA,NA,0.010292739
"ADPGK","Lymphocyte","ASD","Wald ratio",1,-0.006,0.011,0.994,0.571,NA,NA,NA,7.08e-05
"ZDHHC7","Lymphocyte","ASD","Wald ratio",1,-0.007,0.012,0.994,0.574,NA,NA,NA,0.005951294
"RP11-542M13.2","Lymphocyte","ASD","Wald ratio",1,0.008,0.014,1.008,0.581,NA,NA,NA,0.006455434
"RP11-219G17.4","Lymphocyte","ASD","Wald ratio",1,-0.015,0.026,0.986,0.581,NA,NA,NA,3.35e-05
"WDSUB1","Lymphocyte","ASD","Wald ratio",1,-0.01,0.019,0.99,0.582,NA,NA,NA,0.001078928
"SPTBN1","Lymphocyte","ASD","Wald ratio",1,0.016,0.029,1.016,0.589,NA,NA,NA,0.009192027
"ZNF767","Lymphocyte","ASD","Wald ratio",1,0.014,0.026,1.014,0.589,NA,NA,NA,0.009071186
"RRP12","Lymphocyte","ASD","Wald ratio",1,0.014,0.027,1.014,0.596,NA,NA,NA,0.008152503
"RMDN2","Lymphocyte","ASD","Wald ratio",1,-0.012,0.022,0.988,0.597,NA,NA,NA,0.007897256
"RP11-701P16.5","Lymphocyte","ASD","Wald ratio",1,0.027,0.051,1.027,0.599,NA,NA,NA,2.15e-06
"ZNF808","Lymphocyte","ASD","Wald ratio",1,-0.01,0.02,0.99,0.6,NA,NA,NA,0.000599901
"HLA-DQA1","Lymphocyte","ASD","Wald ratio",1,-0.005,0.01,0.995,0.602,NA,NA,NA,0.007931995
"HLA-DPB2","Lymphocyte","ASD","Wald ratio",1,-0.011,0.021,0.989,0.603,NA,NA,NA,0.009665455
"RP11-693J15.3","Lymphocyte","ASD","Wald ratio",1,-0.006,0.011,0.994,0.605,NA,NA,NA,0.007860075
"CTD-3094K11.1","Lymphocyte","ASD","Wald ratio",1,-0.006,0.012,0.994,0.605,NA,NA,NA,0.00159016
"GPR146","Lymphocyte","ASD","Wald ratio",1,0.022,0.042,1.022,0.606,NA,NA,NA,0.01056498
"VAC14","Lymphocyte","ASD","Wald ratio",1,0.008,0.015,1.008,0.606,NA,NA,NA,0.010006363
"CTNNBIP1","Lymphocyte","ASD","Wald ratio",1,-0.007,0.014,0.993,0.609,NA,NA,NA,4.84e-05
"ANTXRLP1","Lymphocyte","ASD","Wald ratio",1,0.006,0.013,1.006,0.612,NA,NA,NA,0.008535689
"GAA","Lymphocyte","ASD","Wald ratio",1,-0.015,0.031,0.985,0.615,NA,NA,NA,3.14e-06
"UST","Lymphocyte","ASD","Wald ratio",1,-0.012,0.024,0.988,0.617,NA,NA,NA,0.006607144
"GCNT2","Lymphocyte","ASD","Wald ratio",1,0.01,0.02,1.01,0.617,NA,NA,NA,0.007178012
"PIP5K1C","Lymphocyte","ASD","Wald ratio",1,0.006,0.012,1.006,0.617,NA,NA,NA,0.010031856
"ARHGEF19","Lymphocyte","ASD","Wald ratio",1,-0.011,0.023,0.989,0.617,NA,NA,NA,0.007021958
"BIK","Lymphocyte","ASD","Wald ratio",1,0.008,0.016,1.008,0.619,NA,NA,NA,0.000481482
"JADE2","Lymphocyte","ASD","Wald ratio",1,0.007,0.014,1.007,0.619,NA,NA,NA,0.000694857
"PARVB","Lymphocyte","ASD","Wald ratio",1,0.01,0.02,1.01,0.622,NA,NA,NA,9.19e-05
"ARHGAP26","Lymphocyte","ASD","Wald ratio",1,-0.007,0.015,0.993,0.622,NA,NA,NA,0.007927671
"ARHGAP22","Lymphocyte","ASD","Wald ratio",1,0.007,0.014,1.007,0.625,NA,NA,NA,0.000422687
"NINJ2","Lymphocyte","ASD","Wald ratio",1,0.013,0.028,1.013,0.629,NA,NA,NA,0.007407954
"UTP18","Lymphocyte","ASD","Wald ratio",1,0.008,0.016,1.008,0.63,NA,NA,NA,0.004749402
"RSU1","Lymphocyte","ASD","Wald ratio",1,-0.01,0.022,0.99,0.633,NA,NA,NA,0.008277769
"KCTD1","Lymphocyte","ASD","Wald ratio",1,0.005,0.011,1.005,0.638,NA,NA,NA,0.000210359
