"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"PTAR1","Stem-cell-iPSC","BP","Wald ratio",1,-0.025,0.029,0.976,0.403,NA,NA,NA,0.000685329
"CDA","Stem-cell-iPSC","BP","Wald ratio",1,0.012,0.014,1.012,0.407,NA,NA,NA,0.000474339
"OXNAD1","Stem-cell-iPSC","BP","Wald ratio",1,0.016,0.019,1.016,0.41,NA,NA,NA,0.002363224
"MTHFS","Stem-cell-iPSC","BP","Wald ratio",1,-0.01,0.013,0.99,0.417,NA,NA,NA,0.008381256
"CCDC51","Stem-cell-iPSC","BP","Wald ratio",1,-0.024,0.03,0.976,0.42,NA,NA,NA,0.000400455
"E2F6","Stem-cell-iPSC","BP","Wald ratio",1,-0.018,0.022,0.982,0.422,NA,NA,NA,5.47e-05
"CRABP2","Stem-cell-iPSC","BP","Wald ratio",1,0.028,0.036,1.028,0.433,NA,NA,NA,0.001939709
"ARFGEF1","Stem-cell-iPSC","BP","Wald ratio",1,-0.028,0.036,0.972,0.436,NA,NA,NA,9.09e-05
"EPB41L4A","Stem-cell-iPSC","BP","Wald ratio",1,0.014,0.018,1.014,0.439,NA,NA,NA,5.63e-05
"ACP6","Stem-cell-iPSC","BP","Wald ratio",1,0.015,0.02,1.015,0.44,NA,NA,NA,0.000653024
