"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"BRD3","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.054","0.031","1.055","8.78e-02",NA,NA,NA,0.004179996
"KRI1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.048","0.028","1.049","8.92e-02",NA,NA,NA,0.032970729
"MDH2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.033","0.019","0.967","8.96e-02",NA,NA,NA,0.032675431
"PROSC","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.099","0.059","1.104","9.26e-02",NA,NA,NA,0.005509853
"CBWD1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.031","0.018","1.031","9.43e-02",NA,NA,NA,0.029760514
"GSTP1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.097","0.058","0.908","9.61e-02",NA,NA,NA,0.001473096
"PPT1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.074","0.045","0.929","1.04e-01",NA,NA,NA,0.001221607
"HRSP12","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.079","0.049","0.924","1.07e-01",NA,NA,NA,0.010044765
"GEN1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.044","0.027","1.045","1.08e-01",NA,NA,NA,0.009791051
"TMEM128","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.037","0.023","0.964","1.10e-01",NA,NA,NA,0.018917111
"GFPT2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.052","0.033","0.949","1.11e-01",NA,NA,NA,0.025384623
"MLYCD","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.059","0.037","0.943","1.13e-01",NA,NA,NA,0.003389853
"THUMPD1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.053","0.034","1.055","1.14e-01",NA,NA,NA,0.034722889
"UMPS","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.088","0.056","1.092","1.16e-01",NA,NA,NA,0.007024132
"MLH1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.063","0.040","1.065","1.20e-01",NA,NA,NA,0.000969174
"GCDH","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.036","0.023","1.036","1.25e-01",NA,NA,NA,0.022906246
"DLG1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.047","0.031","1.048","1.26e-01",NA,NA,NA,0.023162928
"NSF","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.054","0.035","0.947","1.27e-01",NA,NA,NA,0.007742252
"HDDC3","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.043","0.029","1.044","1.31e-01",NA,NA,NA,0.012934261
"DIP2B","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.037","0.025","0.964","1.34e-01",NA,NA,NA,0.02409682
"ERAP1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.027","0.018","0.973","1.34e-01",NA,NA,NA,0.026637713
"ARFGEF1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.081","0.054","1.084","1.34e-01",NA,NA,NA,0.000295243
"AP5M1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.051","0.034","1.053","1.37e-01",NA,NA,NA,0.001956806
"ANK1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.047","0.032","1.048","1.38e-01",NA,NA,NA,0.002336631
"MANBA","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.032","0.022","1.032","1.42e-01",NA,NA,NA,0.022468303
"CTSH","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.033","0.023","1.034","1.52e-01",NA,NA,NA,0.03265528
"CLN8","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.049","0.035","0.952","1.54e-01",NA,NA,NA,0.001901695
"SDR39U1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.061","0.043","1.063","1.55e-01",NA,NA,NA,0.000301907
"CDA","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.033","0.023","0.968","1.57e-01",NA,NA,NA,0.001492634
"CKAP4","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.066","0.047","1.068","1.63e-01",NA,NA,NA,0.001390306
"ACO1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.066","0.048","0.936","1.68e-01",NA,NA,NA,0.000414913
"CBS","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.034","0.025","0.966","1.69e-01",NA,NA,NA,0.022843822
"ARHGEF16","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.051","0.037","0.950","1.70e-01",NA,NA,NA,6.88e-05
"CPVL","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.038","0.028","1.039","1.72e-01",NA,NA,NA,0.005792155
"EI24","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.040","0.030","0.960","1.76e-01",NA,NA,NA,0.002343376
"TRMT61B","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.028","0.020","1.028","1.77e-01",NA,NA,NA,0.018030931
"STK33","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.059","0.044","0.943","1.86e-01",NA,NA,NA,0.002293171
"PPIE","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.048","0.037","0.953","1.87e-01",NA,NA,NA,0.017721484
"XPC","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.046","0.035","0.955","1.87e-01",NA,NA,NA,0.00382452
"MSH6","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.019","0.015","0.981","1.87e-01",NA,NA,NA,2.71e-05
"CHPF2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.039","0.030","0.962","1.88e-01",NA,NA,NA,0.005194542
"ENOSF1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.039","0.030","0.962","1.92e-01",NA,NA,NA,0.012643622
"PLCB3","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.051","0.039","0.950","1.98e-01",NA,NA,NA,0.000359218
"CTSC","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.051","0.040","0.950","2.01e-01",NA,NA,NA,0.005000298
"FAM101B","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.057","0.045","1.059","2.03e-01",NA,NA,NA,0.001592393
"ADA","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.046","0.036","0.955","2.03e-01",NA,NA,NA,0.016141858
"RTN3","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.046","0.037","1.047","2.05e-01",NA,NA,NA,0.018059987
"NUBPL","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.048","0.039","1.049","2.11e-01",NA,NA,NA,0.000651513
"NFU1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.032","0.025","1.032","2.14e-01",NA,NA,NA,0.015728804
"ACOT2","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.045","0.036","1.046","2.15e-01",NA,NA,NA,0.001189171
"CASP6","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.054","0.045","0.947","2.27e-01",NA,NA,NA,0.009385247
"STAT3","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.045","0.038","1.046","2.32e-01",NA,NA,NA,0.003533795
"NSUN2","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.047","0.040","1.048","2.35e-01",NA,NA,NA,0.01181219
"UCHL3","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.053","0.045","0.948","2.37e-01",NA,NA,NA,0.014164557
"TBCE","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.052","0.045","1.054","2.41e-01",NA,NA,NA,0.014440531
