"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"RPL13AP25","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.016,2.718,0.0888,0.859412741,NA,NA,NA
"THEM7P","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.025,2.718,0.0889,0.776249049,NA,NA,NA
"C2orf47","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.088,2.718,0.0889,0.322862236,NA,NA,NA
"SGMS1","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.212,2.718,0.0889,0.017124187,NA,NA,NA
"WDR70","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.069,2.718,0.089,0.439111538,NA,NA,NA
"LINC00606","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.033,2.718,0.0891,0.707955612,NA,NA,NA
"LINC01591","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.01,2.718,0.0891,0.910246779,NA,NA,NA
"LINC00251","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.026,2.718,0.0892,0.773197901,NA,NA,NA
"TCAF1","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.074,2.718,0.0892,0.404408864,NA,NA,NA
"RN7SKP207","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.065,2.718,0.0894,0.468106152,NA,NA,NA
"RAD51B","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.047,2.718,0.0894,0.599072138,NA,NA,NA
"RGS14","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.007,2.718,0.0895,0.934008543,NA,NA,NA
"LINC00920","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.058,2.718,0.0897,0.516379634,NA,NA,NA
"TACSTD2","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.173,2.718,0.0897,0.053679764,NA,NA,NA
"LINC01619","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.009,2.718,0.0899,0.923981352,NA,NA,NA
"PAQR6","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.162,2.718,0.0899,0.070923002,NA,NA,NA
"TCN2","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.075,2.718,0.09,0.404302249,NA,NA,NA
"XCL1","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.146,2.718,0.09,0.103900841,NA,NA,NA
"LINC01482","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.091,2.718,0.0902,0.311242517,NA,NA,NA
