"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"SPATA20","Stem-cell-iPSC","SCZ","Wald ratio",1,0.013,0.013,1.013,0.321,NA,NA,NA,0.011173512
"RDH13","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.013,0.014,0.987,0.321,NA,NA,NA,0.007550434
"DHX38","Stem-cell-iPSC","SCZ","Wald ratio",1,0.02,0.02,1.02,0.321,NA,NA,NA,0.000256469
"WNK2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.022,0.022,0.978,0.325,NA,NA,NA,0.010034416
"CD3EAP","Stem-cell-iPSC","SCZ","Wald ratio",1,0.02,0.021,1.021,0.326,NA,NA,NA,0.00585333
"VWA8","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.009,0.01,0.991,0.328,NA,NA,NA,0.007432489
"EXOSC6","Stem-cell-iPSC","SCZ","Wald ratio",1,0.021,0.022,1.021,0.328,NA,NA,NA,0.001198611
"MCCC1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.018,0.018,1.018,0.332,NA,NA,NA,0.000464952
"FAH","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.025,0.026,0.976,0.333,NA,NA,NA,0.002059549
"APOL2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.018,0.019,0.982,0.337,NA,NA,NA,0.000363752
"IQCB1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.012,0.012,0.988,0.337,NA,NA,NA,0.007927599
"NUBPL","Stem-cell-iPSC","SCZ","Wald ratio",1,0.022,0.023,1.022,0.341,NA,NA,NA,0.000279382
"TTC27","Stem-cell-iPSC","SCZ","Wald ratio",1,0.019,0.02,1.019,0.343,NA,NA,NA,0.004829604
"MAP2K2","Stem-cell-iPSC","SCZ","Wald ratio",1,0.032,0.034,1.032,0.346,NA,NA,NA,0.00224525
"FN3K","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.029,0.031,0.971,0.346,NA,NA,NA,0.000900713
"PEPD","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.022,0.024,0.978,0.355,NA,NA,NA,0.006729717
"PTAR1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.025,0.027,0.975,0.356,NA,NA,NA,0.000687226
"SYF2","Stem-cell-iPSC","SCZ","Wald ratio",1,0.021,0.022,1.021,0.357,NA,NA,NA,0.000200606
"TRIM5","Stem-cell-iPSC","SCZ","Wald ratio",1,0.017,0.019,1.017,0.362,NA,NA,NA,3.5e-05
"NTPCR","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.012,0.014,0.988,0.365,NA,NA,NA,0.00807226
"IFITM3","Stem-cell-iPSC","SCZ","Wald ratio",1,0.012,0.013,1.012,0.372,NA,NA,NA,0.006866839
