"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"RNASEH1-AS1","Lymphocyte","ADHD","Wald ratio",1,-0.027,0.015,0.973,0.0692,NA,NA,NA,0.060618412
"CLC","Lymphocyte","ADHD","Wald ratio",1,0.021,0.012,1.022,0.0728,NA,NA,NA,0.000444742
"ELMO1","Lymphocyte","ADHD","Wald ratio",1,-0.016,0.009,0.984,0.074,NA,NA,NA,0.00077958
"PPFIBP2","Lymphocyte","ADHD","Wald ratio",1,0.035,0.02,1.036,0.0765,NA,NA,NA,0.022048475
"UBAC2","Lymphocyte","ADHD","Wald ratio",1,0.026,0.015,1.026,0.0793,NA,NA,NA,0.022225816
"NT5DC2","Lymphocyte","ADHD","Wald ratio",1,0.033,0.019,1.034,0.0797,NA,NA,NA,0.020843916
"CFLAR","Lymphocyte","ADHD","Wald ratio",1,0.031,0.018,1.031,0.0801,NA,NA,NA,3.17e-06
"POLR2E","Lymphocyte","ADHD","Wald ratio",1,-0.042,0.024,0.958,0.0817,NA,NA,NA,0.005167608
"BMP8B","Lymphocyte","ADHD","Wald ratio",1,-0.014,0.008,0.986,0.0822,NA,NA,NA,0.02261101
"MFSD6","Lymphocyte","ADHD","Wald ratio",1,0.034,0.02,1.035,0.0891,NA,NA,NA,0.022288988
"CTB-111H14.1","Lymphocyte","ADHD","Wald ratio",1,0.026,0.015,1.027,0.0897,NA,NA,NA,0.013580046
"PARVB","Lymphocyte","ADHD","Wald ratio",1,-0.027,0.016,0.973,0.09,NA,NA,NA,0.000269584
"DND1P1","Lymphocyte","ADHD","Wald ratio",1,-0.019,0.011,0.981,0.0904,NA,NA,NA,0.026414895
"LITAF","Lymphocyte","ADHD","Wald ratio",1,0.017,0.01,1.017,0.0927,NA,NA,NA,0.018863954
"GNG2","Lymphocyte","ADHD","Wald ratio",1,0.038,0.023,1.039,0.0945,NA,NA,NA,0.008881327
"SAMD3","Lymphocyte","ADHD","Wald ratio",1,0.007,0.004,1.007,0.0956,NA,NA,NA,0.021643006
"DOCK10","Lymphocyte","ADHD","Wald ratio",1,-0.019,0.011,0.981,0.0963,NA,NA,NA,0.019543542
"UST","Lymphocyte","ADHD","Wald ratio",1,0.026,0.016,1.027,0.0997,NA,NA,NA,0.015133455
"DCPS","Lymphocyte","ADHD","Wald ratio",1,-0.02,0.012,0.981,0.1,NA,NA,NA,0.017144508
"FAM174B","Lymphocyte","ADHD","Wald ratio",1,-0.036,0.022,0.965,0.101,NA,NA,NA,0.019077238
"PLCG2","Lymphocyte","ADHD","Wald ratio",1,0.02,0.012,1.021,0.101,NA,NA,NA,0.016194044
"BCAT1","Lymphocyte","ADHD","Wald ratio",1,-0.016,0.01,0.984,0.102,NA,NA,NA,0.026024473
"TANGO6","Lymphocyte","ADHD","Wald ratio",1,0.012,0.007,1.012,0.105,NA,NA,NA,0.026844428
"FAM53A","Lymphocyte","ADHD","Wald ratio",1,0.032,0.02,1.033,0.107,NA,NA,NA,0.000740565
"TSHZ1","Lymphocyte","ADHD","Wald ratio",1,-0.01,0.007,0.99,0.109,NA,NA,NA,0.017008029
"VAV2","Lymphocyte","ADHD","Inverse variance weighted",2,0.022,0.014,1.022,0.11,NA,0.471708214,NA,0.022673743
"TRIM38","Lymphocyte","ADHD","Wald ratio",1,0.025,0.015,1.025,0.111,NA,NA,NA,0.000690878
"SPINT2","Lymphocyte","ADHD","Wald ratio",1,-0.023,0.015,0.977,0.112,NA,NA,NA,0.010410059
"RNF157","Lymphocyte","ADHD","Wald ratio",1,0.018,0.011,1.018,0.116,NA,NA,NA,0.002347757
"ARHGAP22","Lymphocyte","ADHD","Wald ratio",1,0.014,0.009,1.014,0.117,NA,NA,NA,0.000844368
"ITGAE","Lymphocyte","ADHD","Wald ratio",1,-0.028,0.018,0.973,0.127,NA,NA,NA,0.014605772
"CTSH","Lymphocyte","ADHD","Wald ratio",1,0.017,0.011,1.017,0.131,NA,NA,NA,0.015926015
"CYP4F9P","Lymphocyte","ADHD","Wald ratio",1,-0.025,0.016,0.976,0.134,NA,NA,NA,2.81e-06
"RNU6-927P","Lymphocyte","ADHD","Wald ratio",1,-0.025,0.016,0.976,0.134,NA,NA,NA,0.008726616
