"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"SERGEF","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.015,0.998,0.889,NA,NA,NA,0.000208287
"TMC1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.016,0.998,0.889,NA,NA,NA,0.000140568
"TRAV5","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.015,0.998,0.891,NA,NA,NA,2.03e-06
"SIRT1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.006,0.047,1.006,0.892,NA,NA,NA,7.79e-05
"GPC6-AS2","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.015,0.998,0.893,NA,NA,NA,2.62e-05
"ART5","Stem-cell-iPSC","ALZ","Wald ratio",1,0.004,0.03,1.004,0.894,NA,NA,NA,0.006006097
"ZNF280D","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.005,0.04,0.995,0.894,NA,NA,NA,1.9e-05
"LINC00871","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.004,0.031,0.996,0.894,NA,NA,NA,1.01e-05
"DOK4","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.01,0.072,0.991,0.895,NA,NA,NA,3.62e-05
"YBX1P6","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.006,0.047,0.994,0.896,NA,NA,NA,0.002263943
"SEMA5B","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.012,1.002,0.896,NA,NA,NA,0.000891445
"COX10-AS1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.004,0.032,0.996,0.896,NA,NA,NA,2.31e-05
"LINC01619","Stem-cell-iPSC","ALZ","Wald ratio",1,0.004,0.034,1.004,0.897,NA,NA,NA,0.004211824
"VGLL3","Stem-cell-iPSC","ALZ","Wald ratio",1,0.005,0.042,1.005,0.897,NA,NA,NA,0.004990855
"RNU7-183P","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.013,1.002,0.897,NA,NA,NA,4.25e-06
"NRG3","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,-0.002,0.013,0.998,0.897,NA,0.377589446,NA,6.47e-06
"SGCD","Stem-cell-iPSC","ALZ","Wald ratio",1,0.003,0.022,1.003,0.898,NA,NA,NA,2.73e-06
"SGK1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.016,0.998,0.898,NA,NA,NA,1.71e-06
"PRRC2B","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.015,1.002,0.898,NA,NA,NA,1.91e-06
"FOXF2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.014,1.002,0.898,NA,NA,NA,0.005456902
"ERICH1-AS1","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,0.003,0.027,1.003,0.899,NA,0.464704143,NA,1.41e-05
"KLF12","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.004,0.03,0.996,0.899,NA,NA,NA,0.005895686
"TRA2A","Stem-cell-iPSC","ALZ","Wald ratio",1,0.006,0.05,1.006,0.899,NA,NA,NA,0.005036942
"KCNMA1-AS1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.003,0.027,1.003,0.901,NA,NA,NA,1.13e-05
"SYNM","Stem-cell-iPSC","ALZ","Wald ratio",1,0.004,0.036,1.004,0.901,NA,NA,NA,0.006487197
"UNC13C","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,-0.001,0.01,0.999,0.901,NA,0.556253841,NA,0.005389859
"LINC01362","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,0.002,0.016,1.002,0.901,NA,0.577700335,NA,0.007098862
"RPL7P48","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.004,0.034,0.996,0.901,NA,NA,NA,9e-06
"ROBO1","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,0.003,0.022,1.003,0.902,NA,0.049205345,NA,2.26e-05
"RNU6-812P","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.007,0.053,0.993,0.902,NA,NA,NA,0.00278273
"LINC01091","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.006,0.051,0.994,0.903,NA,NA,NA,0.004285327
"DNAJC15","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.02,0.161,0.981,0.903,NA,NA,NA,0.007379442
"AIM1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.006,0.046,0.994,0.904,NA,NA,NA,2.3e-05
"RN7SL361P","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.004,0.032,0.996,0.904,NA,NA,NA,0.003916956
"RN7SKP207","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.004,0.034,0.996,0.904,NA,NA,NA,0.000227035
"NAP1L4P3","Stem-cell-iPSC","ALZ","Wald ratio",1,0.006,0.052,1.006,0.906,NA,NA,NA,0.002421191
"AGAP1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.017,0.998,0.906,NA,NA,NA,3.19e-06
"NRXN1","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,-0.003,0.028,0.997,0.906,NA,0.052902792,NA,9.53e-05
"PELI2","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.003,0.027,0.997,0.906,NA,NA,NA,2.05e-06
"HIST1H2APS6","Stem-cell-iPSC","ALZ","Wald ratio",1,0.004,0.035,1.004,0.907,NA,NA,NA,0.000423662
"SH3RF1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.005,0.04,1.005,0.907,NA,NA,NA,6.12e-05
"SLC25A21","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.003,0.027,0.997,0.907,NA,NA,NA,1.97e-06
"OR1M4P","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.014,0.998,0.908,NA,NA,NA,2.29e-05
"ALOX5AP","Stem-cell-iPSC","ALZ","Wald ratio",1,0.003,0.025,1.003,0.912,NA,NA,NA,1.22e-05
"FUNDC2P2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.017,1.002,0.912,NA,NA,NA,3.6e-06
"MAGI1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.015,1.002,0.912,NA,NA,NA,2.9e-06
"TMC2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.003,0.027,1.003,0.912,NA,NA,NA,0.000248395
"KIAA1217","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,-0.002,0.016,0.998,0.912,NA,0.25698587,NA,7.22e-05
"SNRPEP8","Stem-cell-iPSC","ALZ","Wald ratio",1,0.003,0.032,1.003,0.912,NA,NA,NA,0.000330222
"GRIN2B","Stem-cell-iPSC","ALZ","Inverse variance weighted",3,-0.002,0.02,0.998,0.913,0.374279969,0.332752815,0.445437904,1.68e-05
"DOCK2","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.009,0.083,0.991,0.913,NA,NA,NA,5.59e-05
"FBXO40","Stem-cell-iPSC","ALZ","Wald ratio",1,0.001,0.013,1.001,0.914,NA,NA,NA,0.005096896
"ROR2","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,-0.001,0.014,0.999,0.914,NA,0.348218095,NA,0.000184632
"PARP14","Stem-cell-iPSC","ALZ","Wald ratio",1,0.005,0.047,1.005,0.915,NA,NA,NA,3.36e-05
"ERC2","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,0.001,0.009,1.001,0.916,NA,0.832698657,NA,1.93e-05
"CNTNAP2","Stem-cell-iPSC","ALZ","Weighted median",5,-0.001,0.008,0.999,0.918,0.584299407,0.672832112,0.571752326,3.58e-06
"RN7SKP199","Stem-cell-iPSC","ALZ","Wald ratio",1,0.004,0.035,1.004,0.919,NA,NA,NA,6.37e-05
"ADGRB3","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.004,0.042,0.996,0.919,NA,NA,NA,5.75e-05
"SLC1A2","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.017,0.998,0.919,NA,NA,NA,7.2e-06
"DISP1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.018,1.002,0.92,NA,NA,NA,0.001891871
"GPC5","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,-0.001,0.011,0.999,0.921,NA,0.659749883,NA,3.23e-06
"PYROXD2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.019,1.002,0.922,NA,NA,NA,2.17e-05
"DOCK1","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,0.001,0.015,1.001,0.923,NA,0.721840945,NA,2.79e-05
"PHF2","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.004,0.043,0.996,0.923,NA,NA,NA,7.63e-05
"SYNE1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.017,0.998,0.924,NA,NA,NA,1.5e-05
"RIMS1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.003,0.032,1.003,0.924,NA,NA,NA,1.58e-05
"DERA","Stem-cell-iPSC","ALZ","Wald ratio",1,0.004,0.037,1.004,0.924,NA,NA,NA,0.000262406
"ATG2B","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.02,0.998,0.924,NA,NA,NA,6.99e-05
"VAV3","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.019,1.002,0.925,NA,NA,NA,0.005623948
"GACAT1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.006,0.066,0.994,0.925,NA,NA,NA,0.005486901
"ALPK1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.018,0.998,0.926,NA,NA,NA,4.12e-06
"KIF18A","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.017,1.002,0.926,NA,NA,NA,4.81e-06
"ADGRL3","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.02,0.998,0.926,NA,NA,NA,3.43e-06
"LINC00251","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.003,0.034,0.997,0.928,NA,NA,NA,4.79e-06
"ST13P12","Stem-cell-iPSC","ALZ","Wald ratio",1,0.001,0.015,1.001,0.928,NA,NA,NA,2.45e-06
"PTMAP5","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,0.001,0.015,1.001,0.928,NA,0.890527163,NA,0.000337087
"SLC35F4","Stem-cell-iPSC","ALZ","Wald ratio",1,0.003,0.033,1.003,0.929,NA,NA,NA,4.4e-06
"LOXL4","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.025,0.998,0.93,NA,NA,NA,0.000102192
"COL24A1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.008,0.088,1.008,0.93,NA,NA,NA,0.007353712
"AOAH","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.001,0.013,0.999,0.93,NA,NA,NA,0.000857335
"NRCAM","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.001,0.013,0.999,0.93,NA,NA,NA,4.14e-05
"LINC01428","Stem-cell-iPSC","ALZ","Wald ratio",1,0.003,0.031,1.003,0.932,NA,NA,NA,4.28e-05
"SLC6A19","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.027,1.002,0.932,NA,NA,NA,0.000222619
"RN7SKP196","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.028,0.998,0.933,NA,NA,NA,7.67e-06
"LGR4","Stem-cell-iPSC","ALZ","Wald ratio",1,0.001,0.016,1.001,0.934,NA,NA,NA,7.84e-06
"F11-AS1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.004,0.052,1.004,0.934,NA,NA,NA,0.000929709
"BACE2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.029,1.002,0.934,NA,NA,NA,0.000851087
"SUMO2P13","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.003,0.041,0.997,0.936,NA,NA,NA,0.004775029
"TNR","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.02,0.998,0.936,NA,NA,NA,2.19e-06
"TNFRSF10C","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.021,0.998,0.936,NA,NA,NA,6.97e-06
"DOCK4","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.019,1.002,0.936,NA,NA,NA,1.47e-06
"RNU4ATAC8P","Stem-cell-iPSC","ALZ","Wald ratio",1,0.001,0.017,1.001,0.936,NA,NA,NA,0.001258563
"PKP4","Stem-cell-iPSC","ALZ","Wald ratio",1,0.001,0.015,1.001,0.937,NA,NA,NA,2.5e-06
"TCEA3","Stem-cell-iPSC","ALZ","Wald ratio",1,0.001,0.018,1.001,0.937,NA,NA,NA,2.77e-05
"CDKAL1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.003,0.04,0.997,0.938,NA,NA,NA,2.12e-05
"ALDH18A1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.02,1.002,0.94,NA,NA,NA,1.11e-05
"PCBP3","Stem-cell-iPSC","ALZ","Wald ratio",1,0.001,0.016,1.001,0.94,NA,NA,NA,2.98e-06
"NPC1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.001,0.018,1.001,0.94,NA,NA,NA,2.46e-06
"ABCC13","Stem-cell-iPSC","ALZ","Wald ratio",1,0.003,0.048,1.003,0.942,NA,NA,NA,0.006160428
"MIR4425","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.022,1.002,0.943,NA,NA,NA,5.16e-06
"EGFLAM","Stem-cell-iPSC","ALZ","Wald ratio",1,0.001,0.014,1.001,0.943,NA,NA,NA,6.23e-06
"S100A7","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.001,0.016,0.999,0.943,NA,NA,NA,1.9e-06
"ABCA13","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.028,1.002,0.944,NA,NA,NA,0.004838322
"RPL31P35","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.026,0.998,0.944,NA,NA,NA,0.000386442
"PCDH9","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,0.004,0.052,1.004,0.944,NA,0.021471903,NA,0.064784113
"RB1CC1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.002,0.024,1.002,0.944,NA,NA,NA,4.36e-06
"DLGAP1-AS4","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.002,0.029,0.998,0.944,NA,NA,NA,4.23e-05
"ADARB2","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,-0.001,0.017,0.999,0.945,NA,0.59950743,NA,0.000673872
"TACC3","Stem-cell-iPSC","ALZ","Wald ratio",1,0.001,0.014,1.001,0.945,NA,NA,NA,0.000624677
"PSMF1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.001,0.02,1.001,0.946,NA,NA,NA,0.000625644
"CCSER1","Stem-cell-iPSC","ALZ","Weighted mode",3,-0.001,0.015,0.999,0.947,0.213730158,0.446776695,0.870848382,0.000116819
"FHOD3","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.001,0.016,0.999,0.947,NA,NA,NA,1.13e-05
