"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ADAMTSL3","Lymphocyte","ANX","Wald ratio",1,-0.008,0.033,0.992,0.808,NA,NA,NA,0.000462535
"RAB15","Lymphocyte","ANX","Wald ratio",1,-0.018,0.074,0.982,0.81,NA,NA,NA,0.001655212
"RFTN1","Lymphocyte","ANX","Wald ratio",1,-0.012,0.049,0.988,0.81,NA,NA,NA,0.014789602
"ICA1","Lymphocyte","ANX","Wald ratio",1,-0.008,0.034,0.992,0.81,NA,NA,NA,0.018440063
"TTC39B","Lymphocyte","ANX","Wald ratio",1,0.006,0.025,1.006,0.81,NA,NA,NA,0.013608612
"TBXAS1","Lymphocyte","ANX","Wald ratio",1,0.008,0.034,1.008,0.811,NA,NA,NA,0.001072886
"RPA3","Lymphocyte","ANX","Wald ratio",1,-0.005,0.02,0.995,0.814,NA,NA,NA,0.000181277
"ZNF155","Lymphocyte","ANX","Wald ratio",1,-0.004,0.018,0.996,0.819,NA,NA,NA,0.000495198
"GLYAT","Lymphocyte","ANX","Wald ratio",1,-0.005,0.024,0.995,0.826,NA,NA,NA,0.01346487
"CACNA1E","Lymphocyte","ANX","Wald ratio",1,-0.003,0.015,0.997,0.831,NA,NA,NA,0.013351527
"RHOH","Lymphocyte","ANX","Wald ratio",1,-0.008,0.04,0.992,0.834,NA,NA,NA,0.001295258
"GCNT2","Lymphocyte","ANX","Wald ratio",1,0.021,0.099,1.021,0.835,NA,NA,NA,0.0294251
"TYW1","Lymphocyte","ANX","Wald ratio",1,-0.009,0.044,0.991,0.842,NA,NA,NA,0.002907957
"SLC7A7","Lymphocyte","ANX","Wald ratio",1,0.006,0.032,1.006,0.842,NA,NA,NA,0.01570839
"CRELD2","Lymphocyte","ANX","Wald ratio",1,0.007,0.035,1.007,0.844,NA,NA,NA,0.015984223
"GSAP","Lymphocyte","ANX","Wald ratio",1,-0.008,0.043,0.992,0.847,NA,NA,NA,0.013464474
"IGHV1-69","Lymphocyte","ANX","Wald ratio",1,0.006,0.032,1.006,0.85,NA,NA,NA,7.25e-05
"RPS9","Lymphocyte","ANX","Wald ratio",1,0.012,0.063,1.012,0.853,NA,NA,NA,0.007473659
"MICAL2","Lymphocyte","ANX","Wald ratio",1,-0.007,0.038,0.993,0.857,NA,NA,NA,0.013458679
"MTA3","Lymphocyte","ANX","Wald ratio",1,0.004,0.02,1.004,0.857,NA,NA,NA,0.011798184
"FBXO10","Lymphocyte","ANX","Wald ratio",1,-0.007,0.039,0.993,0.861,NA,NA,NA,0.00343501
"MSH6","Lymphocyte","ANX","Wald ratio",1,-0.008,0.047,0.992,0.861,NA,NA,NA,0.017662397
"PIK3R6","Lymphocyte","ANX","Wald ratio",1,-0.011,0.062,0.989,0.862,NA,NA,NA,0.015589015
"C1orf228","Lymphocyte","ANX","Wald ratio",1,-0.006,0.035,0.994,0.864,NA,NA,NA,0.007170423
"IL2RB","Lymphocyte","ANX","Wald ratio",1,-0.006,0.034,0.994,0.865,NA,NA,NA,0.014223682
"CLEC16A","Lymphocyte","ANX","Wald ratio",1,-0.007,0.039,0.993,0.866,NA,NA,NA,0.010089635
"ANKH","Lymphocyte","ANX","Wald ratio",1,-0.003,0.017,0.997,0.867,NA,NA,NA,0.000295933
"RPS16","Lymphocyte","ANX","Wald ratio",1,0.004,0.023,1.004,0.871,NA,NA,NA,2.65e-05
"TRAF3IP2","Lymphocyte","ANX","Wald ratio",1,0.005,0.028,1.005,0.871,NA,NA,NA,0.000133526
"CHST3","Lymphocyte","ANX","Wald ratio",1,0.004,0.027,1.004,0.876,NA,NA,NA,0.015122364
"ACCS","Lymphocyte","ANX","Wald ratio",1,-0.007,0.044,0.993,0.879,NA,NA,NA,0.016258874
"ADCY3","Lymphocyte","ANX","Wald ratio",1,0.007,0.047,1.007,0.879,NA,NA,NA,0.012732448
"RP11-701P16.5","Lymphocyte","ANX","Wald ratio",1,0.014,0.095,1.014,0.88,NA,NA,NA,3.54e-06
"BIN1","Lymphocyte","ANX","Wald ratio",1,-0.007,0.048,0.993,0.884,NA,NA,NA,0.002819847
"RP5-1198O20.4","Lymphocyte","ANX","Wald ratio",1,0.006,0.04,1.006,0.885,NA,NA,NA,0.01879235
"TMTC4","Lymphocyte","ANX","Wald ratio",1,-0.005,0.04,0.995,0.892,NA,NA,NA,0.014463787
"OVOL1","Lymphocyte","ANX","Wald ratio",1,-0.002,0.014,0.998,0.893,NA,NA,NA,0.013320101
"EMR2","Lymphocyte","ANX","Wald ratio",1,0.009,0.069,1.009,0.894,NA,NA,NA,0.006620565
"RBFOX3","Lymphocyte","ANX","Wald ratio",1,0.004,0.032,1.004,0.895,NA,NA,NA,0.019435582
"PTPN14","Lymphocyte","ANX","Wald ratio",1,0.005,0.036,1.005,0.896,NA,NA,NA,9.29e-05
"AP001347.6","Lymphocyte","ANX","Wald ratio",1,0.004,0.031,1.004,0.897,NA,NA,NA,0.017405858
"INPP1","Lymphocyte","ANX","Wald ratio",1,-0.006,0.051,0.994,0.905,NA,NA,NA,0.014007047
"ZKSCAN8","Lymphocyte","ANX","Wald ratio",1,-0.004,0.037,0.996,0.906,NA,NA,NA,0.017278189
"VAV2","Lymphocyte","ANX","Inverse variance weighted",2,-0.005,0.043,0.995,0.907,NA,0.587476255,NA,0.018655714
"FAM189A1","Lymphocyte","ANX","Wald ratio",1,-0.004,0.036,0.996,0.907,NA,NA,NA,6.54e-05
"TCEB1P28","Lymphocyte","ANX","Wald ratio",1,-0.009,0.079,0.991,0.91,NA,NA,NA,0.003472416
"CMIP","Lymphocyte","ANX","Wald ratio",1,-0.004,0.039,0.996,0.911,NA,NA,NA,1.85e-05
"INTS8","Lymphocyte","ANX","Wald ratio",1,-0.008,0.069,0.992,0.913,NA,NA,NA,0.006915648
"CTNNBIP1","Lymphocyte","ANX","Wald ratio",1,0.003,0.026,1.003,0.914,NA,NA,NA,8.06e-05
"CARS2","Lymphocyte","ANX","Wald ratio",1,-0.007,0.062,0.993,0.914,NA,NA,NA,9.44e-06
"FCRLA","Lymphocyte","ANX","Wald ratio",1,0.006,0.054,1.006,0.916,NA,NA,NA,0.013558306
"CMC2","Lymphocyte","ANX","Wald ratio",1,0.009,0.082,1.009,0.917,NA,NA,NA,0.016866999
"FKBP2","Lymphocyte","ANX","Wald ratio",1,-0.003,0.03,0.997,0.917,NA,NA,NA,0.011543249
"RABEP1","Lymphocyte","ANX","Wald ratio",1,-0.005,0.054,0.995,0.923,NA,NA,NA,0.01519671
"AGPAT6","Lymphocyte","ANX","Wald ratio",1,0.004,0.043,1.004,0.925,NA,NA,NA,0.001739701
"RALB","Lymphocyte","ANX","Wald ratio",1,-0.002,0.026,0.998,0.925,NA,NA,NA,0.007056723
"AGMAT","Lymphocyte","ANX","Wald ratio",1,-0.005,0.052,0.995,0.927,NA,NA,NA,0.013348952
"AP001046.6","Lymphocyte","ANX","Wald ratio",1,0.003,0.035,1.003,0.929,NA,NA,NA,0.009671424
"PNOC","Lymphocyte","ANX","Wald ratio",1,-0.005,0.059,0.995,0.935,NA,NA,NA,0.016209442
"TUBB6","Lymphocyte","ANX","Wald ratio",1,-0.003,0.044,0.997,0.938,NA,NA,NA,0.000439582
"AC069368.3","Lymphocyte","ANX","Wald ratio",1,-0.001,0.02,0.999,0.941,NA,NA,NA,0.004253521
"KCTD1","Lymphocyte","ANX","Wald ratio",1,-0.001,0.021,0.999,0.945,NA,NA,NA,0.000356231
"NCALD","Lymphocyte","ANX","Wald ratio",1,0.002,0.036,1.002,0.947,NA,NA,NA,0.002623696
"SERPINF1","Lymphocyte","ANX","Wald ratio",1,-0.002,0.03,0.998,0.948,NA,NA,NA,0.005534183
"GPHN","Lymphocyte","ANX","Wald ratio",1,0.002,0.028,1.002,0.954,NA,NA,NA,3.91e-05
"VRK1","Lymphocyte","ANX","Wald ratio",1,0.002,0.035,1.002,0.955,NA,NA,NA,0.001007776
"GCC2","Lymphocyte","ANX","Wald ratio",1,0.004,0.068,1.004,0.956,NA,NA,NA,0.013221641
"PDZD2","Lymphocyte","ANX","Wald ratio",1,-0.001,0.019,0.999,0.96,NA,NA,NA,0.000130681
"IQSEC1","Lymphocyte","ANX","Wald ratio",1,0.002,0.048,1.002,0.967,NA,NA,NA,0.016496524
"TRAM2","Lymphocyte","ANX","Wald ratio",1,-0.001,0.028,0.999,0.972,NA,NA,NA,0.015155656
"ZNF341","Lymphocyte","ANX","Wald ratio",1,0.001,0.04,1.001,0.975,NA,NA,NA,0.002617932
"TIFA","Lymphocyte","ANX","Wald ratio",1,-0.001,0.038,0.999,0.978,NA,NA,NA,0.017183041
"RIBC2","Lymphocyte","ANX","Wald ratio",1,-0.001,0.025,0.999,0.98,NA,NA,NA,0.002092312
