"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"EHD4","Lymphocyte","BP","Wald ratio",1,-0.02,0.027,0.98,0.448,NA,NA,NA,0.012237913
"SCAMP4","Lymphocyte","BP","Wald ratio",1,0.029,0.038,1.029,0.448,NA,NA,NA,0.010379541
"WWTR1","Lymphocyte","BP","Wald ratio",1,-0.01,0.013,0.99,0.448,NA,NA,NA,0.008173547
"ACCN4","Lymphocyte","BP","Wald ratio",1,0.009,0.012,1.009,0.448,NA,NA,NA,0.006281381
"COL4A2","Lymphocyte","BP","Weighted median",3,0.008,0.01,1.008,0.449,0.008601532,0.02194806,0.799288134,0.058420241
"SLCO5A1","Lymphocyte","BP","Inverse variance weighted",2,-0.009,0.012,0.991,0.449,NA,0.73953648,NA,0.00494536
"PCGF1","Lymphocyte","BP","Wald ratio",1,-0.011,0.015,0.989,0.449,NA,NA,NA,0.00894649
"LBX2","Lymphocyte","BP","Wald ratio",1,-0.022,0.029,0.978,0.449,NA,NA,NA,0.00894649
"LOC151534","Lymphocyte","BP","Wald ratio",1,-0.018,0.023,0.982,0.449,NA,NA,NA,0.00894649
"IFI27L2","Lymphocyte","BP","Wald ratio",1,0.087,0.114,1.091,0.449,NA,NA,NA,0.006277328
"CLCA2","Lymphocyte","BP","Wald ratio",1,-0.008,0.01,0.992,0.449,NA,NA,NA,0.006799533
"ZBED3","Lymphocyte","BP","Wald ratio",1,-0.011,0.015,0.989,0.449,NA,NA,NA,0.006799533
"TMC5","Lymphocyte","BP","Wald ratio",1,-0.015,0.02,0.985,0.449,NA,NA,NA,0.007060311
"MALL","Lymphocyte","BP","Wald ratio",1,0.057,0.076,1.059,0.45,NA,NA,NA,0.006463385
"OPRM1","Lymphocyte","BP","Wald ratio",1,-0.01,0.014,0.99,0.45,NA,NA,NA,0.006376809
"IFITM5","Lymphocyte","BP","Wald ratio",1,-0.016,0.022,0.984,0.45,NA,NA,NA,0.00750172
"ATHL1","Lymphocyte","BP","Wald ratio",1,-0.013,0.018,0.987,0.45,NA,NA,NA,0.007501721
"BET1L","Lymphocyte","BP","Wald ratio",1,-0.506,0.671,0.603,0.45,NA,NA,NA,0.007501721
"C9orf123","Lymphocyte","BP","Wald ratio",1,-1.143,1.514,0.319,0.451,NA,NA,NA,0.006980729
"ALDOB","Lymphocyte","BP","Wald ratio",1,0.018,0.023,1.018,0.451,NA,NA,NA,0.011429099
"CYB5D2","Lymphocyte","BP","Wald ratio",1,-0.222,0.295,0.801,0.451,NA,NA,NA,0.007758919
"FUBP1","Lymphocyte","BP","Wald ratio",1,-0.306,0.406,0.736,0.451,NA,NA,NA,0.012692271
"EFNA5","Lymphocyte","BP","MR Egger",3,-0.034,0.029,0.967,0.452,0.259368229,0.088268145,0.342113202,0.004675757
"SKP1","Lymphocyte","BP","Wald ratio",1,0.016,0.021,1.016,0.453,NA,NA,NA,0.013047667
"SLC22A23","Lymphocyte","BP","Simple mode",3,-0.018,0.019,0.983,0.453,0.042313826,0.123107613,0.9194051,0.018738946
"METAP2","Lymphocyte","BP","Wald ratio",1,-0.023,0.031,0.977,0.453,NA,NA,NA,0.009409709
"DOCK10","Lymphocyte","BP","Inverse variance weighted",2,-0.007,0.009,0.993,0.454,NA,0.552839819,NA,0.007528806
"SCNN1D","Lymphocyte","BP","Wald ratio",1,-0.016,0.022,0.984,0.456,NA,NA,NA,0.013755114
"MXRA8","Lymphocyte","BP","Wald ratio",1,-0.046,0.062,0.955,0.456,NA,NA,NA,0.013755114
"LOC441869","Lymphocyte","BP","Wald ratio",1,-0.018,0.025,0.982,0.456,NA,NA,NA,0.013755098
"PUSL1","Lymphocyte","BP","Wald ratio",1,-0.017,0.023,0.983,0.456,NA,NA,NA,0.013752203
"LOC100128842","Lymphocyte","BP","Wald ratio",1,-0.023,0.03,0.978,0.456,NA,NA,NA,0.013747904
"UBE2J2","Lymphocyte","BP","Wald ratio",1,-0.016,0.022,0.984,0.456,NA,NA,NA,0.013754124
"TNFRSF18","Lymphocyte","BP","Wald ratio",1,-0.134,0.179,0.875,0.456,NA,NA,NA,0.013755114
"TTLL10","Lymphocyte","BP","Wald ratio",1,-0.021,0.028,0.979,0.456,NA,NA,NA,0.01375287
"DVL1","Lymphocyte","BP","Wald ratio",1,-0.016,0.022,0.984,0.456,NA,NA,NA,0.01374299
"OVCA2","Lymphocyte","BP","Wald ratio",1,0.018,0.025,1.018,0.456,NA,NA,NA,0.012244451
"DPH1","Lymphocyte","BP","Wald ratio",1,0.742,0.995,2.1,0.456,NA,NA,NA,0.012244451
"POLR2C","Lymphocyte","BP","Wald ratio",1,0.237,0.317,1.267,0.456,NA,NA,NA,0.010720899
"CCL17","Lymphocyte","BP","Wald ratio",1,0.014,0.018,1.014,0.456,NA,NA,NA,0.010720899
"F13A1","Lymphocyte","BP","Wald ratio",1,-0.105,0.141,0.9,0.456,NA,NA,NA,0.007449711
"ST3GAL4","Lymphocyte","BP","Wald ratio",1,0.042,0.056,1.042,0.456,NA,NA,NA,0.00719068
"T","Lymphocyte","BP","Inverse variance weighted",2,0.014,0.019,1.014,0.456,NA,0.0928364,NA,0.01651035
"KLF17","Lymphocyte","BP","Wald ratio",1,0.015,0.02,1.015,0.456,NA,NA,NA,0.012423232
"EFHD1","Lymphocyte","BP","Wald ratio",1,0.008,0.011,1.009,0.457,NA,NA,NA,0.006150881
"ATP8B1","Lymphocyte","BP","Wald ratio",1,0.024,0.032,1.024,0.457,NA,NA,NA,0.012095509
"APBA1","Lymphocyte","BP","Wald ratio",1,0.06,0.081,1.062,0.457,NA,NA,NA,0.007116898
"MAN1B1","Lymphocyte","BP","Wald ratio",1,-0.008,0.011,0.992,0.458,NA,NA,NA,0.006275109
"NPDC1","Lymphocyte","BP","Wald ratio",1,-0.014,0.019,0.986,0.458,NA,NA,NA,0.006597126
"C9orf139","Lymphocyte","BP","Wald ratio",1,-0.012,0.016,0.988,0.458,NA,NA,NA,0.006597126
"RNF168","Lymphocyte","BP","Wald ratio",1,-0.009,0.012,0.991,0.458,NA,NA,NA,0.006338136
"COL15A1","Lymphocyte","BP","Inverse variance weighted",2,-0.029,0.039,0.971,0.458,NA,0.108176319,NA,0.005458521
"NID2","Lymphocyte","BP","Inverse variance weighted",2,0.029,0.04,1.03,0.458,NA,0.958477591,NA,0.005096929
"NFKB1","Lymphocyte","BP","Wald ratio",1,0.007,0.01,1.007,0.458,NA,NA,NA,0.006077734
"FOXP2","Lymphocyte","BP","Wald ratio",1,-0.007,0.01,0.993,0.458,NA,NA,NA,0.006077721
"RUNX2","Lymphocyte","BP","Inverse variance weighted",2,0.028,0.037,1.028,0.458,NA,0.471123618,NA,0.009916805
"PEX26","Lymphocyte","BP","Wald ratio",1,0.01,0.013,1.01,0.458,NA,NA,NA,0.006334213
"SH3BP5","Lymphocyte","BP","Wald ratio",1,-0.028,0.037,0.973,0.459,NA,NA,NA,0.009022946
"CA6","Lymphocyte","BP","Wald ratio",1,0.024,0.033,1.025,0.459,NA,NA,NA,0.006261431
