"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"VPS4B","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.032,0.043,0.969,0.463,NA,NA,NA,0.007571335
"SLC25A24","Stem-cell-iPSC","PTSD","Wald ratio",1,0.012,0.016,1.012,0.463,NA,NA,NA,0.011134488
"CAND1","Stem-cell-iPSC","PTSD","Wald ratio",1,0.044,0.06,1.045,0.463,NA,NA,NA,0.006535024
"DIRAS1","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.028,0.039,0.972,0.467,NA,NA,NA,7.45e-05
"IVD","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.023,0.032,0.977,0.47,NA,NA,NA,0.005588542
"C9orf89","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.025,0.034,0.976,0.471,NA,NA,NA,0.006102329
"ACTN3","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.011,0.015,0.99,0.474,NA,NA,NA,0.009434333
"SLC27A1","Stem-cell-iPSC","PTSD","Wald ratio",1,0.028,0.039,1.028,0.478,NA,NA,NA,0.006951158
"PGM2","Stem-cell-iPSC","PTSD","Wald ratio",1,0.029,0.041,1.029,0.479,NA,NA,NA,0.0103524
"HSD17B7","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.015,0.022,0.985,0.481,NA,NA,NA,0.011238174
"SYDE1","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.022,0.031,0.978,0.483,NA,NA,NA,0.000299825
"CCDC97","Stem-cell-iPSC","PTSD","Wald ratio",1,0.02,0.029,1.02,0.486,NA,NA,NA,0.000639173
"C21orf33","Stem-cell-iPSC","PTSD","Wald ratio",1,0.021,0.03,1.021,0.486,NA,NA,NA,0.000430029
"SLC25A1","Stem-cell-iPSC","PTSD","Wald ratio",1,0.039,0.056,1.04,0.486,NA,NA,NA,0.000645126
"MON2","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.023,0.033,0.978,0.491,NA,NA,NA,0.009023782
"SLC1A5","Stem-cell-iPSC","PTSD","Wald ratio",1,0.033,0.048,1.033,0.492,NA,NA,NA,0.00267776
"ORMDL3","Stem-cell-iPSC","PTSD","Wald ratio",1,0.02,0.029,1.02,0.498,NA,NA,NA,7.12e-05
"RAB17","Stem-cell-iPSC","PTSD","Wald ratio",1,0.017,0.025,1.017,0.499,NA,NA,NA,0.01101781
"VPS36","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.03,0.045,0.971,0.501,NA,NA,NA,0.000140334
"ASRGL1","Stem-cell-iPSC","PTSD","Wald ratio",1,0.019,0.029,1.019,0.502,NA,NA,NA,0.0138172
"HDHD2","Stem-cell-iPSC","PTSD","Wald ratio",1,0.03,0.045,1.031,0.504,NA,NA,NA,0.00027447
"UBA6","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.036,0.054,0.965,0.507,NA,NA,NA,0.011293052
"SYF2","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.025,0.039,0.975,0.513,NA,NA,NA,0.000278525
"VRK2","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.019,0.029,0.981,0.513,NA,NA,NA,0.009159548
"POGLUT1","Stem-cell-iPSC","PTSD","Wald ratio",1,0.016,0.024,1.016,0.518,NA,NA,NA,0.008940334
"ATP5S","Stem-cell-iPSC","PTSD","Wald ratio",1,0.014,0.021,1.014,0.519,NA,NA,NA,0.009051463
"DHRS1","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.012,0.018,0.988,0.52,NA,NA,NA,0.01763775
"CSTB","Stem-cell-iPSC","PTSD","Wald ratio",1,0.021,0.033,1.022,0.521,NA,NA,NA,0.009560332
"SRR","Stem-cell-iPSC","PTSD","Wald ratio",1,0.017,0.026,1.017,0.523,NA,NA,NA,0.00883842
"FLNB","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.03,0.047,0.971,0.525,NA,NA,NA,0.001389701
"VAV2","Stem-cell-iPSC","PTSD","Wald ratio",1,0.015,0.024,1.015,0.525,NA,NA,NA,0.009020713
"RPGRIP1L","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.02,0.031,0.981,0.53,NA,NA,NA,0.000302488
"SRA1","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.033,0.053,0.968,0.532,NA,NA,NA,0.001891834
"LRWD1","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.018,0.03,0.982,0.541,NA,NA,NA,0.005082413
"LARS2","Stem-cell-iPSC","PTSD","Wald ratio",1,0.014,0.023,1.014,0.544,NA,NA,NA,0.009218389
"TLDC1","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.018,0.03,0.982,0.546,NA,NA,NA,0.000484278
"CHRAC1","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.029,0.05,0.971,0.555,NA,NA,NA,0.000487845
"CD3EAP","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.021,0.036,0.979,0.561,NA,NA,NA,0.007383543
"CENPV","Stem-cell-iPSC","PTSD","Wald ratio",1,0.008,0.014,1.008,0.561,NA,NA,NA,0.00865449
"EXOSC6","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.021,0.037,0.979,0.562,NA,NA,NA,0.001495909
"CCDC51","Stem-cell-iPSC","PTSD","Wald ratio",1,0.027,0.047,1.027,0.566,NA,NA,NA,0.000541754
"TRIM5","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.019,0.033,0.981,0.568,NA,NA,NA,4.81e-05
"SLC38A9","Stem-cell-iPSC","PTSD","Wald ratio",1,0.019,0.033,1.019,0.569,NA,NA,NA,0.00454063
