"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"COIL","Stem-cell-iPSC","BP","Wald ratio",1,"-0.061","0.029","0.940","3.54e-02",NA,NA,NA,0.00706279
"HDDC3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.038","0.018","0.963","3.54e-02",NA,NA,NA,0.023785799
"CYB5R2","Stem-cell-iPSC","BP","Wald ratio",1," 0.054","0.025","1.055","3.55e-02",NA,NA,NA,0.038429215
"SMC2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.029","0.014","0.972","3.80e-02",NA,NA,NA,0.038620791
"DDX51","Stem-cell-iPSC","BP","Wald ratio",1,"-0.040","0.019","0.961","4.04e-02",NA,NA,NA,0.03391063
"MCOLN2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.027","0.013","0.973","4.06e-02",NA,NA,NA,0.000116056
"IQGAP1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.049","0.024","0.953","4.09e-02",NA,NA,NA,0.010158455
"FHL3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.042","0.021","0.959","4.55e-02",NA,NA,NA,0.033959387
"NQO1","Stem-cell-iPSC","BP","Wald ratio",1," 0.019","0.009","1.019","4.55e-02",NA,NA,NA,0.04176568
"ITPA","Stem-cell-iPSC","BP","Wald ratio",1," 0.026","0.013","1.026","4.55e-02",NA,NA,NA,0.043078062
"NSF","Stem-cell-iPSC","BP","Wald ratio",1,"-0.047","0.024","0.954","4.55e-02",NA,NA,NA,0.011936424
"NTPCR","Stem-cell-iPSC","BP","Wald ratio",1," 0.030","0.015","1.030","4.70e-02",NA,NA,NA,0.04035613
"CKAP4","Stem-cell-iPSC","BP","Wald ratio",1,"-0.059","0.030","0.943","4.77e-02",NA,NA,NA,0.002357298
"CECR1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.025","0.013","0.975","4.77e-02",NA,NA,NA,0.027259431
"RAB5A","Stem-cell-iPSC","BP","Wald ratio",1,"-0.044","0.022","0.957","4.78e-02",NA,NA,NA,0.015875858
"MSH6","Stem-cell-iPSC","BP","Wald ratio",1,"-0.018","0.009","0.982","4.78e-02",NA,NA,NA,5.04e-05
"PRODH","Stem-cell-iPSC","BP","Wald ratio",1,"-0.033","0.017","0.968","4.88e-02",NA,NA,NA,0.034117563
"MLYCD","Stem-cell-iPSC","BP","Wald ratio",1," 0.046","0.023","1.047","5.18e-02",NA,NA,NA,0.004056793
"MCCC1","Stem-cell-iPSC","BP","Wald ratio",1," 0.038","0.019","1.038","5.29e-02",NA,NA,NA,0.002026364
"HMGB1","Stem-cell-iPSC","BP","Wald ratio",1," 0.057","0.030","1.059","5.37e-02",NA,NA,NA,0.00023636
"ZRANB3","Stem-cell-iPSC","BP","Wald ratio",1," 0.040","0.021","1.041","5.38e-02",NA,NA,NA,0.000928676
"ENOSF1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.035","0.018","0.966","5.67e-02",NA,NA,NA,0.020483256
"HEATR3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.018","0.009","0.982","5.68e-02",NA,NA,NA,0.031006281
"GFM2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.043","0.023","0.958","5.82e-02",NA,NA,NA,0.00115401
"IWS1","Stem-cell-iPSC","BP","Wald ratio",1," 0.053","0.028","1.054","5.93e-02",NA,NA,NA,0.000394262
"LCLAT1","Stem-cell-iPSC","BP","Wald ratio",1," 0.044","0.024","1.045","6.00e-02",NA,NA,NA,0.00470819
"FDPS","Stem-cell-iPSC","BP","Wald ratio",1," 0.034","0.018","1.034","6.03e-02",NA,NA,NA,0.027637371
"GNA12","Stem-cell-iPSC","BP","Wald ratio",1," 0.049","0.026","1.050","6.12e-02",NA,NA,NA,0.000162224
"PRKAB1","Stem-cell-iPSC","BP","Wald ratio",1," 0.058","0.032","1.060","6.58e-02",NA,NA,NA,0.001123589
"PLEKHA7","Stem-cell-iPSC","BP","Wald ratio",1,"-0.034","0.019","0.966","6.63e-02",NA,NA,NA,0.018316946
"KCTD14","Stem-cell-iPSC","BP","Wald ratio",1," 0.056","0.031","1.058","7.10e-02",NA,NA,NA,0.016041894
"PNMAL1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.036","0.020","0.965","7.13e-02",NA,NA,NA,0.02455596
"TRMT61B","Stem-cell-iPSC","BP","Wald ratio",1," 0.023","0.013","1.023","7.39e-02",NA,NA,NA,0.022575171
"AK3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.027","0.015","0.973","7.95e-02",NA,NA,NA,0.027275514
"GCFC2","Stem-cell-iPSC","BP","Wald ratio",1," 0.033","0.019","1.034","8.05e-02",NA,NA,NA,0.012166679
"SPATA20","Stem-cell-iPSC","BP","Wald ratio",1,"-0.025","0.014","0.975","8.07e-02",NA,NA,NA,0.03290411
"PDP2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.040","0.023","0.961","8.25e-02",NA,NA,NA,9.79e-05
"CPNE1","Stem-cell-iPSC","BP","Wald ratio",1," 0.017","0.010","1.018","8.49e-02",NA,NA,NA,0.032675807
"CARS2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.023","0.013","0.977","8.53e-02",NA,NA,NA,0.037892684
"ADA","Stem-cell-iPSC","BP","Wald ratio",1,"-0.040","0.024","0.961","8.89e-02",NA,NA,NA,0.019717708
"S100A13","Stem-cell-iPSC","BP","Wald ratio",1,"-0.035","0.020","0.966","8.95e-02",NA,NA,NA,0.019805165
"LYPLAL1","Stem-cell-iPSC","BP","Wald ratio",1," 0.031","0.018","1.031","9.20e-02",NA,NA,NA,0.000220112
"HSDL2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.043","0.026","0.958","9.36e-02",NA,NA,NA,0.000930207
"TSFM","Stem-cell-iPSC","BP","Wald ratio",1," 0.022","0.013","1.022","9.36e-02",NA,NA,NA,0.019689828
"PPAP2C","Stem-cell-iPSC","BP","Wald ratio",1,"-0.037","0.022","0.964","9.62e-02",NA,NA,NA,0.001150552
"VPS4B","Stem-cell-iPSC","BP","Wald ratio",1,"-0.046","0.027","0.955","9.70e-02",NA,NA,NA,0.014541207
"WDR18","Stem-cell-iPSC","BP","Wald ratio",1,"-0.038","0.023","0.962","9.73e-02",NA,NA,NA,0.000786182
"C9orf89","Stem-cell-iPSC","BP","Wald ratio",1," 0.036","0.022","1.037","9.79e-02",NA,NA,NA,0.011813335
"CECR5","Stem-cell-iPSC","BP","Wald ratio",1," 0.034","0.021","1.035","1.02e-01",NA,NA,NA,0.003786339
"LRPAP1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.023","0.014","0.977","1.04e-01",NA,NA,NA,0.017587114
"IMMT","Stem-cell-iPSC","BP","Wald ratio",1,"-0.029","0.018","0.971","1.08e-01",NA,NA,NA,0.016713626
"PLD2","Stem-cell-iPSC","BP","Wald ratio",1," 0.032","0.020","1.032","1.17e-01",NA,NA,NA,0.002829194
"FARSB","Stem-cell-iPSC","BP","Wald ratio",1,"-0.027","0.017","0.973","1.17e-01",NA,NA,NA,0.016315454
"C11orf54","Stem-cell-iPSC","BP","Wald ratio",1," 0.022","0.014","1.022","1.18e-01",NA,NA,NA,0.015952269
"SPRYD3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.031","0.020","0.969","1.18e-01",NA,NA,NA,0.000368335
"ATM","Stem-cell-iPSC","BP","Wald ratio",1," 0.031","0.020","1.032","1.23e-01",NA,NA,NA,0.004767157
"ASL","Stem-cell-iPSC","BP","Wald ratio",1,"-0.046","0.030","0.955","1.23e-01",NA,NA,NA,0.015259281
"NT5DC3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.026","0.017","0.974","1.23e-01",NA,NA,NA,0.000758407
"NUDT19","Stem-cell-iPSC","BP","Wald ratio",1," 0.028","0.019","1.029","1.27e-01",NA,NA,NA,0.002768815
"STAT3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.036","0.024","0.965","1.29e-01",NA,NA,NA,0.003477198
"UQCR10","Stem-cell-iPSC","BP","Wald ratio",1,"-0.039","0.026","0.962","1.32e-01",NA,NA,NA,0.029127912
"CHPF2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.029","0.019","0.971","1.32e-01",NA,NA,NA,0.00445839
"NUP50","Stem-cell-iPSC","BP","Wald ratio",1,"-0.034","0.023","0.967","1.32e-01",NA,NA,NA,0.005297178
"NUDCD3","Stem-cell-iPSC","BP","Wald ratio",1," 0.042","0.028","1.043","1.34e-01",NA,NA,NA,0.010916999
"KHK","Stem-cell-iPSC","BP","Wald ratio",1,"-0.024","0.016","0.976","1.36e-01",NA,NA,NA,0.0101694
"SURF1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.023","0.015","0.977","1.38e-01",NA,NA,NA,0.014016901
"NADSYN1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.038","0.026","0.963","1.41e-01",NA,NA,NA,0.000168133
"ALPL","Stem-cell-iPSC","BP","Wald ratio",1,"-0.030","0.020","0.970","1.41e-01",NA,NA,NA,0.00053786
"POGLUT1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.022","0.015","0.978","1.44e-01",NA,NA,NA,0.01331286
"PPT1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.043","0.029","0.958","1.47e-01",NA,NA,NA,0.000612042
"ACADS","Stem-cell-iPSC","BP","Wald ratio",1," 0.030","0.021","1.030","1.58e-01",NA,NA,NA,0.005081839
"TMEM230","Stem-cell-iPSC","BP","Wald ratio",1," 0.026","0.019","1.026","1.70e-01",NA,NA,NA,0.011865006
"TRIM68","Stem-cell-iPSC","BP","Wald ratio",1,"-0.027","0.020","0.973","1.73e-01",NA,NA,NA,0.000123657
"SCCPDH","Stem-cell-iPSC","BP","Wald ratio",1," 0.027","0.020","1.027","1.75e-01",NA,NA,NA,0.000820224
"RAB17","Stem-cell-iPSC","BP","Wald ratio",1," 0.021","0.016","1.022","1.77e-01",NA,NA,NA,0.013880748
"PPIL3","Stem-cell-iPSC","BP","Wald ratio",1," 0.012","0.009","1.012","1.87e-01",NA,NA,NA,0.013241443
"LRWD1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.026","0.020","0.975","1.91e-01",NA,NA,NA,0.006447664
"THEM4","Stem-cell-iPSC","BP","Wald ratio",1," 0.021","0.016","1.021","1.93e-01",NA,NA,NA,0.000897093
"EEFSEC","Stem-cell-iPSC","BP","Wald ratio",1,"-0.029","0.023","0.971","1.94e-01",NA,NA,NA,0.001031638
"GSTM4","Stem-cell-iPSC","BP","Wald ratio",1,"-0.031","0.024","0.969","1.99e-01",NA,NA,NA,0.000241766
"KIF14","Stem-cell-iPSC","BP","Wald ratio",1," 0.033","0.026","1.034","2.00e-01",NA,NA,NA,0.000187719
"CPPED1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.037","0.029","0.963","2.05e-01",NA,NA,NA,0.005875431
"RDH13","Stem-cell-iPSC","BP","Wald ratio",1,"-0.019","0.015","0.982","2.10e-01",NA,NA,NA,0.011067253
"ATXN2L","Stem-cell-iPSC","BP","Wald ratio",1,"-0.020","0.016","0.980","2.11e-01",NA,NA,NA,0.005731604
"TRIM44","Stem-cell-iPSC","BP","Wald ratio",1," 0.017","0.014","1.018","2.16e-01",NA,NA,NA,6.5e-06
"RPGRIP1L","Stem-cell-iPSC","BP","Wald ratio",1,"-0.024","0.020","0.976","2.18e-01",NA,NA,NA,0.000334013
"EOGT","Stem-cell-iPSC","BP","Wald ratio",1," 0.019","0.016","1.020","2.20e-01",NA,NA,NA,0.006875412
"EXOSC6","Stem-cell-iPSC","BP","Wald ratio",1,"-0.029","0.024","0.972","2.23e-01",NA,NA,NA,0.001701129
"AACS","Stem-cell-iPSC","BP","Wald ratio",1,"-0.035","0.029","0.965","2.31e-01",NA,NA,NA,0.002430995
"CALB1","Stem-cell-iPSC","BP","Wald ratio",1," 0.027","0.023","1.027","2.37e-01",NA,NA,NA,0.008052189
"FAM160A1","Stem-cell-iPSC","BP","Wald ratio",1," 0.023","0.019","1.023","2.38e-01",NA,NA,NA,0.008329468
"ATP5S","Stem-cell-iPSC","BP","Wald ratio",1," 0.016","0.013","1.016","2.38e-01",NA,NA,NA,0.009323442
"SYF2","Stem-cell-iPSC","BP","Wald ratio",1," 0.029","0.024","1.029","2.40e-01",NA,NA,NA,0.000285074
"MTAP","Stem-cell-iPSC","BP","Wald ratio",1," 0.047","0.040","1.048","2.40e-01",NA,NA,NA,0.00319018
"STRN","Stem-cell-iPSC","BP","Wald ratio",1,"-0.023","0.019","0.978","2.43e-01",NA,NA,NA,0.009297999
"COA1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.025","0.022","0.975","2.48e-01",NA,NA,NA,0.009190895
"NTS","Stem-cell-iPSC","BP","Wald ratio",1,"-0.013","0.012","0.987","2.48e-01",NA,NA,NA,0.009127443
"ALDH16A1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.016","0.014","0.984","2.52e-01",NA,NA,NA,0.010451398
"DLAT","Stem-cell-iPSC","BP","Wald ratio",1,"-0.030","0.026","0.971","2.53e-01",NA,NA,NA,0.006455715
"CPT2","Stem-cell-iPSC","BP","Wald ratio",1," 0.019","0.017","1.019","2.54e-01",NA,NA,NA,0.010646128
"NMD3","Stem-cell-iPSC","BP","Wald ratio",1," 0.024","0.021","1.025","2.56e-01",NA,NA,NA,0.007195696
"CCBL2","Stem-cell-iPSC","BP","Wald ratio",1," 0.013","0.012","1.013","2.61e-01",NA,NA,NA,0.009011834
"MIPEP","Stem-cell-iPSC","BP","Wald ratio",1," 0.028","0.025","1.028","2.65e-01",NA,NA,NA,0.002413844
"DHX36","Stem-cell-iPSC","BP","Wald ratio",1," 0.028","0.026","1.029","2.69e-01",NA,NA,NA,0.00028441
"GALNT3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.017","0.015","0.983","2.70e-01",NA,NA,NA,0.008812802
"HSPA4","Stem-cell-iPSC","BP","Wald ratio",1,"-0.035","0.032","0.965","2.70e-01",NA,NA,NA,0.000188948
"APIP","Stem-cell-iPSC","BP","Wald ratio",1,"-0.013","0.012","0.987","2.71e-01",NA,NA,NA,0.00896946
"SUPT5H","Stem-cell-iPSC","BP","Wald ratio",1,"-0.036","0.033","0.965","2.72e-01",NA,NA,NA,8.84e-05
"SPTBN1","Stem-cell-iPSC","BP","Wald ratio",1," 0.026","0.024","1.026","2.73e-01",NA,NA,NA,0.007906245
"ATG3","Stem-cell-iPSC","BP","Wald ratio",1," 0.046","0.042","1.047","2.73e-01",NA,NA,NA,0.000230946
"NAT10","Stem-cell-iPSC","BP","Wald ratio",1," 0.034","0.031","1.034","2.74e-01",NA,NA,NA,0.002556923
"IQGAP3","Stem-cell-iPSC","BP","Wald ratio",1," 0.015","0.013","1.015","2.76e-01",NA,NA,NA,0.008774636
"CBS","Stem-cell-iPSC","BP","Wald ratio",1," 0.017","0.016","1.017","2.77e-01",NA,NA,NA,0.010232743
"GULP1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.019","0.018","0.981","2.78e-01",NA,NA,NA,0.008295375
"NIPSNAP1","Stem-cell-iPSC","BP","Wald ratio",1," 0.028","0.026","1.028","2.78e-01",NA,NA,NA,0.00885863
"SELENBP1","Stem-cell-iPSC","BP","Wald ratio",1," 0.031","0.029","1.032","2.79e-01",NA,NA,NA,0.006602789
"BBS4","Stem-cell-iPSC","BP","Wald ratio",1," 0.025","0.024","1.025","2.88e-01",NA,NA,NA,0.004322363
"POLI","Stem-cell-iPSC","BP","Wald ratio",1,"-0.016","0.015","0.984","2.93e-01",NA,NA,NA,0.008178889
"FAM221A","Stem-cell-iPSC","BP","Wald ratio",1," 0.014","0.014","1.014","2.97e-01",NA,NA,NA,0.007918789
"SCRN2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.018","0.018","0.982","3.02e-01",NA,NA,NA,0.007821962
"PROSC","Stem-cell-iPSC","BP","Wald ratio",1," 0.040","0.039","1.041","3.03e-01",NA,NA,NA,0.001534739
"THUMPD1","Stem-cell-iPSC","BP","Wald ratio",1," 0.022","0.021","1.022","3.07e-01",NA,NA,NA,0.011031017
"MAP2K2","Stem-cell-iPSC","BP","Wald ratio",1," 0.037","0.037","1.038","3.09e-01",NA,NA,NA,0.002619602
"TTC38","Stem-cell-iPSC","BP","Wald ratio",1,"-0.029","0.029","0.971","3.13e-01",NA,NA,NA,6.08e-05
"DLG1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.019","0.019","0.981","3.18e-01",NA,NA,NA,0.007640658
"NMRAL1","Stem-cell-iPSC","BP","Wald ratio",1," 0.015","0.015","1.015","3.23e-01",NA,NA,NA,0.011598089
"TBCEL","Stem-cell-iPSC","BP","Wald ratio",1,"-0.027","0.028","0.973","3.32e-01",NA,NA,NA,0.003192173
"SCG3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.015","0.016","0.985","3.34e-01",NA,NA,NA,2.12e-05
"NUBPL","Stem-cell-iPSC","BP","Wald ratio",1," 0.023","0.025","1.024","3.40e-01",NA,NA,NA,0.000301682
"NAGA","Stem-cell-iPSC","BP","Wald ratio",1,"-0.031","0.033","0.969","3.40e-01",NA,NA,NA,0.001066342
"WRN","Stem-cell-iPSC","BP","Wald ratio",1,"-0.015","0.015","0.985","3.41e-01",NA,NA,NA,0.00222347
"CAND1","Stem-cell-iPSC","BP","Wald ratio",1," 0.036","0.038","1.037","3.43e-01",NA,NA,NA,0.004973132
"ZNF830","Stem-cell-iPSC","BP","Wald ratio",1,"-0.032","0.034","0.968","3.47e-01",NA,NA,NA,8.94e-05
"PWP1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.023","0.024","0.978","3.47e-01",NA,NA,NA,0.00091767
"HIBCH","Stem-cell-iPSC","BP","Wald ratio",1,"-0.015","0.016","0.985","3.49e-01",NA,NA,NA,0.007292553
"DHRS4","Stem-cell-iPSC","BP","Wald ratio",1,"-0.011","0.012","0.989","3.51e-01",NA,NA,NA,0.012270785
"MAK16","Stem-cell-iPSC","BP","Wald ratio",1,"-0.025","0.027","0.975","3.52e-01",NA,NA,NA,0.005125677
"TXN","Stem-cell-iPSC","BP","Wald ratio",1," 0.022","0.024","1.022","3.53e-01",NA,NA,NA,0.010328901
"ITM2C","Stem-cell-iPSC","BP","Wald ratio",1," 0.024","0.026","1.024","3.55e-01",NA,NA,NA,0.000642458
"ETHE1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.012","0.013","0.988","3.55e-01",NA,NA,NA,0.009150992
"NUDT2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.016","0.017","0.984","3.55e-01",NA,NA,NA,0.010050834
"MPI","Stem-cell-iPSC","BP","Wald ratio",1," 0.021","0.023","1.021","3.60e-01",NA,NA,NA,0.007074413
"YTHDC2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.013","0.014","0.987","3.62e-01",NA,NA,NA,0.007548406
"CCDC97","Stem-cell-iPSC","BP","Wald ratio",1,"-0.016","0.018","0.984","3.73e-01",NA,NA,NA,0.000481194
"VAV2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.013","0.015","0.987","3.76e-01",NA,NA,NA,0.006963444
