"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ARHGEF7","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.021,2.718,0.0326,0.52071266,NA,NA,NA
"MKL1","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.119,2.718,0.0326,0.000254002,NA,NA,NA
"MAFTRR","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.015,2.718,0.0327,0.653906872,NA,NA,NA
"SPHKAP","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.083,2.718,0.0327,0.01087338,NA,NA,NA
"SYTL3","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.015,2.718,0.0327,0.636570062,NA,NA,NA
"ANKS4B","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.006,2.718,0.0328,0.855175469,NA,NA,NA
"RPL14P1","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.001,2.718,0.0328,0.975073903,NA,NA,NA
"GABRR1","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.013,2.718,0.0329,0.700381226,NA,NA,NA
"SYNM","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.02,2.718,0.0329,0.544578588,NA,NA,NA
"C16orf62","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.039,2.718,0.0329,0.238313748,NA,NA,NA
"CCKAR","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.029,2.718,0.0329,0.374797921,NA,NA,NA
"SPINK2","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.021,2.718,0.0329,0.523262231,NA,NA,NA
"LINC01588","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.034,2.718,0.0329,0.299016575,NA,NA,NA
"MALRD1","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.008,2.718,0.033,0.806485339,NA,NA,NA
"USP20","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.001,2.718,0.033,0.983880605,NA,NA,NA
"OR1I1","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.009,2.718,0.033,0.779442785,NA,NA,NA
"LYPD6B","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.03,2.718,0.033,0.367204149,NA,NA,NA
"SULF2","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.018,2.718,0.033,0.595897409,NA,NA,NA
"HUNK","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.074,2.718,0.0331,0.025340042,NA,NA,NA
"CATSPERB","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.007,2.718,0.0331,0.841316116,NA,NA,NA
"TMEM229B","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.042,2.718,0.0332,0.210319457,NA,NA,NA
"RAMP1","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.028,2.718,0.0332,0.402291233,NA,NA,NA
"SATB2","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.127,2.718,0.0332,0.000134107,NA,NA,NA
"TP63","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.066,2.718,0.0332,0.046571785,NA,NA,NA
"TFEC","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.044,2.718,0.0332,0.185448058,NA,NA,NA
"TMEM44","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.005,2.718,0.0333,0.880853285,NA,NA,NA
"EML1","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.02,2.718,0.0333,0.549665965,NA,NA,NA
"CMIP","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.054,2.718,0.0334,0.108668336,NA,NA,NA
"SPARCL1","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.075,2.718,0.0334,0.025260197,NA,NA,NA
"CSMD1","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.011,2.718,0.0335,0.743802045,NA,NA,NA
"GNPDA2","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.005,2.718,0.0335,0.882759735,NA,NA,NA
"UCK2","Stem-cell-iPSC","BP","sQTL","Inverse variance weighted",2,0.016,7.389,0.0335,0.623521308,NA,0.217840095,NA
"HIST1H2APS6","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.003,2.718,0.0335,0.939121497,NA,NA,NA
"FAM184B","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.048,2.718,0.0335,0.156667614,NA,NA,NA
"CHRM5","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.045,2.718,0.0336,0.176338074,NA,NA,NA
"ANKRD34C-AS1","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.004,2.718,0.0336,0.906894159,NA,NA,NA
"TBX18","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.002,2.718,0.0336,0.940658664,NA,NA,NA
"DENND2A","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.098,2.718,0.0336,0.003376222,NA,NA,NA
"OR7E59P","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.004,2.718,0.0336,0.91378709,NA,NA,NA
"RASSF5","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.029,2.718,0.0337,0.394619846,NA,NA,NA
"GRXCR1","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.027,2.718,0.0337,0.426763536,NA,NA,NA
"LINC00384","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.033,2.718,0.0338,0.327099409,NA,NA,NA
"TNS3","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.017,2.718,0.0339,0.61409013,NA,NA,NA
"RN7SKP199","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.024,2.718,0.0339,0.48272003,NA,NA,NA
"RYR3","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.008,2.718,0.034,0.80676264,NA,NA,NA
"NCF2","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.05,2.718,0.034,0.137262146,NA,NA,NA
"ZCCHC2","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.016,2.718,0.034,0.645472422,NA,NA,NA
"IRF7","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.025,2.718,0.034,0.456199277,NA,NA,NA
"ZDHHC8P1","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.009,2.718,0.034,0.791378141,NA,NA,NA
"ADGRL2","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.007,2.718,0.0341,0.847662507,NA,NA,NA
"MED15P9","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.014,2.718,0.0341,0.678889869,NA,NA,NA
"ZNF407","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.027,2.718,0.0341,0.429866786,NA,NA,NA
"PRDM15","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.036,2.718,0.0342,0.292517862,NA,NA,NA
"TMEM74","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.024,2.718,0.0342,0.479806643,NA,NA,NA
"DNAH9","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.082,2.718,0.0342,0.016050746,NA,NA,NA
"CBX5","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.093,2.718,0.0342,0.006668037,NA,NA,NA
"MAP10","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.019,2.718,0.0343,0.581235144,NA,NA,NA
"KRT18P56","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.002,2.718,0.0343,0.951692244,NA,NA,NA
"PPP3CA","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.069,2.718,0.0344,0.043566569,NA,NA,NA
