Psychiatric disorder,Category name,Risk factor,Source,Method,P-value,OR
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,REV3L,sQTL_Brain Putamen,Wald ratio,4.57E-04,1.064
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,TRDMT1,sQTL_Brain Spinal,Wald ratio,9.49E-06,1.063
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,WASHC3,sQTL_Brain Spinal,Wald ratio,4.44E-05,1.04
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,C18orf32,sQTL_Brain Spinal,Wald ratio,1.27E-04,1.177
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,UQCC2,sQTL_Brain Spinal,Wald ratio,1.33E-04,0.949
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,FBXO21,sQTL_Brain Spinal,Wald ratio,1.42E-04,1.06
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,LFNG,sQTL_Brain Spinal,Wald ratio,1.78E-04,0.929
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,DPYSL5,sQTL_Brain Spinal,Wald ratio,2.56E-04,1.06
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NADSYN1,sQTL_Brain Spinal,Wald ratio,3.36E-04,0.966
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,TMEM161B-DT,sQTL_Brain Spinal,Wald ratio,3.64E-04,0.949
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,APPL2,sQTL_Brain Spinal,Wald ratio,5.80E-04,0.949
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RNF123,sQTL_Brain Spinal,Wald ratio,6.36E-04,1.076
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PSMA3-AS1,sQTL_Brain Spinal,Wald ratio,6.41E-04,1.057
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CTNNAL1,sQTL_Brain Spinal,Wald ratio,7.45E-04,0.954
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,C1orf50,sQTL_Brain Substantia,Wald ratio,3.49E-14,0.904
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,ZNF131,sQTL_Brain Substantia,Wald ratio,3.57E-06,0.921
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NBR2,sQTL_Brain Substantia,Wald ratio,2.42E-05,0.957
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,WASHC3,sQTL_Brain Substantia,Wald ratio,6.12E-05,1.057
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1-DT,sQTL_Brain Substantia,Wald ratio,1.01E-04,1.04
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,TMEM161B-DT,sQTL_Brain Substantia,Wald ratio,3.64E-04,0.96
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CYP2J2,sQTL_Brain Substantia,Wald ratio,4.46E-04,0.942
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NUDT17,sQTL_Brain Substantia,Wald ratio,5.49E-04,0.954
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,BRK1,sQTL_Brain Substantia,Wald ratio,7.55E-04,1.057
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,MATN1-AS1,sQTL_Brain Substantia,Wald ratio,9.14E-04,0.956
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,LYG1,sQTL_Brain Substantia,Wald ratio,9.79E-04,0.921
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,TXNDC9,sQTL_Brain Substantia,Wald ratio,9.79E-04,0.921
Attention deficit and hyperactivity disorder,Cell-specific biomarker,IQSEC1,hQTL_H3K27AC_Lymphocyte,Wald ratio,3.67E-04,1.058
Attention deficit and hyperactivity disorder,Cell-specific biomarker,LINC00271,hQTL_H3K27AC_Lymphocyte,Wald ratio,6.39E-04,0.964
Alzheimer  disease,Bulk-tissue biomarker,ZNF223,eQTL_Brain Amygdala,Wald ratio,8.29E-109,0.554
Alzheimer  disease,Bulk-tissue biomarker,CEACAM16-AS1,eQTL_Brain Amygdala,Wald ratio,3.13E-44,0.847
Alzheimer  disease,Bulk-tissue biomarker,ARHGAP1,eQTL_Brain Amygdala,Wald ratio,1.97E-09,0.777
Alzheimer  disease,Bulk-tissue biomarker,GEMIN7,eQTL_Brain Amygdala,Wald ratio,2.19E-08,0.875
Alzheimer  disease,Bulk-tissue biomarker,HLA-DQA2,eQTL_Brain Amygdala,Wald ratio,3.60E-07,1.094
Alzheimer  disease,Bulk-tissue biomarker,KANSL1-AS1,eQTL_Brain Amygdala,Wald ratio,2.84E-06,0.944
Alzheimer  disease,Bulk-tissue biomarker,MAPK8IP1P1,eQTL_Brain Amygdala,Wald ratio,2.84E-06,0.944
Alzheimer  disease,Bulk-tissue biomarker,PLEKHM1,eQTL_Brain Amygdala,Wald ratio,2.84E-06,0.853
Alzheimer  disease,Bulk-tissue biomarker,DND1P1,eQTL_Brain Amygdala,Wald ratio,2.84E-06,0.934
Alzheimer  disease,Bulk-tissue biomarker,LRRC37A,eQTL_Brain Amygdala,Wald ratio,2.84E-06,0.913
Alzheimer  disease,Bulk-tissue biomarker,LRRC37A2,eQTL_Brain Amygdala,Wald ratio,2.84E-06,0.947
Alzheimer  disease,Bulk-tissue biomarker,ARL17A,eQTL_Brain Amygdala,Wald ratio,2.84E-06,0.932
Alzheimer  disease,Bulk-tissue biomarker,MAPK8IP1P2,eQTL_Brain Amygdala,Wald ratio,2.84E-06,0.947
Alzheimer  disease,Bulk-tissue biomarker,LINC02210,eQTL_Brain Amygdala,Wald ratio,2.84E-06,0.933
Alzheimer  disease,Bulk-tissue biomarker,LRRC37A4P,eQTL_Brain Amygdala,Wald ratio,2.84E-06,1.055
Alzheimer  disease,Bulk-tissue biomarker,HLA-DRB6,eQTL_Brain Amygdala,Wald ratio,4.89E-06,1.082
Alzheimer  disease,Bulk-tissue biomarker,HLA-DRB1,eQTL_Brain Amygdala,Wald ratio,4.89E-06,0.845
Alzheimer  disease,Bulk-tissue biomarker,HLA-DRB5,eQTL_Brain Amygdala,Wald ratio,4.89E-06,0.944
Alzheimer  disease,Bulk-tissue biomarker,KNOP1,eQTL_Brain Amygdala,Wald ratio,1.47E-05,1.067
Alzheimer  disease,Bulk-tissue biomarker,ABCA7,eQTL_Brain Amygdala,Wald ratio,5.35E-05,0.863
Alzheimer  disease,Bulk-tissue biomarker,CHRNE,eQTL_Brain Amygdala,Wald ratio,1.51E-04,0.932
Alzheimer  disease,Bulk-tissue biomarker,EIF2S1,eQTL_Brain Amygdala,Wald ratio,9.35E-04,0.846
Alzheimer  disease,Bulk-tissue biomarker,BPHL,eQTL_Brain Amygdala,Wald ratio,9.71E-04,1.081
Alzheimer  disease,Bulk-tissue biomarker,ZNF112,eQTL_Brain Anterior cingulate cortex,Wald ratio,1.48E-160,0.483
Alzheimer  disease,Bulk-tissue biomarker,PVR,eQTL_Brain Anterior cingulate cortex,Wald ratio,2.87E-15,1.358
Alzheimer  disease,Bulk-tissue biomarker,KLC3,eQTL_Brain Anterior cingulate cortex,Wald ratio,3.60E-12,1.143
Alzheimer  disease,Bulk-tissue biomarker,LINC02210,eQTL_Brain Anterior cingulate cortex,Inverse variance weighted,1.56E-06,1.084
Alzheimer  disease,Bulk-tissue biomarker,PPP5C,eQTL_Brain Anterior cingulate cortex,Wald ratio,3.16E-05,1.241
Alzheimer  disease,Bulk-tissue biomarker,LINC02265,eQTL_Brain Anterior cingulate cortex,Wald ratio,1.03E-04,0.92
Alzheimer  disease,Bulk-tissue biomarker,ZNF232-AS1,eQTL_Brain Anterior cingulate cortex,Wald ratio,2.68E-04,1.072
Alzheimer  disease,Bulk-tissue biomarker,PLAAT3,eQTL_Brain Anterior cingulate cortex,Wald ratio,3.77E-04,0.833
Alzheimer  disease,Bulk-tissue biomarker,MARK4,eQTL_Brain Anterior cingulate cortex,Wald ratio,4.71E-04,1.192
Alzheimer  disease,Bulk-tissue biomarker,ZKSCAN5,eQTL_Brain Anterior cingulate cortex,Wald ratio,6.11E-04,0.924
Alzheimer  disease,Bulk-tissue biomarker,CPSF4,eQTL_Brain Anterior cingulate cortex,Wald ratio,6.11E-04,0.919
Alzheimer  disease,Bulk-tissue biomarker,SLC7A9,eQTL_Brain Anterior cingulate cortex,Wald ratio,9.89E-04,0.916
Alzheimer  disease,Bulk-tissue biomarker,FAM180B,eQTL_Brain Caudate basal ganglia,Wald ratio,5.27E-11,1.192
Alzheimer  disease,Bulk-tissue biomarker,MTCH2,eQTL_Brain Caudate basal ganglia,Wald ratio,5.27E-11,1.215
Alzheimer  disease,Bulk-tissue biomarker,C1QTNF4,eQTL_Brain Caudate basal ganglia,Wald ratio,5.27E-11,0.753
Alzheimer  disease,Bulk-tissue biomarker,RAPSN,eQTL_Brain Caudate basal ganglia,Wald ratio,5.27E-11,0.85
Alzheimer  disease,Bulk-tissue biomarker,CR1,eQTL_Brain Caudate basal ganglia,Wald ratio,4.13E-09,0.827
Alzheimer  disease,Bulk-tissue biomarker,LRRC25,eQTL_Brain Caudate basal ganglia,Wald ratio,1.87E-07,1.275
Alzheimer  disease,Bulk-tissue biomarker,LRRC37A4P,eQTL_Brain Caudate basal ganglia,Inverse variance weighted,2.10E-07,0.94
Alzheimer  disease,Bulk-tissue biomarker,ARHGAP27,eQTL_Brain Caudate basal ganglia,Wald ratio,4.12E-07,1.314
Alzheimer  disease,Bulk-tissue biomarker,ZSCAN21,eQTL_Brain Caudate basal ganglia,Wald ratio,2.53E-05,0.907
Alzheimer  disease,Bulk-tissue biomarker,ZKSCAN1,eQTL_Brain Caudate basal ganglia,Wald ratio,2.53E-05,0.792
Alzheimer  disease,Bulk-tissue biomarker,CTDNEP1,eQTL_Brain Caudate basal ganglia,Wald ratio,4.49E-05,1.277
Alzheimer  disease,Bulk-tissue biomarker,PVRIG,eQTL_Brain Caudate basal ganglia,Inverse variance weighted,2.17E-04,1.11
Alzheimer  disease,Bulk-tissue biomarker,EVI5,eQTL_Brain Caudate basal ganglia,Wald ratio,2.33E-04,0.628
Alzheimer  disease,Bulk-tissue biomarker,DTD1,eQTL_Brain Caudate basal ganglia,Wald ratio,4.48E-04,1.145
Alzheimer  disease,Bulk-tissue biomarker,TMEM259,eQTL_Brain Caudate basal ganglia,Wald ratio,4.87E-04,0.845
Alzheimer  disease,Bulk-tissue biomarker,POLR2E,eQTL_Brain Caudate basal ganglia,Wald ratio,6.21E-04,0.879
Alzheimer  disease,Bulk-tissue biomarker,ABLIM3,eQTL_Brain Caudate basal ganglia,Inverse variance weighted,8.10E-04,0.918
Alzheimer  disease,Bulk-tissue biomarker,BICC1,eQTL_Brain Caudate basal ganglia,Inverse variance weighted,8.52E-04,0.918
Alzheimer  disease,Bulk-tissue biomarker,NDUFS2,eQTL_Brain Caudate basal ganglia,Wald ratio,9.08E-04,1.183
Alzheimer  disease,Bulk-tissue biomarker,CEACAM19,eQTL_Brain Cerebellar Hemisphere,Wald ratio,3.13E-44,0.573
Alzheimer  disease,Bulk-tissue biomarker,BIN1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,8.30E-19,1.245
Alzheimer  disease,Bulk-tissue biomarker,CD2AP-DT,eQTL_Brain Cerebellar Hemisphere,Wald ratio,1.19E-09,0.928
Alzheimer  disease,Bulk-tissue biomarker,RIN3,eQTL_Brain Cerebellar Hemisphere,Wald ratio,1.33E-07,0.874
Alzheimer  disease,Bulk-tissue biomarker,LAMTOR4,eQTL_Brain Cerebellar Hemisphere,Wald ratio,4.84E-05,0.877
Alzheimer  disease,Bulk-tissue biomarker,AP4M1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,4.84E-05,0.891
Alzheimer  disease,Bulk-tissue biomarker,UST,eQTL_Brain Cerebellar Hemisphere,Inverse variance weighted,1.46E-04,1.052
Alzheimer  disease,Bulk-tissue biomarker,YPEL3,eQTL_Brain Cerebellar Hemisphere,Wald ratio,1.62E-04,1.106
Alzheimer  disease,Bulk-tissue biomarker,USP6NL,eQTL_Brain Cerebellar Hemisphere,Wald ratio,3.68E-04,1.151
Alzheimer  disease,Bulk-tissue biomarker,KLHL30,eQTL_Brain Cerebellar Hemisphere,Wald ratio,4.16E-04,1.039
Alzheimer  disease,Bulk-tissue biomarker,KLHL30-AS1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,4.16E-04,1.065
Alzheimer  disease,Bulk-tissue biomarker,ARV1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,4.32E-04,0.87
Alzheimer  disease,Bulk-tissue biomarker,DLEU7,eQTL_Brain Cerebellar Hemisphere,Inverse variance weighted,5.87E-04,0.936
Alzheimer  disease,Bulk-tissue biomarker,LINC02861,eQTL_Brain Cerebellar Hemisphere,Wald ratio,6.23E-04,0.943
Alzheimer  disease,Bulk-tissue biomarker,NDUFS3,eQTL_Brain Cerebellar Hemisphere,Wald ratio,6.23E-04,1.4
Alzheimer  disease,Bulk-tissue biomarker,ASB14,eQTL_Brain Cerebellar Hemisphere,Inverse variance weighted,6.65E-04,0.946
Alzheimer  disease,Bulk-tissue biomarker,HPS5,eQTL_Brain Cerebellar Hemisphere,Wald ratio,8.89E-04,1.095
Alzheimer  disease,Bulk-tissue biomarker,PNOC,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.78E-04,1.12
Alzheimer  disease,Bulk-tissue biomarker,SLC39A13,eQTL_Brain Cerebellum,Wald ratio,3.69E-08,1.255
Alzheimer  disease,Bulk-tissue biomarker,SYTL2,eQTL_Brain Cerebellum,Wald ratio,8.90E-07,1.158
Alzheimer  disease,Bulk-tissue biomarker,GPRC5B,eQTL_Brain Cerebellum,Wald ratio,2.12E-05,0.732
Alzheimer  disease,Bulk-tissue biomarker,NME8,eQTL_Brain Cerebellum,Wald ratio,6.82E-05,0.894
Alzheimer  disease,Bulk-tissue biomarker,TMEM106B,eQTL_Brain Cerebellum,Wald ratio,1.19E-04,1.317
Alzheimer  disease,Bulk-tissue biomarker,ELL,eQTL_Brain Cerebellum,Wald ratio,3.21E-04,0.862
Alzheimer  disease,Bulk-tissue biomarker,VPS33A,eQTL_Brain Cerebellum,Wald ratio,3.23E-04,1.11
Alzheimer  disease,Bulk-tissue biomarker,HLA-DQB2,eQTL_Brain Cerebellum,Wald ratio,3.31E-04,1.079
Alzheimer  disease,Bulk-tissue biomarker,SNRPD2,eQTL_Brain Cerebellum,Wald ratio,5.74E-04,0.859
Alzheimer  disease,Bulk-tissue biomarker,MAL2,eQTL_Brain Cerebellum,Inverse variance weighted,7.51E-04,1.036
Alzheimer  disease,Bulk-tissue biomarker,DDAH2,eQTL_Brain Cerebellum,Wald ratio,9.34E-04,0.874
Alzheimer  disease,Bulk-tissue biomarker,HLA-DQA1,eQTL_Brain Cortex,Wald ratio,4.89E-06,0.848
Alzheimer  disease,Bulk-tissue biomarker,THAP3,eQTL_Brain Cortex,Wald ratio,6.59E-05,1.172
Alzheimer  disease,Bulk-tissue biomarker,SENCR,eQTL_Brain Cortex,Wald ratio,3.14E-04,1.109
Alzheimer  disease,Bulk-tissue biomarker,RNU6-2,eQTL_Brain Frontal Cortex,Wald ratio,5.87E-08,0.89
Alzheimer  disease,Bulk-tissue biomarker,APH1B,eQTL_Brain Frontal Cortex,Wald ratio,1.03E-06,0.736
Alzheimer  disease,Bulk-tissue biomarker,TEX14,eQTL_Brain Frontal Cortex,Wald ratio,3.20E-05,1.122
Alzheimer  disease,Bulk-tissue biomarker,SLC22A10,eQTL_Brain Frontal Cortex,Wald ratio,1.39E-04,0.819
Alzheimer  disease,Bulk-tissue biomarker,EEF1AKMT3,eQTL_Brain Frontal Cortex,Inverse variance weighted,1.75E-04,0.951
Alzheimer  disease,Bulk-tissue biomarker,TIMD4,eQTL_Brain Frontal Cortex,Wald ratio,2.53E-04,0.925
Alzheimer  disease,Bulk-tissue biomarker,DNAJC21,eQTL_Brain Frontal Cortex,Wald ratio,3.91E-04,1.117
Alzheimer  disease,Bulk-tissue biomarker,SET,eQTL_Brain Frontal Cortex,Wald ratio,5.50E-04,0.743
Alzheimer  disease,Bulk-tissue biomarker,HLA-DQA2,eQTL_Brain Hypothalamus,Inverse variance weighted,8.00E-12,1.098
Alzheimer  disease,Bulk-tissue biomarker,CYP21A2,eQTL_Brain Hypothalamus,Wald ratio,4.89E-06,1.162
Alzheimer  disease,Bulk-tissue biomarker,HLA-DRB6,eQTL_Brain Hypothalamus,Inverse variance weighted,8.75E-06,1.088
Alzheimer  disease,Bulk-tissue biomarker,HFM1,eQTL_Brain Hypothalamus,Inverse variance weighted,7.82E-04,1.089
Alzheimer  disease,Bulk-tissue biomarker,MAMSTR,eQTL_Brain Hypothalamus,Wald ratio,8.78E-04,0.933
Alzheimer  disease,Bulk-tissue biomarker,PPP1R37,eQTL_Brain Nucleus accumbens basal ganglia,Wald ratio,2.73E-16,1.944
Alzheimer  disease,Bulk-tissue biomarker,ZNF296,eQTL_Brain Nucleus accumbens basal ganglia,Wald ratio,1.40E-09,1.346
Alzheimer  disease,Bulk-tissue biomarker,CRHR1,eQTL_Brain Nucleus accumbens basal ganglia,Wald ratio,2.37E-06,0.817
Alzheimer  disease,Bulk-tissue biomarker,CD2AP,eQTL_Brain Spinal cord cervical,Wald ratio,9.16E-12,0.814
Alzheimer  disease,Bulk-tissue biomarker,NECTIN2,eQTL_Brain Spinal cord cervical,Wald ratio,1.45E-06,1.215
Alzheimer  disease,Bulk-tissue biomarker,ATF6B,eQTL_Brain Spinal cord cervical,Wald ratio,1.93E-05,1.07
Alzheimer  disease,Bulk-tissue biomarker,LIPC,eQTL_Brain Substantia nigra,Wald ratio,5.51E-04,1.095
Alzheimer  disease,Bulk-tissue biomarker,APOC1P1,eQTL_Brain Cortex SMR,Wald ratio,2.59E-202,3.303
Alzheimer  disease,Bulk-tissue biomarker,APOC1,eQTL_Brain Cortex SMR,Wald ratio,2.59E-202,3.325
Alzheimer  disease,Bulk-tissue biomarker,AC243964.3,eQTL_Brain Cortex SMR,Wald ratio,3.13E-44,1.167
Alzheimer  disease,Bulk-tissue biomarker,CLPTM1,eQTL_Brain Cortex SMR,Wald ratio,6.05E-18,0.716
Alzheimer  disease,Bulk-tissue biomarker,ERCC2,eQTL_Brain Cortex SMR,Wald ratio,9.16E-12,1.248
Alzheimer  disease,Bulk-tissue biomarker,MS4A4A,eQTL_Brain Cortex SMR,Wald ratio,1.36E-11,1.201
Alzheimer  disease,Bulk-tissue biomarker,MS4A7,eQTL_Brain Cortex SMR,Wald ratio,1.36E-11,1.343
Alzheimer  disease,Bulk-tissue biomarker,AL445493.3,eQTL_Brain Cortex SMR,Wald ratio,2.28E-09,0.717
Alzheimer  disease,Bulk-tissue biomarker,AL355353.1,eQTL_Brain Cortex SMR,Wald ratio,3.41E-09,0.804
Alzheimer  disease,Bulk-tissue biomarker,BLOC1S3,eQTL_Brain Cortex SMR,Wald ratio,7.38E-09,1.166
Alzheimer  disease,Bulk-tissue biomarker,HAVCR1,eQTL_Brain Cortex SMR,Wald ratio,6.71E-07,1.143
Alzheimer  disease,Bulk-tissue biomarker,AC027130.1,eQTL_Brain Cortex SMR,Wald ratio,4.04E-05,1.059
Alzheimer  disease,Bulk-tissue biomarker,DTD1,eQTL_Brain Cortex SMR,Inverse variance weighted,4.46E-05,0.899
Alzheimer  disease,Bulk-tissue biomarker,OR10AC1,eQTL_Brain Cortex SMR,Wald ratio,1.44E-04,0.868
Alzheimer  disease,Bulk-tissue biomarker,AC092376.2,eQTL_Brain Cortex SMR,Wald ratio,1.60E-04,0.821
Alzheimer  disease,Bulk-tissue biomarker,AC007402.2,eQTL_Brain Cortex SMR,Inverse variance weighted,2.31E-04,1.108
Alzheimer  disease,Bulk-tissue biomarker,AC008915.2,eQTL_Brain Cortex SMR,Wald ratio,4.24E-04,0.854
Alzheimer  disease,Bulk-tissue biomarker,AC027279.2,eQTL_Brain Cortex SMR,Wald ratio,4.58E-04,0.916
Alzheimer  disease,Bulk-tissue biomarker,GIPR,eQTL_Brain Cortex SMR,Wald ratio,5.46E-04,1.099
Alzheimer  disease,Bulk-tissue biomarker,BLNK,eQTL_Brain Cortex SMR,Wald ratio,5.47E-04,1.111
Alzheimer  disease,Bulk-tissue biomarker,RBM26-AS1,eQTL_Brain Cortex SMR,Weighted median,6.07E-04,0.966
Alzheimer  disease,Bulk-tissue biomarker,CDK10,eQTL_Brain Cortex SMR,Inverse variance weighted,7.43E-04,1.085
Alzheimer  disease,Bulk-tissue biomarker,TUBB8P7,eQTL_Brain Cortex SMR,Wald ratio,7.92E-04,1.07
Alzheimer  disease,Bulk-tissue biomarker,KRT8P15,eQTL_Brain Cortex SMR,Wald ratio,7.98E-04,1.17
Alzheimer  disease,Bulk-tissue biomarker,FAM117B,eQTL_Brain Cortex SMR,Wald ratio,7.98E-04,1.179
Alzheimer  disease,Bulk-tissue biomarker,NBEAL1,eQTL_Brain Cortex SMR,Wald ratio,7.98E-04,1.109
Alzheimer  disease,Bulk-tissue biomarker,FCER1G,eQTL_Brain Cortex SMR,Wald ratio,9.08E-04,0.81
Alzheimer  disease,Bulk-tissue biomarker,TUBB2BP1,eQTL_Brain Cortex SMR,Wald ratio,9.71E-04,0.776
Alzheimer  disease,Bulk-tissue biomarker,AP002762.3,eQTL_Brain Cortex SMR,Wald ratio,9.97E-04,1.113
Alzheimer  disease,Bulk-tissue biomarker,NR1H3,eQTL_Brain Prefrontal Cortex PsychENCODE,Wald ratio,2.44E-07,1.797
Alzheimer  disease,Bulk-tissue biomarker,PVRL2,eQTL_Brain Prefrontal Cortex PsychENCODE,Wald ratio,1.33E-05,1.275
Alzheimer  disease,Bulk-tissue biomarker,MAT1A,eQTL_Brain Prefrontal Cortex PsychENCODE,Wald ratio,6.88E-04,1.211
Alzheimer  disease,Bulk-tissue biomarker,BPHL,eQTL_Brain Prefrontal Cortex PsychENCODE,Inverse variance weighted,8.24E-04,1.124
Alzheimer  disease,Bulk-tissue biomarker,CTB-171A8.1,Meta 10 Brain Regions,Wald ratio,1.53E-15,1.125
Alzheimer  disease,Bulk-tissue biomarker,RP11-385F7.1,Meta 10 Brain Regions,Wald ratio,1.58E-09,0.877
Alzheimer  disease,Bulk-tissue biomarker,CTB-179K24.3,Meta 10 Brain Regions,Wald ratio,2.19E-08,1.149
Alzheimer  disease,Bulk-tissue biomarker,MAPT,Meta 10 Brain Regions,Wald ratio,3.83E-06,1.096
Alzheimer  disease,Bulk-tissue biomarker,CRHR1-IT1,Meta 10 Brain Regions,Wald ratio,3.83E-06,0.935
Alzheimer  disease,Bulk-tissue biomarker,RP11-259G18.2,Meta 10 Brain Regions,Wald ratio,3.83E-06,0.948
Alzheimer  disease,Bulk-tissue biomarker,RP11-798G7.5,Meta 10 Brain Regions,Wald ratio,3.83E-06,1.092
Alzheimer  disease,Bulk-tissue biomarker,RP11-259G18.1,Meta 10 Brain Regions,Wald ratio,3.83E-06,0.929
Alzheimer  disease,Bulk-tissue biomarker,RP11-259G18.3,Meta 10 Brain Regions,Wald ratio,3.83E-06,0.954
Alzheimer  disease,Bulk-tissue biomarker,RP11-707O23.5,Meta 10 Brain Regions,Wald ratio,3.83E-06,0.949
Alzheimer  disease,Bulk-tissue biomarker,AC002550.5,Meta 10 Brain Regions,Wald ratio,3.34E-05,0.958
Alzheimer  disease,Bulk-tissue biomarker,CTD-2380F24.1,Meta 10 Brain Regions,Wald ratio,3.34E-05,1.075
Alzheimer  disease,Bulk-tissue biomarker,ELP5,Meta 10 Brain Regions,Wald ratio,3.87E-04,1.055
Alzheimer  disease,Cell-specific biomarker,DMPK,eQTL_Microglia_OPCs / COPs,Wald ratio,1.60E-296,4.903
Alzheimer  disease,Cell-specific biomarker,MARK4,eQTL_Microglia_OPCs / COPs,Wald ratio,1.36E-242,3.798
Alzheimer  disease,Cell-specific biomarker,DMWD,eQTL_Microglia_Astrocytes,Wald ratio,4.56E-241,0.164
Alzheimer  disease,Cell-specific biomarker,ZNF227,eQTL_Microglia_Endothelial cells,Wald ratio,8.54E-235,0.362
Alzheimer  disease,Cell-specific biomarker,PPP1R13L,eQTL_Microglia_Inhibitory neurons,Wald ratio,3.10E-218,3.388
Alzheimer  disease,Cell-specific biomarker,BCL3,eQTL_Microglia_Pericytes,Wald ratio,1.93E-168,2.736
Alzheimer  disease,Cell-specific biomarker,ZNF296,eQTL_Microglia_Astrocytes,Wald ratio,7.60E-165,0.28
Alzheimer  disease,Cell-specific biomarker,RELB,eQTL_Microglia_Microglia,Wald ratio,1.48E-160,4.118
Alzheimer  disease,Cell-specific biomarker,NECTIN2,eQTL_Microglia_Astrocytes,Wald ratio,1.48E-160,4.143
Alzheimer  disease,Cell-specific biomarker,BCAM,eQTL_Microglia_Astrocytes,Wald ratio,2.65E-154,0.102
Alzheimer  disease,Cell-specific biomarker,FBXO46,eQTL_Microglia_Inhibitory neurons,Wald ratio,1.15E-87,2.459
Alzheimer  disease,Cell-specific biomarker,ZNF235,eQTL_Microglia_Endothelial cells,Wald ratio,1.06E-75,0.409
Alzheimer  disease,Cell-specific biomarker,RELB,eQTL_Microglia_Endothelial cells,Wald ratio,5.70E-73,1.913
Alzheimer  disease,Cell-specific biomarker,ZNF227,eQTL_Microglia_Astrocytes,Wald ratio,7.28E-65,0.512
Alzheimer  disease,Cell-specific biomarker,ZNF155,eQTL_Microglia_Astrocytes,Wald ratio,3.94E-61,2.308
Alzheimer  disease,Cell-specific biomarker,AC245748.1,eQTL_Microglia_Inhibitory neurons,Wald ratio,2.94E-60,1.958
Alzheimer  disease,Cell-specific biomarker,ZNF230,eQTL_Microglia_Oligodendrocytes,Wald ratio,3.46E-58,0.356
Alzheimer  disease,Cell-specific biomarker,ERCC2,eQTL_Microglia_Oligodendrocytes,Wald ratio,3.46E-58,0.377
Alzheimer  disease,Cell-specific biomarker,BIN1,eQTL_Microglia_Microglia,Wald ratio,1.31E-45,1.397
Alzheimer  disease,Cell-specific biomarker,PVR,eQTL_Microglia_Endothelial cells,Wald ratio,1.72E-32,0.541
Alzheimer  disease,Cell-specific biomarker,PPM1N,eQTL_Microglia_Inhibitory neurons,Wald ratio,1.72E-32,1.578
Alzheimer  disease,Cell-specific biomarker,PPP1R13L,eQTL_Microglia_Excitatory neurons,Wald ratio,1.08E-31,1.743
Alzheimer  disease,Cell-specific biomarker,ZNF45,eQTL_Microglia_Excitatory neurons,Wald ratio,1.10E-27,0.636
Alzheimer  disease,Cell-specific biomarker,PICALM,eQTL_Microglia_Microglia,Wald ratio,1.07E-24,0.787
Alzheimer  disease,Cell-specific biomarker,CR1,eQTL_Microglia_Pericytes,Wald ratio,1.43E-24,1.232
Alzheimer  disease,Cell-specific biomarker,VASP,eQTL_Microglia_Microglia,Wald ratio,2.41E-24,0.569
Alzheimer  disease,Cell-specific biomarker,AMMECR1L,eQTL_Microglia_Microglia,Wald ratio,3.08E-23,0.722
Alzheimer  disease,Cell-specific biomarker,ZNF225,eQTL_Microglia_OPCs / COPs,Wald ratio,3.13E-22,0.685
Alzheimer  disease,Cell-specific biomarker,NECTIN2,eQTL_Microglia_Microglia,Wald ratio,1.90E-21,2.197
Alzheimer  disease,Cell-specific biomarker,CR1,eQTL_Microglia_Oligodendrocytes,Wald ratio,3.54E-21,1.135
Alzheimer  disease,Cell-specific biomarker,ERCC3,eQTL_Microglia_Endothelial cells,Wald ratio,2.46E-19,0.791
Alzheimer  disease,Cell-specific biomarker,PPP1R13L,eQTL_Microglia_Endothelial cells,Wald ratio,8.01E-19,0.7
Alzheimer  disease,Cell-specific biomarker,EXOC3L2,eQTL_Microglia_OPCs / COPs,Wald ratio,1.35E-18,1.886
Alzheimer  disease,Cell-specific biomarker,DMPK,eQTL_Microglia_Oligodendrocytes,Wald ratio,6.05E-18,0.757
