Psychiatric disorder,Category name,Risk factor,Source,Method,P-value,OR
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,AC046168.2,eQTL_Brain Cortex SMR,Wald ratio,6.48E-06,1.178
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,LINGO1-AS1,eQTL_Brain Cortex SMR,Wald ratio,6.48E-06,1.247
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CCDC184,eQTL_Brain Nucleus,Wald ratio,6.63E-06,1.188
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,KLHDC8A,eQTL_Brain Nucleus,Wald ratio,7.69E-06,0.87
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,BDNF,eQTL_Brain Prefrontal Cortex PsychENCODE,Wald ratio,8.64E-06,0.413
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CTC-498M16.4,eQTL_Meta 10 Brain Regions,Wald ratio,9.87E-06,0.944
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,DCHS1,eQTL_Brain Anterior cingulate cortex BA24,Wald ratio,1.05E-05,1.136
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,DCHS1,eQTL_Brain Hippocampus,Wald ratio,1.05E-05,1.135
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SZT2,eQTL_Brain Cerebellum,Wald ratio,1.07E-05,0.859
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,HELZ,eQTL_Brain Cerebellum,Wald ratio,1.17E-05,0.856
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,BLOC1S2,eQTL_Brain Substantia,Wald ratio,1.79E-05,1.138
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,BLOC1S2,eQTL_Brain Amygdala,Wald ratio,1.82E-05,1.139
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CAPZA2,eQTL_Brain Prefrontal Cortex PsychENCODE,Wald ratio,2.16E-05,0.568
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,MEF2C,eQTL_Brain Cerebellum,Wald ratio,2.55E-05,0.882
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,VIM,eQTL_Brain Frontal Cortex,Wald ratio,2.72E-05,0.816
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SUOX,eQTL_Brain Amygdala,Wald ratio,2.78E-05,0.903
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Amygdala,Wald ratio,2.78E-05,1.035
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Anterior cingulate cortex BA24,Wald ratio,2.78E-05,1.034
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Caudate,Wald ratio,2.78E-05,1.038
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SUOX,eQTL_Brain Caudate,Wald ratio,2.78E-05,0.875
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SUOX,eQTL_Brain Cerebellar Hemisphere,Wald ratio,2.78E-05,0.931
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Cerebellar Hemisphere,Wald ratio,2.78E-05,1.035
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SUOX,eQTL_Brain Cerebellum,Wald ratio,2.78E-05,0.938
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Cerebellum,Wald ratio,2.78E-05,1.035
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Cortex,Wald ratio,2.78E-05,1.036
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SUOX,eQTL_Brain Cortex,Wald ratio,2.78E-05,0.879
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SUOX,eQTL_Brain Frontal Cortex,Wald ratio,2.78E-05,0.873
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Frontal Cortex,Wald ratio,2.78E-05,1.037
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SUOX,eQTL_Brain Hippocampus,Wald ratio,2.78E-05,0.905
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Hippocampus,Wald ratio,2.78E-05,1.037
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Hypothalamus,Wald ratio,2.78E-05,1.039
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SUOX,eQTL_Brain Hypothalamus,Wald ratio,2.78E-05,0.899
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Nucleus,Wald ratio,2.78E-05,1.036
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SUOX,eQTL_Brain Nucleus,Wald ratio,2.78E-05,0.899
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Putamen,Wald ratio,2.78E-05,1.032
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SUOX,eQTL_Brain Putamen,Wald ratio,2.78E-05,0.868
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SUOX,eQTL_Brain Spinal,Wald ratio,2.78E-05,0.918
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Spinal,Wald ratio,2.78E-05,1.033
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SUOX,eQTL_Brain Substantia,Wald ratio,2.78E-05,0.901
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Substantia,Wald ratio,2.78E-05,1.038
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,DCHS1,eQTL_Brain Caudate,Wald ratio,2.84E-05,1.138
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,DCHS1,eQTL_Brain Hypothalamus,Wald ratio,2.84E-05,1.201
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,DCHS1,eQTL_Brain Putamen,Wald ratio,2.84E-05,1.104
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,DCHS1,eQTL_Meta 10 Brain Regions,Wald ratio,2.84E-05,0.927
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,BLOC1S2,eQTL_Brain Spinal,Wald ratio,2.88E-05,0.9
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,DCHS1,eQTL_Brain Cortex SMR,Inverse variance weighted,2.99E-05,0.947
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,COL9A1,eQTL_Brain Cerebellum,Wald ratio,3.09E-05,0.87
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,LINGO1-AS1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,3.21E-05,0.932
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PEAK1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,3.21E-05,0.897
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PEAK1,eQTL_Brain Frontal Cortex,Wald ratio,3.21E-05,0.895
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SNORC,eQTL_Brain Substantia,Wald ratio,3.53E-05,1.067
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GNAZ,eQTL_Brain Amygdala,Wald ratio,3.78E-05,0.856
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GNAZ,eQTL_Brain Hippocampus,Wald ratio,3.78E-05,0.873
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SNORC,eQTL_Brain Nucleus,Wald ratio,4.04E-05,1.072
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,VIM,eQTL_Brain Cortex,Wald ratio,4.23E-05,1.214
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,VIM,eQTL_Brain Nucleus,Wald ratio,4.23E-05,1.165
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CHRNB1,eQTL_Brain Cerebellum,Wald ratio,4.25E-05,1.106
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CHRNB1,eQTL_Brain Prefrontal Cortex PsychENCODE,Wald ratio,4.25E-05,1.246
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CALN1,eQTL_Brain Spinal,Wald ratio,4.40E-05,1.066
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,KC6,eQTL_Brain Spinal,Wald ratio,4.40E-05,1.081
