Psychiatric disorder,Risk phenotype,Method,Beta,Standard error,P-value,OR,OR_lci95,OR_uci95,Q Pvalue(MREgger),Q Pvalue(IVW),Intercept PValue
PTSD,Nitrogen dioxide air pollution; 2010 ,Simple mode,-1.276745357,0.948386787,2.20E-01,2.79E-01,4.35E-02,1.79E+00,3.06E-03,6.01E-03,0.906361827
ED,smoking initiation ,Simple mode,0.468847403,0.379368886,2.21E-01,1.60E+00,7.60E-01,3.36E+00,8.00E-04,7.40E-04,0.310689123
SCZ,"Non-cancer illness code, self-reported: diabetes ",MR Egger,-1.740281182,1.407579227,2.21E-01,1.75E-01,1.11E-02,2.77E+00,4.96E-12,7.92E-12,0.810494062
BP,Age-related hearing impairment (MTAG) ,Simple mode,-0.411617692,0.32898977,2.21E-01,6.63E-01,3.48E-01,1.26E+00,5.47E-01,6.00E-01,0.791362667
ED,Birth weight ,Inverse variance weighted,-0.1096753,0.089869228,2.22E-01,8.96E-01,7.51E-01,1.07E+00,1.16E-01,1.27E-01,0.831139804
ED,Qualifications: College or University degree ,Simple mode,-1.036732063,0.847854878,2.23E-01,3.55E-01,6.73E-02,1.87E+00,7.01E-11,6.87E-12,0.008009552
ALZ,Congenital cytomegalovirus infection,Inverse variance weighted,-0.089110026,0.073189869,2.23E-01,9.15E-01,7.93E-01,1.06E+00,3.94E-01,4.59E-01,0.845263594
PTSD,Congenital cytomegalovirus infection,MR Egger,-0.134287357,0.10557475,2.24E-01,8.74E-01,7.11E-01,1.08E+00,8.28E-01,8.99E-01,0.740545056
ADHD,Fresh fruit intake ,Weighted median,-0.353946176,0.29140156,2.25E-01,7.02E-01,3.96E-01,1.24E+00,3.22E-13,5.83E-13,0.955496332
ADHD,Ever taken cannabis ,Simple mode,-0.052096261,0.03763934,2.25E-01,9.49E-01,8.82E-01,1.02E+00,1.40E-01,1.91E-01,0.620876264
DEP,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension ,MR Egger,-0.79078872,0.645679232,2.25E-01,4.53E-01,1.28E-01,1.61E+00,3.02E-02,3.57E-02,0.763537701
PTSD,Type 1 diabetes ,Inverse variance weighted,-0.010346822,0.0085318,2.25E-01,9.90E-01,9.73E-01,1.01E+00,2.89E-07,1.77E-07,0.2824836
ANX,"Non-cancer illness code, self-reported: psoriasis ",Weighted mode,7.096346205,5.648740377,2.26E-01,1.21E+03,1.88E-02,7.77E+07,9.52E-01,9.05E-01,0.168371825
DEP,Chickenpox,Inverse variance weighted,0.513246173,0.424021595,2.26E-01,1.67E+00,7.28E-01,3.84E+00,4.33E-01,4.39E-01,0.869913031
SCZ,Congenital cytomegalovirus infection,Simple mode,-0.154389646,0.121984998,2.26E-01,8.57E-01,6.75E-01,1.09E+00,8.28E-01,8.99E-01,0.740545056
SCZ,Living alone,Weighted median,-0.863659471,0.713816775,2.26E-01,4.22E-01,1.04E-01,1.71E+00,6.13E-04,5.91E-04,0.212492766
ANX,Gestational diabetes (for exclusion) ,MR Egger,-0.277444654,0.182945472,2.27E-01,7.58E-01,5.29E-01,1.08E+00,4.16E-01,2.85E-01,0.236593224
ANX,Gestational diabetes (for exclusion) ,MR Egger,-0.277444654,0.182945472,2.27E-01,7.58E-01,5.29E-01,1.08E+00,4.16E-01,2.85E-01,0.236593224
PTSD,"Diagnoses - secondary ICD10: E03.9 Hypothyroidism, unspecified ",Weighted mode,-2.080776523,1.691225368,2.27E-01,1.25E-01,4.54E-03,3.44E+00,3.33E-07,3.55E-07,0.477148258
ASD,Living alone,Inverse variance weighted,-0.942868095,0.780533883,2.27E-01,3.90E-01,8.44E-02,1.80E+00,2.91E-16,3.32E-16,0.857891204
DEP,Current employment status: Unemployed,Weighted median,-0.27389109,0.226757577,2.27E-01,7.60E-01,4.88E-01,1.19E+00,2.09E-02,2.17E-02,0.852825766
BP,Current employment status: Unemployed,MR Egger,-0.979279289,0.811801243,2.28E-01,3.76E-01,7.65E-02,1.84E+00,2.09E-02,2.17E-02,0.852825766
BP,Current employment status: Unemployed,MR Egger,-0.979279289,0.811801243,2.28E-01,3.76E-01,7.65E-02,1.84E+00,2.09E-02,2.17E-02,0.852825766
BP,Age at first birth ,Weighted median,-0.04987439,0.041359564,2.28E-01,9.51E-01,8.77E-01,1.03E+00,2.94E-01,3.06E-01,0.438959952
SCZ,Autoimmune diseases ,Inverse variance weighted,-0.031125649,0.025814424,2.28E-01,9.69E-01,9.22E-01,1.02E+00,2.74E-05,3.77E-05,0.700159744
ANX,Tea intake ,Simple mode,-1.059906763,0.864847545,2.28E-01,3.46E-01,6.36E-02,1.89E+00,3.20E-02,3.75E-02,0.591047064
BP,Intelligence ,MR Egger,0.474149164,0.392015147,2.28E-01,1.61E+00,7.45E-01,3.46E+00,4.32E-01,4.45E-01,0.508952987
ANX,Caffeine,MR Egger,-2.348544887,1.950156311,2.29E-01,9.55E-02,2.09E-03,4.37E+00,9.17E-15,7.36E-15,0.123982374
ANX,Qualifications: College or University degree ,Weighted median,-0.50470589,0.41991374,2.29E-01,6.04E-01,2.65E-01,1.37E+00,1.18E-25,1.37E-25,0.526042364
ADHD,Rubella vaccination,Inverse variance weighted,0.002287663,0.001904053,2.30E-01,1.00E+00,9.99E-01,1.01E+00,3.15E-10,3.11E-10,0.317387409
ADHD,Iron intake,Inverse variance weighted,-1.007348428,0.838705809,2.30E-01,3.65E-01,7.06E-02,1.89E+00,4.16E-26,3.96E-26,0.299589161
ALZ,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension ,Inverse variance weighted,-0.344247762,0.286878165,2.30E-01,7.09E-01,4.04E-01,1.24E+00,9.66E-02,1.06E-01,0.569460016
ED,Sleeplessness / insomnia ,Weighted median,0.499329505,0.41679167,2.31E-01,1.65E+00,7.28E-01,3.73E+00,1.65E-10,2.97E-10,0.924188828
SCZ,Primary biliary cirrhosis ,Inverse variance weighted,0.014291748,0.011931031,2.31E-01,1.01E+00,9.91E-01,1.04E+00,4.61E-05,7.85E-05,0.924368959
OCD,smoking initiation ,Weighted median,0.255410198,0.213288206,2.31E-01,1.29E+00,8.50E-01,1.96E+00,8.00E-04,7.40E-04,0.310689123
DEP,College completion ,Inverse variance weighted,-0.049435521,0.041333609,2.32E-01,9.52E-01,8.78E-01,1.03E+00,2.99E-02,5.22E-02,0.703106532
ALZ,"Non-cancer illness code, self-reported: psoriasis ",Weighted mode,4.546343853,3.636605233,2.32E-01,9.43E+01,7.57E-02,1.17E+05,4.06E-01,3.97E-01,0.307881094
PTSD,Tea intake ,Weighted median,0.259447541,0.217159906,2.32E-01,1.30E+00,8.47E-01,1.98E+00,3.34E-05,3.53E-05,0.452765438
DEP,Behauvioural and emotional disorders with onset usually occuring in childhood and adolescence,MR Egger,0.002972962,0.002488507,2.32E-01,1.00E+00,9.98E-01,1.01E+00,2.99E-01,3.02E-01,0.414593205
ED,Serum 25-Hydroxyvitamin D levels ,Weighted median,0.136764441,0.114788942,2.33E-01,1.15E+00,9.16E-01,1.44E+00,4.60E-05,9.74E-06,0.021248455
PTSD,Neuroticism score ,Weighted mode,0.149760621,0.125083124,2.34E-01,1.16E+00,9.09E-01,1.48E+00,1.78E-29,3.12E-29,0.849084363
SCZ,Congenital cytomegalovirus infection,Weighted median,-0.091487167,0.076988131,2.35E-01,9.13E-01,7.85E-01,1.06E+00,8.28E-01,8.99E-01,0.740545056
SCZ,Tea intake ,Inverse variance weighted,0.200465667,0.168829618,2.35E-01,1.22E+00,8.78E-01,1.70E+00,3.34E-05,3.53E-05,0.452765438
ED,Autoimmune diseases ,Weighted mode,0.040571371,0.033686085,2.36E-01,1.04E+00,9.75E-01,1.11E+00,3.84E-01,4.13E-01,0.598546243
ANX,Age at first birth ,Simple mode,-0.295280457,0.246145082,2.36E-01,7.44E-01,4.59E-01,1.21E+00,2.94E-01,3.06E-01,0.438959952
ED,Viral infection,Inverse variance weighted,-2.294295244,1.935162633,2.36E-01,1.01E-01,2.27E-03,4.48E+00,1.78E-01,1.81E-01,0.513512517
ANX,Heart rate ,Simple mode,-0.056325501,0.045537025,2.36E-01,9.45E-01,8.65E-01,1.03E+00,2.36E-01,2.98E-01,0.944759356
ASD,Autoimmune diseases ,Simple mode,-0.089756761,0.074830432,2.36E-01,9.14E-01,7.89E-01,1.06E+00,9.36E-01,9.11E-01,0.166070761
PTSD,Autoimmune diseases ,Weighted median,-0.044142108,0.037311639,2.37E-01,9.57E-01,8.89E-01,1.03E+00,2.74E-05,3.77E-05,0.700159744
ANX,Sleeplessness / insomnia ,MR Egger,2.12057148,1.764287211,2.37E-01,8.34E+00,2.63E-01,2.65E+02,4.11E-01,4.31E-01,0.461291419
PTSD,Alzheimer's disease or family history of Alzheimer's disease ,Simple mode,-0.083064994,0.069098168,2.37E-01,9.20E-01,8.04E-01,1.05E+00,3.67E-06,4.60E-06,0.570012981
ADHD,Living alone,Weighted median,-0.97316389,0.823428712,2.37E-01,3.78E-01,7.52E-02,1.90E+00,2.91E-16,3.32E-16,0.857891204
BP,Current employment status: Unemployed,Inverse variance weighted,-0.450377561,0.381097799,2.37E-01,6.37E-01,3.02E-01,1.35E+00,2.09E-02,2.17E-02,0.852825766
BP,Current employment status: Unemployed,Inverse variance weighted,-0.450377561,0.381097799,2.37E-01,6.37E-01,3.02E-01,1.35E+00,2.09E-02,2.17E-02,0.852825766
ASD,Nitrogen dioxide air pollution; 2010 ,Weighted median,0.664963131,0.563319144,2.38E-01,1.94E+00,6.45E-01,5.87E+00,6.78E-03,5.57E-03,0.439793617
OCD,Primary sclerosing cholangitis ,Simple mode,-0.088444226,0.071503811,2.38E-01,9.15E-01,7.96E-01,1.05E+00,4.36E-01,3.44E-01,0.145430993
ED,Primary sclerosing cholangitis ,MR Egger,0.045663188,0.036859575,2.39E-01,1.05E+00,9.74E-01,1.13E+00,4.36E-01,3.44E-01,0.145430993
ALZ,Allergic rhinitis ,Simple mode,0.143510683,0.086663305,2.40E-01,1.15E+00,9.74E-01,1.37E+00,2.03E-01,4.44E-01,0.964356086
ANX,Alzheimer's disease or family history of Alzheimer's disease ,Simple mode,-0.212965513,0.178104477,2.41E-01,8.08E-01,5.70E-01,1.15E+00,1.20E-02,1.54E-02,0.736557952
ED,Age at first birth ,Weighted median,-0.062714251,0.053472359,2.41E-01,9.39E-01,8.46E-01,1.04E+00,3.41E-04,1.34E-04,0.098355856
ASD,Primary sclerosing cholangitis ,MR Egger,-0.027764148,0.022714083,2.42E-01,9.73E-01,9.30E-01,1.02E+00,3.17E-01,3.92E-01,0.843794435
ANX,Maternal smoking around birth ,Inverse variance weighted,1.542093552,1.31754541,2.42E-01,4.67E+00,3.53E-01,6.18E+01,6.71E-02,9.29E-02,0.956658032
ANX,Maternal smoking around birth ,Inverse variance weighted,1.542093552,1.31754541,2.42E-01,4.67E+00,3.53E-01,6.18E+01,6.71E-02,9.29E-02,0.956658032
SCZ,Current employment status: Retired,Inverse variance weighted,-0.095394584,0.081540309,2.42E-01,9.09E-01,7.75E-01,1.07E+00,1.19E-02,1.22E-02,0.628714826
ANX,Iron intake,MR Egger,5.592477437,4.779464866,2.42E-01,2.68E+02,2.29E-02,3.14E+06,4.16E-26,3.96E-26,0.299589161
ADHD,Primary sclerosing cholangitis ,Simple mode,-0.026713002,0.021894403,2.43E-01,9.74E-01,9.33E-01,1.02E+00,8.43E-02,4.36E-02,0.148416734
ASD,Fresh fruit intake ,Simple mode,1.208653479,1.024591516,2.44E-01,3.35E+00,4.50E-01,2.49E+01,4.30E-01,4.17E-01,0.253656155
SCZ,Autoimmune diseases ,Simple mode,-0.0885572,0.074900713,2.44E-01,9.15E-01,7.90E-01,1.06E+00,2.74E-05,3.77E-05,0.700159744
SCZ,Operative procedures,Inverse variance weighted,-1.023674058,0.87900847,2.44E-01,3.59E-01,6.42E-02,2.01E+00,1.90E-08,2.06E-08,0.716297006
ED,Gestational diabetes (for exclusion) ,Weighted mode,0.112783475,0.069128352,2.44E-01,1.12E+00,9.78E-01,1.28E+00,8.65E-01,9.15E-01,0.662995418
ADHD,Age at first birth ,MR Egger,-0.196985788,0.166806338,2.44E-01,8.21E-01,5.92E-01,1.14E+00,5.82E-09,2.33E-09,0.22057734
SCZ,Heart rate ,Simple mode,0.015854115,0.013056956,2.45E-01,1.02E+00,9.90E-01,1.04E+00,1.20E-06,6.19E-07,0.36460977
BP,Sleeplessness / insomnia ,Weighted median,0.292880789,0.252147114,2.45E-01,1.34E+00,8.18E-01,2.20E+00,4.11E-01,4.31E-01,0.461291419
PTSD,Mineral and other dietary supplements: Zinc ,MR Egger,25.75726896,10.4891228,2.46E-01,1.54E+11,1.81E+02,1.30E+20,2.58E-01,5.17E-01,0.886047001
ED,Diabetes mellitus ,Simple mode,-0.1062097,0.090324622,2.46E-01,8.99E-01,7.53E-01,1.07E+00,5.60E-01,5.56E-01,0.300889221
ALZ,Type 1 diabetes ,Weighted median,-0.016500107,0.014235319,2.46E-01,9.84E-01,9.57E-01,1.01E+00,1.73E-01,1.09E-01,0.081797268
ED,Tea intake ,MR Egger,0.50430781,0.426923371,2.47E-01,1.66E+00,7.17E-01,3.82E+00,1.11E-01,1.27E-01,0.630058391
OCD,smoking initiation ,Inverse variance weighted,0.212586169,0.183647296,2.47E-01,1.24E+00,8.63E-01,1.77E+00,8.00E-04,7.40E-04,0.310689123
DEP,Age-related hearing impairment (MTAG) ,Weighted median,-0.098779545,0.08548817,2.48E-01,9.06E-01,7.66E-01,1.07E+00,6.59E-02,7.95E-02,0.672216691
ED,Qualifications: College or University degree ,Weighted mode,-0.957767612,0.827045599,2.48E-01,3.84E-01,7.59E-02,1.94E+00,7.01E-11,6.87E-12,0.008009552
BP,Trauma exposure ,Weighted mode,0.135203986,0.100110594,2.48E-01,1.14E+00,9.41E-01,1.39E+00,8.43E-01,8.67E-01,0.555428028
OCD,Type 1 diabetes ,Inverse variance weighted,-0.035804418,0.031027112,2.49E-01,9.65E-01,9.08E-01,1.03E+00,9.77E-01,9.82E-01,0.667597956
ADHD,Primary sclerosing cholangitis ,Inverse variance weighted,-0.013217289,0.011468839,2.49E-01,9.87E-01,9.65E-01,1.01E+00,8.43E-02,4.36E-02,0.148416734
ED,Allergic rhinitis ,Wald ratio,-0.237202588,0.20603272,2.50E-01,7.89E-01,5.27E-01,1.18E+00,6.48E-01,8.73E-01,0.844709241
DEP,Current employment status: Unemployed,Weighted median,-0.27389109,0.237903921,2.50E-01,7.60E-01,4.77E-01,1.21E+00,2.09E-02,2.17E-02,0.852825766
DEP,Unspecified maternal hypertension,Inverse variance weighted,-0.00043384,0.000377778,2.51E-01,1.00E+00,9.99E-01,1.00E+00,1.28E-01,1.33E-01,0.809668802
ASD,Body mass index (BMI) ,Simple mode,0.292266945,0.254405265,2.51E-01,1.34E+00,8.14E-01,2.21E+00,4.09E-01,4.21E-01,0.751756581
SCZ,"Diagnoses - main ICD10: J45.9 Asthma, unspecified ",Simple mode,-14.47038155,11.17166164,2.52E-01,5.20E-07,1.61E-16,1.68E+03,1.22E-03,2.50E-03,0.790492349
SCZ,Sleeplessness / insomnia ,Simple mode,-0.506913304,0.435685839,2.52E-01,6.02E-01,2.56E-01,1.41E+00,1.01E-12,1.94E-12,0.955004357
ED,Age at first birth ,Simple mode,-0.162114337,0.139951312,2.52E-01,8.50E-01,6.46E-01,1.12E+00,3.41E-04,1.34E-04,0.098355856
ASD,Birth weight ,Weighted mode,0.207304726,0.180253735,2.52E-01,1.23E+00,8.64E-01,1.75E+00,3.36E-01,3.10E-01,0.144352315
SCZ,Heart rate ,Weighted median,0.009924448,0.00870097,2.54E-01,1.01E+00,9.93E-01,1.03E+00,1.20E-06,6.19E-07,0.36460977
OCD,Diagnoses - main ICD10: I25.1 Atherosclerotic heart disease ,MR Egger,7.49130952,6.406373556,2.54E-01,1.79E+03,6.31E-03,5.09E+08,7.34E-03,8.56E-03,0.527309938
PTSD,Neuroticism score ,Simple mode,0.149760621,0.130714224,2.54E-01,1.16E+00,8.99E-01,1.50E+00,1.78E-29,3.12E-29,0.849084363
BP,Tea intake ,MR Egger,0.361544882,0.312294164,2.54E-01,1.44E+00,7.78E-01,2.65E+00,3.20E-02,3.75E-02,0.591047064
ANX,Age-related hearing impairment (MTAG) ,Simple mode,-1.242162661,1.064994848,2.54E-01,2.89E-01,3.58E-02,2.33E+00,5.47E-01,6.00E-01,0.791362667
BP,"Non-cancer illness code, self-reported: diabetes ",Inverse variance weighted,-0.689664448,0.606967499,2.56E-01,5.02E-01,1.53E-01,1.65E+00,1.15E-01,1.31E-01,0.739258283
DEP,Current employment status: Unemployed,MR Egger,-0.431446727,0.380022006,2.56E-01,6.50E-01,3.08E-01,1.37E+00,2.09E-02,2.17E-02,0.852825766
DEP,Current employment status: Unemployed,MR Egger,-0.431446727,0.380022006,2.56E-01,6.50E-01,3.08E-01,1.37E+00,2.09E-02,2.17E-02,0.852825766
ADHD,Tea intake ,Weighted median,-0.167377716,0.147475002,2.56E-01,8.46E-01,6.34E-01,1.13E+00,9.24E-09,1.34E-08,0.66879725
ED,Childhood obesity ,Weighted median,-0.050826899,0.044784025,2.56E-01,9.50E-01,8.71E-01,1.04E+00,5.83E-01,4.44E-01,0.274383991
OCD,Body mass index (BMI) ,Simple mode,-0.556919728,0.49319707,2.60E-01,5.73E-01,2.18E-01,1.51E+00,2.57E-14,3.16E-14,0.736769716
ED,"Non-cancer illness code, self-reported: diabetes ",MR Egger,1.600733952,1.402849386,2.60E-01,4.96E+00,3.17E-01,7.75E+01,8.17E-01,8.27E-01,0.459888989
OCD,Mineral and other dietary supplements: Zinc ,Inverse variance weighted,7.986317924,7.088729802,2.60E-01,2.94E+03,2.72E-03,3.18E+09,3.91E-02,8.97E-02,0.77722608
ED,Gestational diabetes (for exclusion) ,Weighted mode,0.112783475,0.072484122,2.60E-01,1.12E+00,9.71E-01,1.29E+00,8.65E-01,9.15E-01,0.662995418
ASD,Unable to work because of sickness or disability,Inverse variance weighted,-0.343056636,0.30487086,2.60E-01,7.10E-01,3.90E-01,1.29E+00,4.62E-43,5.56E-43,0.728913603
PTSD,Nitrogen dioxide air pollution; 2010 ,Weighted mode,-1.120320903,0.916899996,2.61E-01,3.26E-01,5.41E-02,1.97E+00,3.06E-03,6.01E-03,0.906361827
ALZ,Primary sclerosing cholangitis ,MR Egger,-0.138600619,0.117170541,2.62E-01,8.71E-01,6.92E-01,1.10E+00,1.12E-06,2.74E-07,0.292191565
BP,Fresh fruit intake ,MR Egger,1.273454692,1.124647445,2.63E-01,3.57E+00,3.94E-01,3.24E+01,4.30E-01,4.17E-01,0.253656155
DEP,Type 1 diabetes ,Inverse variance weighted,-0.006221476,0.005558059,2.63E-01,9.94E-01,9.83E-01,1.00E+00,9.77E-01,9.82E-01,0.667597956
ALZ,Age at first birth ,MR Egger,0.145917965,0.129117553,2.63E-01,1.16E+00,8.98E-01,1.49E+00,2.37E-02,2.09E-02,0.250744821
ADHD,Tea intake ,MR Egger,-0.396457027,0.349258547,2.64E-01,6.73E-01,3.39E-01,1.33E+00,9.24E-09,1.34E-08,0.66879725
ADHD,Current employment status: Unemployed,Weighted median,-0.564626555,0.505337892,2.64E-01,5.69E-01,2.11E-01,1.53E+00,1.31E-27,1.37E-27,0.437673351
BP,"Diagnoses - secondary ICD10: E03.9 Hypothyroidism, unspecified ",Weighted mode,-1.584357007,1.395254342,2.64E-01,2.05E-01,1.33E-02,3.16E+00,8.01E-01,8.15E-01,0.468424168
SCZ,Primary biliary cirrhosis ,MR Egger,-0.030477697,0.026523386,2.64E-01,9.70E-01,9.21E-01,1.02E+00,4.61E-05,7.85E-05,0.924368959
DEP,Tea intake ,Simple mode,0.149963459,0.132366411,2.64E-01,1.16E+00,8.96E-01,1.51E+00,1.11E-01,1.27E-01,0.630058391
OCD,Current employment status: Unemployed,Inverse variance weighted,1.106855011,0.99133452,2.64E-01,3.02E+00,4.33E-01,2.11E+01,1.18E-03,1.22E-03,0.485133606
OCD,Current employment status: Unemployed,Inverse variance weighted,1.106855011,0.99133452,2.64E-01,3.02E+00,4.33E-01,2.11E+01,1.18E-03,1.22E-03,0.485133606
ED,Gestational diabetes (for exclusion) ,Simple mode,0.116829861,0.07613734,2.65E-01,1.12E+00,9.68E-01,1.30E+00,8.65E-01,9.15E-01,0.662995418
BP,Maternal smoking around birth ,Inverse variance weighted,0.883660007,0.79231325,2.65E-01,2.42E+00,5.12E-01,1.14E+01,6.71E-02,9.29E-02,0.956658032
BP,Maternal smoking around birth ,Inverse variance weighted,0.883660007,0.79231325,2.65E-01,2.42E+00,5.12E-01,1.14E+01,6.71E-02,9.29E-02,0.956658032
ASD,Chickenpox,Inverse variance weighted,-1.307398459,1.173519746,2.65E-01,2.71E-01,2.71E-02,2.70E+00,7.34E-27,8.28E-27,0.600212941
PTSD,Viral infection,Inverse variance weighted,-1.963299089,1.764145062,2.66E-01,1.40E-01,4.42E-03,4.46E+00,4.70E-07,5.05E-07,0.656918281
SCZ,Diabetes mellitus ,Weighted mode,0.041083766,0.036501566,2.66E-01,1.04E+00,9.70E-01,1.12E+00,1.22E-02,1.56E-02,0.98389506
ANX,Qualifications: College or University degree ,MR Egger,-1.355596686,1.215559249,2.66E-01,2.58E-01,2.38E-02,2.79E+00,1.18E-25,1.37E-25,0.526042364
BP,Birth weight ,Weighted median,-0.06997592,0.062972521,2.66E-01,9.32E-01,8.24E-01,1.05E+00,3.36E-01,3.10E-01,0.144352315
PTSD,Diagnoses - main ICD10: I25.1 Atherosclerotic heart disease ,Simple mode,-3.348780944,2.952169473,2.67E-01,3.51E-02,1.08E-04,1.14E+01,2.15E-03,1.93E-03,0.354157699
OCD,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension ,Weighted mode,2.301383299,2.050216287,2.67E-01,9.99E+00,1.80E-01,5.55E+02,3.02E-02,3.57E-02,0.763537701
ANX,Autoimmune diseases ,MR Egger,-0.168419052,0.149321071,2.67E-01,8.45E-01,6.31E-01,1.13E+00,9.36E-01,9.11E-01,0.166070761
BP,College completion ,MR Egger,2.169919352,0.969709446,2.68E-01,8.76E+00,1.31E+00,5.86E+01,2.99E-02,5.22E-02,0.703106532
SCZ,Current employment status: Retired,Weighted median,-0.121182961,0.109320002,2.68E-01,8.86E-01,7.15E-01,1.10E+00,1.19E-02,1.22E-02,0.628714826
ED,"Diagnoses - secondary ICD10: E03.9 Hypothyroidism, unspecified ",Simple mode,3.570159915,3.162898816,2.68E-01,3.55E+01,7.21E-02,1.75E+04,1.50E-01,1.78E-01,0.835795114
SCZ,Behauvioural and emotional disorders with onset usually occuring in childhood and adolescence,Weighted median,-0.005758519,0.005199835,2.68E-01,9.94E-01,9.84E-01,1.00E+00,1.65E-01,1.56E-01,0.070420239
ED,Gestational diabetes (for exclusion) ,Simple mode,0.116829861,0.0772304,2.70E-01,1.12E+00,9.66E-01,1.31E+00,8.65E-01,9.15E-01,0.662995418
ADHD,"Illness, injury, bereavement, stress in last 2 years: Death of a spouse or partner",Weighted median,-0.605948762,0.549339434,2.70E-01,5.46E-01,1.86E-01,1.60E+00,3.62E-27,4.32E-27,0.964007176
PTSD,Fresh fruit intake ,MR Egger,1.02970097,0.924504241,2.71E-01,2.80E+00,4.57E-01,1.71E+01,8.09E-21,7.99E-21,0.497506373
SCZ,Maternal smoking around birth ,Inverse variance weighted,1.158451736,1.052426924,2.71E-01,3.18E+00,4.05E-01,2.51E+01,5.93E-10,1.27E-09,0.833390174
SCZ,Maternal smoking around birth ,Inverse variance weighted,1.158451736,1.052426924,2.71E-01,3.18E+00,4.05E-01,2.51E+01,5.93E-10,1.27E-09,0.833390174
BP,Tea intake ,Inverse variance weighted,0.147939108,0.134474737,2.71E-01,1.16E+00,8.91E-01,1.51E+00,3.20E-02,3.75E-02,0.591047064
ANX,Sleeplessness / insomnia ,Weighted median,0.705789914,0.641729469,2.71E-01,2.03E+00,5.76E-01,7.12E+00,4.11E-01,4.31E-01,0.461291419
ADHD,Operative procedures,Weighted median,-1.230634686,1.119089974,2.71E-01,2.92E-01,3.26E-02,2.62E+00,8.10E-36,8.16E-36,0.376680089
DEP,Ever taken cannabis ,Weighted median,-0.008778702,0.007987504,2.72E-01,9.91E-01,9.76E-01,1.01E+00,5.95E-01,7.18E-01,0.945702243
BP,Mineral and other dietary supplements: Zinc ,Weighted median,3.272671547,2.981823201,2.72E-01,2.64E+01,7.64E-02,9.11E+03,8.67E-01,9.76E-01,0.910201837
DEP,Primary biliary cirrhosis ,Weighted median,-0.006506245,0.005941266,2.73E-01,9.94E-01,9.82E-01,1.01E+00,7.11E-03,9.34E-03,0.653885458
ASD,Viral infection,Weighted median,2.715628565,2.481233311,2.74E-01,1.51E+01,1.17E-01,1.96E+03,3.36E-23,4.02E-23,0.999304449
ASD,Childhood obesity ,Simple mode,0.086664471,0.068384195,2.74E-01,1.09E+00,9.54E-01,1.25E+00,1.25E-01,2.14E-01,0.857272036
BP,Intelligence ,Simple mode,-0.284088227,0.258607262,2.74E-01,7.53E-01,4.53E-01,1.25E+00,4.32E-01,4.45E-01,0.508952987
ED,Diagnoses - main ICD10: I25.1 Atherosclerotic heart disease ,Simple mode,-3.375740893,3.01826798,2.74E-01,3.42E-02,9.22E-05,1.27E+01,7.34E-03,8.56E-03,0.527309938
ASD,Mumps,Weighted median,-0.003668951,0.003358463,2.75E-01,9.96E-01,9.90E-01,1.00E+00,9.37E-07,6.22E-07,0.021361089
DEP,Birth weight ,Simple mode,-0.091740068,0.083694955,2.75E-01,9.12E-01,7.74E-01,1.07E+00,1.16E-01,1.27E-01,0.831139804
BP,Diabetes mellitus ,Weighted median,-0.026047737,0.023866819,2.75E-01,9.74E-01,9.30E-01,1.02E+00,2.98E-01,2.88E-01,0.274908982
ANX,"Non-cancer illness code, self-reported: diabetes ",Weighted median,2.137139521,1.963070598,2.76E-01,8.48E+00,1.81E-01,3.97E+02,1.15E-01,1.31E-01,0.739258283
PTSD,Type 1 diabetes ,Weighted median,-0.011409879,0.010482514,2.76E-01,9.89E-01,9.69E-01,1.01E+00,2.89E-07,1.77E-07,0.2824836
DEP,Chickenpox,MR Egger,1.097735767,1.008392958,2.76E-01,3.00E+00,4.15E-01,2.16E+01,4.33E-01,4.39E-01,0.869913031
ALZ,College completion ,Weighted median,-0.130428185,0.119870114,2.77E-01,8.78E-01,6.94E-01,1.11E+00,3.94E-01,4.59E-01,0.350028286
ADHD,Unspecified maternal hypertension,Weighted median,-0.00171859,0.001582413,2.77E-01,9.98E-01,9.95E-01,1.00E+00,1.20E-09,9.55E-10,0.089885104
PTSD,"Diagnoses - main ICD10: J45.9 Asthma, unspecified ",Simple mode,18.20212268,14.95735796,2.78E-01,8.04E+07,1.49E-05,4.34E+20,1.22E-03,2.50E-03,0.790492349
ASD,smoking initiation ,MR Egger,0.466462318,0.427134088,2.78E-01,1.59E+00,6.90E-01,3.68E+00,4.01E-01,4.31E-01,0.98282675
ADHD,"Non-cancer illness code, self-reported: psoriasis ",Weighted median,0.769269605,0.710721961,2.79E-01,2.16E+00,5.36E-01,8.69E+00,6.04E-02,6.70E-02,0.473949627
PTSD,Mumps,MR Egger,0.003667503,0.003397255,2.80E-01,1.00E+00,9.97E-01,1.01E+00,1.53E-02,1.48E-02,0.172959629
BP,Diabetes mellitus ,Weighted mode,-0.026147099,0.023974526,2.81E-01,9.74E-01,9.29E-01,1.02E+00,2.98E-01,2.88E-01,0.274908982
ED,Birth weight ,Simple mode,-0.320143399,0.295435291,2.81E-01,7.26E-01,4.07E-01,1.30E+00,1.16E-01,1.27E-01,0.831139804
ANX,Heart rate ,Weighted median,-0.026850164,0.024909585,2.81E-01,9.74E-01,9.27E-01,1.02E+00,2.36E-01,2.98E-01,0.944759356
