Psychiatric disorder,Risk phenotype,Method,Beta,Standard error,P-value,OR,OR_lci95,OR_uci95,Q Pvalue(MREgger),Q Pvalue(IVW),Intercept PValue
SCZ,Unable to work because of sickness or disability,Inverse variance weighted,-1.521682391,0.242260172,3.36E-10,2.18E-01,1.36E-01,3.51E-01,2.55E-04,2.53E-04,0.299104165
DEP,Living alone,Inverse variance weighted,-1.765769368,0.284029255,5.07E-10,1.71E-01,9.80E-02,2.98E-01,3.88E-01,3.94E-01,0.750780149
DEP,smoking initiation ,Weighted median,0.217766772,0.035127982,5.67E-10,1.24E+00,1.16E+00,1.33E+00,8.00E-04,7.40E-04,0.310689123
SCZ,Neuroticism score ,Weighted median,0.187552006,0.030941634,1.35E-09,1.21E+00,1.14E+00,1.28E+00,1.78E-29,3.12E-29,0.849084363
PTSD,Body mass index (BMI) ,Inverse variance weighted,0.286110447,0.047373549,1.55E-09,1.33E+00,1.21E+00,1.46E+00,6.63E-60,1.01E-59,0.813425492
DEP,Sleeplessness / insomnia ,Inverse variance weighted,0.861964027,0.142919631,1.63E-09,2.37E+00,1.79E+00,3.13E+00,1.65E-10,2.97E-10,0.924188828
PTSD,Neuroticism score ,Weighted median,0.257990067,0.04363558,3.37E-09,1.29E+00,1.19E+00,1.41E+00,1.78E-29,3.12E-29,0.849084363
SCZ,Neuroticism score ,Inverse variance weighted,0.241992615,0.041520674,5.60E-09,1.27E+00,1.17E+00,1.38E+00,1.78E-29,3.12E-29,0.849084363
DEP,Educational attainment,Weighted median,0.134056054,0.023003026,5.62E-09,1.14E+00,1.09E+00,1.20E+00,4.18E-02,4.05E-02,0.177159832
ASD,Qualifications: College or University degree ,Inverse variance weighted,1.038886628,0.181300242,1.00E-08,2.83E+00,1.98E+00,4.03E+00,2.99E-01,3.11E-01,0.634434752
ADHD,Maternal smoking around birth ,Inverse variance weighted,3.700919295,0.650649552,1.29E-08,4.05E+01,1.13E+01,1.45E+02,4.56E-04,1.01E-04,0.17534613
ADHD,Maternal smoking around birth ,Inverse variance weighted,3.700919295,0.650649552,1.29E-08,4.05E+01,1.13E+01,1.45E+02,4.56E-04,1.01E-04,0.17534613
ADHD,Neuroticism score ,Weighted median,0.172131177,0.030512294,1.69E-08,1.19E+00,1.12E+00,1.26E+00,1.82E-12,2.46E-12,0.677211234
ADHD,Neuroticism score ,Inverse variance weighted,0.157640447,0.028180838,2.22E-08,1.17E+00,1.11E+00,1.24E+00,1.82E-12,2.46E-12,0.677211234
DEP,Neuroticism score ,Simple mode,0.267897321,0.04644075,7.58E-08,1.31E+00,1.19E+00,1.43E+00,1.55E-10,6.41E-11,0.134958317
ASD,Educational attainment,MR Egger,-0.546519726,0.102680165,1.14E-07,5.79E-01,4.73E-01,7.08E-01,7.40E-79,6.12E-79,0.267199899
ANX,Neuroticism score ,Weighted median,0.435282635,0.084907235,2.95E-07,1.55E+00,1.31E+00,1.83E+00,1.16E-01,8.85E-02,0.078855935
DEP,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Inverse variance weighted,2.58540254,0.505273151,3.11E-07,1.33E+01,4.93E+00,3.57E+01,3.55E-01,4.44E-01,0.731465866
DEP,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Inverse variance weighted,2.58540254,0.505273151,3.11E-07,1.33E+01,4.93E+00,3.57E+01,3.55E-01,4.44E-01,0.731465866
PTSD,Trauma exposure ,Inverse variance weighted,0.470251172,0.092358835,3.55E-07,1.60E+00,1.34E+00,1.92E+00,1.20E-02,1.69E-02,0.618837049
DEP,Body mass index (BMI) ,Inverse variance weighted,0.113789783,0.022437905,3.95E-07,1.12E+00,1.07E+00,1.17E+00,2.57E-14,3.16E-14,0.736769716
DEP,smoking initiation ,Inverse variance weighted,0.205419801,0.040671203,4.40E-07,1.23E+00,1.13E+00,1.33E+00,8.00E-04,7.40E-04,0.310689123
ED,Neuroticism score ,Inverse variance weighted,-0.197898882,0.039198657,4.45E-07,8.20E-01,7.60E-01,8.86E-01,1.55E-10,6.41E-11,0.134958317
ADHD,Intelligence ,Weighted median,-0.370839021,0.073605986,4.70E-07,6.90E-01,5.97E-01,7.97E-01,8.19E-17,1.09E-16,0.643105235
ED,Qualifications: College or University degree ,Inverse variance weighted,-0.952341241,0.190414902,5.69E-07,3.86E-01,2.66E-01,5.60E-01,7.01E-11,6.87E-12,0.008009552
ADHD,smoking initiation ,Weighted mode,0.907973655,0.168053184,6.43E-07,2.48E+00,1.78E+00,3.45E+00,3.61E-20,6.44E-21,0.153206716
BP,Neuroticism score ,Inverse variance weighted,0.165561443,0.033670638,8.78E-07,1.18E+00,1.10E+00,1.26E+00,1.16E-01,8.85E-02,0.078855935
