Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
CNTNAP2,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,148.413,1.89E-02,0.999116132,0.830989469,0.603813035,0.26655663
CDH13,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,20.086,2.60E-02,0.291518939,0.35903379,0.65441431,0.947778121
UNC13C,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,2.65E-02,0.797928585,NA,0.403992387,NA
MAGI2,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,54.598,2.70E-02,0.052897772,0.85320917,0.906309995,0.673271657
ESRRG,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,2.77E-02,0.67672089,NA,0.798256074,NA
ERC2,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,2.84E-02,0.597091589,NA,0.25693663,NA
KCNIP4,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,20.086,2.89E-02,0.067428132,0.578533077,0.84255017,0.883863608
PSD3,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,2.98E-02,0.538603843,NA,0.922246171,NA
DAB2,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,2.98E-02,0.400522308,NA,0.350088705,NA
TENM4,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,20.086,3.00E-02,0.078358314,0.665543848,0.844020004,0.763127998
PTPRD,Stem-cell-iPSC,ANX,sQTL,Weighted median,54.598,3.04E-02,0.200879618,0.199478789,0.161605859,0.389151477
MEAF6P1,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.06E-02,0.308128395,NA,NA,NA
GPC5,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,3.10E-02,0.527610214,NA,0.313668849,NA
MIR3681HG,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,3.13E-02,0.646793517,NA,0.669994628,NA
RNU6-1012P,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.13E-02,0.069402673,NA,NA,NA
ADAM12,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,3.16E-02,0.015402008,NA,0.538983954,NA
ROBO1,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,3.17E-02,0.522599553,NA,0.825208334,NA
ERBB4,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,3.18E-02,0.468208772,NA,0.445849352,NA
NME7,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.19E-02,0.569510041,NA,NA,NA
OSBPL10,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,20.086,3.20E-02,0.887681255,0.857532881,0.515292629,0.459115353
PUS7L,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.21E-02,0.979239548,NA,NA,NA
LINC01088,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.23E-02,0.588048157,NA,NA,NA
ADAMTS17,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,3.28E-02,0.113893495,NA,0.587907744,NA
ASIC2,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,3.30E-02,0.101285156,NA,0.93293952,NA
NRSN1,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.31E-02,0.134598387,NA,NA,NA
FBXO40,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.31E-02,0.973309957,NA,NA,NA
BUD13,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.31E-02,0.152662874,NA,NA,NA
CSMD3,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.32E-02,0.867632335,NA,NA,NA
CNTLN,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,3.32E-02,0.533150072,NA,0.266376256,NA
KCNQ3,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,20.086,3.33E-02,0.691159391,0.172869391,0.385971883,0.900536689
GAPDHP28,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.39E-02,0.333961417,NA,NA,NA
SVIL,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.39E-02,0.219782668,NA,NA,NA
UTS2B,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.39E-02,0.55468973,NA,NA,NA
OSBPL1A,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,3.40E-02,0.938859753,NA,0.411889499,NA
LINC01104,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.41E-02,0.39635547,NA,NA,NA
AKAP6,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.41E-02,0.351137934,NA,NA,NA
WWOX,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,3.41E-02,0.167248627,NA,0.421897291,NA
AOAH,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.41E-02,0.699002996,NA,NA,NA
CD36,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.42E-02,0.401565926,NA,NA,NA
LINC01090,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,7.389,3.45E-02,0.999625899,NA,0.276875593,NA
VCAN,Stem-cell-iPSC,ANX,sQTL,Wald ratio,2.718,3.46E-02,0.242636967,NA,NA,NA
CDK14,Stem-cell-iPSC,ANX,sQTL,Inverse variance weighted,20.086,3.48E-02,0.800778393,0.698168918,0.780058228,0.66134569
