Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
ADAMTS7,Lymphocyte,ANX,Wald ratio,1,1.146,2.20E-01,NA,NA,NA,0.038292719
CLASP1,Lymphocyte,ANX,Wald ratio,1,0.962,2.20E-01,NA,NA,NA,0.000413787
CTSH,Lymphocyte,ANX,Wald ratio,1,0.956,2.24E-01,NA,NA,NA,0.033554238
ANTXRLP1,Lymphocyte,ANX,Wald ratio,1,0.965,2.26E-01,NA,NA,NA,0.03449322
RP11-42I10.1,Lymphocyte,ANX,Wald ratio,1,0.96,2.27E-01,NA,NA,NA,0.000936883
APBB2,Lymphocyte,ANX,Wald ratio,1,0.975,2.28E-01,NA,NA,NA,0.023018621
STIL,Lymphocyte,ANX,Wald ratio,1,1.052,2.29E-01,NA,NA,NA,0.002064059
UTP18,Lymphocyte,ANX,Wald ratio,1,0.964,2.29E-01,NA,NA,NA,0.016148006
MRPL28,Lymphocyte,ANX,Wald ratio,1,0.939,2.31E-01,NA,NA,NA,0.024579763
LPCAT1,Lymphocyte,ANX,Wald ratio,1,0.96,2.31E-01,NA,NA,NA,0.026005192
VAMP1,Lymphocyte,ANX,Wald ratio,1,1.065,2.32E-01,NA,NA,NA,0.016078743
AP3S2,Lymphocyte,ANX,Wald ratio,1,1.05,2.34E-01,NA,NA,NA,0.002403227
FAM193A,Lymphocyte,ANX,Wald ratio,1,1.045,2.37E-01,NA,NA,NA,0.017850294
SAA1,Lymphocyte,ANX,Wald ratio,1,0.95,2.42E-01,NA,NA,NA,7.68E-06
PLCG2,Lymphocyte,ANX,Inverse variance weighted,2,0.96,2.45E-01,NA,0.79164116,NA,0.030223044
GPRC5C,Lymphocyte,ANX,Wald ratio,1,0.967,2.56E-01,NA,NA,NA,0.000247627
B4GALT4,Lymphocyte,ANX,Wald ratio,1,0.981,2.57E-01,NA,NA,NA,0.000144959
ADK,Lymphocyte,ANX,Wald ratio,1,1.013,2.57E-01,NA,NA,NA,0.018763199
DENND1A,Lymphocyte,ANX,Wald ratio,1,0.967,2.57E-01,NA,NA,NA,0.003888893
PYROXD2,Lymphocyte,ANX,Wald ratio,1,1.066,2.58E-01,NA,NA,NA,0.004073395
TSPAN1,Lymphocyte,ANX,Wald ratio,1,0.956,2.60E-01,NA,NA,NA,0.000380411
KCNA6,Lymphocyte,ANX,Wald ratio,1,0.974,2.61E-01,NA,NA,NA,2.03E-05
ITGAE,Lymphocyte,ANX,Wald ratio,1,0.943,2.62E-01,NA,NA,NA,0.024095183
LPCAT1,Lymphocyte,ANX,Inverse variance weighted,2,0.973,2.63E-01,NA,0.638056037,NA,0.013456765
MGAT5,Lymphocyte,ANX,Wald ratio,1,1.029,2.64E-01,NA,NA,NA,0.000200778
ZC2HC1A,Lymphocyte,ANX,Wald ratio,1,0.979,2.66E-01,NA,NA,NA,0.000550395
PLEC,Lymphocyte,ANX,Wald ratio,1,1.053,2.67E-01,NA,NA,NA,0.020600474
PGAP3,Lymphocyte,ANX,Wald ratio,1,0.956,2.69E-01,NA,NA,NA,0.02441333
SNX29,Lymphocyte,ANX,Inverse variance weighted,2,0.97,2.70E-01,NA,0.727752514,NA,1.86E-05
AL162853.1,Lymphocyte,ANX,Wald ratio,1,1.037,2.71E-01,NA,NA,NA,0.000205963
DST,Lymphocyte,ANX,Wald ratio,1,0.956,2.74E-01,NA,NA,NA,3.91E-06
CREB3L2,Lymphocyte,ANX,Wald ratio,1,0.954,2.76E-01,NA,NA,NA,0.003750241
PLCG2,Lymphocyte,ANX,Wald ratio,1,0.954,2.77E-01,NA,NA,NA,0.025479538
ENO4,Lymphocyte,ANX,Wald ratio,1,0.961,2.78E-01,NA,NA,NA,0.003662372
ZPBP2,Lymphocyte,ANX,Wald ratio,1,0.961,2.81E-01,NA,NA,NA,0.020602725
NRCAM,Lymphocyte,ANX,Wald ratio,1,0.951,2.82E-01,NA,NA,NA,0.026461969
LINC00607,Lymphocyte,ANX,Wald ratio,1,0.979,2.84E-01,NA,NA,NA,7.09E-05
AC006534.1,Lymphocyte,ANX,Wald ratio,1,0.97,2.88E-01,NA,NA,NA,5.24E-06
SAMSN1,Lymphocyte,ANX,Wald ratio,1,1.025,2.89E-01,NA,NA,NA,0.02387415
PM20D2,Lymphocyte,ANX,Wald ratio,1,1.026,2.90E-01,NA,NA,NA,5.52E-05
CNTNAP2,Lymphocyte,ANX,Wald ratio,1,1.019,2.91E-01,NA,NA,NA,0.02235484
BMP8A,Lymphocyte,ANX,Wald ratio,1,1.036,2.92E-01,NA,NA,NA,6.70E-06
BCL2L15,Lymphocyte,ANX,Wald ratio,1,0.965,2.97E-01,NA,NA,NA,0.012594282
RP11-282I1.1,Lymphocyte,ANX,Wald ratio,1,1.042,2.97E-01,NA,NA,NA,0.003132759
CLDN10,Lymphocyte,ANX,Wald ratio,1,0.948,2.98E-01,NA,NA,NA,0.019999362
RP11-157N3.1,Lymphocyte,ANX,Wald ratio,1,1.024,2.99E-01,NA,NA,NA,0.000267612
RP5-940F7.2,Lymphocyte,ANX,Wald ratio,1,1.029,3.00E-01,NA,NA,NA,0.025780474
ZDHHC14,Lymphocyte,ANX,Wald ratio,1,0.945,3.03E-01,NA,NA,NA,0.025503489
CLTCL1,Lymphocyte,ANX,Wald ratio,1,1.04,3.03E-01,NA,NA,NA,0.00031777
MTFR1,Lymphocyte,ANX,Wald ratio,1,0.942,3.03E-01,NA,NA,NA,0.022695988
ISPD,Lymphocyte,ANX,Wald ratio,1,1.027,3.04E-01,NA,NA,NA,6.29E-05
RAB31,Lymphocyte,ANX,Wald ratio,1,1.043,3.08E-01,NA,NA,NA,5.38E-06
RP11-734K21.2,Lymphocyte,ANX,Wald ratio,1,1.033,3.12E-01,NA,NA,NA,0.00045538
NPLOC4,Lymphocyte,ANX,Wald ratio,1,1.023,3.12E-01,NA,NA,NA,0.012924226
RPIAP1,Lymphocyte,ANX,Wald ratio,1,0.965,3.14E-01,NA,NA,NA,2.30E-06
MEF2A,Lymphocyte,ANX,Wald ratio,1,1.046,3.17E-01,NA,NA,NA,0.004461026
SGSM2,Lymphocyte,ANX,Wald ratio,1,0.954,3.17E-01,NA,NA,NA,0.004952758
DND1P1,Lymphocyte,ANX,Wald ratio,1,1.055,3.21E-01,NA,NA,NA,0.044390177
PIEZO2,Lymphocyte,ANX,Wald ratio,1,1.025,3.22E-01,NA,NA,NA,0.025221599
ACA59,Lymphocyte,ANX,Wald ratio,1,0.99,3.25E-01,NA,NA,NA,2.74E-05
