Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
SELT,Lymphocyte,ANX,Wald ratio,1,1.436,8.48E-05,NA,NA,NA,0.966937822
HLX,Lymphocyte,ANX,Wald ratio,1,0.875,2.32E-04,NA,NA,NA,0.918150391
ACER3,Lymphocyte,ANX,Wald ratio,1,0.886,4.40E-04,NA,NA,NA,0.871109347
TET2,Lymphocyte,ANX,Wald ratio,1,2.397,5.55E-04,NA,NA,NA,0.86268872
SSBP2,Lymphocyte,ANX,Wald ratio,1,1.305,7.20E-04,NA,NA,NA,0.845194331
FA2H,Lymphocyte,ANX,Wald ratio,1,0.833,7.66E-04,NA,NA,NA,0.792885952
DCBLD1,Lymphocyte,ANX,Wald ratio,1,0.905,1.16E-03,NA,NA,NA,0.713445285
ELOVL6,Lymphocyte,ANX,Wald ratio,1,11.347,2.17E-03,NA,NA,NA,0.59624239
FLJ36000,Lymphocyte,ANX,Wald ratio,1,0.894,2.91E-03,NA,NA,NA,0.559557188
C3orf20,Lymphocyte,ANX,Wald ratio,1,0.827,3.01E-03,NA,NA,NA,0.539512459
PCGF5,Lymphocyte,ANX,Wald ratio,1,0.467,3.53E-03,NA,NA,NA,0.594440539
ASB18,Lymphocyte,ANX,Wald ratio,1,0.454,3.92E-03,NA,NA,NA,0.497295299
EFCAB4B,Lymphocyte,ANX,Wald ratio,1,9.881,3.93E-03,NA,NA,NA,0.524645945
DNAJC13,Lymphocyte,ANX,Wald ratio,1,0.877,4.06E-03,NA,NA,NA,0.527516769
C19orf22,Lymphocyte,ANX,Inverse variance weighted,2,1.241,4.26E-03,NA,0.553295908,NA,0.370019794
TMX4,Lymphocyte,ANX,Wald ratio,1,0.001,4.31E-03,NA,NA,NA,0.549979563
NPSR1,Lymphocyte,ANX,Wald ratio,1,0.864,4.46E-03,NA,NA,NA,0.428132684
SH3BP5,Lymphocyte,ANX,Wald ratio,1,1.385,4.48E-03,NA,NA,NA,0.497649659
EXOC2,Lymphocyte,ANX,Wald ratio,1,1.107,4.59E-03,NA,NA,NA,0.442448945
NOLC1,Lymphocyte,ANX,Wald ratio,1,1.577,4.70E-03,NA,NA,NA,0.524365722
HBM,Lymphocyte,ANX,Wald ratio,1,0.153,5.96E-03,NA,NA,NA,0.374540562
PTPRO,Lymphocyte,ANX,Wald ratio,1,0.91,6.88E-03,NA,NA,NA,0.338376406
DTNBP1,Lymphocyte,ANX,Wald ratio,1,1.154,7.19E-03,NA,NA,NA,0.424302215
LENG8,Lymphocyte,ANX,Wald ratio,1,0.81,7.28E-03,NA,NA,NA,0.328763872
CDC42EP5,Lymphocyte,ANX,Wald ratio,1,0.912,7.28E-03,NA,NA,NA,0.328763873
RAPGEF4,Lymphocyte,ANX,Wald ratio,1,1.086,7.46E-03,NA,NA,NA,0.328943173
PDE1C,Lymphocyte,ANX,Wald ratio,1,1.373,8.14E-03,NA,NA,NA,0.337571718
LOC650368,Lymphocyte,ANX,Wald ratio,1,1.133,8.53E-03,NA,NA,NA,0.377091574
UBE2C,Lymphocyte,ANX,Wald ratio,1,0.491,8.54E-03,NA,NA,NA,0.303965886
COL9A1,Lymphocyte,ANX,Wald ratio,1,1.396,8.82E-03,NA,NA,NA,0.294539665
SGSM1,Lymphocyte,ANX,Wald ratio,1,0.002,9.41E-03,NA,NA,NA,0.29997001
C20orf160,Lymphocyte,ANX,Wald ratio,1,1.911,9.42E-03,NA,NA,NA,0.331516243
LOC202781,Lymphocyte,ANX,Wald ratio,1,1.093,9.54E-03,NA,NA,NA,0.288961
ZNF709,Lymphocyte,ANX,Wald ratio,1,0.748,9.83E-03,NA,NA,NA,0.294575178
PPFIA4,Lymphocyte,ANX,Wald ratio,1,0.916,9.93E-03,NA,NA,NA,0.269243091
C22orf9,Lymphocyte,ANX,Wald ratio,1,0.916,1.05E-02,NA,NA,NA,0.26428256
ARID3A,Lymphocyte,ANX,Wald ratio,1,1.72,1.07E-02,NA,NA,NA,0.370018626
EPC2,Lymphocyte,ANX,Wald ratio,1,0.892,1.08E-02,NA,NA,NA,0.308640352
CHL1,Lymphocyte,ANX,Wald ratio,1,0.91,1.11E-02,NA,NA,NA,0.249685966
HOTAIR,Lymphocyte,ANX,Wald ratio,1,0.671,1.19E-02,NA,NA,NA,0.2508406
HOXC10,Lymphocyte,ANX,Wald ratio,1,0.649,1.19E-02,NA,NA,NA,0.2508406
BDNF,Lymphocyte,ANX,Wald ratio,1,90.017,1.22E-02,NA,NA,NA,0.254594328
BDNFOS,Lymphocyte,ANX,Wald ratio,1,1.107,1.22E-02,NA,NA,NA,0.254594328
MAML3,Lymphocyte,ANX,Inverse variance weighted,2,0.888,1.23E-02,NA,0.453948286,NA,0.029709055
SLC24A4,Lymphocyte,ANX,Wald ratio,1,1.539,1.26E-02,NA,NA,NA,0.309825144
DCLK2,Lymphocyte,ANX,Wald ratio,1,0.892,1.26E-02,NA,NA,NA,0.250599142
FBXO27,Lymphocyte,ANX,Wald ratio,1,1.498,1.27E-02,NA,NA,NA,0.233345786
FBXO17,Lymphocyte,ANX,Wald ratio,1,1.148,1.27E-02,NA,NA,NA,0.233345786
WT1,Lymphocyte,ANX,Inverse variance weighted,2,0.92,1.34E-02,NA,0.786729557,NA,0.170351518
ACSL3,Lymphocyte,ANX,Wald ratio,1,0.932,1.35E-02,NA,NA,NA,0.217016437
IL12B,Lymphocyte,ANX,Wald ratio,1,0.733,1.38E-02,NA,NA,NA,0.264941326
ZNF264,Lymphocyte,ANX,Wald ratio,1,1.096,1.39E-02,NA,NA,NA,0.242435041
CD300A,Lymphocyte,ANX,Wald ratio,1,1.159,1.39E-02,NA,NA,NA,0.236716203
CD300LB,Lymphocyte,ANX,Wald ratio,1,1.222,1.39E-02,NA,NA,NA,0.236716197
LMO2,Lymphocyte,ANX,Wald ratio,1,0.895,1.41E-02,NA,NA,NA,0.257302391
GYG1,Lymphocyte,ANX,Wald ratio,1,1.197,1.43E-02,NA,NA,NA,0.21607939
TBC1D20,Lymphocyte,ANX,Wald ratio,1,0.874,1.43E-02,NA,NA,NA,0.229613853
FAM57A,Lymphocyte,ANX,Wald ratio,1,1.196,1.43E-02,NA,NA,NA,0.198949003
DMPK,Lymphocyte,ANX,Wald ratio,1,13.309,1.44E-02,NA,NA,NA,0.2047161
SIX5,Lymphocyte,ANX,Wald ratio,1,1.115,1.44E-02,NA,NA,NA,0.2047161
BCL6,Lymphocyte,ANX,Wald ratio,1,1.083,1.45E-02,NA,NA,NA,0.217886414
TMEM22,Lymphocyte,ANX,Wald ratio,1,0.835,1.46E-02,NA,NA,NA,0.207763818
NCK1,Lymphocyte,ANX,Wald ratio,1,0.001,1.46E-02,NA,NA,NA,0.207744678
ADARB1,Lymphocyte,ANX,Wald ratio,1,1.23,1.46E-02,NA,NA,NA,0.326198477
CCDC149,Lymphocyte,ANX,Wald ratio,1,0.922,1.48E-02,NA,NA,NA,0.224633239
INPP5D,Lymphocyte,ANX,Wald ratio,1,0.01,1.50E-02,NA,NA,NA,0.204752684
P2RX4,Lymphocyte,ANX,Wald ratio,1,2.425,1.50E-02,NA,NA,NA,0.21361097
CTNNA2,Lymphocyte,ANX,Inverse variance weighted,2,1.08,1.55E-02,NA,0.406679082,NA,0.15069987
KRT1,Lymphocyte,ANX,Wald ratio,1,0.899,1.56E-02,NA,NA,NA,0.242410602
XKR4,Lymphocyte,ANX,Wald ratio,1,0.921,1.59E-02,NA,NA,NA,0.198042641
ANK3,Lymphocyte,ANX,Wald ratio,1,0.927,1.63E-02,NA,NA,NA,0.203224999
SIRPB2,Lymphocyte,ANX,Wald ratio,1,1.25,1.68E-02,NA,NA,NA,0.233305052
TFEB,Lymphocyte,ANX,Wald ratio,1,0.911,1.73E-02,NA,NA,NA,0.208980661
ATP10B,Lymphocyte,ANX,Wald ratio,1,1.223,1.74E-02,NA,NA,NA,0.238248218
LOC221710,Lymphocyte,ANX,Wald ratio,1,0.9,1.75E-02,NA,NA,NA,0.215923753
HERV-FRD,Lymphocyte,ANX,Wald ratio,1,0.903,1.75E-02,NA,NA,NA,0.215923753
HSP90AA1,Lymphocyte,ANX,Wald ratio,1,0.925,1.80E-02,NA,NA,NA,0.195850248
RPL39L,Lymphocyte,ANX,Wald ratio,1,0.878,1.81E-02,NA,NA,NA,0.210654006
PPFIA2,Lymphocyte,ANX,Wald ratio,1,0.694,1.82E-02,NA,NA,NA,0.198055779
SMAD7,Lymphocyte,ANX,Wald ratio,1,0.585,1.83E-02,NA,NA,NA,0.278808256
CCPG1,Lymphocyte,ANX,Wald ratio,1,1454.406,1.90E-02,NA,NA,NA,0.250044557
DYX1C1,Lymphocyte,ANX,Wald ratio,1,277.903,1.90E-02,NA,NA,NA,0.249929607
PRR15,Lymphocyte,ANX,Wald ratio,1,1.126,1.92E-02,NA,NA,NA,0.201396112
CLPB,Lymphocyte,ANX,Wald ratio,1,0.734,2.00E-02,NA,NA,NA,0.192048883
HSP90AB1,Lymphocyte,ANX,Wald ratio,1,1.488,2.01E-02,NA,NA,NA,0.181766509
SMPD3,Lymphocyte,ANX,Wald ratio,1,0.698,2.12E-02,NA,NA,NA,0.174537588
KATNAL2,Lymphocyte,ANX,Wald ratio,1,0.934,2.15E-02,NA,NA,NA,0.15797644
PIAS2,Lymphocyte,ANX,Wald ratio,1,0.919,2.15E-02,NA,NA,NA,0.15797644
SLIT3,Lymphocyte,ANX,Inverse variance weighted,4,1.045,2.16E-02,0.424062577,0.424774019,0.408463759,0.094654523
COL4A3,Lymphocyte,ANX,Wald ratio,1,0.904,2.17E-02,NA,NA,NA,0.205852996
FARP1,Lymphocyte,ANX,Inverse variance weighted,2,0.935,2.19E-02,NA,0.801436718,NA,0.060772152
TMEM168,Lymphocyte,ANX,Wald ratio,1,0.882,2.20E-02,NA,NA,NA,0.158758173
PLA2G12A,Lymphocyte,ANX,Wald ratio,1,0.182,2.25E-02,NA,NA,NA,0.155600318
MIR487A,Lymphocyte,ANX,Wald ratio,1,1.088,2.25E-02,NA,NA,NA,0.177812583
MIR134,Lymphocyte,ANX,Wald ratio,1,1.086,2.25E-02,NA,NA,NA,0.177812624
MIR453,Lymphocyte,ANX,Wald ratio,1,1.086,2.25E-02,NA,NA,NA,0.177812535
SDHAP3,Lymphocyte,ANX,Wald ratio,1,0.478,2.34E-02,NA,NA,NA,0.206694315
DCN,Lymphocyte,ANX,Wald ratio,1,1.148,2.35E-02,NA,NA,NA,0.224349794
GUCY1B3,Lymphocyte,ANX,Wald ratio,1,0.934,2.37E-02,NA,NA,NA,0.149539557
SLC4A11,Lymphocyte,ANX,Wald ratio,1,1.109,2.38E-02,NA,NA,NA,0.146934059
LOC339674,Lymphocyte,ANX,Wald ratio,1,0.858,2.39E-02,NA,NA,NA,0.148438736
SLC43A2,Lymphocyte,ANX,Wald ratio,1,0.864,2.41E-02,NA,NA,NA,0.183233018
LOC150381,Lymphocyte,ANX,Wald ratio,1,1.116,2.44E-02,NA,NA,NA,0.151250028
C22orf26,Lymphocyte,ANX,Wald ratio,1,1.17,2.44E-02,NA,NA,NA,0.151250028
LOC400931,Lymphocyte,ANX,Wald ratio,1,1.075,2.44E-02,NA,NA,NA,0.144319746
CXCR2,Lymphocyte,ANX,Wald ratio,1,1.103,2.45E-02,NA,NA,NA,0.147072801
COL4A2,Lymphocyte,ANX,Inverse variance weighted,3,0.948,2.50E-02,0.661124109,0.907781416,0.976685938,0.065132096
PLD1,Lymphocyte,ANX,Wald ratio,1,1.715,2.51E-02,NA,NA,NA,0.178282466
ACSL5,Lymphocyte,ANX,Wald ratio,1,0.073,2.54E-02,NA,NA,NA,0.155368334
PTGIS,Lymphocyte,ANX,Wald ratio,1,0.87,2.54E-02,NA,NA,NA,0.188167696
FBLN5,Lymphocyte,ANX,Wald ratio,1,1.114,2.57E-02,NA,NA,NA,0.159075378
COG3,Lymphocyte,ANX,Wald ratio,1,0.548,2.60E-02,NA,NA,NA,0.132266601
TREH,Lymphocyte,ANX,Wald ratio,1,0.876,2.65E-02,NA,NA,NA,0.155861436
PLD5,Lymphocyte,ANX,Wald ratio,1,1.175,2.68E-02,NA,NA,NA,0.139668224
ZNF692,Lymphocyte,ANX,Wald ratio,1,0.562,2.69E-02,NA,NA,NA,0.226622206
OSCP1,Lymphocyte,ANX,Wald ratio,1,1.187,2.75E-02,NA,NA,NA,0.151785662
C4orf36,Lymphocyte,ANX,Wald ratio,1,1.647,2.77E-02,NA,NA,NA,0.127190732
BZW2,Lymphocyte,ANX,Wald ratio,1,0.908,2.80E-02,NA,NA,NA,0.155094587
B3GNT3,Lymphocyte,ANX,Wald ratio,1,0.709,2.82E-02,NA,NA,NA,0.228846823
PODNL1,Lymphocyte,ANX,Wald ratio,1,1.301,2.83E-02,NA,NA,NA,0.164978167
NANOS3,Lymphocyte,ANX,Wald ratio,1,1.098,2.83E-02,NA,NA,NA,0.164915758
MIR181C,Lymphocyte,ANX,Wald ratio,1,1.264,2.83E-02,NA,NA,NA,0.164998886
C19orf57,Lymphocyte,ANX,Wald ratio,1,1.903,2.83E-02,NA,NA,NA,0.164998886
PTPRZ1,Lymphocyte,ANX,Wald ratio,1,1.102,2.84E-02,NA,NA,NA,0.166626341
FLJ44817,Lymphocyte,ANX,Wald ratio,1,0.682,2.85E-02,NA,NA,NA,0.158594009
ZNF787,Lymphocyte,ANX,Wald ratio,1,1.175,2.87E-02,NA,NA,NA,0.210960932
CBLL1,Lymphocyte,ANX,Wald ratio,1,1.078,2.87E-02,NA,NA,NA,0.12186452
EIF4EBP2,Lymphocyte,ANX,Wald ratio,1,0.781,2.90E-02,NA,NA,NA,0.128504046
NODAL,Lymphocyte,ANX,Wald ratio,1,0.907,2.90E-02,NA,NA,NA,0.128504046
SLIT3,Lymphocyte,ANX,Weighted median,4,1.055,2.94E-02,0.424062577,0.424774019,0.408463759,0.094654523
TTC7A,Lymphocyte,ANX,Wald ratio,1,1.084,2.94E-02,NA,NA,NA,0.110925303
EHF,Lymphocyte,ANX,Inverse variance weighted,2,1.08,2.95E-02,NA,0.785384565,NA,0.128836295
SPRED2,Lymphocyte,ANX,Wald ratio,1,1.078,2.96E-02,NA,NA,NA,0.125384779
ERN1,Lymphocyte,ANX,Wald ratio,1,1.099,3.00E-02,NA,NA,NA,0.15729848
BAI1,Lymphocyte,ANX,Wald ratio,1,1.774,3.02E-02,NA,NA,NA,0.169744229
TLE2,Lymphocyte,ANX,Wald ratio,1,1.101,3.02E-02,NA,NA,NA,0.141366263
VWA5B2,Lymphocyte,ANX,Wald ratio,1,0.24,3.05E-02,NA,NA,NA,0.138982437
ALG3,Lymphocyte,ANX,Wald ratio,1,0.926,3.05E-02,NA,NA,NA,0.138608846
NPTN,Lymphocyte,ANX,Wald ratio,1,0.022,3.06E-02,NA,NA,NA,0.188837402
SSTR1,Lymphocyte,ANX,Inverse variance weighted,2,1.156,3.10E-02,NA,0.620474623,NA,0.014408101
CAMKK1,Lymphocyte,ANX,Wald ratio,1,0.927,3.14E-02,NA,NA,NA,0.135993253
ROR1,Lymphocyte,ANX,Wald ratio,1,1.157,3.16E-02,NA,NA,NA,0.144597308
DDX1,Lymphocyte,ANX,Wald ratio,1,1.09,3.21E-02,NA,NA,NA,0.150769663
ERG,Lymphocyte,ANX,Wald ratio,1,0.923,3.27E-02,NA,NA,NA,0.135221999
ATP12A,Lymphocyte,ANX,Wald ratio,1,0.027,3.31E-02,NA,NA,NA,0.175435515
IRX4,Lymphocyte,ANX,Wald ratio,1,0.759,3.37E-02,NA,NA,NA,0.130201547
CPEB2,Lymphocyte,ANX,Wald ratio,1,0.913,3.40E-02,NA,NA,NA,0.127617914
KLF9,Lymphocyte,ANX,Wald ratio,1,0.249,3.42E-02,NA,NA,NA,0.1139474
C10orf111,Lymphocyte,ANX,Wald ratio,1,0.001,3.45E-02,NA,NA,NA,0.148791237
C5orf49,Lymphocyte,ANX,Wald ratio,1,1.337,3.46E-02,NA,NA,NA,0.111131547
RFESD,Lymphocyte,ANX,Wald ratio,1,0.638,3.48E-02,NA,NA,NA,0.128287058
PACSIN1,Lymphocyte,ANX,Wald ratio,1,1.106,3.48E-02,NA,NA,NA,0.135737077
PLEKHA2,Lymphocyte,ANX,Wald ratio,1,1.171,3.49E-02,NA,NA,NA,0.110642855
PYGL,Lymphocyte,ANX,Wald ratio,1,0.116,3.49E-02,NA,NA,NA,0.131935386
GUCY1B2,Lymphocyte,ANX,Wald ratio,1,0.868,3.53E-02,NA,NA,NA,0.119235238
ACTA1,Lymphocyte,ANX,Wald ratio,1,1.335,3.55E-02,NA,NA,NA,0.141253425
LOC387646,Lymphocyte,ANX,Wald ratio,1,1.099,3.56E-02,NA,NA,NA,0.131818812
