Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
MANBA,Stem-cell-iPSC,ASD,Wald ratio,1,1.084,7.95E-05,NA,NA,NA,0.944482373
NSF,Stem-cell-iPSC,ASD,Wald ratio,1,0.883,2.32E-04,NA,NA,NA,0.660041152
ZNF557,Stem-cell-iPSC,ASD,Wald ratio,1,0.924,8.51E-04,NA,NA,NA,0.005004816
GNL3,Stem-cell-iPSC,ASD,Wald ratio,1,1.107,8.88E-04,NA,NA,NA,0.609476018
DYSF,Stem-cell-iPSC,ASD,Wald ratio,1,0.912,1.28E-03,NA,NA,NA,0.48000587
FAM160A1,Stem-cell-iPSC,ASD,Wald ratio,1,0.912,1.44E-03,NA,NA,NA,0.492801075
TRIOBP,Stem-cell-iPSC,ASD,Wald ratio,1,1.103,2.58E-03,NA,NA,NA,0.397139354
MYLK,Stem-cell-iPSC,ASD,Wald ratio,1,1.072,2.76E-03,NA,NA,NA,0.375366991
CTSH,Stem-cell-iPSC,ASD,Wald ratio,1,0.937,4.17E-03,NA,NA,NA,0.409579344
CPT2,Stem-cell-iPSC,ASD,Wald ratio,1,1.073,4.59E-03,NA,NA,NA,0.3099062
TRIM68,Stem-cell-iPSC,ASD,Wald ratio,1,1.077,8.94E-03,NA,NA,NA,0.002030586
GSTZ1,Stem-cell-iPSC,ASD,Wald ratio,1,1.033,1.08E-02,NA,NA,NA,0.158738433
MPI,Stem-cell-iPSC,ASD,Wald ratio,1,1.088,1.11E-02,NA,NA,NA,0.146409189
CCDC97,Stem-cell-iPSC,ASD,Wald ratio,1,1.071,1.16E-02,NA,NA,NA,0.011249693
IVD,Stem-cell-iPSC,ASD,Wald ratio,1,0.927,1.18E-02,NA,NA,NA,0.086715647
NAGA,Stem-cell-iPSC,ASD,Wald ratio,1,0.887,1.29E-02,NA,NA,NA,0.021090676
SIVA1,Stem-cell-iPSC,ASD,Wald ratio,1,1.165,1.42E-02,NA,NA,NA,0.002482512
SELENBP1,Stem-cell-iPSC,ASD,Wald ratio,1,1.107,1.66E-02,NA,NA,NA,0.085712724
SURF1,Stem-cell-iPSC,ASD,Wald ratio,1,0.949,1.90E-02,NA,NA,NA,0.096499019
ZNF830,Stem-cell-iPSC,ASD,Wald ratio,1,0.885,1.97E-02,NA,NA,NA,0.001240704
NUBPL,Stem-cell-iPSC,ASD,Wald ratio,1,0.921,2.34E-02,NA,NA,NA,0.003599981
SCCPDH,Stem-cell-iPSC,ASD,Wald ratio,1,0.934,2.44E-02,NA,NA,NA,0.006015638
SYDE1,Stem-cell-iPSC,ASD,Wald ratio,1,0.933,2.47E-02,NA,NA,NA,0.002772944
SMC2,Stem-cell-iPSC,ASD,Wald ratio,1,0.955,2.53E-02,NA,NA,NA,0.077254744
YBX2,Stem-cell-iPSC,ASD,Wald ratio,1,1.052,2.77E-02,NA,NA,NA,0.091847991
FAHD1,Stem-cell-iPSC,ASD,Wald ratio,1,0.953,2.78E-02,NA,NA,NA,0.089855792
ETFDH,Stem-cell-iPSC,ASD,Wald ratio,1,0.954,3.03E-02,NA,NA,NA,0.031703333
KIF14,,ALZ,Stem-cell-iPSC,Wald ratio,2.718,3.11E-02,NA,NA,NA,0.010468531
WASL,Stem-cell-iPSC,ASD,Wald ratio,1,0.94,3.26E-02,NA,NA,NA,0.062943779
PAAF1,Stem-cell-iPSC,ASD,Wald ratio,1,0.949,3.44E-02,NA,NA,NA,0.099113831
DHX38,Stem-cell-iPSC,ASD,Wald ratio,1,0.939,3.85E-02,NA,NA,NA,0.001987846
NMD3,Stem-cell-iPSC,ASD,Wald ratio,1,1.066,4.62E-02,NA,NA,NA,0.039395468
DDX55,Stem-cell-iPSC,ASD,Wald ratio,1,0.946,4.98E-02,NA,NA,NA,0.048883987
MTAP,Stem-cell-iPSC,ASD,Wald ratio,1,1.122,5.23E-02,NA,NA,NA,0.015174925
NADSYN1,Stem-cell-iPSC,ASD,Wald ratio,1,0.93,5.27E-02,NA,NA,NA,0.000524801
ALDH7A1,Stem-cell-iPSC,ASD,Wald ratio,1,1.052,5.40E-02,NA,NA,NA,0.031707696
PPIE,Stem-cell-iPSC,ASD,Wald ratio,1,1.068,5.53E-02,NA,NA,NA,0.042186167
CRYZ,Stem-cell-iPSC,ASD,Wald ratio,1,0.975,5.56E-02,NA,NA,NA,0.041140493
ACP6,Stem-cell-iPSC,ASD,Wald ratio,1,0.946,5.88E-02,NA,NA,NA,0.004091332
LRPAP1,Stem-cell-iPSC,ASD,Wald ratio,1,0.962,6.02E-02,NA,NA,NA,0.039151833
