Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
PLK1S1,Lymphocyte,ASD,Wald ratio,1,0.824,6.16E-07,NA,NA,NA,0.999404005
C6orf105,Lymphocyte,ASD,Wald ratio,1,1.074,1.59E-06,NA,NA,NA,0.998498432
CCDC148,Lymphocyte,ASD,Wald ratio,1,2.506,1.10E-04,NA,NA,NA,0.927950888
SERPINA1,Lymphocyte,ASD,Wald ratio,1,1.067,1.79E-04,NA,NA,NA,0.881565462
LOC651250,Lymphocyte,ASD,Wald ratio,1,0.198,2.51E-04,NA,NA,NA,0.866586235
SH3D20,Lymphocyte,ASD,Wald ratio,1,0.909,3.58E-04,NA,NA,NA,0.837773743
CACNA1C,Lymphocyte,ASD,Weighted median,4,0.939,3.69E-04,0.00024342,0.000615236,0.805938666,0.495662012
ERAP1,Lymphocyte,ASD,Wald ratio,1,1.265,4.47E-04,NA,NA,NA,0.854600873
SMR3B,Lymphocyte,ASD,Wald ratio,1,1.08,4.52E-04,NA,NA,NA,0.808489488
REG1A,Lymphocyte,ASD,Wald ratio,1,0.885,4.74E-04,NA,NA,NA,0.860402213
FLJ37201,Lymphocyte,ASD,Wald ratio,1,0.945,5.97E-04,NA,NA,NA,0.732422368
GAL3ST3,Lymphocyte,ASD,Wald ratio,1,1.06,7.80E-04,NA,NA,NA,0.65606938
CATSPER1,Lymphocyte,ASD,Wald ratio,1,1.176,7.80E-04,NA,NA,NA,0.656068808
NFKB1,Lymphocyte,ASD,Wald ratio,1,0.952,7.86E-04,NA,NA,NA,0.651418906
MXRA7,Lymphocyte,ASD,Wald ratio,1,1.053,8.03E-04,NA,NA,NA,0.654475882
SLC30A9,Lymphocyte,ASD,Wald ratio,1,1.216,9.96E-04,NA,NA,NA,0.664738101
HTR6,Lymphocyte,ASD,Wald ratio,1,0.927,1.14E-03,NA,NA,NA,0.584652951
HIST1H2BB,Lymphocyte,ASD,Wald ratio,1,1.216,1.18E-03,NA,NA,NA,0.57969666
RNF139,Lymphocyte,ASD,Wald ratio,1,1.094,1.36E-03,NA,NA,NA,0.531474026
TFAP2B,Lymphocyte,ASD,Wald ratio,1,0.806,1.78E-03,NA,NA,NA,0.571984456
TARSL2,Lymphocyte,ASD,Wald ratio,1,1.063,1.81E-03,NA,NA,NA,0.500402947
NRGN,Lymphocyte,ASD,Wald ratio,1,1.06,1.83E-03,NA,NA,NA,0.443368346
VSIG2,Lymphocyte,ASD,Wald ratio,1,1.059,1.83E-03,NA,NA,NA,0.502576831
CLDN1,Lymphocyte,ASD,Wald ratio,1,1.116,1.99E-03,NA,NA,NA,0.499069657
GAB1,Lymphocyte,ASD,Wald ratio,1,0.939,2.02E-03,NA,NA,NA,0.441119104
PCNXL2,Lymphocyte,ASD,Inverse variance weighted,2,1.1,2.07E-03,NA,0.596372827,NA,0.009879091
GABBR1,Lymphocyte,ASD,Wald ratio,1,0.905,2.08E-03,NA,NA,NA,0.6145342
RASGRP1,Lymphocyte,ASD,Wald ratio,1,0.914,2.15E-03,NA,NA,NA,0.480184496
PRMT3,Lymphocyte,ASD,Wald ratio,1,1.088,2.47E-03,NA,NA,NA,0.51010117
TRIOBP,Lymphocyte,ASD,Wald ratio,1,0.855,2.53E-03,NA,NA,NA,0.407665357
TMEM50A,Lymphocyte,ASD,Wald ratio,1,0.139,2.64E-03,NA,NA,NA,0.382625357
RALGDS,Lymphocyte,ASD,Wald ratio,1,0.251,2.64E-03,NA,NA,NA,0.382505458
SEC62,Lymphocyte,ASD,Wald ratio,1,1.054,2.75E-03,NA,NA,NA,0.425950154
PDLIM3,Lymphocyte,ASD,Wald ratio,1,1.149,2.96E-03,NA,NA,NA,0.362671828
ZMAT3,Lymphocyte,ASD,Wald ratio,1,1.076,3.04E-03,NA,NA,NA,0.392155951
UBE2K,Lymphocyte,ASD,Wald ratio,1,1.073,3.30E-03,NA,NA,NA,0.371943768
CD8A,Lymphocyte,ASD,Wald ratio,1,0.923,3.31E-03,NA,NA,NA,0.388192789
FLI1,Lymphocyte,ASD,Wald ratio,1,0.933,3.59E-03,NA,NA,NA,0.425639336
RFC5,Lymphocyte,ASD,Wald ratio,1,0.857,3.65E-03,NA,NA,NA,0.334718699
SNX16,Lymphocyte,ASD,Wald ratio,1,0.341,3.73E-03,NA,NA,NA,0.316047175
ZNF642,Lymphocyte,ASD,Wald ratio,1,3.898,4.08E-03,NA,NA,NA,0.34913506
C22orf26,Lymphocyte,ASD,Wald ratio,1,1.396,4.31E-03,NA,NA,NA,0.294080567
LOC400931,Lymphocyte,ASD,Wald ratio,1,1.045,4.31E-03,NA,NA,NA,0.28278369
LOC150381,Lymphocyte,ASD,Wald ratio,1,1.069,4.31E-03,NA,NA,NA,0.294080567
FAM38B,Lymphocyte,ASD,Inverse variance weighted,2,0.952,4.50E-03,NA,0.762798371,NA,0.014583077
HNRNPD,Lymphocyte,ASD,Wald ratio,1,0.668,4.56E-03,NA,NA,NA,0.308740858
DRG2,Lymphocyte,ASD,Wald ratio,1,1.055,4.59E-03,NA,NA,NA,0.290240071
MYO15A,Lymphocyte,ASD,Wald ratio,1,1.047,4.59E-03,NA,NA,NA,0.290240071
LRRC4,Lymphocyte,ASD,Wald ratio,1,1.046,4.64E-03,NA,NA,NA,0.276311039
PAMR1,Lymphocyte,ASD,Wald ratio,1,0.958,5.11E-03,NA,NA,NA,0.269408431
SFRS15,Lymphocyte,ASD,Wald ratio,1,0.842,5.40E-03,NA,NA,NA,0.345959231
C4orf42,Lymphocyte,ASD,Wald ratio,1,0.946,5.52E-03,NA,NA,NA,0.241202448
TTBK1,Lymphocyte,ASD,Wald ratio,1,1.128,5.57E-03,NA,NA,NA,0.362814022
TACC3,Lymphocyte,ASD,Wald ratio,1,0.918,5.65E-03,NA,NA,NA,0.277161108
MATN2,Lymphocyte,ASD,Wald ratio,1,0.96,5.70E-03,NA,NA,NA,0.238301078
A4GNT,Lymphocyte,ASD,Wald ratio,1,1.085,5.80E-03,NA,NA,NA,0.246318031
LSG1,Lymphocyte,ASD,Wald ratio,1,1.086,5.87E-03,NA,NA,NA,0.246941055
SNCA,Lymphocyte,ASD,Wald ratio,1,0.953,5.89E-03,NA,NA,NA,0.230631975
EXOG,Lymphocyte,ASD,Wald ratio,1,1.109,6.22E-03,NA,NA,NA,0.224500939
KCP,Lymphocyte,ASD,Wald ratio,1,0.671,6.26E-03,NA,NA,NA,0.271515774
THUMPD3,Lymphocyte,ASD,Wald ratio,1,0.646,6.46E-03,NA,NA,NA,0.21985839
PML,Lymphocyte,ASD,Wald ratio,1,0.96,6.74E-03,NA,NA,NA,0.213268006
STOML1,Lymphocyte,ASD,Wald ratio,1,0.869,6.74E-03,NA,NA,NA,0.213268035
IFNGR2,Lymphocyte,ASD,Wald ratio,1,1.112,6.95E-03,NA,NA,NA,0.232523816
LOC257358,Lymphocyte,ASD,Wald ratio,1,1.066,7.19E-03,NA,NA,NA,0.217868092
GFRA2,Lymphocyte,ASD,Wald ratio,1,0.82,7.23E-03,NA,NA,NA,0.20188146
C16orf53,Lymphocyte,ASD,Wald ratio,1,1.313,7.25E-03,NA,NA,NA,0.260962745
LOC100192378,Lymphocyte,ASD,Wald ratio,1,0.914,7.30E-03,NA,NA,NA,0.249804652
FOXP2,Lymphocyte,ASD,Wald ratio,1,0.963,7.34E-03,NA,NA,NA,0.197481532
EFHD1,Lymphocyte,ASD,Wald ratio,1,1.047,7.35E-03,NA,NA,NA,0.200666086
PRKCH,Lymphocyte,ASD,Inverse variance weighted,2,0.945,7.39E-03,NA,0.765460332,NA,0.190068327
CD1D,Lymphocyte,ASD,Wald ratio,1,1.076,7.50E-03,NA,NA,NA,0.286809269
GPR126,Lymphocyte,ASD,Wald ratio,1,1.208,7.87E-03,NA,NA,NA,0.23039231
FHL2,Lymphocyte,ASD,Wald ratio,1,0.885,7.96E-03,NA,NA,NA,0.30468767
UTP23,Lymphocyte,ASD,Wald ratio,1,11.231,8.03E-03,NA,NA,NA,0.193374536
SEMA7A,Lymphocyte,ASD,Wald ratio,1,1.078,8.11E-03,NA,NA,NA,0.184837961
CCDC33,Lymphocyte,ASD,Wald ratio,1,1.086,8.11E-03,NA,NA,NA,0.184837961
GPR63,Lymphocyte,ASD,Wald ratio,1,0.344,8.12E-03,NA,NA,NA,0.198922802
TNFAIP8L1,Lymphocyte,ASD,Wald ratio,1,0.956,8.14E-03,NA,NA,NA,0.192507389
ADAM9,Lymphocyte,ASD,Wald ratio,1,2.522,8.23E-03,NA,NA,NA,0.18396307
TOX4,Lymphocyte,ASD,Wald ratio,1,0.959,8.42E-03,NA,NA,NA,0.196786471
PARVA,Lymphocyte,ASD,Wald ratio,1,0.58,8.58E-03,NA,NA,NA,0.25373765
C2CD4A,Lymphocyte,ASD,Wald ratio,1,1.056,8.65E-03,NA,NA,NA,0.176434387
GPR176,Lymphocyte,ASD,Wald ratio,1,0.957,8.98E-03,NA,NA,NA,0.17446628
THSD7A,Lymphocyte,ASD,Wald ratio,1,0.9,9.11E-03,NA,NA,NA,0.178403662
CIZ1,Lymphocyte,ASD,Wald ratio,1,0.935,9.48E-03,NA,NA,NA,0.168698063
DNM1,Lymphocyte,ASD,Wald ratio,1,0.876,9.48E-03,NA,NA,NA,0.168698063
CRISPLD2,Lymphocyte,ASD,Inverse variance weighted,2,0.946,9.54E-03,NA,0.44972066,NA,0.087898135
ST3GAL3,Lymphocyte,ASD,Wald ratio,1,1.051,9.64E-03,NA,NA,NA,0.164712051
LOC388796,Lymphocyte,ASD,Wald ratio,1,1.055,9.73E-03,NA,NA,NA,0.20439878
CCND1,Lymphocyte,ASD,Wald ratio,1,1.077,1.01E-02,NA,NA,NA,0.166023363
CYYR1,Lymphocyte,ASD,Wald ratio,1,1.049,1.01E-02,NA,NA,NA,0.161379959
GPD2,Lymphocyte,ASD,Wald ratio,1,0.96,1.01E-02,NA,NA,NA,0.157950735
NAT8L,Lymphocyte,ASD,Wald ratio,1,1.069,1.03E-02,NA,NA,NA,0.239910346
TGIF1,Lymphocyte,ASD,Wald ratio,1,0.456,1.04E-02,NA,NA,NA,0.158467549
