Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
TSNARE1,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.902,3.94E-14,NA,NA,NA,1
NEK4,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.14,2.14E-11,NA,NA,NA,0.999991278
SLC66A2,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.062,5.20E-09,NA,NA,NA,0.999990807
MYT1L,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.112,4.14E-08,NA,NA,NA,0.999713735
CERS6,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.918,1.65E-06,NA,NA,NA,0.997358011
ERBB4,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.945,2.45E-06,NA,NA,NA,0.996473494
ARHGEF10,Brain Prefrontal cortex,SCZ,Inverse variance weighted,2,1.045,3.02E-06,NA,0.748066918,NA,0.018573507
RPTOR,Brain Prefrontal cortex,SCZ,Inverse variance weighted,3,0.951,8.19E-06,0.336756422,0.470722529,0.584527526,0.025976449
SORCS3,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.94,1.72E-05,NA,NA,NA,0.979274258
SLC5A10,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.894,6.10E-05,NA,NA,NA,0.94295901
B3GAT1,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.945,7.75E-05,NA,NA,NA,0.937114255
DGKI,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.081,9.17E-05,NA,NA,NA,0.893423235
KALRN,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.084,9.32E-05,NA,NA,NA,0.898572686
RAB2A,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.93,1.28E-04,NA,NA,NA,0.868995405
RASA3,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.049,1.53E-04,NA,NA,NA,0.85062533
TRPS1,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.069,2.45E-04,NA,NA,NA,0.781159038
PJA2,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.965,2.69E-04,NA,NA,NA,0.766387779
DGKB,Brain Prefrontal cortex,SCZ,Inverse variance weighted,2,1.047,3.15E-04,NA,0.419087376,NA,0.371012714
ZDHHC20,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.969,3.22E-04,NA,NA,NA,0.734774014
SLC8A1,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.068,4.14E-04,NA,NA,NA,0.684909889
RNF215,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.105,5.49E-04,NA,NA,NA,0.660641892
FOXP1,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.062,7.55E-04,NA,NA,NA,0.577001499
SDK1,Brain Prefrontal cortex,SCZ,Inverse variance weighted,2,1.044,7.93E-04,NA,0.328906368,NA,0.287450391
NPM1,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.069,8.13E-04,NA,NA,NA,0.544691912
NCEH1,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.063,1.20E-03,NA,NA,NA,0.492750432
NXPH1,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.035,1.54E-03,NA,NA,NA,0.401287269
ZDHHC14,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.048,1.79E-03,NA,NA,NA,0.36648508
SLC35F1,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.047,1.84E-03,NA,NA,NA,0.355530151
MEIS1,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.931,2.03E-03,NA,NA,NA,0.348728899
CAMK4,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.936,2.15E-03,NA,NA,NA,0.314440903
ST7L,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.957,2.17E-03,NA,NA,NA,0.364609989
ZNF577,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.927,2.20E-03,NA,NA,NA,0.405302745
CTNND2,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.956,2.33E-03,NA,NA,NA,0.310138471
GSTO2,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.066,2.60E-03,NA,NA,NA,0.283296221
RPS6KA2,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.043,3.02E-03,NA,NA,NA,0.257045806
RPTOR,Brain Prefrontal cortex,SCZ,Weighted median,3,0.958,3.16E-03,0.336756422,0.470722529,0.584527526,0.025976449
GRIN2A,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.973,3.27E-03,NA,NA,NA,0.243847898
GSDME,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.074,3.75E-03,NA,NA,NA,0.227510268
SLC25A24,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.076,3.77E-03,NA,NA,NA,0.256711847
NWD2,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.048,3.93E-03,NA,NA,NA,0.214191954
PLCH1,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.94,4.12E-03,NA,NA,NA,0.139549211
HEATR4,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.035,4.52E-03,NA,NA,NA,0.19541898
PRKN,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.06,4.63E-03,NA,NA,NA,0.191844556
SCFD1,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.031,5.39E-03,NA,NA,NA,0.179517416
PPFIA4,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.049,6.30E-03,NA,NA,NA,0.185390729
SLC41A1,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.974,6.40E-03,NA,NA,NA,0.152302568
EEF1A2,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.944,7.27E-03,NA,NA,NA,0.14644385
GALNTL6,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.963,8.10E-03,NA,NA,NA,0.130697652
FAM107B,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.958,8.10E-03,NA,NA,NA,0.170000649
EIF3B,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.971,8.30E-03,NA,NA,NA,0.122088169
GIGYF2,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.046,8.37E-03,NA,NA,NA,0.127365975
DPP10,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.968,8.96E-03,NA,NA,NA,0.137534345
LYPLA1,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.922,9.14E-03,NA,NA,NA,0.141458101
EPHB2,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.053,1.04E-02,NA,NA,NA,0.11077774
PDIA5,Brain Prefrontal cortex,SCZ,Wald ratio,1,1.028,1.04E-02,NA,NA,NA,0.123224102
DDX11,Brain Prefrontal cortex,SCZ,Wald ratio,1,0.971,1.12E-02,NA,NA,NA,0.108823687
