Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
NEK4,Brain Substantia nigra,SCZ,Wald ratio,1,0.923,3.81E-09,NA,NA,NA,0.91867151
NT5DC2,Brain Hypothalamus,SCZ,Wald ratio,1,0.936,1.11E-08,NA,NA,NA,0.999952328
LAPTM5,Brain Nucleus accumbens basal ganglia,SCZ,Wald ratio,1,1.144,1.26E-08,NA,NA,NA,0.723178017
EIF4E3,Brain Putamen basal ganglia,SCZ,Wald ratio,1,0.885,1.74E-08,NA,NA,NA,0.995667244
CCDC92,Brain Hippocampus,SCZ,Wald ratio,1,0.95,2.44E-08,NA,NA,NA,0.999959701
SUGP1,Brain Cortex,SCZ,Wald ratio,1,1.107,3.19E-08,NA,NA,NA,0.999958193
NDUFA13,Brain Cortex,SCZ,Wald ratio,1,1.413,3.19E-08,NA,NA,NA,0.999958193
MAU2,Brain Cortex,SCZ,Wald ratio,1,0.789,3.19E-08,NA,NA,NA,0.99995819
HAPLN4,Brain Cortex,SCZ,Wald ratio,1,2.023,3.19E-08,NA,NA,NA,0.999958193
CRELD2,Brain Hypothalamus,SCZ,Wald ratio,1,0.953,4.24E-08,NA,NA,NA,0.999940855
AKT3,Brain Cortex,SCZ,Wald ratio,1,1.119,5.13E-08,NA,NA,NA,0.999920449
RERE,Brain Cortex,SCZ,Wald ratio,1,1.229,5.82E-08,NA,NA,NA,0.999908388
PRMT7,Brain Cortex,SCZ,Inverse variance weighted,3,1.115,8.20E-08,0.191083019,0.399134979,0.830162534,0.216624655
DRD2,Brain Hypothalamus,SCZ,Wald ratio,1,1.105,9.42E-08,NA,NA,NA,0.943189142
ALG12,Brain Cortex,SCZ,Wald ratio,1,0.748,1.12E-07,NA,NA,NA,0.999824661
CRELD2,Brain Cortex,SCZ,Wald ratio,1,0.908,1.12E-07,NA,NA,NA,0.999850954
CRELD2,Brain Putamen basal ganglia,SCZ,Wald ratio,1,0.953,1.12E-07,NA,NA,NA,0.999850954
ANKRD45,Brain Hippocampus,SCZ,Wald ratio,1,0.932,1.19E-07,NA,NA,NA,0.998961872
NDRG4,Brain Hypothalamus,SCZ,Wald ratio,1,1.077,1.26E-07,NA,NA,NA,0.999798512
KANSL1,Brain Nucleus accumbens basal ganglia,SCZ,Wald ratio,1,0.964,1.26E-07,NA,NA,NA,0.999834594
