Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
CACNA1C,Brain Cortex,SCZ,Wald ratio,1,0.898,1.73E-18,NA,NA,NA,0.011000715
ZNF389,Fetal Brain,SCZ,Wald ratio,1,0.393,1.90E-16,NA,NA,NA,1
ZSCAN16,Fetal Brain,SCZ,Wald ratio,1,0.007,1.90E-16,NA,NA,NA,0.999999735
NRGN,Brain Meta Analysis,SCZ,Wald ratio,1,0.826,1.82E-14,NA,NA,NA,0.999962102
DGKZ,Fetal Brain,SCZ,Wald ratio,1,0.371,5.30E-13,NA,NA,NA,0.999999999
TM6SF2,Brain Meta Analysis,SCZ,Wald ratio,1,0.863,1.62E-11,NA,NA,NA,0.999998754
MICB,Fetal Brain,SCZ,Wald ratio,1,0.148,3.58E-11,NA,NA,NA,0.999999927
ITIH4,Fetal Brain,SCZ,Wald ratio,1,0.46,4.45E-11,NA,NA,NA,0.999999922
BAT2,Fetal Brain,SCZ,Wald ratio,1,5.921,4.56E-11,NA,NA,NA,0.99999991
RBM26-AS1,Brain Cortex,SCZ,Wald ratio,1,0.809,7.44E-11,NA,NA,NA,0.045197598
ENSG00000267284,Brain Cortex,SCZ,Wald ratio,1,1.176,3.81E-10,NA,NA,NA,0.999999275
OGFOD2,Brain Cortex,SCZ,Wald ratio,1,0.836,4.24E-10,NA,NA,NA,0.023787469
PLCL1,Fetal Brain,SCZ,Wald ratio,1,0,1.23E-09,NA,NA,NA,0.999997821
ABCB9,Fetal Brain,SCZ,Wald ratio,1,0.15,7.14E-09,NA,NA,NA,0.999988226
ARL6IP4,Fetal Brain,SCZ,Wald ratio,1,6.796,7.14E-09,NA,NA,NA,0.999987406
CACNB2,Brain Cortex,SCZ,Wald ratio,1,1.14,3.12E-08,NA,NA,NA,0.999946504
NGF,Brain Meta Analysis,SCZ,Inverse variance weighted,2,0.964,6.43E-08,NA,0.85334505,NA,0.999591146
