Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
5NTC,ROSMAP,SCZ,Wald ratio,1,0.016,8.61E-17,NA,NA,NA,0.009140749
CNNM2,ROSMAP,SCZ,Wald ratio,1,27.404,8.61E-17,NA,NA,NA,5.59E-08
NAGAB,ROSMAP,SCZ,Inverse variance weighted,2,0.099,3.10E-15,NA,0.358624676,NA,0.81836683
SATB2,ROSMAP,SCZ,Wald ratio,1,0.025,8.66E-14,NA,NA,NA,0.093386363
GNL3,ROSMAP,SCZ,Wald ratio,1,246.263,1.24E-12,NA,NA,NA,3.77E-07
NDUA6,BannerBBDP,SCZ,Wald ratio,1,0,2.78E-12,NA,NA,NA,0.999999328
EMRE,BannerBBDP,SCZ,Wald ratio,1,1003.925,2.78E-12,NA,NA,NA,0.006058303
NAGAB,BannerBBDP,SCZ,Wald ratio,1,0.241,2.78E-12,NA,NA,NA,0.104413691
NUA4L,ROSMAP,SCZ,Wald ratio,1,2083.102,2.98E-12,NA,NA,NA,5.02E-07
ARL3,BannerBBDP,SCZ,Wald ratio,1,0.22,1.86E-11,NA,NA,NA,3.43E-06
ASPP1,ROSMAP,SCZ,Wald ratio,1,79.278,5.94E-11,NA,NA,NA,5.50E-06
PLCL1,ROSMAP,SCZ,Inverse variance weighted,2,0.226,9.68E-11,NA,0.60021551,NA,4.85E-07
SATB2,BannerBBDP,SCZ,Wald ratio,1,0.086,1.60E-10,NA,NA,NA,0.062681199
PTPRF,BannerBBDP,SCZ,Inverse variance weighted,2,17.616,2.93E-10,NA,0.900535203,NA,1.53E-05
VP37B,BannerBBDP,SCZ,Wald ratio,1,9896033,4.88E-10,NA,NA,NA,3.41E-08
OGFD2,BannerBBDP,SCZ,Wald ratio,1,0.441,4.88E-10,NA,NA,NA,9.05E-05
ABCB9,BannerBBDP,SCZ,Wald ratio,1,0.083,4.88E-10,NA,NA,NA,9.29E-05
PTPRF,ROSMAP,SCZ,Inverse variance weighted,2,782.182,1.26E-09,NA,0.301034296,NA,8.68E-05
ACTY,ROSMAP,SCZ,Inverse variance weighted,2,0.346,5.75E-09,NA,0.728369732,NA,0.014040927
RN112,BannerBBDP,SCZ,Wald ratio,1,0,1.69E-08,NA,NA,NA,2.10E-07
SUGP1,ROSMAP,SCZ,Wald ratio,1,0.34,5.77E-08,NA,NA,NA,2.39E-07
HPLN4,ROSMAP,SCZ,Wald ratio,1,0.12,5.77E-08,NA,NA,NA,1.13E-07
PSA4,BannerBBDP,SCZ,Wald ratio,1,0,6.66E-08,NA,NA,NA,0.001887914
