Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
MUCL3,Brain,SCZ,Wald ratio,1,1.117,3.12E-09,NA,NA,NA,0.999994678
LINC02210-CRHR1,Brain,SCZ,Wald ratio,1,1.131,1.24E-08,NA,NA,NA,0.999982322
MAPT,Brain,SCZ,Wald ratio,1,1.128,2.31E-08,NA,NA,NA,0.999967914
HLA-C,Brain,SCZ,Wald ratio,1,0.834,3.06E-08,NA,NA,NA,0.999951301
ENSG00000287578,Brain,SCZ,Wald ratio,1,1.388,1.09E-07,NA,NA,NA,0.999904964
ZNF536,Brain,SCZ,Wald ratio,1,0.823,1.30E-06,NA,NA,NA,0.998566052
TMED4,Brain,SCZ,Wald ratio,1,0.921,1.93E-06,NA,NA,NA,0.99722364
SZT2,Brain,SCZ,Wald ratio,1,1.123,2.74E-06,NA,NA,NA,0.996070084
RCBTB1,Brain,SCZ,Wald ratio,1,0.888,7.17E-06,NA,NA,NA,0.990311701
NDRG4,Brain,SCZ,Wald ratio,1,1.159,9.07E-06,NA,NA,NA,0.988031313
CALN1,Brain,SCZ,Wald ratio,1,1.125,1.81E-05,NA,NA,NA,0.97827434
CCDC117,Brain,SCZ,Wald ratio,1,1.142,2.27E-05,NA,NA,NA,0.972907575
FOXN2,Brain,SCZ,Wald ratio,1,0.918,3.66E-05,NA,NA,NA,0.955014118
H4C2,Brain,SCZ,Wald ratio,1,0.915,4.49E-05,NA,NA,NA,0.946452629
FOXO6,Brain,SCZ,Wald ratio,1,0.925,4.94E-05,NA,NA,NA,0.941030426
MAN2A1,Brain,SCZ,Wald ratio,1,0.874,8.68E-05,NA,NA,NA,0.91977172
ENSG00000254363,Brain,SCZ,Wald ratio,1,0.874,9.68E-05,NA,NA,NA,0.906457378
CHMP1A,Brain,SCZ,Wald ratio,1,1.086,1.01E-04,NA,NA,NA,0.921474063
RPL13,Brain,SCZ,Wald ratio,1,0.923,1.04E-04,NA,NA,NA,0.908455975
ENSG00000285726,Brain,SCZ,Wald ratio,1,1.144,1.05E-04,NA,NA,NA,0.905144862
MAPK15,Brain,SCZ,Wald ratio,1,1.178,1.08E-04,NA,NA,NA,0.912018265
NUP88,Brain,SCZ,Wald ratio,1,0.877,1.20E-04,NA,NA,NA,0.879481326
ZNF79,Brain,SCZ,Wald ratio,1,0.93,1.25E-04,NA,NA,NA,0.913342771
MVK,Brain,SCZ,Wald ratio,1,1.07,1.63E-04,NA,NA,NA,0.870533293
GCH1,Brain,SCZ,Wald ratio,1,0.923,2.14E-04,NA,NA,NA,0.859605772
SNF8,Brain,SCZ,Wald ratio,1,1.087,2.27E-04,NA,NA,NA,0.808673745
DNAJA3,Brain,SCZ,Wald ratio,1,0.887,2.46E-04,NA,NA,NA,0.806214467
HLA-DQA1,Brain,SCZ,Wald ratio,1,1.052,2.66E-04,NA,NA,NA,0.78424696
CNPPD1,Brain,SCZ,Wald ratio,1,0.914,2.76E-04,NA,NA,NA,0.763627957
SORBS3,Brain,SCZ,Wald ratio,1,0.934,2.89E-04,NA,NA,NA,0.755617988
ANK3,Brain,SCZ,Wald ratio,1,0.884,3.35E-04,NA,NA,NA,0.831859444
DGKI,Brain,SCZ,Wald ratio,1,1.119,3.56E-04,NA,NA,NA,0.72496704
MYO18A,Brain,SCZ,Wald ratio,1,1.333,3.94E-04,NA,NA,NA,0.852181607
SLC25A24,Brain,SCZ,Wald ratio,1,1.073,3.95E-04,NA,NA,NA,0.72923626
CNIH3,Brain,SCZ,Wald ratio,1,0.914,3.95E-04,NA,NA,NA,0.72923626
YTHDF2,Brain,SCZ,Wald ratio,1,1.118,4.33E-04,NA,NA,NA,0.714224025
DENND6B,Brain,SCZ,Wald ratio,1,1.15,4.44E-04,NA,NA,NA,0.785516052
TRPS1,Brain,SCZ,Wald ratio,1,1.079,4.55E-04,NA,NA,NA,0.667118204
GSDME,Brain,SCZ,Wald ratio,1,1.086,4.55E-04,NA,NA,NA,0.667118204
