"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"GSTO2","Brain","BP","Wald ratio",1," 0.012","0.016","1.012","4.56e-01",NA,NA,NA,0.00641488
"LINC01076","Brain","BP","Wald ratio",1,"-0.016","0.022","0.984","4.57e-01",NA,NA,NA,0.007632739
"SLC19A1","Brain","BP","Wald ratio",1,"-0.017","0.023","0.983","4.59e-01",NA,NA,NA,0.006778943
"PLB1","Brain","BP","Wald ratio",1," 0.016","0.022","1.016","4.59e-01",NA,NA,NA,0.006261431
"LINC00910","Brain","BP","Wald ratio",1," 0.026","0.035","1.026","4.60e-01",NA,NA,NA,0.007223044
"APOL2","Brain","BP","Wald ratio",1," 0.021","0.028","1.021","4.62e-01",NA,NA,NA,0.007587638
"PFKL","Brain","BP","Wald ratio",1," 0.020","0.027","1.020","4.62e-01",NA,NA,NA,0.006624545
"GALNT2","Brain","BP","Wald ratio",1," 0.028","0.038","1.029","4.64e-01",NA,NA,NA,0.007511549
"PRPH2","Brain","BP","Wald ratio",1,"-0.010","0.014","0.990","4.65e-01",NA,NA,NA,0.006732308
"PHGDH","Brain","BP","Wald ratio",1,"-0.012","0.016","0.988","4.66e-01",NA,NA,NA,0.006213982
"ETV6","Brain","BP","Wald ratio",1,"-0.026","0.036","0.974","4.70e-01",NA,NA,NA,0.006945129
"CDH4","Brain","BP","Inverse variance weighted",2," 0.012","0.016","1.012","4.72e-01",NA,0.889520821,NA,0.005614101
"RNF212","Brain","BP","Wald ratio",1,"-0.019","0.026","0.981","4.72e-01",NA,NA,NA,0.006423731
"TBCA","Brain","BP","Wald ratio",1,"-0.027","0.038","0.973","4.73e-01",NA,NA,NA,0.006607592
"RNF32-DT","Brain","BP","Wald ratio",1,"-0.063","0.087","0.939","4.73e-01",NA,NA,NA,0.019609378
"CALN1","Brain","BP","Wald ratio",1," 0.021","0.030","1.022","4.74e-01",NA,NA,NA,0.006534225
"LURAP1L-AS1","Brain","BP","Wald ratio",1," 0.011","0.015","1.011","4.75e-01",NA,NA,NA,0.006274902
"STEAP1B","Brain","BP","Wald ratio",1," 0.019","0.026","1.019","4.75e-01",NA,NA,NA,0.0093612
"C1QTNF6","Brain","BP","Wald ratio",1," 0.022","0.031","1.023","4.76e-01",NA,NA,NA,0.006011651
"C2orf74","Brain","BP","Wald ratio",1,"-0.017","0.024","0.983","4.76e-01",NA,NA,NA,0.006011653
"TRIM2","Brain","BP","Wald ratio",1,"-0.017","0.024","0.983","4.77e-01",NA,NA,NA,0.006198278
"HTT","Brain","BP","Wald ratio",1," 0.012","0.016","1.012","4.77e-01",NA,NA,NA,0.006198278
"TARS1","Brain","BP","Wald ratio",1," 0.024","0.034","1.025","4.77e-01",NA,NA,NA,0.007082028
"TNFAIP2","Brain","BP","Wald ratio",1," 0.020","0.028","1.020","4.79e-01",NA,NA,NA,0.007190606
"MGMT","Brain","BP","Wald ratio",1,"-0.026","0.036","0.975","4.79e-01",NA,NA,NA,0.006748107
"ENPP6","Brain","BP","Wald ratio",1," 0.020","0.028","1.020","4.80e-01",NA,NA,NA,0.006045239
"ASCL5","Brain","BP","Wald ratio",1," 0.022","0.031","1.022","4.81e-01",NA,NA,NA,0.006043062
"STX6","Brain","BP","Wald ratio",1," 0.013","0.018","1.013","4.81e-01",NA,NA,NA,0.006043063
"LINC01181","Brain","BP","Wald ratio",1,"-0.020","0.029","0.980","4.81e-01",NA,NA,NA,0.006043063
"ENSG00000291212","Brain","BP","Wald ratio",1,"-0.019","0.026","0.982","4.82e-01",NA,NA,NA,0.007037856
"ENSG00000230490","Brain","BP","Wald ratio",1," 0.029","0.041","1.029","4.83e-01",NA,NA,NA,0.007846406
"GOLGA8A","Brain","BP","Wald ratio",1,"-0.040","0.057","0.961","4.83e-01",NA,NA,NA,0.011986876
"CAPRIN2","Brain","BP","Wald ratio",1," 0.024","0.034","1.024","4.83e-01",NA,NA,NA,0.0061506
"DRAXIN","Brain","BP","Inverse variance weighted",2,"-0.017","0.025","0.983","4.84e-01",NA,0.998753133,NA,0.005708339
"CLK3P2","Brain","BP","Wald ratio",1," 0.012","0.018","1.012","4.84e-01",NA,NA,NA,0.006521304
