"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"MYOCOS","Brain","ADHD","Wald ratio",1,"-0.055","0.034","0.947","1.03e-01",NA,NA,NA,0.01788548
"ENSG00000125695","Brain","ADHD","Wald ratio",1,"-0.033","0.021","0.967","1.05e-01",NA,NA,NA,0.018721355
"LINC00672","Brain","ADHD","Wald ratio",1," 0.056","0.034","1.057","1.07e-01",NA,NA,NA,0.023495151
"LINC02558","Brain","ADHD","Wald ratio",1," 0.065","0.040","1.067","1.08e-01",NA,NA,NA,0.028208153
"ENSG00000260288","Brain","ADHD","Wald ratio",1," 0.058","0.036","1.059","1.08e-01",NA,NA,NA,0.019297703
"AGAP1","Brain","ADHD","Wald ratio",1,"-0.045","0.028","0.956","1.09e-01",NA,NA,NA,0.017872017
"RIMKLA","Brain","ADHD","Wald ratio",1," 0.042","0.026","1.043","1.09e-01",NA,NA,NA,0.017008029
"PYROXD2","Brain","ADHD","Wald ratio",1,"-0.041","0.026","0.959","1.09e-01",NA,NA,NA,0.018165621
"PI4K2B","Brain","ADHD","Wald ratio",1," 0.080","0.050","1.083","1.09e-01",NA,NA,NA,0.029038583
"PRKCA","Brain","ADHD","Wald ratio",1,"-0.058","0.036","0.944","1.10e-01",NA,NA,NA,0.017016143
"CCDC88C","Brain","ADHD","Inverse variance weighted",2,"-0.036","0.023","0.964","1.11e-01",NA,0.824383661,NA,0.009381547
"C1QTNF6","Brain","ADHD","Wald ratio",1,"-0.049","0.031","0.953","1.13e-01",NA,NA,NA,0.015876881
"DPP10","Brain","ADHD","Wald ratio",1,"-0.058","0.037","0.943","1.15e-01",NA,NA,NA,0.016469509
"IFFO2","Brain","ADHD","Wald ratio",1,"-0.051","0.032","0.950","1.15e-01",NA,NA,NA,0.019912872
"CDC20B","Brain","ADHD","Wald ratio",1,"-0.081","0.051","0.923","1.17e-01",NA,NA,NA,0.025824565
"ITGA2","Brain","ADHD","Wald ratio",1,"-0.062","0.040","0.940","1.18e-01",NA,NA,NA,0.0173949
"HLA-DQA1","Brain","ADHD","Wald ratio",1," 0.023","0.014","1.023","1.19e-01",NA,NA,NA,0.016526023
"VINAC1P","Brain","ADHD","Wald ratio",1,"-0.025","0.016","0.975","1.21e-01",NA,NA,NA,0.015691424
"ZNF500","Brain","ADHD","Wald ratio",1," 0.044","0.028","1.045","1.21e-01",NA,NA,NA,0.016280241
"IQSEC1","Brain","ADHD","Wald ratio",1,"-0.057","0.037","0.945","1.22e-01",NA,NA,NA,0.017170326
"PRRX1","Brain","ADHD","Wald ratio",1,"-0.042","0.027","0.959","1.22e-01",NA,NA,NA,0.018585485
"ZBTB46","Brain","ADHD","Wald ratio",1,"-0.047","0.030","0.955","1.22e-01",NA,NA,NA,0.015418214
"PCAT1","Brain","ADHD","Wald ratio",1," 0.048","0.031","1.049","1.23e-01",NA,NA,NA,0.017470328
"ENSG00000275674","Brain","ADHD","Wald ratio",1," 0.037","0.024","1.038","1.24e-01",NA,NA,NA,0.020065385
"DPY19L4","Brain","ADHD","Wald ratio",1," 0.040","0.026","1.041","1.25e-01",NA,NA,NA,0.015475934
"RRM1","Brain","ADHD","Wald ratio",1,"-0.039","0.025","0.962","1.25e-01",NA,NA,NA,0.01492066
"ADGRB3","Brain","ADHD","Inverse variance weighted",2," 0.049","0.032","1.050","1.26e-01",NA,0.476902123,NA,0.0183524
"LNX2","Brain","ADHD","Wald ratio",1,"-0.047","0.031","0.954","1.27e-01",NA,NA,NA,0.014643466
"LGI4","Brain","ADHD","Wald ratio",1,"-0.042","0.028","0.959","1.27e-01",NA,NA,NA,0.015820958
"GSDME","Brain","ADHD","Wald ratio",1," 0.038","0.025","1.039","1.28e-01",NA,NA,NA,0.014375264
"ADARB2","Brain","ADHD","Wald ratio",1," 0.040","0.026","1.041","1.28e-01",NA,NA,NA,0.014978764
"SLC16A12","Brain","ADHD","Wald ratio",1,"-0.059","0.039","0.942","1.30e-01",NA,NA,NA,0.015880558
"ARHGEF10","Brain","ADHD","Inverse variance weighted",2," 0.054","0.036","1.055","1.31e-01",NA,0.971142621,NA,0.013804226
"TRIM65","Brain","ADHD","Wald ratio",1,"-0.058","0.039","0.944","1.36e-01",NA,NA,NA,0.01812562
"NIPAL1","Brain","ADHD","Wald ratio",1,"-0.047","0.032","0.954","1.36e-01",NA,NA,NA,0.014883419
"RNU1-47P","Brain","ADHD","Wald ratio",1,"-0.056","0.038","0.945","1.37e-01",NA,NA,NA,0.017278262
"IRGM","Brain","ADHD","Wald ratio",1," 0.041","0.028","1.042","1.37e-01",NA,NA,NA,0.028192057
"CYBRD1","Brain","ADHD","Wald ratio",1," 0.031","0.021","1.031","1.38e-01",NA,NA,NA,0.013753208
"STN1","Brain","ADHD","Wald ratio",1," 0.041","0.028","1.042","1.38e-01",NA,NA,NA,0.013751978
"NUTM2E","Brain","ADHD","Wald ratio",1," 0.092","0.062","1.096","1.42e-01",NA,NA,NA,0.02592226
"TTYH2","Brain","ADHD","Wald ratio",1," 0.055","0.038","1.057","1.42e-01",NA,NA,NA,0.014168361
"MSC-AS1","Brain","ADHD","Wald ratio",1,"-0.043","0.029","0.958","1.42e-01",NA,NA,NA,0.013581567
"PSMF1","Brain","ADHD","Wald ratio",1,"-0.052","0.036","0.949","1.43e-01",NA,NA,NA,0.019313149
"RGR","Brain","ADHD","Wald ratio",1," 0.043","0.030","1.044","1.44e-01",NA,NA,NA,0.013608884
"ATXN2","Brain","ADHD","Wald ratio",1," 0.059","0.041","1.061","1.44e-01",NA,NA,NA,0.016053528
"SLC41A3","Brain","ADHD","Wald ratio",1,"-0.050","0.034","0.952","1.45e-01",NA,NA,NA,0.015184547
"GALM","Brain","ADHD","Wald ratio",1," 0.051","0.035","1.052","1.45e-01",NA,NA,NA,0.014587521
"HS6ST1","Brain","ADHD","Wald ratio",1," 0.062","0.043","1.064","1.47e-01",NA,NA,NA,0.015563075
"GREB1","Brain","ADHD","Wald ratio",1,"-0.054","0.037","0.947","1.47e-01",NA,NA,NA,0.018283585
"MYT1L","Brain","ADHD","Wald ratio",1,"-0.069","0.048","0.933","1.48e-01",NA,NA,NA,0.024281149
"CCDC163","Brain","ADHD","Wald ratio",1,"-0.035","0.024","0.966","1.49e-01",NA,NA,NA,0.013503521
"IFT140","Brain","ADHD","Wald ratio",1,"-0.048","0.033","0.953","1.49e-01",NA,NA,NA,0.015656643
"CYB5B","Brain","ADHD","Wald ratio",1," 0.035","0.024","1.036","1.51e-01",NA,NA,NA,0.013910328
"GPLD1","Brain","ADHD","Wald ratio",1,"-0.045","0.031","0.956","1.53e-01",NA,NA,NA,0.017649277
"PLPPR1","Brain","ADHD","Wald ratio",1,"-0.076","0.053","0.926","1.53e-01",NA,NA,NA,0.02461208
"FMN1","Brain","ADHD","Wald ratio",1,"-0.156","0.109","0.856","1.53e-01",NA,NA,NA,0.041458826
"C1orf174","Brain","ADHD","Wald ratio",1,"-0.048","0.034","0.953","1.55e-01",NA,NA,NA,0.013770577
"TFRC","Brain","ADHD","Wald ratio",1," 0.043","0.030","1.044","1.55e-01",NA,NA,NA,0.014692539
"ZNF569","Brain","ADHD","Wald ratio",1," 0.034","0.024","1.034","1.56e-01",NA,NA,NA,0.013468648
"FOXN2","Brain","ADHD","Wald ratio",1," 0.032","0.023","1.032","1.56e-01",NA,NA,NA,0.012536661
"BORCS7","Brain","ADHD","Wald ratio",1,"-0.029","0.021","0.972","1.59e-01",NA,NA,NA,0.014278167
"LINC02268","Brain","ADHD","Wald ratio",1,"-0.039","0.028","0.961","1.61e-01",NA,NA,NA,0.019994738
"RTP4","Brain","ADHD","Wald ratio",1,"-0.036","0.026","0.964","1.61e-01",NA,NA,NA,0.012745095
"PDE1B","Brain","ADHD","Wald ratio",1," 0.033","0.023","1.033","1.62e-01",NA,NA,NA,0.013735619
"CIPC","Brain","ADHD","Wald ratio",1,"-0.049","0.035","0.952","1.62e-01",NA,NA,NA,0.013440606
"CCDC7","Brain","ADHD","Wald ratio",1," 0.045","0.032","1.046","1.63e-01",NA,NA,NA,0.012227133
"TCF20","Brain","ADHD","Wald ratio",1," 0.185","0.133","1.203","1.64e-01",NA,NA,NA,0.043538499
"IGDCC3","Brain","ADHD","Wald ratio",1,"-0.045","0.032","0.956","1.64e-01",NA,NA,NA,0.012571983
"CIT","Brain","ADHD","Wald ratio",1," 0.046","0.033","1.047","1.64e-01",NA,NA,NA,0.01292577
"CAMK1D","Brain","ADHD","Wald ratio",1," 0.044","0.031","1.045","1.64e-01",NA,NA,NA,0.013554679
"LINC03009","Brain","ADHD","Wald ratio",1,"-0.026","0.019","0.974","1.65e-01",NA,NA,NA,0.01455367
"ECPAS","Brain","ADHD","Wald ratio",1,"-0.027","0.019","0.974","1.67e-01",NA,NA,NA,0.013677438
"SYTL2","Brain","ADHD","Wald ratio",1," 0.033","0.024","1.034","1.67e-01",NA,NA,NA,0.013037199
"ZNF827","Brain","ADHD","Wald ratio",1,"-0.049","0.035","0.953","1.69e-01",NA,NA,NA,0.01280992
"RCBTB1","Brain","ADHD","Wald ratio",1," 0.039","0.028","1.039","1.70e-01",NA,NA,NA,0.011875959
"TYW3","Brain","ADHD","Wald ratio",1," 0.028","0.021","1.029","1.73e-01",NA,NA,NA,0.011698269
"ENSG00000260071","Brain","ADHD","Wald ratio",1,"-0.045","0.034","0.956","1.75e-01",NA,NA,NA,0.012819898
"KIRREL3","Brain","ADHD","Wald ratio",1,"-0.022","0.016","0.979","1.78e-01",NA,NA,NA,0.01160261
"GET1-SH3BGR","Brain","ADHD","Wald ratio",1," 0.039","0.029","1.040","1.78e-01",NA,NA,NA,0.014697897
"PRKACB","Brain","ADHD","Wald ratio",1,"-0.071","0.053","0.932","1.78e-01",NA,NA,NA,0.029823952
"CCDC66","Brain","ADHD","Wald ratio",1," 0.051","0.038","1.052","1.78e-01",NA,NA,NA,0.013001403
"STEAP1B","Brain","ADHD","Wald ratio",1," 0.037","0.028","1.038","1.80e-01",NA,NA,NA,0.018616666
"CNMD","Brain","ADHD","Wald ratio",1,"-0.086","0.064","0.918","1.81e-01",NA,NA,NA,0.03016605
"PADI2","Brain","ADHD","Wald ratio",1,"-0.047","0.035","0.954","1.82e-01",NA,NA,NA,0.012918271
"PHACTR2","Brain","ADHD","Wald ratio",1,"-0.059","0.044","0.943","1.82e-01",NA,NA,NA,0.0143157
"PCMTD2","Brain","ADHD","Wald ratio",1," 0.046","0.034","1.047","1.82e-01",NA,NA,NA,0.011500863
"EPB41L3","Brain","ADHD","Wald ratio",1," 0.052","0.039","1.053","1.84e-01",NA,NA,NA,0.013745564
"TRIM5","Brain","ADHD","Wald ratio",1,"-0.043","0.033","0.958","1.86e-01",NA,NA,NA,0.011001261
"KIF6","Brain","ADHD","Wald ratio",1," 0.100","0.075","1.105","1.86e-01",NA,NA,NA,0.025625863
"STMN4","Brain","ADHD","Wald ratio",1," 0.014","0.011","1.015","1.91e-01",NA,NA,NA,0.010916233
"ESPN","Brain","ADHD","Wald ratio",1," 0.107","0.082","1.113","1.92e-01",NA,NA,NA,0.036661615
"ARID1B","Brain","ADHD","Wald ratio",1,"-0.058","0.045","0.943","1.93e-01",NA,NA,NA,0.016962599
