Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
MAPKAPK2,Brain Meta Analysis,ANX,Wald ratio,1,-0.012,0.038,0.988,0.744,NA,NA,NA,0.016465129
SLC43A2,Brain Meta Analysis,ANX,Wald ratio,1,-0.034,0.106,0.966,0.746,NA,NA,NA,0.097594554
JMJD1C,Brain Meta Analysis,ANX,Wald ratio,1,-0.018,0.056,0.982,0.746,NA,NA,NA,0.018780851
SPART,Brain Meta Analysis,ANX,Wald ratio,1,-0.008,0.026,0.992,0.746,NA,NA,NA,0.015031321
EIF2AK4,Brain Meta Analysis,ANX,Wald ratio,1,-0.015,0.045,0.986,0.746,NA,NA,NA,0.030549635
PERM1,Brain Meta Analysis,ANX,Wald ratio,1,-0.061,0.188,0.941,0.746,NA,NA,NA,0.030965138
MSANTD4,Brain Meta Analysis,ANX,Wald ratio,1,0.019,0.058,1.019,0.746,NA,NA,NA,0.015668143
PLAAT1,Brain Meta Analysis,ANX,Wald ratio,1,-0.032,0.099,0.969,0.747,NA,NA,NA,0.013723386
CIDEA,Brain Meta Analysis,ANX,Wald ratio,1,0.025,0.078,1.025,0.749,NA,NA,NA,0.024231059
MTMR10,Brain Meta Analysis,ANX,Wald ratio,1,0.022,0.069,1.022,0.749,NA,NA,NA,0.01643296
FAM222A,Brain Meta Analysis,ANX,Inverse variance weighted,2,0.033,0.103,1.033,0.75,NA,0.057932008,NA,0.120887598
RBMS3,Brain Meta Analysis,ANX,Inverse variance weighted,2,-0.018,0.056,0.982,0.75,NA,0.409425041,NA,0.022001059
SMG6,Brain Meta Analysis,ANX,Wald ratio,1,-0.035,0.111,0.965,0.75,NA,NA,NA,0.024056121
NXN,Brain Meta Analysis,ANX,Weighted mode,6,-0.014,0.043,0.986,0.751,0.928489871,0.966184577,0.789206402,0.630633357
AIMP2,Brain Meta Analysis,ANX,Wald ratio,1,0.017,0.052,1.017,0.752,NA,NA,NA,0.015828481
ARHGAP10,Brain Meta Analysis,ANX,Inverse variance weighted,2,0.018,0.057,1.018,0.752,NA,0.535281499,NA,0.031535646
PLEKHO2,Brain Meta Analysis,ANX,Wald ratio,1,0.037,0.116,1.037,0.752,NA,NA,NA,0.024005245
PPARA,Brain Meta Analysis,ANX,Wald ratio,1,0.024,0.076,1.024,0.752,NA,NA,NA,0.028940068
ATP11A,Brain Meta Analysis,ANX,Wald ratio,1,0.018,0.056,1.018,0.752,NA,NA,NA,0.015236559
GATA6,Brain Meta Analysis,ANX,Wald ratio,1,-0.019,0.061,0.981,0.753,NA,NA,NA,0.016652505
C10orf143,Brain Meta Analysis,ANX,Wald ratio,1,0.014,0.046,1.015,0.753,NA,NA,NA,0.014791027
KRT5,Brain Meta Analysis,ANX,Wald ratio,1,-0.021,0.067,0.979,0.753,NA,NA,NA,0.013844413
LRRC15,Brain Meta Analysis,ANX,Wald ratio,1,-0.009,0.03,0.991,0.753,NA,NA,NA,0.016505638
SCUBE1,Brain Meta Analysis,ANX,Inverse variance weighted,2,0.01,0.031,1.01,0.753,NA,0.705900721,NA,0.019000564
TRIOBP,Brain Meta Analysis,ANX,Wald ratio,1,0.018,0.057,1.018,0.753,NA,NA,NA,0.014493236
ZNF383,Brain Meta Analysis,ANX,Wald ratio,1,0.016,0.051,1.016,0.754,NA,NA,NA,0.021276324
PRSS12,Brain Meta Analysis,ANX,Wald ratio,1,-0.018,0.058,0.982,0.755,NA,NA,NA,0.017558642
RNF13,Brain Meta Analysis,ANX,Wald ratio,1,0.02,0.065,1.02,0.755,NA,NA,NA,0.015709463
CD2AP,Brain Meta Analysis,ANX,Wald ratio,1,0.019,0.061,1.019,0.756,NA,NA,NA,0.01989727
PLIN5,Brain Meta Analysis,ANX,Wald ratio,1,-0.033,0.106,0.968,0.756,NA,NA,NA,0.028418813
SEMA6A,Brain Meta Analysis,ANX,Inverse variance weighted,2,0.016,0.053,1.017,0.757,NA,0.762169653,NA,0.019192691
NRROS,Brain Meta Analysis,ANX,Wald ratio,1,-0.025,0.082,0.975,0.757,NA,NA,NA,0.017204306
TMPRSS15,Brain Meta Analysis,ANX,Wald ratio,1,-0.016,0.051,0.984,0.758,NA,NA,NA,0.016812693
B9D2,Brain Meta Analysis,ANX,Wald ratio,1,-0.03,0.096,0.971,0.758,NA,NA,NA,0.016033534
TM4SF5,Brain Meta Analysis,ANX,Wald ratio,1,-0.031,0.1,0.97,0.758,NA,NA,NA,0.017330752
C12orf56,Brain Meta Analysis,ANX,Wald ratio,1,-0.032,0.105,0.968,0.759,NA,NA,NA,0.015589645
PPP2R2B,Brain Meta Analysis,ANX,Wald ratio,1,0.016,0.052,1.016,0.759,NA,NA,NA,0.016416242
PGBD5,Brain Meta Analysis,ANX,Wald ratio,1,0.008,0.026,1.008,0.759,NA,NA,NA,0.013865218
