Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
IFTAP,Brain Cortex,ANX,Wald ratio,1,-1.118,0.411,0.327,0.00653,NA,NA,NA,0.430454442
DMXL1,Brain Cortex,ANX,Wald ratio,1,0.3,0.111,1.35,0.00674,NA,NA,NA,0.458678599
RP11-367N14.2,Brain Cortex,ANX,Wald ratio,1,-0.509,0.191,0.601,0.00772,NA,NA,NA,0.023342264
KIF13A,Brain Cortex,ANX,Inverse variance weighted,2,0.571,0.215,1.77,0.0078,NA,0.910136741,NA,0.231575913
MYL12B,Brain Cortex,ANX,Wald ratio,1,-0.176,0.067,0.839,0.00865,NA,NA,NA,0.300896969
STARD10,Brain Cortex,ANX,Wald ratio,1,-1.323,0.504,0.266,0.00871,NA,NA,NA,0.285701235
ITGB2,Brain Cortex,ANX,Wald ratio,1,0.494,0.189,1.639,0.00889,NA,NA,NA,0.335027651
AC092070.2,Brain Cortex,ANX,Wald ratio,1,0.907,0.348,2.477,0.0092,NA,NA,NA,0.353177155
TSSC2,Brain Cortex,ANX,Wald ratio,1,-0.456,0.176,0.634,0.00945,NA,NA,NA,0.309182942
AL161785.1,Brain Cortex,ANX,Wald ratio,1,1.146,0.442,3.145,0.00956,NA,NA,NA,0.293270395
LEPREL1-AS1,Brain Cortex,ANX,Wald ratio,1,0.498,0.192,1.646,0.00965,NA,NA,NA,0.335908323
TMEM9B-AS1,Brain Cortex,ANX,Wald ratio,1,-0.275,0.106,0.76,0.00979,NA,NA,NA,0.027345927
AKIP1,Brain Cortex,ANX,Wald ratio,1,0.452,0.175,1.572,0.00979,NA,NA,NA,0.376339528
TMEM9B,Brain Cortex,ANX,Wald ratio,1,1.465,0.567,4.329,0.00979,NA,NA,NA,0.027328103
C9orf3,Brain Cortex,ANX,Wald ratio,1,0.27,0.105,1.31,0.00988,NA,NA,NA,0.015749301
AOPEP,Brain Cortex,ANX,Wald ratio,1,-1.124,0.435,0.325,0.00988,NA,NA,NA,0.277706344
DARS2,Brain Cortex,ANX,Wald ratio,1,-0.275,0.107,0.76,0.0101,NA,NA,NA,0.337848998
RC3H1,Brain Cortex,ANX,Wald ratio,1,-1.471,0.572,0.23,0.0101,NA,NA,NA,0.337840245
ZNF831,Brain Cortex,ANX,Wald ratio,1,1.661,0.649,5.265,0.0105,NA,NA,NA,0.308488555
LNX1-AS1,Brain Cortex,ANX,Wald ratio,1,0.955,0.374,2.6,0.0107,NA,NA,NA,0.273690341
SLC30A6,Brain Cortex,ANX,Wald ratio,1,0.374,0.146,1.453,0.0108,NA,NA,NA,0.26089478
TNS3,Brain Cortex,ANX,Inverse variance weighted,2,-0.466,0.183,0.627,0.0108,NA,0.654137595,NA,0.015723452
MARCHF1,Brain Cortex,ANX,Wald ratio,1,0.578,0.228,1.783,0.0111,NA,NA,NA,0.242590439
YBEY,Brain Cortex,ANX,Inverse variance weighted,4,-0.285,0.113,0.752,0.0114,0.99968961,0.930464095,0.573011191,0.023204847
ACSL3,Brain Cortex,ANX,Wald ratio,1,0.144,0.057,1.155,0.0117,NA,NA,NA,0.238262686
MCTP1,Brain Cortex,ANX,Inverse variance weighted,3,-0.215,0.085,0.807,0.0118,0.62778089,0.808733706,0.738626016,0.059976449
ALG10B,Brain Cortex,ANX,Simple mode,4,2.44,0.444,11.47,0.0119,0.850632937,0.394441923,0.244584207,0.057799376
CEP78,Brain Cortex,ANX,Wald ratio,1,0.18,0.072,1.197,0.0121,NA,NA,NA,0.236696953
RP11-383H13.1,Brain Cortex,ANX,Inverse variance weighted,2,-0.226,0.09,0.798,0.0122,NA,0.949970456,NA,0.10752522
CALY,Brain Cortex,ANX,Wald ratio,1,-0.527,0.21,0.59,0.0122,NA,NA,NA,0.356386473
RGS9,Brain Cortex,ANX,Wald ratio,1,0.493,0.198,1.638,0.0126,NA,NA,NA,0.29425594
COL20A1,Brain Cortex,ANX,Wald ratio,1,0.808,0.325,2.244,0.0128,NA,NA,NA,0.287724681
ZFHX4,Brain Cortex,ANX,Wald ratio,1,-0.542,0.218,0.582,0.0129,NA,NA,NA,0.243567382
GNA11,Brain Cortex,ANX,Wald ratio,1,0.862,0.348,2.368,0.0132,NA,NA,NA,0.210950893
C15orf41,Brain Cortex,ANX,Wald ratio,1,-0.299,0.121,0.742,0.0137,NA,NA,NA,0.297095646
SPARCL1,Brain Cortex,ANX,Inverse variance weighted,2,0.436,0.177,1.547,0.0138,NA,0.354772284,NA,0.034294506
AC013402.2,Brain Cortex,ANX,Wald ratio,1,0.384,0.157,1.469,0.0141,NA,NA,NA,0.231194235
MTBP,Brain Cortex,ANX,Wald ratio,1,-0.403,0.165,0.668,0.0148,NA,NA,NA,0.215799584
MRPL13,Brain Cortex,ANX,Wald ratio,1,0.873,0.358,2.394,0.0148,NA,NA,NA,0.216125472
ZNF131,Brain Cortex,ANX,Wald ratio,1,0.849,0.349,2.338,0.0149,NA,NA,NA,0.245717525
LINC02263,Brain Cortex,ANX,Wald ratio,1,0.39,0.16,1.477,0.0151,NA,NA,NA,0.194251134
