"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"PLAGL1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.022,0.024,1.022,0.353,NA,NA,NA,0.000139119
"VANGL2","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.013,0.014,1.013,0.354,NA,NA,NA,0.00836134
"NHLH1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.019,0.02,1.019,0.354,NA,NA,NA,0.003377303
"SLC5A5","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.03,0.032,1.03,0.354,NA,NA,NA,0.000544764
"LINC02361","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.027,0.029,0.973,0.354,NA,NA,NA,0.00078531
"GTF2IP1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.023,0.024,1.023,0.356,NA,NA,NA,1.19e-05
"CD200R1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.019,0.021,1.019,0.356,NA,NA,NA,1.25e-05
"MEOX2","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.016,0.017,0.984,0.357,NA,NA,NA,5.98e-06
"KDM7A","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.036,0.039,0.965,0.357,NA,NA,NA,0.012083805
"HS6ST1P1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.017,0.018,1.017,0.357,NA,NA,NA,0.000227196
"TIGAR","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.024,0.026,1.025,0.357,NA,NA,NA,0.000113354
"ADCK2","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.03,0.033,0.97,0.357,NA,NA,NA,0.017478665
"CWC15","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.047,0.051,0.954,0.357,NA,NA,NA,0.011210829
"ICOSLG","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.014,0.015,1.014,0.358,NA,NA,NA,0.009333319
"AK9","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.015,0.016,1.015,0.358,NA,NA,NA,0.007479754
"SLC49A3","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.031,0.034,1.032,0.358,NA,NA,NA,0.009633106
"PDE6B-AS1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.018,0.019,0.982,0.358,NA,NA,NA,0.013880474
"PIP5K1C","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.035,0.038,0.965,0.358,NA,NA,NA,0.000781688
"TPM1","Brain Cerebellar Hemisphere","ADHD","Inverse variance weighted",2,0.008,0.009,1.009,0.359,NA,0.491176837,NA,0.000917552
"SCLT1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.028,0.03,0.973,0.359,NA,NA,NA,0.009039636
"SYT5","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.024,0.026,0.977,0.359,NA,NA,NA,0.009151
"CERS5","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.01,0.011,0.99,0.359,NA,NA,NA,0.007318631
"PPME1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.037,0.041,0.963,0.359,NA,NA,NA,0.005151859
"FGF14","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.026,0.029,0.974,0.359,NA,NA,NA,0.010578007
"FUT9","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.041,0.045,1.042,0.36,NA,NA,NA,0.000994448
"ADAMTS16-DT","Brain Cerebellar Hemisphere","ADHD","Inverse variance weighted",2,-0.016,0.018,0.984,0.36,NA,0.486877884,NA,0.004687117
"NUMB","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.023,0.026,0.977,0.36,NA,NA,NA,0.007142187
"KCNJ3","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.018,0.02,0.982,0.36,NA,NA,NA,0.007079673
"DHFR","Brain Cerebellar Hemisphere","ADHD","Weighted median",3,-0.008,0.009,0.992,0.361,0.2344526,0.251701132,0.507875979,0.008986928
"TOGARAM2","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.046,0.05,1.047,0.361,NA,NA,NA,0.000823445
"TBL1XR1","Brain Cerebellar Hemisphere","ADHD","Inverse variance weighted",2,0.035,0.038,1.035,0.361,NA,0.812545155,NA,0.00185897
"AP1M1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.029,0.032,1.03,0.362,NA,NA,NA,0.007728021
"ENSAP2","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.018,0.02,1.018,0.362,NA,NA,NA,0.000195661
"KRT19","Brain Cerebellar Hemisphere","ADHD","Inverse variance weighted",2,0.011,0.012,1.011,0.362,NA,0.999237954,NA,0.008807751
"FUT11","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.024,0.026,0.976,0.362,NA,NA,NA,0.006313153
"CCZ1B","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.013,0.014,0.987,0.362,NA,NA,NA,0.007569203
"RSPH10B","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.014,0.016,1.014,0.362,NA,NA,NA,0.002299058
"CCZ1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.01,0.011,1.01,0.362,NA,NA,NA,0.007569327
"ZNF57","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.03,0.033,0.971,0.364,NA,NA,NA,0.004649586
"DNPH1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.033,0.037,0.967,0.364,NA,NA,NA,0.011966593
"ZNF202","Brain Cerebellar Hemisphere","ADHD","Inverse variance weighted",2,-0.024,0.027,0.976,0.364,NA,0.29512399,NA,0.011375351
"AP3S2","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.025,0.028,0.975,0.365,NA,NA,NA,0.005626038
"LINC00667","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.019,0.021,1.019,0.365,NA,NA,NA,0.007171769
"FABP5","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.037,0.04,0.964,0.365,NA,NA,NA,4.23e-05
"ADCK1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.016,0.017,1.016,0.365,NA,NA,NA,0.007981493
"ZNF680P1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.017,0.018,1.017,0.365,NA,NA,NA,0.001715395
"ANO4","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.049,0.054,0.952,0.365,NA,NA,NA,0.002064328
"KYAT3","Brain Cerebellar Hemisphere","ADHD","Inverse variance weighted",2,-0.017,0.019,0.983,0.365,NA,0.41466455,NA,0.005193378
"BMP2K","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.045,0.05,1.046,0.366,NA,NA,NA,0.000204658
"KIAA0930","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.02,0.022,1.02,0.366,NA,NA,NA,0.00847334
"WASF3","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.025,0.027,0.976,0.366,NA,NA,NA,0.00847334
