Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
IL1RL2,Fetal Brain,ASD,Wald ratio,1,0.409,0.432,1.505,0.344,NA,NA,NA,0.015785937
TSLP,Fetal Brain,ASD,Wald ratio,1,0.718,0.761,2.051,0.345,NA,NA,NA,0.012485603
SLC35F4,Fetal Brain,ASD,Wald ratio,1,-0.548,0.581,0.578,0.345,NA,NA,NA,0.017642217
ARHGAP26,Fetal Brain,ASD,Wald ratio,1,0.311,0.33,1.365,0.345,NA,NA,NA,0.012257695
GREB1,Fetal Brain,ASD,Wald ratio,1,-0.098,0.104,0.907,0.348,NA,NA,NA,0.011237533
COMMD8,Fetal Brain,ASD,Wald ratio,1,0.326,0.347,1.385,0.348,NA,NA,NA,0.012350453
C7orf49,Fetal Brain,ASD,Wald ratio,1,-0.237,0.253,0.789,0.348,NA,NA,NA,0.013378703
ZNF264,Fetal Brain,ASD,Wald ratio,1,0.451,0.481,1.569,0.349,NA,NA,NA,0.018959711
GMEB2,Fetal Brain,ASD,Wald ratio,1,0.49,0.524,1.633,0.349,NA,NA,NA,0.010836739
KIF16B,Fetal Brain,ASD,Wald ratio,1,0.499,0.533,1.647,0.35,NA,NA,NA,0.010653589
EFHA2,Fetal Brain,ASD,Wald ratio,1,0.432,0.463,1.54,0.351,NA,NA,NA,0.017736861
OR4S1,Fetal Brain,ASD,Wald ratio,1,-0.336,0.361,0.715,0.352,NA,NA,NA,0.014172311
MSI2,Fetal Brain,ASD,Wald ratio,1,0.984,1.059,2.674,0.353,NA,NA,NA,0.012756172
KLHDC7A,Fetal Brain,ASD,Wald ratio,1,-0.282,0.303,0.755,0.353,NA,NA,NA,0.010532972
ARID1B,Fetal Brain,ASD,Wald ratio,1,0.482,0.519,1.619,0.354,NA,NA,NA,0.010452758
SSPN,Fetal Brain,ASD,Wald ratio,1,3.931,4.24,50.973,0.354,NA,NA,NA,0.011407621
NEIL2,Fetal Brain,ASD,Wald ratio,1,0.565,0.609,1.759,0.354,NA,NA,NA,0.012369768
FGF12,Fetal Brain,ASD,Wald ratio,1,0.291,0.314,1.338,0.354,NA,NA,NA,0.011407434
SPTY2D1,Fetal Brain,ASD,Wald ratio,1,1.035,1.12,2.815,0.356,NA,NA,NA,0.011818667
ZNF804A,Fetal Brain,ASD,Wald ratio,1,0.691,0.749,1.996,0.356,NA,NA,NA,0.010680112
GNMT,Fetal Brain,ASD,Wald ratio,1,-0.191,0.207,0.826,0.357,NA,NA,NA,0.010463315
FAM21C,Fetal Brain,ASD,Wald ratio,1,-1.604,1.743,0.201,0.358,NA,NA,NA,0.014903341
C9orf78,Fetal Brain,ASD,Wald ratio,1,0.714,0.777,2.043,0.358,NA,NA,NA,0.012141393
MYT1,Fetal Brain,ASD,Wald ratio,1,-0.376,0.409,0.687,0.358,NA,NA,NA,0.025034143
ADARB2,Fetal Brain,ASD,Simple mode,5,-0.198,0.191,0.82,0.359,0.183124699,0.302079848,0.945073109,0.020534691
KIAA0319,Fetal Brain,ASD,Wald ratio,1,0.251,0.274,1.285,0.359,NA,NA,NA,0.010867702
ANKRD56,Fetal Brain,ASD,Wald ratio,1,-0.285,0.311,0.752,0.36,NA,NA,NA,0.013180734
